# file...... R2-12.47-3_capacitor1.csv
# date...... Fri Apr 20 12:36:31 2018
# user...... dpinney
# host...... (null)
# target.... capacitor 2
# trigger... (none)
# interval.. 60
# limit..... 1440
# timestamp,switchA,switchB,switchC,voltage_A.real,voltage_A.imag,voltage_B.real,voltage_B.imag,voltage_C.real,voltage_C.imag
2000-01-01 00:16:00 EST,CLOSED,CLOSED,CLOSED,+7150.52,-105.436,-3613.63,-6035.6,-3367.3,+6179.67
2000-01-01 00:17:00 EST,CLOSED,CLOSED,CLOSED,+7150.52,-105.436,-3613.63,-6035.6,-3367.3,+6179.67
2000-01-01 00:18:00 EST,CLOSED,CLOSED,CLOSED,+7150.52,-105.436,-3613.63,-6035.6,-3367.3,+6179.67
2000-01-01 00:19:00 EST,CLOSED,CLOSED,CLOSED,+7150.52,-105.436,-3613.63,-6035.6,-3367.3,+6179.67
2000-01-01 00:20:00 EST,CLOSED,CLOSED,CLOSED,+7150.52,-105.436,-3613.63,-6035.6,-3367.3,+6179.67
2000-01-01 00:21:00 EST,CLOSED,CLOSED,CLOSED,+7150.52,-105.436,-3613.63,-6035.6,-3367.3,+6179.67
2000-01-01 00:22:00 EST,CLOSED,CLOSED,CLOSED,+7150.52,-105.436,-3613.63,-6035.6,-3367.3,+6179.67
2000-01-01 00:23:00 EST,CLOSED,CLOSED,CLOSED,+7150.52,-105.436,-3613.63,-6035.6,-3367.3,+6179.67
2000-01-01 00:24:00 EST,CLOSED,CLOSED,CLOSED,+7150.52,-105.436,-3613.63,-6035.6,-3367.3,+6179.67
2000-01-01 00:25:00 EST,CLOSED,CLOSED,CLOSED,+7150.52,-105.436,-3613.63,-6035.6,-3367.3,+6179.67
2000-01-01 00:26:00 EST,CLOSED,CLOSED,CLOSED,+7150.52,-105.436,-3613.63,-6035.6,-3367.3,+6179.67
2000-01-01 00:27:00 EST,CLOSED,CLOSED,CLOSED,+7150.52,-105.436,-3613.63,-6035.6,-3367.3,+6179.67
2000-01-01 00:28:00 EST,CLOSED,CLOSED,CLOSED,+7150.52,-105.436,-3613.63,-6035.6,-3367.3,+6179.67
2000-01-01 00:29:00 EST,CLOSED,CLOSED,CLOSED,+7150.52,-105.436,-3613.63,-6035.6,-3367.3,+6179.67
2000-01-01 00:30:00 EST,CLOSED,CLOSED,CLOSED,+7150.52,-105.436,-3613.63,-6035.6,-3367.3,+6179.67
2000-01-01 00:31:00 EST,CLOSED,CLOSED,CLOSED,+7150.52,-105.436,-3613.63,-6035.6,-3367.3,+6179.67
2000-01-01 00:32:00 EST,CLOSED,CLOSED,CLOSED,+7150.52,-105.436,-3613.63,-6035.6,-3367.3,+6179.67
2000-01-01 00:33:00 EST,CLOSED,CLOSED,CLOSED,+7150.52,-105.436,-3613.63,-6035.6,-3367.3,+6179.67
2000-01-01 00:34:00 EST,CLOSED,CLOSED,CLOSED,+7150.52,-105.436,-3613.63,-6035.6,-3367.3,+6179.67
2000-01-01 00:35:00 EST,CLOSED,CLOSED,CLOSED,+7150.52,-105.436,-3613.63,-6035.6,-3367.3,+6179.67
2000-01-01 00:36:00 EST,CLOSED,CLOSED,CLOSED,+7150.52,-105.436,-3613.63,-6035.6,-3367.3,+6179.67
2000-01-01 00:37:00 EST,CLOSED,CLOSED,CLOSED,+7150.52,-105.436,-3613.63,-6035.6,-3367.3,+6179.67
2000-01-01 00:38:00 EST,CLOSED,CLOSED,CLOSED,+7150.52,-105.436,-3613.63,-6035.6,-3367.3,+6179.67
2000-01-01 00:39:00 EST,CLOSED,CLOSED,CLOSED,+7150.52,-105.436,-3613.63,-6035.6,-3367.3,+6179.67
2000-01-01 00:40:00 EST,CLOSED,CLOSED,CLOSED,+7150.52,-105.436,-3613.63,-6035.6,-3367.3,+6179.67
2000-01-01 00:41:00 EST,CLOSED,CLOSED,CLOSED,+7150.52,-105.436,-3613.63,-6035.6,-3367.3,+6179.67
2000-01-01 00:42:00 EST,CLOSED,CLOSED,CLOSED,+7150.52,-105.436,-3613.63,-6035.6,-3367.3,+6179.67
2000-01-01 00:43:00 EST,CLOSED,CLOSED,CLOSED,+7150.52,-105.436,-3613.63,-6035.6,-3367.3,+6179.67
2000-01-01 00:44:00 EST,CLOSED,CLOSED,CLOSED,+7150.52,-105.436,-3613.63,-6035.6,-3367.3,+6179.67
2000-01-01 00:45:00 EST,CLOSED,CLOSED,CLOSED,+7150.52,-105.436,-3613.63,-6035.6,-3367.3,+6179.67
2000-01-01 00:46:00 EST,CLOSED,CLOSED,CLOSED,+7150.52,-105.436,-3613.63,-6035.6,-3367.3,+6179.67
2000-01-01 00:47:00 EST,CLOSED,CLOSED,CLOSED,+7150.52,-105.436,-3613.63,-6035.6,-3367.3,+6179.67
