temperature,wind_speed,humidity,solar_dir,solar_diff,solar_global
1:4:22:0:0,33.1,1.86,0.71,5,2,6
1:4:23:0:0,32.2,1.88,0.71,1,0,1
1:5:0:0:0,32.4,2.24,0.74,0,0,0
1:5:1:0:0,34.2,2.88,0.72,0,0,0
1:5:2:0:0,34.3,3.17,0.71,0,0,0
1:5:3:0:0,34.0,3.25,0.71,0,0,0
1:5:4:0:0,33.4,2.9,0.76,0,0,0
1:5:5:0:0,23.5,2.55,0.86,0,0,0
1:5:6:0:0,16.9,4.06,0.86,0,0,0
1:5:7:0:0,15.3,4.22,0.86,0,0,0
1:5:8:0:0,12.9,4.37,0.87,0,0,0
1:5:9:0:0,12.2,4.28,0.86,0,0,0
1:5:10:0:0,10.4,4.75,0.84,0,0,0
1:5:11:0:0,7.3,6.27,0.82,0,0,0
1:5:12:0:0,7.3,7.73,0.76,0,0,0
1:5:13:0:0,6.6,6.64,0.71,0,0,0
1:5:14:0:0,6.8,6.28,0.75,0,0,0
1:5:15:0:0,8.1,5.24,0.64,2,1,2
1:5:16:0:0,8.1,4.96,0.59,8,3,11
1:5:17:0:0,9.0,5.06,0.59,16,5,21
1:5:18:0:0,7.7,4.51,0.65,9,3,12
1:5:19:0:0,7.2,4.44,0.7,10,3,13
1:5:20:0:0,9.5,4.93,0.47,16,5,22
1:5:21:0:0,9.0,4.17,0.42,11,4,14
1:5:22:0:0,9.9,1.72,0.41,5,2,7
1:5:23:0:0,6.6,0.76,0.42,1,0,1
1:6:0:0:0,4.3,0.58,0.53,0,0,0
1:6:1:0:0,1.8,0.59,0.58,0,0,0
1:6:2:0:0,1.2,0.81,0.6,0,0,0
1:6:3:0:0,-0.8,0.41,0.61,0,0,0
1:6:4:0:0,-2.6,0.78,0.63,0,0,0
1:6:5:0:0,-4.0,1.69,0.61,0,0,0
1:6:6:0:0,-5.4,1.78,0.59,0,0,0
1:6:7:0:0,-5.1,2.84,0.59,0,0,0
1:6:8:0:0,-6.3,2.48,0.58,0,0,0
1:6:9:0:0,-6.7,2.71,0.59,0,0,0
1:6:10:0:0,-7.2,2.47,0.59,0,0,0
1:6:11:0:0,-8.1,3.07,0.6,0,0,0
1:6:12:0:0,-8.0,3.1,0.62,0,0,0
1:6:13:0:0,-8.1,2.83,0.64,0,0,0
1:6:14:0:0,-6.2,3.21,0.62,0,0,1
1:6:15:0:0,-10.5,1.46,0.6,8,3,11
1:6:16:0:0,-6.0,2.95,0.62,19,6,25
1:6:17:0:0,-2.6,2.41,0.57,27,9,36
1:6:18:0:0,1.2,2.16,0.52,33,11,44
1:6:19:0:0,6.3,1.09,0.5,34,11,46
1:6:20:0:0,9.1,1.28,0.5,32,11,42
1:6:21:0:0,10.2,1.67,0.52,25,8,33
1:6:22:0:0,8.6,1.91,0.54,16,5,21
1:6:23:0:0,4.1,1.25,0.59,5,2,7
1:7:0:0:0,1.2,1.05,0.63,0,0,0
1:7:1:0:0,0.5,0.65,0.62,0,0,0
1:7:2:0:0,2.1,1.15,0.63,0,0,0
1:7:3:0:0,0.9,0.37,0.64,0,0,0
1:7:4:0:0,-3.1,0.28,0.7,0,0,0
1:7:5:0:0,-3.3,0.46,0.73,0,0,0
1:7:6:0:0,-4.2,0.34,0.74,0,0,0
1:7:7:0:0,-5.3,1.63,0.75,0,0,0
1:7:8:0:0,-3.8,1.1,0.75,0,0,0
1:7:9:0:0,-2.6,0.96,0.73,0,0,0
1:7:10:0:0,-3.5,0.82,0.73,0,0,0
1:7:11:0:0,-3.3,0.25,0.75,0,0,0
1:7:12:0:0,-5.1,0.48,0.75,0,0,0
1:7:13:0:0,-5.1,0.68,0.76,0,0,0
1:7:14:0:0,-4.5,1.47,0.76,0,0,0
1:7:15:0:0,-3.6,0.66,0.74,6,2,8
1:7:16:0:0,-1.7,0.88,0.77,13,4,18
1:7:17:0:0,1.9,0.95,0.75,19,6,25
1:7:18:0:0,5.4,1.91,0.72,21,7,28
1:7:19:0:0,5.4,2.49,0.71,25,8,34
1:7:20:0:0,7.3,1.97,0.69,25,8,33
1:7:21:0:0,7.3,1.85,0.66,14,5,18
1:7:22:0:0,6.3,1.86,0.69,7,2,10
1:7:23:0:0,5.9,1.33,0.69,1,0,2
1:8:0:0:0,5.9,1.65,0.72,0,0,0
1:8:1:0:0,7.2,1.06,0.73,0,0,0
1:8:2:0:0,6.1,1.59,0.77,0,0,0
1:8:3:0:0,7.0,1.54,0.8,0,0,0
1:8:4:0:0,7.3,1.45,0.78,0,0,0
1:8:5:0:0,6.4,1.33,0.79,0,0,0
1:8:6:0:0,7.3,1.6,0.81,0,0,0
1:8:7:0:0,8.2,1.29,0.81,0,0,0
1:8:8:0:0,8.8,0.8,0.81,0,0,0
1:8:9:0:0,8.2,1.31,0.8,0,0,0
1:8:10:0:0,9.5,1.01,0.8,0,0,0
1:8:11:0:0,10.6,1.18,0.78,0,0,0
1:8:12:0:0,9.5,1.69,0.79,0,0,0
1:8:13:0:0,9.7,1.1,0.81,0,0,0
1:8:14:0:0,10.2,0.82,0.79,0,0,0
1:8:15:0:0,11.7,0.53,0.77,3,1,4
1:8:16:0:0,12.9,0.92,0.76,8,3,10
1:8:17:0:0,14.5,0.96,0.73,15,5,20
1:8:18:0:0,16.7,1.57,0.71,13,4,17
1:8:19:0:0,16.7,1.37,0.75,16,5,21
1:8:20:0:0,17.4,1.02,0.83,15,5,20
1:8:21:0:0,17.6,1.34,0.86,9,3,12
1:8:22:0:0,16.9,1.62,0.87,4,1,5
1:8:23:0:0,16.7,1.13,0.88,1,0,1
1:9:0:0:0,16.7,0.91,0.88,0,0,0
1:9:1:0:0,17.1,0.78,0.89,0,0,0
1:9:2:0:0,17.1,0.75,0.87,0,0,0
1:9:3:0:0,18.3,0.88,0.88,0,0,0
1:9:4:0:0,17.1,0.85,0.88,0,0,0
1:9:5:0:0,18.3,1.04,0.88,0,0,0
1:9:6:0:0,28.6,2.05,0.87,0,0,0
1:9:7:0:0,29.5,3.35,0.81,0,0,0
1:9:8:0:0,17.2,2.04,0.86,0,0,0
1:9:9:0:0,16.7,1.03,0.91,0,0,0
1:9:10:0:0,21.2,2.09,0.91,0,0,0
1:9:11:0:0,34.3,3.47,0.79,0,0,0
1:9:12:0:0,35.2,3.4,0.75,0,0,0
1:9:13:0:0,33.8,3.23,0.76,0,0,0
1:9:14:0:0,36.5,2.11,0.74,0,0,0
1:9:15:0:0,36.9,1.78,0.71,1,0,1
1:9:16:0:0,36.9,1.63,0.71,2,1,2
1:9:17:0:0,36.0,1.83,0.71,2,1,3
1:9:18:0:0,32.4,2.8,0.75,2,1,3
1:9:19:0:0,33.1,2.52,0.83,2,1,3
1:9:20:0:0,32.9,2.41,0.87,4,1,5
1:9:21:0:0,34.0,2.02,0.87,5,2,6
1:9:22:0:0,34.3,2.47,0.85,3,1,5
1:9:23:0:0,30.7,1.21,0.88,1,0,1
1:10:0:0:0,31.6,1.16,0.92,0,0,0
1:10:1:0:0,33.4,2.74,0.9,0,0,0
1:10:2:0:0,32.9,3.22,0.88,0,0,0
1:10:3:0:0,28.8,3.39,0.92,0,0,0
1:10:4:0:0,28.8,2.44,0.93,0,0,0
1:10:5:0:0,28.6,1.8,0.91,0,0,0
1:10:6:0:0,28.9,2.49,0.82,0,0,0
1:10:7:0:0,25.7,1.49,0.81,0,0,0
1:10:8:0:0,25.5,0.9,0.83,0,0,0
1:10:9:0:0,22.3,1.36,0.83,0,0,0
1:10:10:0:0,23.2,1.57,0.85,0,0,0
1:10:11:0:0,25.0,1.63,0.82,0,0,0
1:10:12:0:0,24.8,1.26,0.79,0,0,0
1:10:13:0:0,28.0,1.42,0.75,0,0,0
1:10:14:0:0,29.3,2.39,0.68,0,0,0
1:10:15:0:0,31.5,2.81,0.64,2,1,3
1:10:16:0:0,34.2,1.92,0.61,14,5,18
1:10:17:0:0,34.7,2.33,0.62,23,8,31
1:10:18:0:0,37.0,2.45,0.6,31,10,41
1:10:19:0:0,38.7,3.53,0.54,39,13,52
1:10:20:0:0,38.8,3.36,0.52,33,11,43
1:10:21:0:0,38.1,3.61,0.52,10,3,14
1:10:22:0:0,38.3,3.25,0.52,7,2,9
1:10:23:0:0,37.2,3.04,0.52,1,0,1
1:11:0:0:0,35.4,2.02,0.56,0,0,0
1:11:1:0:0,35.4,2.96,0.59,0,0,0
1:11:2:0:0,35.4,2.41,0.6,0,0,0
1:11:3:0:0,36.0,3.34,0.61,0,0,0
1:11:4:0:0,36.1,2.79,0.63,0,0,0
1:11:5:0:0,35.6,2.08,0.61,0,0,0
1:11:6:0:0,36.3,2.03,0.62,0,0,0
1:11:7:0:0,34.2,2.54,0.65,0,0,0
1:11:8:0:0,34.5,2.76,0.79,0,0,0
1:11:9:0:0,34.2,1.72,0.71,0,0,0
1:11:10:0:0,34.2,1.79,0.7,0,0,0
1:11:11:0:0,34.9,1.71,0.68,0,0,0
1:11:12:0:0,34.5,1.46,0.65,0,0,0
1:11:13:0:0,34.7,2.18,0.67,0,0,0
1:11:14:0:0,34.7,1.77,0.63,0,0,0
1:11:15:0:0,34.9,3.04,0.62,0,0,0
1:11:16:0:0,34.7,2.06,0.71,2,1,3
1:11:17:0:0,34.7,3.51,0.7,5,2,6
1:11:18:0:0,32.9,3.02,0.77,5,2,7
1:11:19:0:0,31.8,3.13,0.92,6,2,9
1:11:20:0:0,32.9,2.58,0.93,14,5,18
1:11:21:0:0,32.4,3.66,0.91,9,3,12
1:11:22:0:0,32.7,3.41,0.83,12,4,16
1:11:23:0:0,31.6,3.54,0.82,1,0,1
1:12:0:0:0,30.2,2.16,0.9,0,0,0
1:12:1:0:0,30.7,2.29,0.87,0,0,0
1:12:2:0:0,30.9,2.09,0.8,0,0,0
1:12:3:0:0,32.9,2.59,0.77,0,0,0
1:12:4:0:0,30.2,2.66,0.68,0,0,0
1:12:5:0:0,29.1,1.44,0.75,0,0,0
1:12:6:0:0,29.5,1.15,0.75,0,0,0
1:12:7:0:0,29.7,1.58,0.74,0,0,0
1:12:8:0:0,29.5,1.0,0.75,0,0,0
1:12:9:0:0,28.8,1.26,0.75,0,0,0
1:12:10:0:0,28.9,0.8,0.77,0,0,0
1:12:11:0:0,29.3,2.04,0.76,0,0,0
1:12:12:0:0,28.9,0.74,0.76,0,0,0
1:12:13:0:0,27.7,0.96,0.79,0,0,0
1:12:14:0:0,26.8,2.23,0.83,0,0,0
1:12:15:0:0,28.0,2.18,0.87,2,1,2
1:12:16:0:0,30.7,2.55,0.88,6,2,7
1:12:17:0:0,31.1,2.53,0.86,8,3,11
1:12:18:0:0,31.3,2.33,0.92,9,3,13
1:12:19:0:0,31.5,2.47,0.93,10,3,13
1:12:20:0:0,32.4,2.4,0.93,10,3,14
1:12:21:0:0,32.2,1.81,0.94,8,3,11
1:12:22:0:0,33.4,1.95,0.94,5,2,7
1:12:23:0:0,33.1,1.25,0.9,1,0,2
1:13:0:0:0,28.8,1.21,0.93,0,0,0
1:13:1:0:0,27.0,1.29,0.96,0,0,0
1:13:2:0:0,27.0,0.97,0.95,0,0,0
1:13:3:0:0,27.5,0.86,0.95,0,0,0
1:13:4:0:0,27.9,1.55,0.95,0,0,0
1:13:5:0:0,27.5,0.76,0.95,0,0,0
1:13:6:0:0,27.3,1.31,0.96,0,0,0
1:13:7:0:0,27.3,1.56,0.96,0,0,0
1:13:8:0:0,26.4,0.68,0.95,0,0,0
1:13:9:0:0,26.1,0.63,0.94,0,0,0
1:13:10:0:0,27.0,0.18,0.94,0,0,0
1:13:11:0:0,27.9,1.05,0.94,0,0,0
1:13:12:0:0,28.2,0.99,0.94,0,0,0
1:13:13:0:0,28.4,0.12,0.95,0,0,0
1:13:14:0:0,27.0,0.41,0.95,0,0,0
1:13:15:0:0,28.4,0.11,0.95,1,0,1
1:13:16:0:0,29.7,0.61,0.95,2,1,3
1:13:17:0:0,30.4,1.03,0.96,4,1,5
1:13:18:0:0,30.0,1.17,0.96,9,3,12
1:13:19:0:0,31.1,1.44,0.96,18,6,24
1:13:20:0:0,31.5,1.28,0.96,15,5,20
1:13:21:0:0,30.6,1.19,0.96,8,3,11
1:13:22:0:0,30.9,0.52,0.96,6,2,7
1:13:23:0:0,30.6,0.57,0.95,1,0,2
1:14:0:0:0,30.6,0.61,0.96,0,0,0
1:14:1:0:0,30.2,0.4,0.96,0,0,0
1:14:2:0:0,29.3,0.67,0.96,0,0,0
1:14:3:0:0,28.6,0.37,0.96,0,0,0
1:14:4:0:0,28.4,0.24,0.96,0,0,0
1:14:5:0:0,28.9,0.27,0.95,0,0,0
1:14:6:0:0,29.3,0.45,0.96,0,0,0
1:14:7:0:0,29.3,0.3,0.96,0,0,0
1:14:8:0:0,28.9,0.41,0.96,0,0,0
1:14:9:0:0,28.2,0.57,0.95,0,0,0
1:14:10:0:0,28.0,0.64,0.95,0,0,0
1:14:11:0:0,28.4,0.81,0.95,0,0,0
1:14:12:0:0,28.4,0.49,0.95,0,0,0
1:14:13:0:0,28.2,0.68,0.95,0,0,0
1:14:14:0:0,28.2,0.61,0.95,0,0,0
1:14:15:0:0,28.6,0.17,0.95,1,0,1
1:14:16:0:0,29.5,0.3,0.95,4,1,5
1:14:17:0:0,30.0,0.58,0.95,6,2,8
1:14:18:0:0,30.2,1.42,0.95,6,2,8
1:14:19:0:0,30.2,1.49,0.96,9,3,12
1:14:20:0:0,30.4,0.87,0.96,9,3,12
1:14:21:0:0,30.6,0.89,0.96,8,3,11
1:14:22:0:0,30.6,0.85,0.95,9,3,12
1:14:23:0:0,29.8,0.81,0.95,0,0,0
1:15:0:0:0,29.8,0.79,0.95,0,0,0
1:15:1:0:0,29.8,0.5,0.95,0,0,0
1:15:2:0:0,28.9,1.53,0.95,0,0,0
1:15:3:0:0,28.4,1.98,0.94,0,0,0
1:15:4:0:0,27.3,2.28,0.94,0,0,0
1:15:5:0:0,26.6,2.25,0.94,0,0,0
1:15:6:0:0,26.1,1.66,0.93,0,0,0
1:15:7:0:0,26.2,1.65,0.93,0,0,0
1:15:8:0:0,26.2,0.92,0.93,0,0,0
1:15:9:0:0,26.1,0.35,0.93,0,0,0
1:15:10:0:0,25.5,1.31,0.93,0,0,0
1:15:11:0:0,25.0,1.0,0.93,0,0,0
1:15:12:0:0,24.4,0.72,0.92,0,0,0
1:15:13:0:0,23.9,1.03,0.92,0,0,0
1:15:14:0:0,23.2,1.21,0.91,0,0,0
1:15:15:0:0,22.8,1.87,0.89,2,1,2
1:15:16:0:0,23.0,1.03,0.87,8,3,10
1:15:17:0:0,25.2,0.89,0.85,22,7,29
1:15:18:0:0,26.6,1.37,0.85,24,8,32
1:15:19:0:0,26.6,1.65,0.85,13,4,17
1:15:20:0:0,26.8,1.42,0.88,10,3,14
1:15:21:0:0,26.6,1.08,0.88,6,2,8
1:15:22:0:0,26.8,0.51,0.88,3,1,4
1:15:23:0:0,26.6,1.18,0.85,1,0,1
1:16:0:0:0,25.7,1.79,0.83,0,0,0
1:16:1:0:0,25.3,1.32,0.83,0,0,0
1:16:2:0:0,25.3,1.27,0.83,0,0,0
1:16:3:0:0,22.3,1.28,0.86,0,0,0
1:16:4:0:0,21.6,2.56,0.86,0,0,0
1:16:5:0:0,18.7,2.19,0.88,0,0,0
1:16:6:0:0,16.0,2.88,0.89,0,0,0
1:16:7:0:0,15.8,2.13,0.87,0,0,0
1:16:8:0:0,16.9,0.94,0.85,0,0,0
1:16:9:0:0,14.9,1.56,0.85,0,0,0
1:16:10:0:0,16.9,2.64,0.84,0,0,0
1:16:11:0:0,15.8,1.39,0.81,0,0,0
1:16:12:0:0,17.8,1.4,0.83,0,0,0
1:16:13:0:0,14.7,2.19,0.8,0,0,0
1:16:14:0:0,13.1,1.25,0.84,0,0,0
1:16:15:0:0,14.9,1.51,0.83,4,1,5
1:16:16:0:0,18.1,0.83,0.76,14,5,19
1:16:17:0:0,19.8,0.93,0.75,21,7,28
1:16:18:0:0,22.8,2.0,0.77,33,11,44
1:16:19:0:0,23.9,1.76,0.74,36,12,47
1:16:20:0:0,25.3,1.6,0.71,33,11,44
1:16:21:0:0,25.7,1.36,0.72,28,9,37
1:16:22:0:0,25.5,1.21,0.71,18,6,24
1:16:23:0:0,24.4,1.25,0.73,7,2,9
1:17:0:0:0,20.3,0.87,0.74,0,0,0
1:17:1:0:0,18.0,2.13,0.72,0,0,0
1:17:2:0:0,16.7,2.49,0.73,0,0,0
1:17:3:0:0,16.5,2.35,0.74,0,0,0
1:17:4:0:0,15.6,2.11,0.78,0,0,0
1:17:5:0:0,14.5,1.42,0.82,0,0,0
1:17:6:0:0,12.9,1.08,0.79,0,0,0
1:17:7:0:0,12.9,2.23,0.79,0,0,0
1:17:8:0:0,14.4,0.71,0.76,0,0,0
1:17:9:0:0,12.7,1.12,0.8,0,0,0
1:17:10:0:0,10.2,1.41,0.82,0,0,0
1:17:11:0:0,12.2,1.74,0.81,0,0,0
1:17:12:0:0,9.5,0.36,0.87,0,0,0
1:17:13:0:0,8.4,0.52,0.82,0,0,0
1:17:14:0:0,8.4,0.27,0.83,1,0,1
1:17:15:0:0,7.2,0.3,0.84,10,3,13
1:17:16:0:0,10.8,0.55,0.82,20,7,27
1:17:17:0:0,13.6,1.11,0.77,29,10,39
1:17:18:0:0,16.0,1.37,0.75,35,12,47
1:17:19:0:0,17.1,2.58,0.8,37,12,49
1:17:20:0:0,17.1,2.74,0.86,33,11,45
1:17:21:0:0,17.4,2.85,0.86,28,9,37
1:17:22:0:0,16.7,2.02,0.85,18,6,24
1:17:23:0:0,14.9,1.83,0.88,4,1,6
1:18:0:0:0,14.4,1.61,0.91,0,0,0
1:18:1:0:0,15.1,1.52,0.91,0,0,0
1:18:2:0:0,14.4,1.77,0.9,0,0,0
1:18:3:0:0,13.8,1.77,0.89,0,0,0
1:18:4:0:0,13.8,1.18,0.88,0,0,0
1:18:5:0:0,13.1,1.4,0.88,0,0,0
1:18:6:0:0,12.7,1.58,0.87,0,0,0
1:18:7:0:0,13.1,1.22,0.87,0,0,0
1:18:8:0:0,13.1,0.64,0.87,0,0,0
1:18:9:0:0,13.3,0.59,0.87,0,0,0
1:18:10:0:0,11.8,0.62,0.86,0,0,0
1:18:11:0:0,11.8,0.65,0.86,0,0,0
1:18:12:0:0,11.8,0.48,0.86,0,0,0
1:18:13:0:0,10.2,0.96,0.86,0,0,0
1:18:14:0:0,10.0,0.59,0.86,0,0,0
1:18:15:0:0,12.0,0.78,0.86,1,0,1
1:18:16:0:0,12.7,0.69,0.86,5,2,7
1:18:17:0:0,13.6,0.41,0.86,9,3,12
1:18:18:0:0,14.4,0.54,0.87,12,4,16
1:18:19:0:0,15.1,1.12,0.87,13,4,17
1:18:20:0:0,15.4,2.3,0.88,14,5,18
1:18:21:0:0,14.5,1.61,0.88,11,4,15
1:18:22:0:0,15.4,0.87,0.87,6,2,8
1:18:23:0:0,15.1,1.45,0.88,2,1,2
1:19:0:0:0,14.5,1.03,0.87,0,0,0
1:19:1:0:0,13.5,2.29,0.87,0,0,0
1:19:2:0:0,12.7,1.59,0.87,0,0,0
1:19:3:0:0,12.2,0.99,0.86,0,0,0
1:19:4:0:0,12.2,1.27,0.86,0,0,0
1:19:5:0:0,11.7,0.75,0.86,0,0,0
1:19:6:0:0,11.7,1.15,0.86,0,0,0
1:19:7:0:0,11.3,0.5,0.86,0,0,0
1:19:8:0:0,10.4,0.67,0.85,0,0,0
1:19:9:0:0,10.0,0.42,0.85,0,0,0
1:19:10:0:0,9.0,0.63,0.85,0,0,0
1:19:11:0:0,9.9,0.57,0.85,0,0,0
1:19:12:0:0,10.8,0.2,0.85,0,0,0
1:19:13:0:0,11.1,0.64,0.86,0,0,0
1:19:14:0:0,12.4,0.3,0.86,0,0,0
1:19:15:0:0,13.3,0.43,0.86,2,1,3
1:19:16:0:0,14.7,0.84,0.87,8,3,11
1:19:17:0:0,15.8,1.01,0.87,18,6,24
1:19:18:0:0,16.0,1.62,0.88,14,5,19
1:19:19:0:0,15.8,1.62,0.88,8,3,10
1:19:20:0:0,14.9,1.4,0.88,7,2,9
1:19:21:0:0,16.5,0.85,0.88,10,3,14
1:19:22:0:0,17.2,0.81,0.89,4,1,5
1:19:23:0:0,16.7,1.11,0.88,1,0,1
1:20:0:0:0,17.2,0.34,0.89,0,0,0
1:20:1:0:0,16.5,0.57,0.88,0,0,0
1:20:2:0:0,16.9,0.28,0.88,0,0,0
1:20:3:0:0,17.2,0.87,0.88,0,0,0
1:20:4:0:0,16.2,0.85,0.88,0,0,0
1:20:5:0:0,16.5,0.82,0.88,0,0,0
1:20:6:0:0,15.3,1.28,0.88,0,0,0
1:20:7:0:0,15.3,0.97,0.88,0,0,0
1:20:8:0:0,15.1,1.18,0.88,0,0,0
1:20:9:0:0,15.1,0.8,0.88,0,0,0
1:20:10:0:0,14.5,0.63,0.88,0,0,0
1:20:11:0:0,14.7,0.52,0.88,0,0,0
1:20:12:0:0,15.1,0.51,0.88,0,0,0
1:20:13:0:0,15.6,1.14,0.88,0,0,0
1:20:14:0:0,14.9,1.2,0.88,0,0,0
1:20:15:0:0,16.5,0.77,0.88,1,0,1
1:20:16:0:0,17.4,0.81,0.88,5,2,7
1:20:17:0:0,19.2,0.84,0.89,10,3,14
1:20:18:0:0,22.1,0.76,0.9,13,4,17
1:20:19:0:0,23.4,1.01,0.91,22,7,29
1:20:20:0:0,25.0,0.9,0.92,28,9,37
1:20:21:0:0,24.6,1.23,0.92,28,9,37
1:20:22:0:0,25.2,0.58,0.92,12,4,16
1:20:23:0:0,24.6,0.51,0.92,3,1,3
1:21:0:0:0,23.4,0.63,0.92,0,0,0
1:21:1:0:0,22.8,1.74,0.92,0,0,0
1:21:2:0:0,24.6,3.15,0.92,0,0,0
1:21:3:0:0,26.4,2.87,0.93,0,0,0
1:21:4:0:0,26.4,1.81,0.88,0,0,0
1:21:5:0:0,24.6,2.11,0.9,0,0,0
1:21:6:0:0,26.6,2.7,0.84,0,0,0
1:21:7:0:0,26.8,2.77,0.82,0,0,0
1:21:8:0:0,27.9,2.61,0.79,0,0,0
1:21:9:0:0,27.9,2.5,0.78,0,0,0
1:21:10:0:0,23.7,1.1,0.82,0,0,0
1:21:11:0:0,21.9,0.71,0.87,0,0,0
1:21:12:0:0,24.4,0.72,0.91,0,0,0
1:21:13:0:0,23.9,1.08,0.9,0,0,0
1:21:14:0:0,21.6,0.57,0.92,0,0,0
1:21:15:0:0,22.3,0.85,0.92,3,1,4
