Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2
Line.L12,  0.0100132,    -0.01, 0.00896442,    -6.98,  0.0111752,     5.60,          0,     0.00,  0.0300331,     0.00, 9.13483E-13,   -95.36, 0.00155846,    44.31, 0.00155846,  -135.69,          0,     0.00, 6.04254E-13,   -48.81
Line.L13, 0.00115404,   -28.86, 0.00421298,  -120.49, 0.00720958,    35.51,          0,     0.00, 0.00474207,     0.00, 0.000797036,    44.31, 0.00519684,    44.31, 0.00599387,  -135.69,          0,     0.00, 5.68434E-12,   -73.74
Line.L14,  0.0665946,    -5.74,  0.0727533,    -0.85,   0.081821,     5.42,          0,     0.00,   0.220462,     0.00,  0.0613858,   173.78,  0.0675167,   179.08,   0.076612,  -174.21,          0,     0.00,   0.204754,   180.00
Line.L15, 0.00323611,   -19.78, 0.00421607,    -0.01, 0.00549454,    11.50,          0,     0.00,  0.0126456,     0.00, 0.00160282,    43.07, 1.13829E-12,    87.14, 0.00160282,  -136.93,          0,     0.00, 2.11546E-12,   120.70
Line.L16, 0.00981982,    -0.01, 0.00794469,   -16.35,  0.0122165,    10.55,          0,     0.00,  0.0294531,     0.00, 3.21555E-13,  -135.00,  0.0031342,    45.51,  0.0031342,  -134.49,          0,     0.00, 9.37486E-13,  -165.96
Line.L17,  0.0749456,    -5.94,  0.0822056,    -0.75,  0.0924953,     5.47,          0,     0.00,   0.248816,     0.00,  0.0697385,   173.62,  0.0769689,   179.20,  0.0872866,  -174.20,          0,     0.00,   0.233108,   180.00
Line.L18, 0.00225958,   -80.86, 0.00263507,    -0.01, 0.00539274,    24.43,          0,     0.00, 0.00790359,     0.00, 0.00318697,    44.42, 9.37486E-13,  -104.04, 0.00318697,  -135.58,          0,     0.00, 8.18624E-12,   -90.80
Line.L19,  0.0168646,    -0.01,  0.0157827,    -3.95,   0.018006,     3.46,          0,     0.00,   0.050583,     0.00, 4.06937E-13,  -102.09, 0.00155894,    44.11, 0.00155894,  -135.89,          0,     0.00, 1.84741E-13,  -112.62
Line.L20, 0.00549211,   -11.41,  0.0065466,    -0.01,  0.0077817,     8.02,          0,     0.00,  0.0196358,     0.00, 0.00159082,    43.02, 1.13687E-12,  -126.87, 0.00159082,  -136.98,          0,     0.00, 4.59835E-12,   -98.53
Line.L21, 0.00225535,   -80.78, 0.00263508,    -0.01, 0.00538847,    24.40,          0,     0.00, 0.00790361,     0.00, 0.00318184,    44.39, 2.28508E-12,   -95.71, 0.00318184,  -135.61,          0,     0.00, 5.3626E-12,  -122.01
Line.L22,  0.0637961,    -2.57,  0.0606902,    -6.00,  0.0766196,     6.90,          0,     0.00,   0.200155,     0.00,  0.0552955,   177.04,  0.0522341,   173.02,  0.0681837,  -172.25,          0,     0.00,   0.174629,   180.00
Line.L23, 0.00674381,    -0.20, 0.00695838,     0.19, 0.00684668,     0.01,          0,     0.00,  0.0205488,     0.00, 0.000109782,    12.11, 0.000109782,  -167.89, 1.13687E-12,  -126.87,          0,     0.00, 3.12639E-13,   180.00
Line.L24,   0.023152,    -1.38,  0.0194626,   -14.04,  0.0295793,    10.28,          0,     0.00,   0.071131,     0.00,  0.0110381,   177.10, 0.00824499,   145.08,  0.0177916,  -162.75,          0,     0.00,  0.0347752,   180.00
Line.L25,  0.0135089,    -0.01,  0.0124349,    -5.05,  0.0146632,     4.28,          0,     0.00,  0.0405178,     0.00, 0.00368908,   179.99,  0.0027903,   156.92, 0.00493166,  -167.18,          0,     0.00,  0.0110648,   180.00
Line.L26, 0.00964096,    -6.70, 0.00999153,    -6.18,  0.0133862,     9.46,          0,     0.00,  0.0327126,     0.00, 0.00511768,   167.30, 0.00545795,   168.64, 0.00890064,  -165.69,          0,     0.00,  0.0189681,   180.00
Line.L27,  0.0879707,    -5.06,  0.0931459,    -2.04,   0.107915,     5.88,          0,     0.00,   0.288062,     0.00,  0.0847106,   174.75,  0.0898748,   177.88,   0.104661,  -173.94,          0,     0.00,   0.278244,   180.00
Line.L28,  0.0614761,    -6.21,   0.067425,    -0.93,   0.076612,     5.79,          0,     0.00,   0.204754,     0.00,  0.0523738,   172.71,  0.0582612,   178.93,  0.0675054,  -173.43,          0,     0.00,   0.177264,   180.00
Line.L29,   0.029232,    -6.52,  0.0330196,     0.00,  0.0363172,     5.24,          0,     0.00,  0.0982279,     0.00,  0.0188625,   169.86,  0.0225451,  -179.99,  0.0259104,  -172.65,          0,     0.00,  0.0668108,   180.00
Line.L30,  0.0241781,    -5.30,  0.0252549,    -2.47,  0.0299144,     6.37,          0,     0.00,  0.0790359,     0.00,  0.0173676,   172.61,  0.0184124,   176.61,  0.0231221,  -171.75,          0,     0.00,  0.0584866,   180.00
Line.L31,  0.0190031,   -10.05,  0.0224016,     0.00,  0.0259104,     7.35,          0,     0.00,  0.0668108,     0.00,  0.0126086,   164.75,  0.0158551,   180.00,  0.0194395,  -170.19,          0,     0.00,  0.0471751,   180.00
Line.L32,  0.0127304,   -15.09,  0.0157283,    -0.01,  0.0194395,     9.81,          0,     0.00,  0.0471751,     0.00, 0.00663156,   150.03, 0.00918168,   179.99,  0.0130403,  -165.29,          0,     0.00,  0.0275394,   180.00
Line.L33,  0.0017915,   -38.30, 0.00190216,   -34.93, 0.00540547,    24.01,          0,     0.00, 0.00790336,     0.00, 0.00165616,    42.09, 0.00153039,    45.35, 0.00318526,  -136.34,          0,     0.00, 3.70138E-12,  -100.62
Line.L34, 0.00363784,    -0.12, 0.00374021,     0.10, 0.00368667,     0.01,          0,     0.00,  0.0110647,     0.00, 0.0000517022,     7.89, 0.0000517022,  -172.11, 1.87497E-12,  -104.04,          0,     0.00, 2.89399E-12,  -135.00
Line.L35,   0.304007,    -5.49,   0.317931,    -3.01,   0.383163,     6.86,          0,     0.00,    1.00053,     0.00,   0.239739,   173.03,   0.253399,   176.23,   0.319115,  -171.76,          0,     0.00,   0.806637,   180.00
Transformer.REG1A,   0.303907,    -5.49,   0.304007,   174.51,          0,     0.00,          0,     0.00, 0.000100227,  -180.00,   0.304007,   174.51,   0.303907,    -5.49,          0,     0.00,          0,     0.00, 0.000100228,  -180.00
Transformer.REG1C,   0.621367,   175.78,   0.621267,    -4.22,          0,     0.00,          0,     0.00, 0.000100198,  -179.99,   0.621267,    -4.22,   0.621367,   175.78,          0,     0.00,          0,     0.00, 0.000100195,  -179.99
Line.JUMPER, 0.000325685,     0.00,          0,     0.00,          0,     0.00,          0,     0.00, 0.000325685,     0.00, 0.000325685,  -180.00,          0,     0.00,          0,     0.00,          0,     0.00, 0.000325685,  -180.00
Load.S701A,    32.6092,     3.43,    32.6092,  -176.57,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.S701B,    32.6092,  -116.57,    32.6092,    63.43,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.S701C,    81.5231,   123.43,    81.5231,   -56.57,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.S712C,    19.5711,   124.80,    19.5711,   -55.20,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.S713C,    19.5711,   124.80,    19.5711,   -55.20,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.S714A,    3.91423,     4.80,    3.91423,  -175.20,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.S714B,    4.84571,  -115.46,    4.84571,    64.54,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.S718A,    19.5712,     4.80,    19.5712,  -175.20,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.S720C,    19.5711,   124.80,    19.5711,   -55.20,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.S722B,    32.6093,  -116.57,    32.6093,    63.43,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.S722C,    4.84571,   124.54,    4.84571,   -55.46,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.S724B,    9.78282,  -116.57,    9.78282,    63.43,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.S725B,    9.78277,  -116.57,    9.78277,    63.43,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.S727C,    9.78277,   123.43,    9.78277,   -56.57,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.S728,    16.9443,   -26.57,    16.9443,  -146.57,    16.9443,    93.43,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.S729A,     9.7828,     3.43,     9.7828,  -176.57,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.S730C,    19.5712,   124.80,    19.5712,   -55.20,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.S731B,    19.5712,  -115.20,    19.5712,    64.80,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.S732C,    9.78277,   123.43,    9.78277,   -56.57,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.S733A,    19.5711,     4.80,    19.5711,  -175.20,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.S734C,    9.78277,   123.43,    9.78277,   -56.57,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.S735C,    19.5711,   124.80,    19.5711,   -55.20,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.S736B,    9.78283,  -116.57,    9.78283,    63.43,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.S737A,    32.6093,     3.43,    32.6093,  -176.57,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.S738A,    29.2557,     3.80,    29.2557,  -176.20,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.S740C,    19.5711,   124.80,    19.5711,   -55.20,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.S741C,     9.7828,   123.43,     9.7828,   -56.57,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.S742A,    1.86339,     3.43,    1.86339,  -176.57,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.S742B,    19.5712,  -115.20,    19.5712,    64.80,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.S744A,    9.78277,     3.43,    9.78277,  -176.57,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
