Station Id,Station Name,County,State,Latitude,Longitude,Elevation,Time Zone
PACE,Central,SE Fairbanks,AK,-144.7809,65.5739,286.0,America/Anchorage
PARL,CENTRAL AIRPORT,SE Fairbanks,AK,-144.7765,65.571,284.0,America/Anchorage
PALR,CHANDALAR LAKE,Yukon-koyukuk,AK,-148.4832,67.5045,585.0,America/Anchorage
PAVA,Chevak,Bethel,AK,-165.6009,61.5408,23.0,America/Nome
PAJC,CHIGNIK,Lake & Peninsula,AK,-158.3732,56.3115,20.0,America/Anchorage
PAEC,CHULITNA,Matanuska-Susitna,AK,-149.8333,62.8833,381.0,America/Anchorage
PFCL,Clarks Point,Dillingham,AK,-158.5294,58.8337,14.8405,America/Anchorage
PACD,COLD BAY AIRPORT (ASOS),Aleutians East,AK,-162.7245,55.2052,31.0,America/Nome
PACV,CORDOVA/MILE 13,Valdez-Cordova,AK,-145.4511,60.4889,13.0,America/Anchorage
PASC,DEADHORSE (ASOS),North Slope,AK,-148.4652,70.1947,17.0,America/Anchorage
PADE,DEERING AIRPORT (ASOS),Nome,AK,-162.7664,66.0696,4.0,America/Nome
PADL,DILLINGHAM (AMOS),Lake & Peninsula,AK,-158.5055,59.0447,29.0,America/Anchorage
PADU,DUTCH HARBOR,Aleutians West,AK,-166.5435,53.9001,4.0,America/Adak
PAEG,EAGLE AIRPORT (ASOS),SE Fairbanks,AK,-141.1496,64.7781,77.0,America/Anchorage
PAII,EGEGIK(AWOS),Lake and Peninsula,AK,-157.3856,58.1853,119.0,America/Anchorage
PAEI,EIELSON AFB,Fairbanks North Star,AK,-147.1015,64.6657,167.0,America/Anchorage
PAEL,ELFIN COVE SEAPLANE,Hoonah-Angoon,AK,-136.3474,58.1952,9.02062,America/Juneau
PFEL,Elim,Nome,AK,-162.2705,64.615,1.0,America/Nome
PAED,ELMENDORF AFB,Kenai Peninsula,AK,-149.8065,61.2514,65.0,America/Anchorage
PAEM,EMMONAK,Wade-Hampton,AK,-164.4907,62.7861,3.0,America/Nome
PAZK,EUREKA,Valdez-Cordova,AK,-147.169,61.937,1002.0,America/Anchorage
PAFA,FAIRBANKS INTL ARPT (ASOS),Fairbanks North Star,AK,-147.8761,64.8039,138.0,America/Anchorage
PAKF,False Pass Airport,Aleutians East,AK,-163.4103,54.8474,6.0,America/Nome
PAFL,Farewell,Yukon-koyukuk,AK,-153.6111,62.5316,395.0,America/Anchorage
PAFK,FAREWELL LAKE SEAPLANE,Yukon-koyukuk,AK,-153.6225,62.5425,321.0,America/Anchorage
PFYU,FORT YUKON (AWOS),Yukon-koyukuk,AK,-145.2667,66.5667,131.0,America/Anchorage
PABI,FT.GREELY/ALLEN AAF (ASOS),SE Fairbanks,AK,-145.7183,63.995,398.0,America/Anchorage
PAFR,Ft. Richardson,Anchorage,AK,-149.6531,61.2664,121.0,America/Anchorage
PAGB,GALBRAITH LAKE,North Slope,AK,-149.4899,68.4797,814.0,America/Anchorage
PAGA,GALENA AIRPORT,Yukon-koyukuk,AK,-156.9374,64.7362,46.0,America/Anchorage
PAGM,GAMBELL (AWOS),Nome,AK,-171.7328,63.7668,8.0,America/Nome
PAGL,GOLOVIN,Nome,AK,-163.0394,64.5433,8.0,America/Nome
PAGK,GULKANA ARPT (ASOS),Valdez-Cordova,AK,-145.457,62.1602,481.0,America/Anchorage
PAGS,GUSTAVUS,Haines,AK,-135.7074,58.4253,9.0,America/Juneau
PAHN,Haines,Haines,AK,-135.5117,59.2429,7.0,America/Juneau
PAHZ,HAYES RIVER,Matanuska-Susitna,AK,-152.086,61.983,305.0,America/Anchorage
PAHV,HEALY RIVER AIRPORT,Yukon-koyukuk,AK,-148.9689,63.8661,396.0,America/Anchorage
PAHC,HOLY CROSS,Bethel,AK,-159.7749,62.1883,21.0,America/Anchorage
PAHO,HOMER MUNICIPAL (ASOS),Kenai Peninsula,AK,-151.4766,59.6456,22.0,America/Anchorage
PAOH,HOONAH SEAPLANE,Hoonah-Angoon,AK,-135.4519,58.1122,0.0,America/Juneau
PAHP,HOOPER BAY (AWOS),Wade Hampton,AK,-166.1466,61.5239,5.0,America/Nome
PAHL,Huslia,Northwest Arctic,AK,-156.3514,65.6979,67.0,America/Anchorage
PAHS,HUSLIA,Northwest Arctic,AK,-156.3833,65.7,55.0,America/Anchorage
PAHY,Hydaburg Seaplane Base,Prince of Wales-Hyder,AK,-132.8281,55.2061,0.140871,America/Juneau
PAIG,IGIUGIG,Lake & Peninsula,AK,-155.9018,59.324,29.0,America/Anchorage
PAIL,ILIAMNA ARPT (ASOS),Lake & Peninsula,AK,-154.9092,59.7492,49.0,America/Anchorage
PAIM,INDIAN MTN AFS AWOS,Yukon-koyukuk,AK,-153.7038,65.9928,389.0,America/Anchorage
PAJN,JUNEAU INTL AIRPORT (ASOS),Juneau,AK,-134.5763,58.355,7.0,America/Juneau
PAFE,KAKE SEAPLANE BASE,Wrangell-Petersburg,AK,-133.9103,56.9614,42.0774,America/Juneau
PALG,KALSKAG,Bethel,AK,-160.3413,61.5363,17.0,America/Anchorage
PAKV,KALTAG AIRPORT (ASOS),Yukon-koyukuk,AK,-158.7413,64.319,60.0,America/Anchorage
PAEN,KENAI MUNICIPAL (ASOS),Kenai Peninsula,AK,-151.2391,60.5797,29.0,America/Anchorage
PAKT,KETCHIKAN INTL ARPT (ASOS),Ketchikan Gateway,AK,-131.7117,55.3567,29.0,America/Juneau
PAIK,Kiana,Northwest Arctic,AK,-160.4365,66.9759,51.0,America/Anchorage
PAVC,KING COVE,Aleutians East,AK,-162.2662,55.1163,47.0,America/Nome
PAKN,KING SALMON (ASOS),Lake & Peninsula,AK,-156.6539,58.6836,15.0,America/Anchorage
PAKI,KIPNUK,Bethel,AK,-164.03,59.93,3.0,America/Nome
PAVL,KIVALINA AIRPORT (ASOS),Northwest Arctic,AK,-164.5483,67.7317,3.0,America/Nome
PAKW,KLAWOCK (ASOS),Prince of Wales,AK,-133.076,55.5792,15.0,America/Juneau
PADQ,KODIAK (ASOS),Kodiak Island,AK,-152.4939,57.75,34.0,America/Anchorage
PAJZ,KOLIGANEK,Lake & Peninsula,AK,-157.2595,59.7266,82.0,America/Anchorage
PAOT,KOTZEBUE/RALPH WIEN (ASOS),Northwest Arctic,AK,-162.5985,66.8847,5.0,America/Nome
PAKK,KOYUK,Nome,AK,-161.1543,64.9395,40.0,America/Anchorage
PAKU,KUPARUK AIRPORT,North Slope,AK,-149.5975,70.3308,20.0,America/Anchorage
PFKW,Kwethluk,Bethel,AK,-161.4437,60.7903,6.0,America/Anchorage
PALH,LAKE HOOD SEAPLANE (ASOS),Kenai Peninsula,AK,-149.97,61.18,22.0,America/Anchorage
PAML,MANLEY HOT SPRINGS,Yukon-koyukuk,AK,-150.6441,64.9976,82.0,America/Anchorage
PAMB,MANOKOTAK,Lake & Peninsula,AK,-159.05,58.9833,16.0,America/Anchorage
PADM,MARSHALL,Bethel,AK,-162.0261,61.8643,31.0,America/Nome
PAMX,MCCARTHY,Valdez-Cordova,AK,-142.9333,61.4333,455.0,America/Anchorage
PAMC,MCGRATH (ASOS),Yukon-koyukuk,AK,-155.607,62.9528,103.0,America/Anchorage
PAIN,MCKINLEY PARK,Yukon-koyukuk,AK,-148.9106,63.7326,524.0,America/Anchorage
PAMY,MEKORYUK,Bethel,AK,-166.27,60.37,15.0,America/Nome
PAMR,Merrill Field,Anchorage,AK,-149.8573,61.2163,30.0,America/Anchorage
PAER,MERRILL PASS WEST,Kenai Peninsula,AK,-153.82,61.25,358.0,America/Anchorage
PAMM,Metlakatla Seaplane Base,Prince of Wales,AK,-131.5762,55.1308,5.9122,America/Juneau
PAMD,MIDDLETON ISL. AMOS,Valdez-Cordova,AK,-146.338,59.432,14.0,America/Anchorage
PAMH,MINCHUMINA,Yukon-koyukuk,AK,-152.3019,63.886,214.0,America/Anchorage
PAMO,MOUNTAIN VILLAGE,Bethel,AK,-163.6819,62.0953,102.0,America/Nome
PABN,NABESNA/DEVIL MTN,Valdez-Cordova,AK,-142.9953,62.4017,882.0,America/Anchorage
PANA,Napakiak,Bethel,AK,-161.9785,60.6903,1.0,America/Anchorage
PAOU,NELSON LAGOON,Aleutians East,AK,-161.16,56.01,4.0,America/Anchorage
PANN,NENANA/MUN. (ASOS),Yukon-koyukuk,AK,-149.074,64.5473,110.0,America/Anchorage
PANW,NEW STUYAHOK,Lake & Peninsula,AK,-157.33,59.45,92.0,America/Anchorage
PAEW,Newtok,Bethel,AK,-164.6413,60.9391,6.76295,America/Nome
PAFS,NIKOLAI,Yukon-koyukuk,AK,-154.36,63.02,126.0,America/Anchorage
PAWN,NOATAK,Northwest Arctic,AK,-162.975,67.5661,30.0,America/Nome
PAOM,NOME (ASOS),Nome,AK,-165.4452,64.5122,7.0,America/Nome
PFNO,Noorvik,Northwest Arctic,AK,-161.0223,66.8175,16.8,America/Anchorage
PAOR,NORTHWAY (ASOS),Valdez-Cordova,AK,-141.9292,62.9614,525.0,America/Anchorage
PFNU,Nuiqsut,North Slope,AK,-150.2535,70.4954,-2.0,America/Anchorage
PAQT,NUIQSUT (ASOS),North Slope,AK,-151.0056,70.21,17.0,America/Anchorage
PPNU,Nuiqsut/Pioneer,North Slope,AK,-150.0186,70.4141,15.0,America/Anchorage
PPIT,Nunapitchuk,Bethel,AK,-162.4406,60.906,1.0,America/Nome
PAAQ,PALMER MUNICIPAL (ASOS),Matanuska-Susitna,AK,-149.0887,61.5949,71.0,America/Anchorage
PAXK,PAXSON,Valdez-Cordova,AK,-145.5006,63.0246,809.0,America/Anchorage
PAPG,Petersburg,Wrangell-Petersburg,AK,-132.9501,56.7999,26.4769,America/Juneau
PAPN,PILOT POINT,Lake & Peninsula,AK,-157.57,57.58,17.0,America/Anchorage
PAPM,PLATINUM,Bethel,AK,-161.82,59.01,5.0,America/Anchorage
PAPO,POINT HOPE (AWOS),North Slope,AK,-166.8,68.35,4.0,America/Nome
PPIZ,POINT LAY(DEW/AWOS),North Slope,AK,-163.0053,69.7329,6.0,America/Nome
PAAD,Point Thomson Airstrip,North Slope,AK,-146.2901,70.136,5.0,America/Anchorage
PATO,PORTAGE GLACIER CENTER (ASOS),Kenai Peninsula,AK,-148.8389,60.785,29.0,America/Anchorage
PAAP,PORT ALEXANDER,Sitka,AK,-134.6481,56.2468,1.0,America/Juneau
PALJ,PORT ALSWORTH,Lake & Peninsula,AK,-154.319,60.204,81.0,America/Anchorage
PAPC,Port Clarence,,PO,-166.8585,65.2537,5.0,America/Nome
PAPH,PORT HEIDEN (AMOS),Lake & Peninsula,AK,-158.6334,56.9591,29.0,America/Anchorage
PAPR,PROSPECT CREEK,Yukon-koyukuk,AK,-150.6436,66.8141,335.0,America/Anchorage
PAPT,PUNTILLA (LAKE),Matanuska-Susitna,AK,-152.75,62.1,560.0,America/Anchorage
PAQH,Quinhagak,Bethel,AK,-161.8454,59.7551,12.0,America/Anchorage
PADG,Red Dog,Northwest Arctic,AK,-162.8992,68.0321,295.4,America/Nome
PARD,RED DOG,Northwest Arctic,AK,-162.9031,68.0314,288.979,America/Nome
PARY,RUBY,Yukon-koyukuk,AK,-155.47,64.73,199.0,America/Anchorage
PARS,RUSSIAN MISSION,Bethel,AK,-161.3194,61.7749,16.0,America/Anchorage
PASM,SAINT MARY S (AWOS),Bethel,AK,-163.3018,62.0608,95.0,America/Nome
PASN,SAINT PAUL ISLAND (ASOS),Aleutians West,AK,-170.2222,57.1553,9.0,America/Nome
PASD,SAND POINT,Aleutians East,AK,-160.5214,55.3137,7.0,America/Anchorage
PASA,SAVOONGA AIRPORT,Nome,AK,-170.4926,63.6864,16.0,America/Nome
PACM,SCAMMON BAY,Bethel,AK,-165.5737,61.8445,4.0,America/Nome
PASK,SELAWIK,Northwest Arctic,AK,-159.9857,66.6001,8.0,America/Anchorage
PASO,SELDOVIA (ASOS),Kenai Peninsula,AK,-151.704,59.4424,10.0,America/Anchorage
PAWD,SEWARD (ASOS),Kenai Peninsula,AK,-149.4186,60.1269,18.0,America/Anchorage
PAHX,Shageluk,Yukon-koyukuk,AK,-159.5692,62.6923,17.0,America/Anchorage
PFSH,Shaktoolik,Nome,AK,-161.224,64.3711,7.0,America/Anchorage
PASP,SHEEP MOUNTAIN,Valdez-Cordova,AK,-147.5044,61.8122,838.0,America/Anchorage
PASY,SHEMYA AFB,Aleutians West,AK,174.1169,52.7141,30.0,America/Adak
PASH,SHISHMAREF (AWOS),Nome,AK,-166.0893,66.2496,2.0,America/Nome
PAGH,Shungnak,Northwest Arctic,AK,-157.1624,66.8881,60.0,America/Anchorage
PASI,SITKA/JAPONSKI ARPT (ASOS),Sitka,AK,-135.3616,57.0471,20.0,America/Juneau
PAGY,SKAGWAY (ASOS),Haines,AK,-135.3157,59.4601,5.0,America/Juneau
PASW,SKWENTNA,Matanuska-Susitna,AK,-151.1914,61.9653,45.0,America/Anchorage
PADT,SLANA AIRPORT,Valdez-Cordova,AK,-143.9811,62.7089,730.0,America/Anchorage
PASL,SLEETMUTE,Bethel,AK,-157.15,61.7167,54.0,America/Anchorage
PALK,SNOWSHOE LAKE,Valdez-Cordova,AK,-142.6667,62.0333,735.0,America/Anchorage
PASX,SOLDOTNA,Kenai Peninsula,AK,-151.0342,60.4758,33.0,America/Anchorage
PFWS,South Naknek,Bristol Bay,AK,-157.0026,58.7021,46.5957,America/Anchorage
PASV,SPARREVOHN (AWOS),Bethel,AK,-155.5748,61.0972,484.0,America/Anchorage
PAPB,ST GEORGE ISLAND (ASOS),Aleutians West,AK,-169.6631,56.5769,35.0,America/Adak
PAMK,ST MICHAEL,Nome,AK,-162.11,63.49,28.0,America/Nome
PAJV,SUTTON,Matanuska-Susitna,AK,-148.8833,61.7167,265.0,America/Anchorage
PATK,TALKEETNA (ASOS),Matanuska-Susitna,AK,-150.095,62.32,109.0,America/Anchorage
PATA,TANANA/CALHOUN MEM (ASOS),Yukon-koyukuk,AK,-152.1069,65.1744,67.0,America/Anchorage
PATL,TATALINA (AWOS),Yukon-koyukuk,AK,-155.9765,62.8944,294.0,America/Anchorage
PATE,Teller,Nome,AK,-166.3393,65.2404,90.0,America/Nome
PATC,TIN CITY AFS (AWOS),Nome,AK,-167.9225,65.564,83.0,America/Nome
PATG,TOGIAC VILLAGE AWOS,Dillingham,AK,-160.3969,59.0536,6.0,America/Anchorage
PAOO,TOOKSOK BAY,Bethel,AK,-165.0872,60.5413,18.0,America/Nome
PAUM,Umiat,North Slope,AK,-152.135,69.3711,83.0,America/Anchorage
PAUN,UNALAKLEET (AWOS),Nome,AK,-160.7991,63.8885,6.0,America/Anchorage
PAVW,VALDEZ,Valdez-Cordova,AK,-146.35,61.1333,10.0,America/Anchorage
PAVD,VALDEZ,Valdez-Cordova,AK,-146.248,61.134,37.0,America/Anchorage
PAFB,WAINWRIGHT AAF,Fairbanks North Star,AK,-147.6144,64.8375,137.0,America/Anchorage
PAWI,WAINWRIGHT AIRPORT (ASOS),North Slope,AK,-159.9948,70.638,27.0,America/Anchorage
PAIW,Wales,Nome,AK,-168.0949,65.6226,6.7,America/Nome
PAWS,WASILLA NEW ARPT,Matanuska-Susitna,AK,-149.5406,61.5719,113.0,America/Anchorage
PAWM,White Mountain,Nome,AK,-163.4128,64.6892,81.0,America/Nome
PAWR,WHITTIER,Valdez-Cordova,AK,-148.722,60.777,9.0,America/Anchorage
PAUO,WILLOW AIRPORT,Matanuska-Susitna,AK,-150.0517,61.7542,67.0,America/Anchorage
PAWG,WRANGELL,Wrangell-Petersburg,AK,-132.3698,56.4843,13.0,America/Juneau
WRG,Wrangler,Wrangell,AK,-132.3698,56.4843,12.9616,America/Sitka
PAYA,YAKUTAT (ASOS),Skagway-Yakutat-Ango,AK,-139.6602,59.5033,9.0,America/Yakutat
Station Id,Station Name,County,State,Latitude,Longitude,Elevation,Time Zone
EET,ALABASTER,Shelby,AL,-86.78,33.18,178.0,America/Chicago
8A0,Albertville,Marshall,AL,-86.2558,34.2291,315.0,America/Chicago
ALX,ALEXANDER_CITY,Tallapoosa,AL,-85.963,32.9147,209.0,America/Chicago
79J,ANDALUSIA/OPP ARPT,Covington,AL,-86.3938,31.3087,94.0,America/Chicago
ANB,ANNISTON/CALHOUN CO,Calhoun,AL,-85.8581,33.5882,186.0,America/Chicago
AUO,AUBURN-OPELIKA APT,Lee,AL,-85.434,32.6151,236.0,America/Chicago
AUB,AUBURN UNIV. (AM,Lee,AL,-85.5,32.6,198.0,America/Chicago
EKY,Bessemer,Jefferson,AL,-86.9263,33.3126,213.726,America/Chicago
BHM,BIRMINGHAM MUNI,Jefferson,AL,-86.7449,33.5655,192.0,America/Chicago
OZR,CAIRNS AAF/OZARK,Dale,AL,-85.7134,31.2758,91.0,America/Chicago
9A4,Courtland,Lawrence,AL,-87.3488,34.6594,179.0,America/Chicago
CMD,Cullman,Cullman,AL,-86.858,34.2687,289.024,America/Chicago
3A1,CULLMAN/FOLSOM_FIELD_ARPT,Cullman,AL,-86.86,34.27,294.0,America/Chicago
DCU,DECATUR/PRYOR FIELD,Limestone,AL,-86.9453,34.6525,177.0,America/Chicago
DYA,Demopolis ,Marengo,AL,-87.9541,32.4638,32.2452,America/Chicago
DHN,DOTHAN MUNICIPAL,Dale,AL,-85.45,31.32,122.0,America/Chicago
EDN,Enterprise ,Coffee,AL,-85.9048,31.2982,104.847,America/Chicago
EUF,Eufaula,Barbour,AL,-85.1289,31.9513,87.0,America/Chicago
GZH,EVERGREEN,Conecuh,AL,-87.0441,31.4158,79.0,America/Chicago
4R4,Fairhope,Baldwin,AL,-87.877,30.4605,27.7,America/Chicago
CQF,Fairhope,Baldwin,AL,-87.877,30.4605,27.0,America/Chicago
0J4,Florala,Covington,AL,-86.3116,31.0425,95.7,America/Chicago
NBJ,Foley,Baldwin,AL,-87.6353,30.3891,15.187,America/Chicago
4A9,FORT_PAYNE,De Kalb,AL,-85.7214,34.4737,267.0,America/Chicago
HEY,Fort Rucker,Dale,AL,-85.6543,31.346,97.0,America/Chicago
GAD,GADSDEN MUNI (AWOS),Etowah,AL,-86.0891,33.9727,173.0,America/Chicago
PRN,Greenville,Butler,AL,-86.6107,31.8457,137.5,America/Chicago
JKA,Gulf Shores,Baldwin,AL,-87.6718,30.2905,4.9,America/Chicago
1M4,Haleyville,Winston,AL,-87.6004,34.2803,284.0,America/Chicago
HSV,HUNTSVILLE/MADISON,Madison,AL,-86.7861,34.6439,196.0,America/Chicago
MDQ,HUNTSVILLE/MADISON COUNTY EXEC,Madison,AL,-86.56,34.86,230.0,America/Chicago
LOR,LOWE AHP/FT. RUCKER,Dale,AL,-85.7511,31.3558,74.0,America/Chicago
JFX,Manchester,Walker,AL,-87.3142,33.902,147.0,America/Chicago
A08,Marion,Perry,AL,-87.3848,32.5105,62.9503,America/Chicago
MXF,MAXWELL AFB/MONTGOM,Montgomery,AL,-86.3658,32.3829,51.0,America/Chicago
MOB,MOBILE/BATES FIELD,Mobile,AL,-88.2456,30.6883,67.0,America/Chicago
BFM,MOBILE DOWNTOWN,Mobile,AL,-88.0681,30.6268,8.0,America/Chicago
MGM,MONTGOMERY/DANNELLY,Montgomery,AL,-86.394,32.3006,62.0,America/Chicago
MSL,MUSCLE SHOALS RGNL,Colbert,AL,-87.5996,34.7439,168.0,America/Chicago
PLR,Pell City,St. Clair,AL,-86.2491,33.5588,144.686,America/Chicago
RAM,PHI OIL PLAT,GMZ577,GM,-88.0833,29.05,10.0,America/Chicago
1A9,Prattville,Autauga,AL,-86.5127,32.4387,63.5634,America/Chicago
HUA,REDSTONE ARSENAL,Madison,AL,-86.6848,34.6786,209.0,America/Chicago
4A6,Scottsburo,Jackson,AL,-86.0059,34.6887,198.0,America/Chicago
SEM,Selma,Dallas,AL,-86.9878,32.3439,44.255,America/Chicago
SXS,Shell AHP,Coffee,AL,-85.8549,31.3612,122.259,America/Chicago
SCD,Sylacauga,Talladega,AL,-86.3055,33.1718,170.504,America/Chicago
ASN,Talladega ,Talladega,AL,-86.0512,33.5695,155.316,America/Chicago
TOI,TROY MUNICIPAL,Pike,AL,-86.0121,31.8604,121.0,America/Chicago
TCL,TUSCALOOSA MUNI,Tuscaloosa,AL,-87.6161,33.2119,52.0,America/Chicago
Station Id,Station Name,County,State,Latitude,Longitude,Elevation,Time Zone
ADF,Arkadelphia,Clark,AR,-93.0661,34.0998,57.5938,America/Chicago
M89,Arkadeplhia,Clark,AR,-93.0661,34.0998,56.0,America/Chicago
BVX,BATESVILLE (AWOS),Independence,AR,-91.6472,35.7261,141.0,America/Chicago
VBT,BENTONVILLE (AWOS),Benton,AR,-94.2194,36.3457,395.0,America/Chicago
HKA,BLYTHEVILLE,Mississippi,AR,-89.83,35.94,78.0,America/Chicago
CDH,Camden,Calhoun,AR,-92.7634,33.6228,39.6,America/Chicago
CCA,Clinton,Van Buren,AR,-92.4516,35.5978,156.7,America/Chicago
CXW,Conway,Faulkner,AR,-92.5551,35.0199,81.7547,America/Chicago
4M9,Corning,Clay,AR,-90.6479,36.4042,89.3,America/Chicago
BYH,EAKER AFB,Mississippi,AR,-89.9439,35.9643,78.0,America/Chicago
ELD,EL DORADO/GOODWIN,Union,AR,-92.8133,33.221,77.0,America/Chicago
FYV,FAYETTEVILLE/DRAKE,Washington,AR,-94.1701,36.0051,381.0,America/Chicago
FLP,FLIPPIN (AWOS),Marion,AR,-92.5902,36.2909,350.0,America/Chicago
FSM,FORT SMITH MUNI,Sebastian,AR,-94.3674,35.3366,141.0,America/Chicago
HRO,HARRISON/BOONE CO.,Boone,AR,-93.1547,36.2615,416.0,America/Chicago
HOT,HOT SPRINGS,Hot Spring,AR,-93.0962,34.478,165.0,America/Chicago
DEQ,J LYNN HELMS/DE QUEEN,Sevier,AR,-94.3994,34.047,108.0,America/Chicago
JBR,JONESBORO MUNICIPAL,Craighead,AR,-90.6464,35.8317,80.0,America/Chicago
LIT,LITTLE ROCK/ADAMS,Pulaski,AR,-92.2357,34.7273,79.0,America/Chicago
LRF,LITTLE ROCK AFB,Pulaski,AR,-92.1465,34.9168,95.0,America/Chicago
MEZ,MENA INTERMOUNTAIN MUNI,Polk,AR,-94.2026,34.5454,329.0,America/Chicago
LLQ,MONTICELLO,Drew,AR,-91.75,33.64,82.0,America/Chicago
BPK,MOUNTAIN HOME/BAXTER COUNTY,Marion,AR,-92.47,36.37,283.0,America/Chicago
MWT,MOUNT IDA,Montgomery,AR,-93.5781,34.5467,241.0,America/Chicago
M19,Newport,Jackson,AR,-91.1764,35.6377,72.8,America/Chicago
LZK,NORTH LITTLE ROCK,Pulaski,AR,-92.2594,34.835,165.0,America/Chicago
XNA,NORTHWEST ARKANSAS REGIONAL APT,Benton,AR,-94.307,36.282,392.0,America/Chicago
PBF,PINE BLUFF/GRIDER,Jefferson,AR,-91.9347,34.175,63.0,America/Chicago
ROG,ROGERS (AWOS),Benton,AR,-94.107,36.3724,415.0,America/Chicago
RUE,RUSSELLVILLE MUNICIPAL AIRPORT,Yell,AR,-93.0947,35.2578,123.0,America/Chicago
SRC,SEARCY MUNI AIRPORT (M07),White,AR,-91.74,35.21,80.0,America/Chicago
SLG,SILOAM SPRING(AWOS),Washington,AR,-94.49,36.1919,300.0,America/Chicago
ASG,SPRINGDALE MUNI,Washington,AR,-94.1193,36.1764,412.0,America/Chicago
SGT,STUTTGART (AWOS),Prairie,AR,-91.575,34.5995,68.0,America/Chicago
TXK,TEXARKANA RGNL/WEBB,Miller,AR,-93.991,33.4537,119.0,America/Chicago
ARG,WALNUT RIDGE (AWOS),Lawrence,AR,-90.9251,36.1247,83.0,America/Chicago
AWM,WEST MEMPHIS MUNI,Crittenden,AR,-90.2344,35.1351,65.0,America/Chicago
Station Id,Station Name,County,State,Latitude,Longitude,Elevation,Time Zone
BXK,Buckeye,Maricopa,AZ,-112.6862,33.4204,311.2,America/Phoenix
IFP,BULL HEAD CITY,Mohave,AZ,-114.5595,35.1574,167.0,America/Phoenix
CGZ,CASA GRANDA (AWOS),Pinal,AZ,-111.7668,32.9549,446.0,America/Phoenix
CHD,CHANDLER MUNICIPAL AIRPORT,Pinal,AZ,-111.81,33.27,379.0,America/Phoenix
AZC,Colorado City,Mohave,AZ,-113.0139,36.9599,1480.56,America/Phoenix
P08,Coolidge,Pinal,AZ,-111.4265,32.936,473.332,America/Phoenix
DMA,DAVIS-MONTHAN AFB,Pima,AZ,-110.883,32.166,824.0,America/Phoenix
DVT,DEER VALLEY/PHOENIX,Maricopa,AZ,-112.0826,33.6883,450.0,America/Phoenix
DUG,DOUGLAS BISBEE INTL,Cochise,AZ,-109.6037,31.469,1265.0,America/Phoenix
FLG,FLAGSTAFF (AMOS),Yavapai,AZ,-111.6722,35.1403,2137.0,America/Phoenix
FHU,FORT HUACHUCA/LIBBY,Cochise,AZ,-110.3442,31.5883,1438.0,America/Phoenix
GBN,GILA BEND (AAF),Maricopa,AZ,-112.72,32.8875,262.0,America/Phoenix
GXF,Gila Bend Af Aux,Maricopa,AZ,-112.7199,32.8875,259.443,America/Phoenix
GEU,GLENDALE,Maricopa,AZ,-112.2951,33.5269,325.0,America/Phoenix
