locationID,Latitude,Longitude
HUS,66.0392,154.2647
HLA,65.6978,156.3514
19AK,59.9689,141.6617
2AK8,70.2925,161.9033
IGG,59.3242,155.9017
ILI,59.7556,154.9178
2AK9,65.6736,162.4642
4Z9,59.4522,151.5225
AK60,57.8850,157.0969
JNU,58.3550,134.5764
AFE,56.9614,133.9103
8AK7,70.1728,146.8361
1KC,64.4244,156.8433
KLG,61.5364,160.3414
KAL,64.3189,158.7414
5Z5,63.5417,150.9939
Z90,63.7486,150.3294
KYK,57.5661,154.4539
Z09,60.8733,162.5244
5KS,60.3533,151.2628
5Z7,59.4689,151.5733
52AK,60.5058,151.2464
6AK3,60.7294,151.2781
8AK2,60.7025,151.2942
30AK,60.5028,151.2600
3AK5,60.5889,152.1619
75AK,60.5931,151.3281
3AK4,60.6325,151.3400
ENA,60.5733,151.2447
KTN,55.3542,131.7111
IAN,66.9758,160.4367
4K5,57.9228,152.5006
AK46,61.6289,149.0433
3AK6,61.5931,149.3022
AK1,61.5303,149.0178
34AK,61.6250,149.2886
5AK6,61.5569,149.2683
AK53,61.5822,148.9969
AK88,61.6047,149.0403
14AK,61.6025,149.2481
39AK,61.5861,149.2361
5AK9,61.5486,149.1903
KVL,67.7361,164.5636
AKW,55.5792,133.0761
OBU,66.9122,156.8972
ADQ,57.7500,152.4939
KDK,57.8058,152.3739
5KO,58.8700,157.0106
9K2,59.4333,154.8025
JZZ,59.7267,157.2594
DUY,59.9608,162.8811
2A9,63.0306,163.5328
OTZ,66.8847,162.5986
KKA,64.9394,161.1542
KYU,64.8758,157.7306
LKK,58.9819,155.1214
UBW,70.3308,149.5975
9Z7,58.9625,156.9322
KWT,60.7903,161.4436
GGV,59.8764,163.1686
Z55,62.2936,146.5794
2A3,57.5350,153.9767
9Z9,60.4111,149.3703
9Z8,59.1281,156.8586
2AK,61.3592,155.4406
4AK,65.4725,148.6692
AK71,70.9108,153.2422
4AK3,61.3778,143.3258
LSR,65.3961,167.1631
AK45,65.4561,167.1756
4AK5,62.9900,144.4800
MLY,64.9975,150.6442
MBA,58.9319,158.9019
MDM,61.8642,162.0261
MYK,61.3356,142.6867
0AK5,61.3564,142.7333
AK0,61.2186,142.8897
15Z,61.4369,142.9036
AK31,61.4111,143.0011
MCG,62.9528,155.6056
AK40,63.2292,154.7603
AK06,63.6450,148.7981
INR,63.7325,148.9106
24AK,61.6158,149.7069
MYU,60.3714,166.2706
MDO,59.4500,146.3072
MHM,63.8861,152.3019
51Z,65.1436,149.3700
0AK3,62.0358,150.4939
99AK,62.5992,157.1517
MOU,62.0953,163.6819
IBN,62.4019,142.9956
76Z,58.9275,157.0472
5NK,58.7328,157.0200
4AK9,58.7342,157.0072
AK07,59.2411,151.8772
KEB,59.3522,151.9253
4AK8,61.5364,158.7389
WNA,60.6903,161.9786
PKA,60.7028,161.7783
OUL,56.0075,161.1603
ENN,64.5472,149.0739
KNW,59.4517,157.3731
EWU,60.9392,164.6411
IGT,60.4711,164.7008
AK73,60.7253,151.3022
FSP,63.0186,154.3583
IKO,52.9417,168.8489
NIN,60.0203,151.5894
WTK,67.5611,162.9803
OME,64.5122,165.4453
94Z,64.5131,165.3958
5NN,59.9803,154.8392
D76,66.8175,161.0222
5AK3,64.7731,147.3339
95Z,64.7592,147.3878
AK41,64.5439,146.8442
5AK2,64.7306,147.3478
0AK0,64.3925,146.8622
AA76,64.7694,147.3294
ORT,62.9614,141.9292
33AK,62.5172,150.9453
AK20,70.4206,150.8867
AQT,70.2100,151.0056
NUL,64.7294,158.0742
16A,60.9061,162.4406
ZNC,60.9806,159.9936
6R7,57.2181,153.2697
Z17,63.1461,156.5300
KPC,65.2536,166.8586
PGM,59.3483,151.8317
PTH,56.9592,158.6333
ORI,57.8853,152.8461
A14,58.9064,157.7142
PPC,66.8142,150.6436
01A,62.9436,152.2700
20K,65.3539,149.7622
AK93,61.6553,149.2736
97AK,61.6639,149.2536
AK66,61.4631,148.8042
82AK,61.6167,149.1914
AK92,61.6381,149.0289
3AK2,61.6275,149.2867
PAQ,61.5950,149.0886
AK63,61.5886,149.1425
AK50,61.5544,149.1444
7AK9,61.6469,149.0486
05AK,61.6686,149.1875
4AK6,61.6408,149.2889
PXK,63.0244,145.5006
4K0,59.7897,154.1239
PEV,55.9067,159.1608
PSG,56.8017,132.9453
PNP,57.5803,157.5719
UGB,57.4253,157.7400
0AK,61.9344,162.8994
PTU,59.0114,161.8197
6AK1,58.9117,161.7139
PHO,68.3489,166.7994
PIZ,69.7322,163.0111
64AK,61.4400,150.0261
0AK9,61.3325,150.0592
2AK0,61.2558,149.9747
AK36,61.4361,150.1222
50AK,61.3806,150.1161
6AK2,61.2514,149.9822
AK14,61.3533,150.0825
AK11,70.4017,148.6822
PCK,67.2378,150.2861
TPO,60.2044,154.3189
AK51,60.1986,154.3247
1AK4,60.5242,150.7522
AK55,60.4892,150.8017
SXQ,60.4750,151.0383
AK26,64.5606,164.4422
WSN,58.7022,157.0025
SVW,61.0975,155.5742
PBV,56.5772,169.6636
KSM,62.0608,163.3019
SMK,63.4900,162.1103
SNP,57.1672,170.2206
WBB,63.5161,162.2781
AK01,60.5289,150.6250
AK05,60.5411,150.5992
88AK,60.5403,150.8681
5QC,65.4058,164.6558
AQH,59.7550,161.8453
6AK,62.0842,152.7175
RMP,65.5078,150.1408
RDV,61.7881,157.3503
DGG,68.0322,162.8992
RBY,64.7272,155.4700
9AK2,61.8989,161.4397
RSH,61.7750,161.3194
Z81,64.9092,165.0125
SDP,55.3136,160.5214
SVA,63.6864,170.4928
SCM,61.8444,165.5739
8AK3,66.7661,160.1528
WLK,66.6000,159.9858
SOV,59.4425,151.7042
SWD,60.1269,149.4189
SHX,62.6922,159.5692
2C7,64.3711,161.2239
SMU,61.8119,147.5069
SXP,62.5206,164.8478
SYA,52.7122,174.1136
SHH,66.2494,166.0894
SHG,66.8881,157.1625
SIT,57.0472,135.3617
SGY,59.4600,135.3156
1AK6,61.8528,151.4083
3AK9,61.9419,151.0361
SKW,61.9653,151.1914
1AK8,61.6769,151.3867
DDT,62.7247,143.9206
SLQ,61.7006,157.1658
7AK2,58.1344,133.7294
70AK,60.5178,150.9597
7AK5,60.5036,150.9356
7AK6,60.4778,150.9286
7AK3,60.4764,151.1661
Z14,62.0647,146.4606
2K5,63.3939,153.2689
TER,65.2403,166.3394
3T4,63.1250,142.5183
K55,61.1772,145.6883
TNC,65.5631,167.9217
TOG,59.0536,160.3969
9AK0,62.5122,143.2356
8AK9,63.3000,143.0233
6K8,63.3294,142.9536
OOK,60.5414,165.0872
53AK,60.5344,150.9392
AK84,60.5294,150.8308
AK39,60.6972,150.1800
40AK,60.5553,150.8425
SVS,66.0169,149.0544
SRV,61.7897,156.5886
UMM,63.3314,149.1272
8AK6,61.3719,150.2622
28AK,61.8089,147.8594
JVM,61.7314,148.9278
AK59,61.7911,148.3517
48AK,61.7931,148.4925
TCT,62.9928,156.0683
TLJ,62.8944,155.9767
2AK7,62.3075,149.7522
51AK,62.2422,150.0658
AK19,62.1739,150.0642
21AK,62.0717,150.0689
49AK,62.0244,149.9772
AA00,62.5103,149.9267
3AK3,62.5639,150.2206
AK61,62.6997,148.9075
TKA,62.3206,150.0936
AK44,62.3189,150.1161
TSG,63.3744,143.3356
7AK0,64.6475,151.8100
TAL,65.1744,152.1094
7KA,60.8725,146.6911
8KA,62.2933,153.3619
AK49,65.6792,164.7989
AK64,60.8678,157.3919
79AK,61.4819,149.7439
7AK4,61.6725,149.5039
AK79,61.5936,149.5664
06AK,61.6275,149.5753
43AK,61.6008,149.5792
55AK,61.4958,149.6994
9AK6,61.6242,149.6483
89AK,61.5594,149.7056
65AK,61.5606,149.3686
38AK,61.5625,149.6678
5AK8,61.6314,149.4325
8AK8,61.6300,149.6825
59AK,61.6317,149.3406
AK25,61.6175,149.6147
6AK7,61.5747,149.6350
41AK,61.5008,149.6397
AK47,61.5856,149.5633
9AK,64.0256,148.5222
5AK0,60.8156,151.7989
81AK,62.5678,150.2361
TLT,61.0969,160.9694
A61,60.3353,162.6669
4KA,60.5756,165.2717
A63,59.0744,160.2750
9AK3,61.0139,151.4489
TYE,61.0767,151.1381
9A8,57.5233,157.3961
UMT,69.3711,152.1350
UNK,63.8883,160.7989
DUT,53.9000,166.5436
UTO,65.9928,153.7042
VDZ,61.1339,146.2483
VEE,67.0086,146.3664
0AK6,61.8033,147.9442
AWI,70.6381,159.9947
AK03,70.6133,159.8603
IWK,65.6225,168.0950
0AK1,61.6169,149.3217
56AK,61.5750,149.6064
AK85,61.4822,149.7639
71AK,61.5278,149.4964
3AK8,61.6625,149.3919
6AK9,61.6333,149.6825
58AK,61.5525,149.3397
AK58,61.5400,149.5489
36AK,61.3433,150.0667
AK83,61.6272,149.6094
16AK,61.5992,149.3469
AK65,61.5981,149.3506
7AK8,61.6211,149.6150
10AK,61.5919,149.6778
UUO,61.7542,150.0517
0AK2,61.7256,150.6786
WSM,67.4044,150.1228
WRG,56.4844,132.3697
CYT,60.0819,142.4936
A57,59.1992,138.4511
A70,59.4047,139.2331
AK76,59.1261,138.4067
A67,59.4144,139.0250
A68,59.5517,139.5092
A69,59.2481,138.5036
YAK,59.5033,139.6603
A77,63.0019,156.3672
L20,65.3114,143.1356
87AK,61.6517,149.2883
67AK,61.5347,149.6700
4AK2,61.5581,149.4242
AK54,61.5933,149.3261
AK16,61.5233,149.7150
77AK,61.5028,149.5956
5AK5,61.6572,149.4617
6AK8,61.6181,149.6692
AK27,61.6425,149.6244
IYS,61.5719,149.5394
44AK,61.5333,150.1025
42AK,61.5689,149.4850
9AK8,61.6247,149.6822
23AK,61.5942,149.3108
WMO,64.6892,163.4128
IEM,60.7772,148.7217
78AK,61.7331,150.5261
3AK1,61.7189,150.1958
AK10,61.7172,150.1094
25AK,61.7122,150.0633
AK72,61.7047,150.6011
3AK7,61.7656,150.3389
AK69,61.7294,150.0978
AK68,61.7203,150.0544
02AK,61.8769,150.0978
AK90,61.7447,150.1156
AK67,61.7386,150.0728
AK08,61.7900,150.1061
AL18,33.6761,86.8675
AL43,32.9083,88.3333
33J,31.0525,85.8689
7A0,32.6814,87.6622
PRN,31.8456,86.6108
3A0,31.6894,87.7614
JKA,30.2897,87.6717
8A1,34.3994,86.2703
AL10,34.6511,86.4169
1M4,34.2803,87.6006
HAB,34.1169,87.9983
2AL7,34.0628,86.7231
AL92,33.3072,86.4036
3AL1,31.0506,85.6853
AL62,31.0831,85.6836
5M0,34.4083,86.9331
00AL,34.8647,86.7703
M38,34.9161,86.6472
0J6,31.3642,85.3117
0J0,31.6003,85.2381
2A8,34.2092,87.1581
AL03,35.8539,87.7239
EET,33.1778,86.7833
8A0,34.2292,86.2558
ALX,32.9147,85.9631
AIV,33.1064,88.1978
79J,31.3089,86.3939
ANB,33.5881,85.8581
1M3,34.9778,86.8847
26A,33.2839,85.8089
AL60,33.8386,86.2114
28AL,33.8625,86.1206
0R1,31.0161,87.4467
AUO,32.6150,85.4339
1R8,30.8703,87.8194
5R7,30.4547,88.2106
EKY,33.3125,86.9264
BHM,33.5639,86.7522
AL40,33.5431,86.9858
AL29,34.1292,86.6333
3AL6,33.4900,86.4125
12J,31.0508,87.0661
60A,31.7328,85.8036
09A,32.1194,88.1275
61A,31.9797,87.3392
AL32,34.3225,85.6436
C22,34.1600,85.6350
PYP,34.0900,85.6100
AL27,34.1056,85.5658
0A8,32.9369,87.0906
5AL1,31.6808,86.6819
6AL6,31.3886,88.0925
5R1,31.4519,88.1944
AL01,31.5586,87.5333
02A,32.8506,86.6114
01AL,32.9458,86.5139
11A,31.8833,85.4853
1AL2,33.2486,86.5975
AL02,33.1500,87.4417
9A4,34.6594,87.3489
AL51,32.4161,85.2992
15A,30.9133,87.9806
3A1,34.2686,86.8581
4R9,30.2606,88.1275
DCU,34.6542,86.9453
DYA,32.4639,87.9542
5AL4,31.1217,85.3653
DHN,31.3214,85.4497
3M2,34.1442,87.3278
14J,31.4100,86.0903
7AL9,30.4669,87.5417
AL08,30.4244,87.5353
AL55,30.4419,87.4639
EDN,31.2997,85.8997
EUF,31.9514,85.1289
3A7,32.8208,87.8625
GZH,31.4158,87.0442
4R4,30.4606,87.8769
AL78,30.5269,87.8542
AL00,33.7444,87.7864
M95,33.7092,87.8156
4AL7,34.7447,85.6897
0AL5,31.0322,87.2528
0J4,31.0425,86.3117
0AL9,34.8500,87.6325
NBJ,30.3892,87.6353
02AL,30.3714,87.7644
5R4,30.4278,87.7011
0AL1,30.4439,87.6569
AL15,30.4031,87.7242
67A,31.9725,86.5917
2AL5,34.3928,85.6650
4A9,34.4736,85.7214
OZR,31.2758,85.7133
GAD,33.9728,86.0892
MOB,30.6914,88.2428
26AL,30.6242,88.2786
62AL,30.6836,88.3719
MVC,31.4581,87.3511
5AL3,33.1528,86.8514
AL12,32.3583,86.1250
MXF,32.3792,86.3625
MGM,32.3006,86.3939
1AL8,33.6111,86.4744
AL34,34.4469,87.3861
L44,32.9681,87.6406
5AL5,34.6911,87.6528
MSL,34.7453,87.6103
20A,33.9711,86.3803
AL89,32.7186,85.3669
AL71,32.8036,85.9806
3AL8,34.6192,86.4669
71J,31.4319,85.6206
PLR,33.5589,86.2492
6AL3,34.5819,85.7556
AL93,34.8856,86.7100
HSV,34.6372,86.7750
MDQ,34.8614,86.5575
4AL8,34.4906,86.6733
3M5,34.7472,86.4614
AL05,32.2203,85.4681
AL37,31.5550,85.9772
4R3,31.4706,87.8958
3AL5,33.8353,85.7639
JFX,33.9019,87.3142
5AL7,31.2500,86.1667
7A3,32.8119,85.2294
4AL9,31.9747,86.2939
AL88,30.4267,87.4708
70A,32.2672,87.7186
57AL,30.6533,87.7239
1AL5,30.6364,87.7478
AL35,30.6197,87.7044
AL97,30.6447,87.6694
04A,31.7361,86.2622
2AL1,30.4242,87.7778
AL76,32.8486,86.8700
A08,32.5106,87.3847
AL09,34.5333,85.5903
BFM,30.6267,88.0681
AL69,30.5086,87.4917
SCD,33.1719,86.3056
ASN,33.5694,86.0511
41A,32.5147,85.8761
2AL6,30.4994,88.1981
3AL7,32.2850,87.5200
AL77,31.7406,86.0069
TOI,31.8606,86.0122
TCL,33.2206,87.6114
27AL,32.4536,85.5581
06A,32.4606,85.6800
AL73,32.4919,85.7756
07A,32.1669,85.8097
M55,33.8467,88.1156
25A,33.7400,85.8258
2AL3,32.4553,86.1192
08A,32.5294,86.3283
AL94,30.8128,88.3772
AL17,33.2339,86.5131
AL54,33.8633,87.8453
M73,34.4122,91.4664
AL33,31.0253,87.5858
2AL8,32.4211,85.2481
AL79,32.2697,86.0989
71A,31.9686,87.5956
AL16,33.7267,86.7236
1A9,32.4386,86.5128
HUA,34.6786,86.6847
3M8,33.3867,88.0067
7A5,33.1292,85.3667
AL25,32.2425,85.6011
1AL4,30.5447,87.5594
AL84,30.5586,87.6042
AL81,30.5503,87.5833
M22,34.4450,87.7117
5AL8,31.1050,85.9931
1A4,31.1028,86.0622
4A6,34.6886,86.0058
SEM,32.3439,86.9878
S63,32.3667,87.1042
AL74,30.7644,88.3058
AL41,31.1161,85.6256
AL56,32.5003,85.0833
2R5,30.5019,88.2750
7A6,34.8864,85.8033
4AL6,30.4669,87.6833
NFD,30.5078,87.6456
4AR2,34.9100,92.0067
4AR1,35.0414,92.1011
4AR6,34.3792,93.6378
37T,36.1644,92.1444
CDH,33.6228,92.7633
RBM,34.8500,92.3003
4M3,34.8083,91.7122
6AR2,35.0203,93.0650
6AR1,36.2778,94.1967
2AR5,36.3831,94.2939
AR03,35.1186,93.2017
28AR,35.8333,91.4333
AR05,35.2158,93.3050
4M8,34.6481,91.3944
H35,35.4706,93.4272
CCA,35.5978,92.4517
2A2,35.6508,92.4039
7AR3,35.1511,90.8156
12A,35.1775,92.3350
AR06,35.2325,92.3433
CWS,35.0808,92.4250
AR88,35.0547,92.3542
41AR,34.1233,93.3497
M89,34.0997,93.0661
CVK,36.2650,91.5628
M60,35.2719,91.2697
M74,35.2994,91.5578
BVX,35.7261,91.6475
1AR0,35.3986,91.1333
AR23,35.1333,93.4753
SUZ,34.5903,92.4794
VBT,36.3458,94.2194
4M1,36.3814,93.6244
AR13,34.9861,92.6336
BYH,35.9644,89.9439
HKA,35.9403,89.8308
4M2,35.1494,93.8622
15AR,34.8258,90.5433
M36,34.8803,91.1764
12XS,34.9547,91.8372
3AR3,35.0594,92.0819
73AR,35.0486,92.0536
3AR4,35.0056,92.0775
9AR9,34.8875,91.9894
AR28,34.9392,92.0247
AR54,34.9186,91.9150
FYV,36.0050,94.1700
AR35,36.0867,94.1053
67AR,36.0978,94.3075
XNA,36.2819,94.3069
FLP,36.2908,92.5903
6AR9,36.4153,92.6944
45AR,36.3672,92.6403
5M4,33.8458,92.3656
FCY,34.9419,90.7750
14AR,35.0528,90.6750
AZU,35.2750,94.2253
FSM,35.3367,94.3675
40AR,36.3928,93.9125
1AR5,36.2994,94.5847
70AR,35.9944,89.9972
AR09,36.4139,94.4389
52AR,35.2800,92.2417
1AR6,35.5033,92.1967
30AR,35.5444,92.0561
33AR,35.6022,92.1425
7AR2,35.5572,92.1322
36AR,35.2064,91.3189
3AR5,35.1178,91.6119
5M8,33.9239,93.1681
4M9,36.4042,90.6481
61AR,36.3083,92.5308
1AR1,34.5272,91.8728
0AR2,35.2667,90.3500
CRT,33.1783,91.8803
32A,35.0869,93.4275
DEQ,34.0469,94.3994
5M1,34.2622,91.3075
5M5,36.3436,94.4447
0AR3,35.8989,93.2611
4M5,33.4881,91.4425
1AR3,34.9731,91.5261
1AR2,34.9867,91.5503
AR89,35.4000,93.0661
0M0,33.8847,91.5344
65AR,35.2264,90.4653
63AR,35.2514,90.4597
F43,33.1911,92.6633
ELD,33.2211,92.8133
17AR,34.5531,92.0914
7AR1,33.0500,91.3417
18AR,36.3442,93.8317
7AR0,36.4314,93.6994
23AR,35.8258,90.5472
JBR,35.8317,90.6464
4AR9,35.7761,90.6467
05AR,36.0006,93.5703
M32,33.3461,91.3156
3M0,36.3486,92.5572
1AR8,35.3258,94.1867
AR82,34.1711,92.6961
AR83,34.1761,92.7011
AR81,34.1622,92.6039
LIT,34.7294,92.2244
3AR6,34.7286,92.5164
02AR,34.8225,92.4444
2AR0,34.8681,91.9742
1AR9,34.8139,92.0000
81AR,34.7500,91.8489
AR91,36.2258,94.0322
3AR7,36.2878,94.1867
24AR,34.1981,90.9528
AGO,33.2275,93.2169
M78,34.3333,92.7614
MXA,35.8944,90.1544
3AR0,34.8306,90.8533
6M7,34.7828,90.8100
6M8,35.5356,90.4000
20AR,35.3078,92.3203
37AR,33.1825,91.6283
0R6,33.5225,92.4603
HRO,36.2614,93.1547
3AR2,36.3200,93.2017
AR10,34.8067,91.6083
6M0,34.7592,91.6381
21AR,34.7175,91.5389
HBZ,35.5117,92.0131
3AR8,35.4667,91.9669
HEE,34.5764,90.6758
75AR,36.2961,92.2161
06AR,35.5444,92.1850
2A6,34.5825,91.1653
M18,33.7200,93.6589
6M2,36.2214,91.7556
HOT,34.4781,93.0961
78AR,34.9375,90.4708
H34,36.0783,93.7547
LRF,34.9167,92.1467
79AR,34.8528,92.0483
5AR1,33.7125,91.4611
2AR4,35.6708,90.5278
5AR2,35.3750,90.2064
M27,34.8761,94.1094
ARG,36.1247,90.9250
3M9,33.5606,92.0853
0AR7,33.9500,91.1811
5AR7,35.6867,90.7936
8M2,35.5903,90.9136
AR27,35.9389,93.8458
AWM,35.1350,90.2344
05XS,33.0792,91.5431
AR97,35.2200,92.4967
AR50,35.2667,90.9833
M65,35.2317,90.7617
FAQ,14.2161,169.4236
Z08,14.1844,169.6700
PPG,14.3317,170.7114
HI36,14.2292,169.5111
27AZ,33.9194,113.1678
26AZ,34.0119,113.2031
AZ04,33.9192,113.1903
28AZ,33.9228,113.1814
P01,32.4528,112.8614
30AZ,33.2500,112.8133
E51,34.5958,113.1703
31AZ,31.9636,110.2597
34AR,35.5811,90.3853
4A5,35.8969,92.6589
12AR,34.5156,90.9736
AR34,34.9819,92.4453
7M0,35.2283,91.0931
AR46,35.1892,91.0483
7M1,33.6203,91.3647
42A,36.0711,91.8300
MEZ,34.5453,94.2028
2AR6,33.8817,93.9283
LLQ,33.6386,91.7511
AR43,35.1000,92.7836
07AR,35.1944,92.8003
BDQ,35.1361,92.7136
MPJ,35.1389,92.9092
7M3,34.5292,93.5294
BPK,36.3689,92.4706
7M2,35.8644,92.0903
M77,33.9967,93.8383
19AR,35.1567,92.2242
43AR,35.6114,91.2414
M19,35.6378,91.1764
ORK,34.8331,92.2542
AR55,34.7397,92.0903
8AR1,36.4894,92.6422
AR56,35.6000,91.4333
93AR,35.6208,89.9861
7M4,35.6911,90.0100
7M5,35.5108,93.8394
AR17,34.9833,90.9150
PGR,36.0639,90.5092
3AR9,36.0519,90.3583
AR19,35.2128,93.7522
7M6,35.2989,93.6817
7M7,36.3783,90.1661
PBF,34.1744,91.9356
M70,36.2456,90.9553
AR93,36.4856,90.2803
2AR7,33.8492,93.4792
4F7,33.8039,93.3622
7M8,36.2500,90.3194
AR11,36.2889,94.0903
ROG,36.3725,94.1069
2AR1,36.2922,94.0953
AR12,35.3206,92.0186
RUE,35.2592,93.0933
2AR2,36.0153,91.7967
7M9,36.3558,91.8308
7AR4,35.2922,91.8900
26AR,35.2156,91.8078
SRC,35.2106,91.7375
9M8,34.3283,92.3511
99A,34.4061,91.9589
AR22,34.3814,91.9583
46AR,34.8461,92.1722
SLG,36.1919,94.4900
38AR,36.1189,94.4683
ASG,36.1764,94.1192
16AR,35.3011,92.5733
55M,33.9261,91.8606
4F8,33.4431,93.0544
SGT,34.5994,91.5750
AR44,33.5125,94.0136
TXK,33.4536,93.9911
AR79,33.6931,91.3794
Z95,34.0033,110.4442
CFT,32.9569,109.2111
AZC,36.9600,113.0139
35AZ,31.8436,110.9767
P08,32.9358,111.4267
37AZ,32.9356,111.4844
36AZ,32.9936,111.4508
00AZ,34.3056,112.1647
P52,34.7300,112.0350
AZ06,32.8172,113.5269
AZ17,31.5022,109.3911
P03,31.3711,109.6903
DGL,31.3425,109.5064
DUG,31.4689,109.6036
E60,32.8067,111.5869
FLG,35.1403,111.6692
FHU,31.5883,110.3444
5AZ9,33.0328,109.9875
