Hour,hourly_temperature_C
499,6.00
500,5.83
501,5.67
502,5.44
503,5.28
504,5.11
505,4.94
506,4.72
507,4.67
508,4.56
509,4.39
510,4.28
511,4.28
512,4.28
513,4.28
514,4.67
515,5.28
516,6.00
517,6.67
518,7.17
519,7.44
520,7.44
521,7.17
522,6.50
523,6.06
524,5.89
525,5.72
526,5.50
527,5.39
528,5.22
529,5.00
530,4.83
531,4.72
532,4.61
533,4.44
534,4.33
535,4.33
536,4.33
537,4.33
538,4.72
539,5.33
540,6.06
541,6.72
542,7.22
543,7.50
544,7.56
545,7.28
546,6.61
547,6.17
548,6.00
549,5.78
550,5.61
551,5.44
552,5.33
553,5.11
554,4.89
555,4.78
556,4.67
557,4.50
558,4.44
559,4.44
560,4.39
561,4.39
562,4.78
563,5.44
564,6.17
565,6.83
566,7.33
567,7.61
568,7.61
569,7.39
570,6.67
571,6.17
572,6.00
573,5.83
574,5.61
575,5.44
576,5.33
577,5.11
578,4.89
579,4.78
580,4.72
581,4.56
582,4.44
583,4.44
584,4.39
585,4.39
586,4.83
587,5.44
588,6.22
589,6.89
590,7.33
591,7.67
592,7.67
593,7.39
594,6.72
595,6.22
596,6.06
597,5.83
598,5.61
599,5.50
600,5.33
601,5.11
602,4.89
603,4.72
604,4.67
605,4.50
606,4.33
607,4.33
608,4.33
609,4.33
610,4.72
611,5.39
612,6.17
613,6.83
614,7.33
615,7.67
616,7.67
617,7.39
618,6.72
619,6.22
620,6.00
621,5.78
622,5.56
623,5.44
624,5.28
625,5.06
626,4.83
627,4.67
628,4.61
629,4.44
630,4.28
631,4.22
632,4.28
633,4.28
634,4.72
635,5.39
636,6.17
637,6.83
638,7.33
639,7.61
640,7.67
641,7.44
642,6.78
643,6.22
644,6.00
645,5.78
646,5.61
647,5.44
648,5.28
649,5.06
650,4.83
651,4.72
652,4.56
653,4.39
654,4.28
655,4.22
656,4.22
657,4.22
658,4.67
659,5.33
660,6.17
661,6.89
662,7.39
663,7.67
664,7.78
665,7.50
666,6.78
667,6.22
668,6.06
669,5.78
670,5.61
671,5.44
672,5.28
673,5.06
674,4.78
675,4.67
676,4.56
677,4.33
678,4.22
679,4.11
680,4.11
681,4.11
682,4.61
683,5.39
684,6.17
685,6.89
686,7.44
687,7.78
688,7.83
689,7.61
690,6.89
691,6.28
692,6.06
693,5.83
694,5.67
695,5.50
696,5.28
697,5.06
698,4.83
699,4.67
700,4.56
701,4.39
702,4.22
703,4.11
704,4.11
705,4.17
706,4.61
707,5.39
708,6.22
709,6.94
710,7.50
711,7.83
712,7.89
713,7.67
714,6.94
715,6.33
716,6.11
717,5.89
718,5.67
719,5.44
720,5.28
721,5.06
722,4.83
723,4.61
724,4.50
725,4.28
726,4.11
727,4.00
728,4.06
729,4.06
730,4.56
731,5.33
732,6.22
733,6.94
734,7.50
735,7.83
736,7.89
737,7.67
738,6.94
739,6.33
740,6.11
741,5.83
742,5.67
743,5.44
744,5.22
745,5.06
746,4.78
747,4.61
748,4.50
749,4.33
750,4.11
751,4.00
752,4.00
753,4.06
754,4.56
755,5.33
756,6.22
757,7.00
758,7.50
759,7.83
760,7.94
761,7.67
762,7.00
763,6.33
764,6.11
765,5.83
766,5.67
767,5.44
768,5.22
769,5.00
770,4.78
771,4.56
772,4.39
773,4.22
774,4.06
775,3.94
776,3.94
777,4.00
778,4.56
779,5.33
780,6.17
781,7.00
782,7.56
783,7.89
784,8.00
785,7.78
786,7.00
787,6.33
788,6.11
789,5.83
790,5.61
791,5.39
792,5.17
793,4.94
794,4.72
795,4.56
796,4.39
797,4.22
798,4.06
799,3.94
800,3.94
801,4.00
802,4.56
803,5.33
804,6.28
805,7.06
806,7.61
807,8.00
808,8.11
809,7.83
810,7.11
811,6.39
812,6.11
813,5.89
814,5.67
815,5.44
816,5.17
817,5.00
818,4.78
819,4.61
820,4.44
821,4.28
822,4.11
823,4.00
824,4.00
825,4.06
826,4.61
827,5.44
828,6.33
829,7.17
830,7.72
831,8.11
832,8.22
833,7.94
834,7.22
835,6.50
836,6.22
837,5.94
838,5.72
839,5.50
840,5.22
841,5.06
842,4.78
843,4.61
844,4.44
845,4.28
846,4.11
847,3.94
848,4.00
849,4.06
850,4.67
851,5.50
852,6.39
853,7.22
854,7.83
855,8.17
856,8.28
857,8.06
858,7.28
859,6.56
860,6.22
861,5.94
862,5.72
863,5.50
864,5.22
865,5.00
866,4.78
867,4.56
868,4.39
869,4.17
870,4.00
871,3.89
872,3.89
873,4.00
874,4.61
875,5.44
876,6.39
877,7.22
878,7.83
879,8.17
880,8.33
881,8.06
882,7.28
883,6.50
884,6.22
885,5.94
886,5.67
887,5.44
888,5.22
889,5.00
890,4.72
891,4.56
892,4.39
893,4.17
894,4.00
895,3.83
896,3.89
897,4.00
898,4.61
899,5.44
900,6.44
901,7.28
902,7.83
903,8.22
904,8.33
905,8.11
906,7.33
907,6.56
908,6.22
909,5.94
910,5.67
911,5.50
912,5.22
913,5.00
914,4.78
915,4.56
916,4.39
917,4.17
918,4.00
919,3.83
920,3.89
921,4.00
922,4.67
923,5.56
924,6.50
925,7.33
926,7.94
927,8.33
928,8.44
929,8.22
930,7.44
931,6.61
932,6.33
933,6.00
934,5.78
935,5.56
936,5.22
937,5.00
938,4.78
939,4.56
940,4.39
941,4.22
942,4.06
943,3.89
944,3.94
945,4.06
946,4.72
947,5.61
948,6.61
949,7.44
950,8.00
951,8.39
952,8.50
953,8.28
954,7.50
955,6.67
956,6.33
957,6.06
958,5.78
959,5.56
960,5.28
961,5.06
962,4.83
963,4.61
964,4.44
965,4.22
966,4.11
967,3.94
968,4.00
969,4.11
970,4.78
971,5.61
972,6.61
973,7.44
974,8.06
975,8.39
976,8.50
977,8.33
978,7.56
979,6.72
980,6.39
981,6.06
982,5.78
983,5.56
984,5.28
985,5.06
986,4.83
987,4.61
988,4.44
989,4.22
990,4.06
991,3.94
992,4.00
993,4.11
994,4.83
995,5.67
996,6.67
997,7.50
998,8.11
999,8.50
1000,8.61
1001,8.39
1002,7.67
1003,6.78
1004,6.39
1005,6.11
1006,5.83
1007,5.61
1008,5.33
1009,5.11
1010,4.89
1011,4.67
1012,4.50
1013,4.28
1014,4.11
1015,4.00
1016,4.00
1017,4.22
1018,4.89
1019,5.72
1020,6.67
1021,7.50
1022,8.11
1023,8.50
1024,8.56
1025,8.39
1026,7.67
1027,6.78
1028,6.44
1029,6.11
1030,5.89
1031,5.67
1032,5.39
1033,5.17
1034,4.94
1035,4.72
1036,4.56
1037,4.33
1038,4.22
1039,4.11
1040,4.11
1041,4.33
1042,5.00
1043,5.83
1044,6.78
1045,7.61
1046,8.17
1047,8.56
1048,8.67
1049,8.44
1050,7.78
1051,6.89
1052,6.50
1053,6.22
1054,5.94
1055,5.72
1056,5.44
1057,5.17
1058,4.94
1059,4.78
1060,4.61
1061,4.39
1062,4.22
1063,4.11
1064,4.17
1065,4.33
1066,5.06
1067,5.83
1068,6.83
1069,7.67
1070,8.22
1071,8.61
1072,8.72
1073,8.50
1074,7.83
1075,6.89
1076,6.56
1077,6.22
1078,5.94
1079,5.78
1080,5.50
1081,5.22
1082,5.00
1083,4.83
1084,4.67
1085,4.44
1086,4.33
1087,4.22
1088,4.28
1089,4.44
1090,5.17
1091,5.94
1092,6.94
1093,7.78
1094,8.39
1095,8.72
1096,8.83
1097,8.61
1098,7.94
1099,7.00
1100,6.61
1101,6.28
1102,6.00
1103,5.83
1104,5.56
1105,5.28
1106,5.06
1107,4.83
1108,4.67
1109,4.44
1110,4.33
1111,4.22
1112,4.28
1113,4.44
1114,5.17
1115,6.00
1116,7.00
1117,7.83
1118,8.39
1119,8.78
1120,8.83
1121,8.61
1122,8.00
1123,7.00
1124,6.61
1125,6.28
1126,6.06
1127,5.89
1128,5.61
1129,5.33
1130,5.11
1131,4.94
1132,4.72
1133,4.56
1134,4.39
1135,4.28
1136,4.33
1137,4.56
1138,5.28
1139,6.11
1140,7.06
1141,7.89
1142,8.44
1143,8.83
1144,8.89
1145,8.67
1146,8.06
1147,7.11
1148,6.72
1149,6.33
1150,6.11
1151,5.89
1152,5.67
1153,5.39
1154,5.17
1155,5.00
1156,4.78
1157,4.61
1158,4.44
1159,4.33
1160,4.39
1161,4.61
1162,5.33
1163,6.17
1164,7.17
1165,8.00
1166,8.50
1167,8.89
1168,8.94
1169,8.72
1170,8.17
1171,7.17
1172,6.72
1173,6.33
1174,6.11
1175,5.89
1176,5.67
1177,5.33
1178,5.11
1179,4.94
1180,4.72
1181,4.50
1182,4.39
1183,4.22
1184,4.28
1185,4.56
1186,5.33
1187,6.17
1188,7.17
1189,8.00
1190,8.50
1191,8.89
1192,8.94
1193,8.78
1194,8.17
1195,7.17
1196,6.72
1197,6.33
1198,6.06
1199,5.89
1200,5.61
1201,5.33
1202,5.06
1203,4.89
1204,4.67
1205,4.50
1206,4.33
1207,4.17
1208,4.22
1209,4.56
1210,5.33
1211,6.22
1212,7.22
1213,8.06
1214,8.61
1215,8.94
1216,9.06
1217,8.89
1218,8.33
1219,7.28
1220,6.78
1221,6.39
1222,6.11
1223,5.94
1224,5.72
1225,5.39
1226,5.11
1227,4.94
1228,4.72
1229,4.56
1230,4.39
1231,4.28
1232,4.33
1233,4.61
1234,5.44
1235,6.33
1236,7.33
1237,8.22
1238,8.72
1239,9.11
1240,9.22
1241,9.06
1242,8.50
1243,7.39
1244,6.94
1245,6.50
1246,6.22
1247,6.06
1248,5.78
1249,5.50
1250,5.22
1251,5.06
1252,4.78
1253,4.61
1254,4.44
1255,4.33
1256,4.33
1257,4.67
1258,5.50
1259,6.44
1260,7.39
1261,8.28
1262,8.83
1263,9.22
1264,9.33
1265,9.17
1266,8.56
1267,7.50
1268,7.00
1269,6.61
1270,6.28
1271,6.06
1272,5.83
1273,5.50
1274,5.22
1275,5.06
1276,4.83
1277,4.61
1278,4.44
1279,4.33
1280,4.39
1281,4.72
1282,5.56
1283,6.44
1284,7.44
1285,8.33
1286,8.89
1287,9.22
1288,9.39
1289,9.22
1290,8.61
1291,7.56
1292,7.00
1293,6.67
1294,6.33
1295,6.11
1296,5.83
1297,5.56
1298,5.28
1299,5.11
1300,4.83
1301,4.61
1302,4.44
1303,4.33
1304,4.33
1305,4.72
1306,5.61
1307,6.50
1308,7.50
1309,8.39
1310,8.94
1311,9.33
1312,9.50
1313,9.33
1314,8.78
1315,7.67
1316,7.11
1317,6.72
1318,6.39
1319,6.17
1320,5.89
1321,5.61
1322,5.33
1323,5.17
1324,4.89
1325,4.72
1326,4.50
1327,4.39
1328,4.39
1329,4.78
1330,5.67
1331,6.61
1332,7.56
1333,8.44
1334,9.06
1335,9.44
1336,9.56
1337,9.44
1338,8.83
1339,7.78
1340,7.22
1341,6.83
1342,6.50
1343,6.22
1344,6.00
1345,5.72
1346,5.50
1347,5.28
1348,5.00
1349,4.83
1350,4.61
1351,4.50
1352,4.50
1353,4.89
1354,5.78
1355,6.72
1356,7.67
1357,8.56
1358,9.11
1359,9.44
1360,9.61
1361,9.50
1362,8.89
1363,7.83
1364,7.22
1365,6.89
1366,6.56
1367,6.28
1368,6.00
1369,5.72
1370,5.50
1371,5.28
1372,5.00
1373,4.83
1374,4.61
1375,4.50
1376,4.50
1377,4.89
1378,5.83
1379,6.78
1380,7.72
1381,8.61
1382,9.17
1383,9.56
1384,9.72
1385,9.56
1386,9.06
1387,7.94
1388,7.33
1389,6.89
1390,6.61
1391,6.33
1392,6.00
1393,5.78
1394,5.50
1395,5.28
1396,5.00
1397,4.83
1398,4.56
1399,4.50
1400,4.44
1401,4.94
1402,5.83
1403,6.78
1404,7.78
1405,8.61
1406,9.22
1407,9.61
1408,9.78
1409,9.67
1410,9.11
1411,8.00
1412,7.39
1413,6.94
1414,6.61
1415,6.33
1416,6.00
1417,5.83
1418,5.56
1419,5.33
1420,5.06
1421,4.89
1422,4.61
1423,4.56
1424,4.50
1425,5.00
1426,5.94
1427,6.89
1428,7.83
1429,8.72
1430,9.33
1431,9.72
1432,9.94
1433,9.78
1434,9.22
1435,8.11
1436,7.44
1437,7.06
1438,6.72
1439,6.44
1440,6.11
1441,5.89
1442,5.61
1443,5.39
1444,5.17
1445,4.94
1446,4.72
1447,4.61
1448,4.61
1449,5.11
1450,6.06
1451,7.00
1452,7.94
1453,8.78
1454,9.44
1455,9.78
1456,10.00
1457,9.83
1458,9.33
1459,8.22
1460,7.56
1461,7.17
1462,6.83
1463,6.56
1464,6.22
1465,5.94
1466,5.72
1467,5.50
1468,5.22
1469,5.00
1470,4.78
1471,4.72
1472,4.72
1473,5.22
1474,6.11
1475,7.11
1476,8.06
1477,8.89
1478,9.56
1479,9.94
1480,10.11
1481,9.94
1482,9.44
1483,8.39
1484,7.72
1485,7.28
1486,6.94
1487,6.61
1488,6.33
1489,6.06
1490,5.83
1491,5.56
1492,5.28
1493,5.11
1494,4.83
1495,4.78
1496,4.72
1497,5.28
1498,6.28
1499,7.22
1500,8.17
1501,9.06
1502,9.67
1503,10.06
1504,10.22
1505,10.06
1506,9.56
1507,8.50
1508,7.83
1509,7.44
1510,7.06
1511,6.78
1512,6.44
1513,6.17
1514,5.94
1515,5.67
1516,5.39
1517,5.17
1518,4.94
1519,4.83
1520,4.83
1521,5.39
1522,6.33
1523,7.28
1524,8.28
1525,9.11
1526,9.72
1527,10.11
1528,10.28
1529,10.17
1530,9.67
1531,8.61
1532,7.89
1533,7.56
1534,7.17
1535,6.89
1536,6.50
1537,6.28
1538,6.06
1539,5.78
1540,5.50
1541,5.28
1542,5.06
1543,5.00
1544,5.00
1545,5.56
1546,6.50
1547,7.44
1548,8.39
1549,9.22
1550,9.89
1551,10.22
1552,10.39
1553,10.22
1554,9.78
1555,8.72
1556,8.00
1557,7.61
1558,7.28
1559,7.00
1560,6.61
1561,6.33
1562,6.11
1563,5.83
1564,5.61
1565,5.39
1566,5.17
1567,5.06
1568,5.11
1569,5.61
1570,6.56
1571,7.50
1572,8.44
1573,9.22
1574,9.89
1575,10.22
1576,10.39
1577,10.22
1578,9.78
1579,8.72
1580,8.06
1581,7.67
1582,7.28
1583,7.00
1584,6.61
1585,6.33
1586,6.11
1587,5.83
1588,5.61
1589,5.33
1590,5.17
1591,5.06
1592,5.11
1593,5.67
1594,6.56
1595,7.50
1596,8.44
1597,9.22
1598,9.83
1599,10.22
1600,10.39
1601,10.22
1602,9.78
1603,8.78
1604,8.11
1605,7.67
1606,7.33
1607,7.00
1608,6.61
1609,6.33
1610,6.17
1611,5.89
1612,5.61
1613,5.39
1614,5.17
1615,5.11
1616,5.11
1617,5.72
1618,6.61
1619,7.56
1620,8.50
1621,9.28
1622,9.89
1623,10.33
1624,10.50
1625,10.33
1626,9.83
1627,8.83
1628,8.11
1629,7.72
1630,7.33
1631,7.06
1632,6.61
1633,6.33
1634,6.17
1635,5.89
1636,5.67
1637,5.44
1638,5.22
1639,5.17
1640,5.22
1641,5.83
1642,6.72
1643,7.61
1644,8.61
1645,9.39
1646,9.94
1647,10.33
1648,10.56
1649,10.39
1650,9.89
1651,8.89
1652,8.22
1653,7.72
1654,7.39
1655,7.11
1656,6.67
1657,6.44
1658,6.22
1659,5.94
1660,5.72
1661,5.50
1662,5.28
1663,5.22
1664,5.28
1665,5.89
1666,6.83
1667,7.72
1668,8.67
1669,9.50
1670,10.11
1671,10.50
1672,10.67
1673,10.44
1674,10.00
1675,9.00
1676,8.28
1677,7.83
1678,7.50
1679,7.17
1680,6.78
1681,6.50
1682,6.28
1683,6.00
1684,5.72
1685,5.56
1686,5.33
1687,5.28
1688,5.33
1689,6.00
1690,6.89
1691,7.83
1692,8.78
1693,9.56
1694,10.17
1695,10.56
1696,10.78
1697,10.56
1698,10.11
1699,9.11
1700,8.39
1701,7.94
1702,7.61
1703,7.28
1704,6.83
1705,6.56
1706,6.33
1707,6.06
1708,5.83
1709,5.61
1710,5.39
1711,5.28
1712,5.44
1713,6.06
1714,7.00
1715,7.94
1716,8.94
1717,9.78
1718,10.33
1719,10.78
1720,10.94
1721,10.72
1722,10.22
1723,9.22
1724,8.44
1725,8.00
1726,7.67
1727,7.33
1728,6.89
1729,6.61
1730,6.39
1731,6.11
1732,5.89
1733,5.67
1734,5.44
1735,5.33
1736,5.50
1737,6.17
1738,7.11
1739,8.06
1740,9.00
1741,9.83
1742,10.39
1743,10.83
1744,11.00
1745,10.78
1746,10.28
1747,9.33
1748,8.50
1749,8.06
1750,7.67
1751,7.39
1752,6.94
1753,6.67
1754,6.39
1755,6.17
1756,5.89
1757,5.72
1758,5.50
1759,5.39
1760,5.56
1761,6.22
1762,7.17
1763,8.11
1764,9.11
1765,9.89
1766,10.44
1767,10.89
1768,11.06
1769,10.83
1770,10.33
1771,9.39
1772,8.56
1773,8.11
1774,7.72
1775,7.44
1776,7.00
1777,6.67
1778,6.44
1779,6.17
1780,5.94
1781,5.72
1782,5.56
1783,5.44
1784,5.61
1785,6.28
1786,7.28
1787,8.17
1788,9.11
1789,9.89
1790,10.50
1791,10.94
1792,11.11
1793,10.89
1794,10.39
1795,9.44
1796,8.61
1797,8.17
1798,7.72
1799,7.44
1800,6.94
1801,6.67
1802,6.44
1803,6.17
1804,5.94
1805,5.72
1806,5.50
1807,5.39
1808,5.56
1809,6.28
1810,7.22
1811,8.17
1812,9.17
1813,9.89
1814,10.50
1815,10.94
1816,11.11
1817,10.94
1818,10.44
1819,9.50
1820,8.67
1821,8.17
1822,7.72
1823,7.39
1824,6.94
1825,6.67
1826,6.39
1827,6.17
1828,5.89
1829,5.67
1830,5.50
1831,5.33
1832,5.56
1833,6.28
1834,7.28
1835,8.22
1836,9.11
1837,9.89
1838,10.50
1839,10.94
1840,11.11
1841,10.94
1842,10.50
1843,9.50
1844,8.67
1845,8.17
1846,7.72
1847,7.39
1848,6.89
1849,6.61
1850,6.33
1851,6.11
1852,5.89
1853,5.67
1854,5.50
1855,5.28
1856,5.56
1857,6.28
1858,7.22
1859,8.22
1860,9.11
1861,9.83
1862,10.50
1863,10.94
1864,11.11
1865,10.94
1866,10.44
1867,9.50
1868,8.61
1869,8.11
1870,7.67
1871,7.33
1872,6.89
1873,6.56
1874,6.28
1875,6.06
1876,5.83
1877,5.61
1878,5.44
1879,5.28
1880,5.50
1881,6.28
1882,7.22
1883,8.22
1884,9.17
1885,9.89
1886,10.50
1887,10.94
1888,11.17
1889,10.94
1890,10.44
1891,9.50
1892,8.61
1893,8.11
1894,7.67
1895,7.33
1896,6.89
1897,6.56
1898,6.33
1899,6.00
1900,5.83
1901,5.56
1902,5.39
1903,5.22
1904,5.44
1905,6.28
1906,7.22
1907,8.22
1908,9.17
1909,9.89
1910,10.50
1911,10.94
1912,11.17
1913,10.94
1914,10.44
1915,9.50
1916,8.61
1917,8.11
1918,7.67
1919,7.33
1920,6.89
1921,6.56
1922,6.28
1923,6.00
1924,5.78
1925,5.56
1926,5.39
1927,5.17
1928,5.44
1929,6.33
1930,7.28
1931,8.28
1932,9.22
1933,9.94
1934,10.61
1935,11.00
1936,11.22
1937,11.06
1938,10.61
1939,9.61
1940,8.67
1941,8.22
1942,7.78
1943,7.39
1944,6.94
1945,6.61
1946,6.33
1947,6.06
1948,5.83
1949,5.61
1950,5.44
1951,5.22
1952,5.56
1953,6.44
1954,7.39
1955,8.39
1956,9.33
1957,10.06
1958,10.72
1959,11.11
1960,11.33
1961,11.17
1962,10.67
1963,9.72
1964,8.78
1965,8.33
1966,7.83
1967,7.44
1968,7.00
1969,6.67
1970,6.39
1971,6.11
1972,5.89
1973,5.67
1974,5.50
1975,5.33
1976,5.61
1977,6.50
1978,7.44
1979,8.50
1980,9.39
1981,10.17
1982,10.78
1983,11.17
1984,11.39
1985,11.28
1986,10.78
1987,9.83
1988,8.83
1989,8.39
1990,7.89
1991,7.50
1992,7.06
1993,6.67
1994,6.44
1995,6.17
1996,5.94
1997,5.72
1998,5.50
1999,5.33
2000,5.67
2001,6.50
2002,7.50
2003,8.50
2004,9.39
2005,10.17
2006,10.83
2007,11.22
2008,11.44
2009,11.33
2010,10.83
2011,9.89
2012,8.89
2013,8.39
2014,7.89
2015,7.50
2016,7.06
2017,6.67
2018,6.44
2019,6.11
2020,5.94
2021,5.67
2022,5.50
2023,5.33
2024,5.67
2025,6.56
2026,7.56
2027,8.56
2028,9.44
2029,10.22
2030,10.83
2031,11.28
2032,11.50
2033,11.33
2034,10.83
2035,9.89
2036,8.89
2037,8.39
2038,7.83
2039,7.50
2040,7.06
2041,6.67
2042,6.39
2043,6.11
2044,5.89
2045,5.67
2046,5.44
2047,5.33
2048,5.67
2049,6.56
2050,7.56
2051,8.56
2052,9.50
2053,10.22
2054,10.83
2055,11.22
2056,11.44
2057,11.33
2058,10.83
2059,9.89
2060,8.83
2061,8.33
2062,7.83
2063,7.44
2064,7.00
2065,6.61
2066,6.33
2067,6.11
2068,5.83
2069,5.61
2070,5.44
2071,5.28
2072,5.67
2073,6.56
2074,7.50
2075,8.56
2076,9.44
2077,10.17
2078,10.78
2079,11.22
2080,11.44
2081,11.28
2082,10.83
2083,9.94
2084,8.89
2085,8.39
2086,7.89
2087,7.50
2088,7.06
2089,6.67
2090,6.39
2091,6.11
2092,5.89
2093,5.67
2094,5.44
2095,5.33
2096,5.72
2097,6.67
2098,7.61
2099,8.67
2100,9.56
2101,10.28
2102,10.89
2103,11.28
2104,11.50
2105,11.39
2106,10.89
2107,10.00
2108,8.94
2109,8.44
2110,7.94
2111,7.56
2112,7.11
2113,6.72
2114,6.44
2115,6.11
2116,5.89
2117,5.72
2118,5.50
2119,5.33
2120,5.78
2121,6.67
2122,7.67
2123,8.72
2124,9.61
2125,10.39
2126,10.94
2127,11.39
2128,11.61
2129,11.44
2130,11.00
2131,10.11
2132,9.06
2133,8.56
2134,8.00
2135,7.61
2136,7.17
2137,6.78
2138,6.50
