Index,Annual Event #,Metric Interval Event #,Start,Finish,Component Type,Object Name,Inducing Object,Protective Device,Desired Fault type,Fault Type,Number customers affected,Secondary number of customers affected,Location,Meters Affected,Cause
10,11,11,2000-01-05 19:47:00,2000-01-05 19:49:00,overhead_line,19558,RandEvent,F7515,TLG,SLG-C,1,0,-102.764464188 32.9921982832,node62463073088T62463074161,bird
11,12,12,2000-01-06 00:47:00,2000-01-06 00:49:00,overhead_line,18358,RandEvent,F7167,TLG,TLG,24,0,-102.758226984 32.9912523879,node62463074798T62463074775 node62463019285T62463019253 node62463072245T62463072330 node62463132482T62463132499 node62474204023T62474203073 node62462236984T62462236981 node62462173273T62462173272 node62463123162T62463123126 node62463025237T62463024257 node62462232691T62462232564 node62462231679T62462231679 node62463129089T62463129146 node62462178343T62462178321 node62474206706T62474206724 node62462100205T62462100224 node62463078953T62463078922 node62463186691T62463186577 node62474202046T62463022999 node62474195011T62474196023 node62463132202T62463131250 node62474207489T62474207437 node62463028720T62463028740 node62463017349T62463017451 node62474182629T62474182678,bird
12,13,13,2000-01-06 11:31:00,2000-01-06 11:33:00,overhead_line,19599,RandEvent,F7167,TLG,TLG,24,0,-102.763915224 32.9928912548,node62462219940T62462219856 node62463133761T62463133761 node62463185287T62463186324 node62462169487T62462169469 node62462235664T62462235631 node62463026977T62463026955 node62462058915T62462058961 node62463001766T62463001769 node62462172377T62462172490 node62474202046T62463022999 node62462168810T62462168870 node62474181379T62474181443 node62462234942T62462233960 node62463186718T62463186742 node62463193561T62463193504 node62462221747T62462222618 node62463028720T62463028740 node62474203572T62474203566 node62473239131T62473239069 node62463132482T62463132499 node62474203981T62474203987 node62474208819T62474208904 node62462173273T62462173272 node62462231679T62462231679,bird
13,14,14,2000-01-06 20:25:00,2000-01-06 20:27:00,overhead_line,18374,RandEvent,F7167,TLG,TLG,24,0,-102.76526039 32.9901044099,node62463002869T62463003904 node62463032835T62463032849 node62463026977T62463026955 node62462059675T62463000610 node62462058915T62462058961 node62463022720T62463022676 node62462057439T62462057478 node62474202354T62474202362 node62462058744T62462058764 node62474211335T62474211356 node62462157141T62462156117 node62462239978T62463120010 node62463132895T62463133818 node62463132482T62463132499 node62474207489T62474207437 node62474212387T62474212358 node62463028720T62463028740 node62474203572T62474203566 node62462227630T62462227535 node62474204552T62474204575 node62462059542T62463000511 node62462221928T62462221998 node62474204023T62474203073 node62474205151T62474205022,bird
14,15,15,2000-01-07 02:51:00,2000-01-07 02:53:00,overhead_line,68298,RandEvent,F6171,TLG,SLG-B,6,0,-102.763673593 32.9949362669,node62462237962T62462237964 node62462221928T62462221998 node62463001804T62463001814 node62474211335T62474211356 node62463188901T62463187888 node62463188749T62463188832,bird
15,16,16,2000-01-07 07:46:00,2000-01-07 07:48:00,overhead_line,18910,RandEvent,R1182,TLG,SLG-A,93,0,-102.758009808 32.9914445488,node62463022720T62463022676 node62462219940T62462219856 node62462057863T62462058873 node62474202454T62474202471 node62463018993T62463018961 node62462238928T62462237996 node62463025237T62463024257 node62474204990T62474204859 node62474207930T62474207936 node62462058915T62462058961 node62462169487T62462169469 node62463000348T62463000400 node62462226602T62462226538 node62474208243T62474208138 node62474206532T62474206505 node62474213353T62474213347 node62473238040T62473238073 node62462234942T62462233960 node62462232961T62462233819 node62463024844T62463025910 node62474181379T62474181443 node62474206706T62474206724 node62463016038T62463016077 node62463019498T62463019467 node62463188749T62463188832 node62474203981T62474203987 node62462231529T62462231545 node62462157141T62462156117 node62462231414T62462230473 node62474195151T62474196103 node62462163909T62462162948 node62474205151T62474205022 node62474146040T62474206947 node62463133906T62463072031 node62474181058T62474181036 node62474182499T62474182459 node62474203572T62474203566 node62474195268T62474196213 node62463026977T62463026955 node62462100205T62462100224 node62462227630T62462227535 node62463193561T62463193504 node62462229319T62462228465 node62462059675T62463000610 node62462221928T62462221998 node62463190800T62463189781 node62463078953T62463078922 node62462237962T62462237964 node62462057439T62462057478 node62462172359T62462172379 node62462222990T62462222900 node62463133761T62463133761 node62463016900T62463016837 node62463002869T62463003904 node62474204023T62474203073 node62462161131T62462161089 node62474207559T62474207612 node62474202650T62474202681 node62463016405T62463015557 node62463001804T62463001814 node62474211060T62463031930 node62474181623T62474181695 node62463018503T62463017479 node62474207489T62474207437 node62474203443T62474203356 node62463188901T62463187888 node62463132202T62463131250 node62462232691T62462232564 node62474204748T62474204749 node62473239131T62473239069 node62462174083T62462174081 node62462221747T62462222618 node62463017349T62463017451 node62463139865T62463139950 node62463021692T62463021663 node62462091125T62462091135 node62474195011T62474196023 node62462229732T62462229741 node62462231679T62462231679 node62462223811T62462223734 node62462173273T62462173272 node62463022298T62463022289 node62474144036T62474204979 node62463021167T62463021200 node62462225969T62462166024 node62463186398T62463185453 node62463032835T62463032849 node62463121169T62463121197 node62462236984T62462236981 node62463124065T62463124087 node62474196319T62474196353 node62462110050T62462110060 node62463027895T62463028953,squirrel
16,17,17,2000-01-07 13:37:00,2000-01-07 13:39:00,overhead_line,17231,RandEvent,F6171,TLG,TLG,17,0,-102.759014065 32.9890176974,node62462234942T62462233960 node62463016405T62463015557 node62463002869T62463003904 node62474181379T62474181443 node62463032835T62463032849 node62463027895T62463028953 node62463013691T62463013576 node62462161131T62462161089 node62462058558T62462057585 node62474208243T62474208138 node62463188901T62463187888 node62463018993T62463018961 node62463000855T62463000829 node62462229732T62462229741 node62463027798T62463027880 node62463019498T62463019467 node62463132482T62463132499,squirrel
17,18,18,2000-01-07 18:16:00,2000-01-07 18:18:00,overhead_line,20837,RandEvent,R1201,TLG,TLG,32,0,-102.763563646 32.9946461381,node62462100389T62462101338 node62462172359T62462172379 node62474182051T62463002948 node62473238221T62473238126 node62462237962T62462237964 node62474215045T62474214083 node62462168810T62462168870 node62463024844T62463025910 node62474207119T62474207223 node62463022298T62463022289 node62463019285T62463019253 node62473239194T62474180122 node62463133761T62463133761 node62462163909T62462162948 node62474180317T62474180356 node62463019058T62463019150 node62463133009T62463132037 node62463128092T62463188978 node62474203981T62474203987 node62473238255T62473238283 node62462222990T62462222900 node62474203443T62474203356 node62474202454T62474202471 node62474202650T62474202681 node62463022720T62463022676 node62462219940T62462219856 node62463018503T62463017479 node62462170679T62462170743 node62462174083T62462174081 node62463139865T62463139950 node62474195011T62474196023 node62463079175T62463079127,squirrel
18,19,19,2000-01-08 05:00:00,2000-01-08 05:02:00,overhead_line,17654,RandEvent,F7508,TLG,SLG-A,16,0,-102.758746817 32.9897810287,node62463030909T62474210056 node62462226475T62462227457 node62474204552T62474204575 node62462110050T62462110060 node62463018993T62463018961 node62462232961T62462233819 node62463186398T62463185453 node62462168493T62462169442 node62463019437T62463019414 node62463128092T62463188978 node62462231679T62462231679 node62462059793T62462059787 node62463129089T62463129146 node62462225428T62462224580 node62463016038T62463016077 node62463024800T62463023775,squirrel
19,20,20,2000-01-08 13:26:00,2000-01-08 13:28:00,overhead_line,19915,RandEvent,F7508,TLG,SLG-A,16,0,-102.764088873 32.9925832686,node62463002869T62463003904 node62474196191T62474197105 node62463186718T62463186742 node62474211060T62463031930 node62463019437T62463019414 node62474195011T62474196023 node62474209432T62474209464 node62474202650T62474202681 node62463134548T62463134578 node62463016251T62463016201 node62474205151T62474205022 node62474212215T62474212237 node62463025237T62463024257 node62463139865T62463139950 node62463001627T62463000688 node62474202953T62474202989,squirrel
20,21,21,2000-01-08 16:21:00,2000-01-08 16:23:00,overhead_line,19849,RandEvent,,TLG,None,0,0,-102.763064214 32.9927742472,,
21,22,22,2000-01-08 16:07:00,2000-01-08 16:09:00,overhead_line,16774,RandEvent,F7508,TLG,TLG,30,0,-102.758787253 32.98807444,node62473239194T62474180122 node62474195011T62474196023 node62463186718T62463186742 node62462057863T62462058873 node62463022720T62463022676 node62474206532T62474206505 node62462166430T62462166454 node62462168810T62462168870 node62463028401T62463028430 node62462059542T62463000511 node62462058744T62462058764 node62463074798T62463074775 node62474202046T62463022999 node62462219940T62462219856 node62462223811T62462223734 node62463019285T62463019253 node62474181623T62474181695 node62474207930T62474207936 node62462057439T62462057478 node62474202953T62474202989 node62463013707T62463013737 node62463075194T62463075133 node62463000855T62463000829 node62474204990T62474204859 node62474211335T62474211356 node62474202679T62474202791 node62463133761T62463133761 node62463121169T62463121197 node62462232691T62462232564 node62462059308T62462058491,squirrel
22,23,23,2000-01-08 21:20:00,2000-01-08 21:22:00,overhead_line,19658,RandEvent,R1201,TLG,TLG,32,0,-102.763600652 32.9930503791,node62462234942T62462233960 node62462225428T62462224580 node62463028720T62463028740 node62463186718T62463186742 node62474205692T62474206624 node62463000855T62463000829 node62462178343T62462178321 node62474207056T62474207085 node62463021167T62463021200 node62474202454T62474202471 node62462237962T62462237964 node62463018993T62463018961 node62474204748T62474204749 node62462169230T62462169245 node62463019058T62463019150 node62462169487T62462169469 node62473238040T62473238073 node62462227630T62462227535 node62462059542T62463000511 node62463075332T62463075357 node62462221747T62462222618 node62474204371T62474204354 node62462232691T62462232564 node62462221928T62462221998 node62474197221T62474197215 node62463133906T62463072031 node62463124065T62463124087 node62474202555T62474202581 node62462226602T62462226538 node62474211556T62474211583 node62463002869T62463003904 node62463018503T62463017479,squirrel
23,24,24,2000-01-08 23:49:00,2000-01-08 23:51:00,overhead_line,17188,RandEvent,F7167,TLG,TLG,24,0,-102.759309781 32.9889530882,node62463019437T62463019414 node62463028401T62463028430 node62462235664T62462235631 node62474206893T62474207830 node62463021455T62463021550 node62474203981T62474203987 node62463121169T62463121197 node62463188901T62463187888 node62474211335T62474211356 node62473239131T62473239069 node62463013707T62463013737 node62463189387T62463189482 node62463013691T62463013576 node62463002869T62463003904 node62463017349T62463017451 node62463074197T62463074165 node62474205692T62474206624 node62462226602T62462226538 node62463018993T62463018961 node62462057863T62462058873 node62474196191T62474197105 node62462110050T62462110060 node62463133906T62463072031 node62474195011T62474196023,squirrel
24,25,25,2000-01-09 07:40:00,2000-01-09 07:42:00,overhead_line,17290,RandEvent,F7516,TLG,SLG-B,1,0,-102.758212555 32.9888925546,node62463190800T62463189781,squirrel
25,26,26,2000-01-09 11:00:00,2000-01-09 11:02:00,overhead_line,16229,RandEvent,F6171,TLG,SLG-B,6,0,-102.760523104 32.9874008387,node62474204371T62474204354 node62463079175T62463079127 node62463075332T62463075357 node62474211060T62463031930 node62462227630T62462227535 node62463018228T62463018249,squirrel
26,27,27,2000-01-10 20:46:00,2000-01-10 20:48:00,overhead_line,19384,RandEvent,F7167,TLG,TLG,24,0,-102.760709937 32.9917959176,node62462226475T62462227457 node62462100205T62462100224 node62474196319T62474196353 node62463027895T62463028953 node62462100389T62462101338 node62463022298T62463022289 node62462161131T62462161089 node62463132202T62463131250 node62474204023T62474203073 node62474207119T62474207223 node62474202953T62474202989 node62474205893T62474206824 node62463132895T62463133818 node62473239194T62474180122 node62462170679T62462170743 node62462227630T62462227535 node62463189387T62463189482 node62462219940T62462219856 node62474211556T62474211583 node62474202679T62474202791 node62463014628T62463014734 node62463079175T62463079127 node62474204748T62474204749 node62463133906T62463072031,squirrel
27,28,28,2000-01-10 22:39:00,2000-01-10 22:41:00,overhead_line,19658,RandEvent,F7586,TLG,TLG,1,0,-102.763600652 32.9930503791,node62462219940T62462219856,squirrel
28,29,29,2000-01-11 00:20:00,2000-01-11 00:22:00,overhead_line,20788,RandEvent,F7508,TLG,SLG-C,5,0,-102.764437401 32.9949385212,node62463190694T62463190598 node62474211060T62463031930 node62463016900T62463016837 node62463019058T62463019150 node62463193561T62463193504,squirrel
29,30,30,2000-01-11 05:47:00,2000-01-11 05:49:00,overhead_line,20599,RandEvent,F7167,TLG,TLG,24,0,-102.76444522 32.9943108656,node62463074975T62463014050 node62463186718T62463186742 node62474180317T62474180356 node62462239978T62463120010 node62462057655T62462057695 node62463001766T62463001769 node62474203443T62474203356 node62462058558T62462057585 node62474207119T62474207223 node62463017349T62463017451 node62474202354T62474202362 node62474201080T62463022938 node62463001804T62463001814 node62463019437T62463019414 node62462231414T62462230473 node62463032835T62463032849 node62463022720T62463022676 node62463028401T62463028430 node62463079175T62463079127 node62474205692T62474206624 node62463188749T62463188832 node62462173273T62462173272 node62463075194T62463075133 node62462238928T62462237996,squirrel
30,31,31,2000-01-11 11:33:00,2000-01-11 11:35:00,overhead_line,17023,RandEvent,R1182,TLG,SLG-A,93,0,-102.760044273 32.9886394668,node62462229732T62462229741 node62474202354T62474202362 node62463021692T62463021663 node62462100205T62462100224 node62462059542T62463000511 node62462219940T62462219856 node62463076992T62463076899 node62463020586T62463020670 node62462227630T62462227535 node62474195151T62474196103 node62463132895T62463133818 node62463012543T62463012540 node62463186398T62463185453 node62463128092T62463188978 node62463001766T62463001769 node62462157141T62462156117 node62463001804T62463001814 node62463139865T62463139950 node62462219692T62462220516 node62474212387T62474212358 node62463132482T62463132499 node62463017349T62463017451 node62463016405T62463015557 node62474205893T62474206824 node62463001627T62463000688 node62463133761T62463133761 node62474196191T62474197105 node62474207056T62474207085 node62474207489T62474207437 node62462231414T62462230473 node62474215045T62474214083 node62463021455T62463021550 node62463013691T62463013576 node62462163909T62462162948 node62462221928T62462221998 node62462174083T62462174081 node62462168810T62462168870 node62462234942T62462233960 node62474204371T62474204354 node62462172377T62462172490 node62474203981T62474203987 node62463185287T62463186324 node62473238221T62473238126 node62462229319T62462228465 node62463078953T62463078922 node62474212215T62474212237 node62463072245T62463072330 node62462236984T62462236981 node62462231679T62462231679 node62463018228T62463018249 node62474202147T62474202166 node62463124065T62463124087 node62463133906T62463072031 node62462058558T62462057585 node62474202258T62474202360 node62474211335T62474211356 node62463018993T62463018961 node62473239194T62474180122 node62474205151T62474205022 node62463186691T62463186577 node62463019285T62463019253 node62474203443T62474203356 node62463028720T62463028740 node62463018503T62463017479 node62474181058T62474181036 node62473238255T62473238283 node62463013707T62463013737 node62462238928T62462237996 node62474207119T62474207223 node62462223811T62462223734 node62462178343T62462178321 node62474182629T62474182678 node62474204552T62474204575 node62474202953T62474202989 node62463014628T62463014734 node62463079175T62463079127 node62474209432T62474209464 node62462057655T62462057695 node62462229510T62462229436 node62462170679T62462170743 node62473238040T62473238073 node62463074197T62463074165 node62474206532T62474206505 node62463188749T62463188832 node62463021167T62463021200 node62462237962T62462237964 node62463132202T62463131250 node62462059308T62462058491 node62462166430T62462166454 node62463016539T62463016634 node62474204990T62474204859 node62463123162T62463123126 node62463186718T62463186742,squirrel
31,32,32,2000-01-11 13:37:00,2000-01-11 13:39:00,overhead_line,19329,RandEvent,F6537,TLG,SLG-A,5,0,-102.760339303 32.9918107469,node62463190694T62463190598 node62474181058T62474181036 node62463132202T62463131250 node62474195011T62474196023 node62463016539T62463016634,squirrel
32,33,33,2000-01-11 16:11:00,2000-01-11 16:13:00,overhead_line,15051,RandEvent,F7508,TLG,SLG-A,16,0,-102.760671744 32.9858173015,node62462231679T62462231679 node62474206893T62474207830 node62474202454T62474202471 node62474203572T62474203566 node62463018993T62463018961 node62463019437T62463019414 node62463019058T62463019150 node62474182499T62474182459 node62474205692T62474206624 node62463019768T62463020860 node62463132202T62463131250 node62474202953T62474202989 node62462163909T62462162948 node62462059675T62463000610 node62462221747T62462222618 node62463079175T62463079127,squirrel
33,34,34,2000-01-12 04:11:00,2000-01-12 04:13:00,overhead_line,18203,RandEvent,F6171,TLG,TLG,17,0,-102.758838012 32.9900907344,node62463132895T62463133818 node62462172359T62462172379 node62463000855T62463000829 node62463186691T62463186577 node62462059675T62463000610 node62474202555T62474202581 node62463016251T62463016201 node62462236984T62462236981 node62462225969T62462166024 node62463019285T62463019253 node62463075332T62463075357 node62474207489T62474207437 node62463001766T62463001769 node62463074975T62463014050 node62463021455T62463021550 node62474207056T62474207085 node62473238221T62473238126,squirrel
34,35,35,2000-01-12 07:15:00,2000-01-12 07:17:00,overhead_line,20881,RandEvent,F6537,TLG,SLG-A,5,0,-102.763563646 32.9946461381,node62462231414T62462230473 node62462057439T62462057478 node62463020936T62463020868 node62474207559T62474207612 node62462221928T62462221998,squirrel
35,36,36,2000-01-12 12:58:00,2000-01-12 13:00:00,overhead_line,20509,RandEvent,F6171,TLG,TLG,17,0,-102.764211214 32.9940308058,node62474202258T62474202360 node62474204990T62474204859 node62474181623T62474181695 node62474204552T62474204575 node62462169230T62462169245 node62474181335T62474180389 node62474207119T62474207223 node62463028720T62463028740 node62463132202T62463131250 node62474206893T62474207830 node62463022298T62463022289 node62474182051T62463002948 node62462221747T62462222618 node62463073088T62463074161 node62474195151T62474196103 node62463133761T62463133761 node62462231414T62462230473,squirrel
36,37,37,2000-01-12 14:19:00,2000-01-12 14:21:00,overhead_line,17205,RandEvent,F7508,TLG,SLG-C,5,0,-102.759309781 32.9889530882,node62474211335T62474211356 node62463012543T62463012540 node62463018503T62463017479 node62462163909T62462162948 node62474207489T62474207437,squirrel
37,38,38,2000-01-12 19:49:00,2000-01-12 19:51:00,overhead_line,19561,RandEvent,F7508,TLG,TLG,30,0,-102.762849203 32.9922606556,node62463019058T62463019150 node62474202354T62474202362 node62462059675T62463000610 node62462239978T62463120010 node62474197221T62474197215 node62462221928T62462221998 node62474203443T62474203356 node62474195011T62474196023 node62463028401T62463028430 node62463021692T62463021663 node62463189387T62463189482 node62463072245T62463072330 node62462157141T62462156117 node62463017349T62463017451 node62463186718T62463186742 node62463019498T62463019467 node62463024800T62463023775 node62462222990T62462222900 node62462229732T62462229741 node62463002869T62463003904 node62462169487T62462169469 node62463017062T62463017045 node62463124065T62463124087 node62463190694T62463190598 node62474204748T62474204749 node62463074798T62463074775 node62463018503T62463017479 node62462059308T62462058491 node62463016251T62463016201 node62463075332T62463075357,squirrel
38,39,39,2000-01-13 03:05:00,2000-01-13 03:07:00,overhead_line,18948,RandEvent,F7508,TLG,TLG,30,0,-102.758394761 32.9915292712,node62474205893T62474206824 node62474180317T62474180356 node62462226475T62462227457 node62473238255T62473238283 node62463019498T62463019467 node62463188749T62463188832 node62462057863T62462058873 node62462059308T62462058491 node62474205692T62474206624 node62463026977T62463026955 node62473239131T62473239069 node62463130850T62463130794 node62462221747T62462222618 node62474204748T62474204749 node62474209432T62474209464 node62463016405T62463015557 node62463075194T62463075133 node62462100205T62462100224 node62463001804T62463001814 node62462091125T62462091135 node62462161131T62462161089 node62462173273T62462173272 node62463074975T62463014050 node62463021692T62463021663 node62473238040T62473238073 node62462169230T62462169245 node62462057439T62462057478 node62474211060T62463031930 node62474202258T62474202360 node62474206706T62474206724,squirrel
39,40,40,2000-01-13 11:54:00,2000-01-13 11:56:00,overhead_line,19345,RandEvent,F7508,TLG,TLG,30,0,-102.761115343 32.9920012035,node62462222990T62462222900 node62463027895T62463028953 node62474203443T62474203356 node62463190694T62463190598 node62462057439T62462057478 node62473238040T62473238073 node62462170679T62462170743 node62474181379T62474181443 node62462237962T62462237964 node62474202046T62463022999 node62474215045T62474214083 node62462058915T62462058961 node62463024844T62463025910 node62474181058T62474181036 node62474202354T62474202362 node62462221928T62462221998 node62462059793T62462059787 node62474146040T62474206947 node62462219940T62462219856 node62474211556T62474211583 node62462166430T62462166454 node62474182629T62474182678 node62462229732T62462229741 node62462239978T62463120010 node62463027798T62463027880 node62463132202T62463131250 node62463075194T62463075133 node62463133009T62463132037 node62463000348T62463000400 node62462058744T62462058764,squirrel
40,41,41,2000-01-13 13:25:00,2000-01-13 13:27:00,overhead_line,18910,RandEvent,F7508,TLG,TLG,30,0,-102.758009808 32.9914445488,node62474209432T62474209464 node62463132895T62463133818 node62474203981T62474203987 node62474205692T62474206624 node62463021167T62463021200 node62463013691T62463013576 node62463186398T62463185453 node62463019285T62463019253 node62474206532T62474206505 node62474196319T62474196353 node62463079175T62463079127 node62474197221T62474197215 node62463019058T62463019150 node62463188901T62463187888 node62462100389T62462101338 node62463132202T62463131250 node62462229732T62462229741 node62463027895T62463028953 node62462223811T62462223734 node62462232691T62462232564 node62463078953T62463078922 node62462229510T62462229436 node62463193561T62463193504 node62463021692T62463021663 node62473238255T62473238283 node62463012543T62463012540 node62474202454T62474202471 node62463024800T62463023775 node62462225428T62462224580 node62474204552T62474204575,squirrel
41,42,42,2000-01-13 17:57:00,2000-01-13 17:59:00,overhead_line,16213,RandEvent,F6171,TLG,TLG,17,0,-102.758851266 32.9874314661,node62463019058T62463019150 node62462178343T62462178321 node62473239131T62473239069 node62474195268T62474196213 node62463032835T62463032849 node62474208243T62474208138 node62474207056T62474207085 node62474213353T62474213347 node62463027895T62463028953 node62463188749T62463188832 node62462110050T62462110060 node62462157141T62462156117 node62474181335T62474180389 node62463022720T62463022676 node62463026977T62463026955 node62462168810T62462168870 node62463001627T62463000688,squirrel
42,43,43,2000-01-13 20:25:00,2000-01-13 20:26:00,overhead_line,20886,RandEvent,F6171,TLG,TLG,17,0,-102.764830749 32.994693738,node62474204748T62474204749 node62463072245T62463072330 node62462221747T62462222618 node62462221928T62462221998 node62474196319T62474196353 node62462110050T62462110060 node62463019285T62463019253 node62462058915T62462058961 node62462229732T62462229741 node62462219692T62462220516 node62463123162T62463123126 node62463020936T62463020868 node62463021167T62463021200 node62462058558T62462057585 node62462172377T62462172490 node62463078953T62463078922 node62463016405T62463015557,squirrel
43,44,44,2000-01-14 05:20:00,2000-01-14 05:22:00,overhead_line,19502,RandEvent,F5187,TLG,SLG-A,15,0,-102.761360409 32.9922494669,node62463018228T62463018249 node62474144036T62474204979 node62474181335T62474180389 node62474196319T62474196353 node62462170679T62462170743 node62463013691T62463013576 node62462231679T62462231679 node62462239978T62463120010 node62463027895T62463028953 node62463128092T62463188978 node62474181469T62474181497 node62463124065T62463124087 node62474180317T62474180356 node62474212387T62474212358 node62463001804T62463001814,squirrel
44,45,45,2000-01-14 12:16:00,2000-01-14 12:18:00,overhead_line,16676,RandEvent,F7508,TLG,SLG-A,16,0,-102.760257679 32.9876057015,node62462232691T62462232564 node62463028401T62463028430 node62462057655T62462057695 node62474181469T62474181497 node62463024800T62463023775 node62463076992T62463076899 node62462225969T62462166024 node62473239194T62474180122 node62462101209T62462101267 node62462239978T62463120010 node62463188749T62463188832 node62463001804T62463001814 node62474195268T62474196213 node62463019285T62463019253 node62463017349T62463017451 node62462226475T62462227457,squirrel
