# file...... tripline.csv
# date...... Thu Feb 28 11:09:25 2013
# user...... dwp0
# host...... (null)
# target.... triplex_line 139
# trigger... (none)
# interval.. -1
# limit..... 0
# timestamp,power_in,power_out,current_in_A,current_in_B,current_in_C,current_out_A,current_out_B,current_out_C
2000-01-01 03:00:00 EST,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0i,+0+0i,+0+0i
2000-01-01 06:52:26 EST,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j
2000-01-01 06:52:47 EST,+2916.8+0.0571323d,+2900+3.97394e-006d,+17.5662-10.7749j,-18.8314+11.5617j,+1.10097-0.012592j,+17.5662-10.7749j,-18.8314+11.5617j,+1.10097-0.012592j
2000-01-01 07:18:31 EST,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j
2000-01-01 07:18:32 EST,+2916.8+0.0571288d,+2900+4.29809e-007d,+17.5662-10.7749j,-18.8314+11.5617j,+1.10097-0.012592j,+17.5662-10.7749j,-18.8314+11.5617j,+1.10097-0.012592j
2000-01-01 07:19:28 EST,+2916.63+0.0565466d,+2900+1.89979e-006d,+17.4878-10.6999j,-18.7473+11.481j,+1.09518-0.0112281j,+17.4878-10.6999j,-18.7473+11.481j,+1.09518-0.0112281j
2000-01-01 07:26:33 EST,+2916.8+0.0571263d,+2900-2.08233e-006d,+17.5662-10.7749j,-18.8314+11.5617j,+1.10097-0.0125919j,+17.5662-10.7749j,-18.8314+11.5617j,+1.10097-0.0125919j
2000-01-01 07:51:49 EST,+2916.8+0.0571424d,+2900+2.23056e-006d,+17.5756-10.7637j,-18.8415+11.5496j,+1.10109-0.0118192j,+17.5756-10.7637j,-18.8415+11.5496j,+1.10109-0.0118192j
2000-01-01 07:58:50 EST,+2916.8+0.0571262d,+2900-2.15764e-006d,+17.5662-10.7749j,-18.8314+11.5617j,+1.10097-0.0125919j,+17.5662-10.7749j,-18.8314+11.5617j,+1.10097-0.0125919j
2000-01-01 08:00:00 EST,+2916.8+0.0571284d,+2900+2.40002e-008d,+17.5662-10.7749j,-18.8314+11.5617j,+1.10097-0.012592j,+17.5662-10.7749j,-18.8314+11.5617j,+1.10097-0.012592j
2000-01-01 08:18:50 EST,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j
2000-01-01 08:18:51 EST,+2916.8+0.0571242d,+2900-4.15918e-006d,+17.5662-10.7749j,-18.8314+11.5617j,+1.10097-0.0125919j,+17.5662-10.7749j,-18.8314+11.5617j,+1.10097-0.0125919j
2000-01-01 08:42:42 EST,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j
2000-01-01 08:42:43 EST,+2916.8+0.0571284d,+2900+2.79886e-008d,+17.5662-10.7749j,-18.8314+11.5617j,+1.10097-0.012592j,+17.5662-10.7749j,-18.8314+11.5617j,+1.10097-0.012592j
2000-01-01 09:42:06 EST,+2916.63+0.0565466d,+2900+1.89988e-006d,+17.4878-10.6999j,-18.7473+11.481j,+1.09518-0.0112281j,+17.4878-10.6999j,-18.7473+11.481j,+1.09518-0.0112281j
2000-01-01 09:49:07 EST,+2916.8+0.0571263d,+2900-2.08233e-006d,+17.5662-10.7749j,-18.8314+11.5617j,+1.10097-0.0125919j,+17.5662-10.7749j,-18.8314+11.5617j,+1.10097-0.0125919j
2000-01-01 09:54:43 EST,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j
2000-01-01 09:54:44 EST,+2916.8+0.0571323d,+2900+3.97381e-006d,+17.5662-10.7749j,-18.8314+11.5617j,+1.10097-0.012592j,+17.5662-10.7749j,-18.8314+11.5617j,+1.10097-0.012592j
2000-01-01 10:20:03 EST,+2916.37+0.055671d,+2900-1.01489e-007d,+17.4124-10.5165j,-18.6663+11.2841j,+1.08649-0.00478616j,+17.4124-10.5165j,-18.6663+11.2841j,+1.08649-0.00478616j
2000-01-01 10:20:12 EST,+2916.8+0.0571285d,+2900+1.47674e-007d,+17.5662-10.7749j,-18.8314+11.5617j,+1.10097-0.012592j,+17.5662-10.7749j,-18.8314+11.5617j,+1.10097-0.012592j
2000-01-01 11:09:42 EST,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j
2000-01-01 11:09:44 EST,+2916.8+0.0571284d,+2900-2.10569e-009d,+17.5662-10.7749j,-18.8314+11.5617j,+1.10097-0.012592j,+17.5662-10.7749j,-18.8314+11.5617j,+1.10097-0.012592j
2000-01-01 11:14:34 EST,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j
2000-01-01 11:14:39 EST,+2916.8+0.0571284d,+2900+8.75159e-011d,+17.5662-10.7749j,-18.8314+11.5617j,+1.10097-0.012592j,+17.5662-10.7749j,-18.8314+11.5617j,+1.10097-0.012592j
2000-01-01 11:41:26 EST,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j
2000-01-01 11:41:27 EST,+2916.8+0.0571284d,+2900-1.14357e-010d,+17.5662-10.7749j,-18.8314+11.5617j,+1.10097-0.012592j,+17.5662-10.7749j,-18.8314+11.5617j,+1.10097-0.012592j
2000-01-01 11:43:18 EST,+2916.63+0.0565466d,+2900+1.89992e-006d,+17.4878-10.6999j,-18.7473+11.481j,+1.09518-0.0112281j,+17.4878-10.6999j,-18.7473+11.481j,+1.09518-0.0112281j
2000-01-01 11:50:19 EST,+2916.8+0.0571263d,+2900-2.08233e-006d,+17.5662-10.7749j,-18.8314+11.5617j,+1.10097-0.0125919j,+17.5662-10.7749j,-18.8314+11.5617j,+1.10097-0.0125919j
2000-01-01 12:16:22 EST,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j
2000-01-01 12:16:23 EST,+2916.8+0.0571284d,+2900+4.56122e-011d,+17.5662-10.7749j,-18.8314+11.5617j,+1.10097-0.012592j,+17.5662-10.7749j,-18.8314+11.5617j,+1.10097-0.012592j
2000-01-01 12:38:28 EST,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j
2000-01-01 12:38:32 EST,+2916.8+0.0571242d,+2900-4.15917e-006d,+17.5662-10.7749j,-18.8314+11.5617j,+1.10097-0.0125919j,+17.5662-10.7749j,-18.8314+11.5617j,+1.10097-0.0125919j
2000-01-01 12:56:41 EST,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j
2000-01-01 12:56:44 EST,+2916.8+0.0571288d,+2900+4.29802e-007d,+17.5662-10.7749j,-18.8314+11.5617j,+1.10097-0.012592j,+17.5662-10.7749j,-18.8314+11.5617j,+1.10097-0.012592j
2000-01-01 13:00:00 EST,+2916.8+0.0571284d,+2900+7.67503e-012d,+17.5662-10.7749j,-18.8314+11.5617j,+1.10097-0.012592j,+17.5662-10.7749j,-18.8314+11.5617j,+1.10097-0.012592j
2000-01-01 14:23:39 EST,+2916.63+0.0565466d,+2900+1.89987e-006d,+17.4878-10.6999j,-18.7473+11.481j,+1.09518-0.0112281j,+17.4878-10.6999j,-18.7473+11.481j,+1.09518-0.0112281j
2000-01-01 14:26:42 EST,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j
2000-01-01 14:26:43 EST,+2916.63+0.0565409d,+2900-3.8468e-006d,+17.4878-10.6999j,-18.7473+11.481j,+1.09518-0.011228j,+17.4878-10.6999j,-18.7473+11.481j,+1.09518-0.011228j
2000-01-01 14:30:42 EST,+2916.8+0.0571263d,+2900-2.08237e-006d,+17.5662-10.7749j,-18.8314+11.5617j,+1.10097-0.0125919j,+17.5662-10.7749j,-18.8314+11.5617j,+1.10097-0.0125919j
2000-01-01 14:44:10 EST,+2916.8+0.0571424d,+2900+2.23041e-006d,+17.5756-10.7637j,-18.8415+11.5496j,+1.10109-0.0118192j,+17.5756-10.7637j,-18.8415+11.5496j,+1.10109-0.0118192j
2000-01-01 14:51:14 EST,+2916.8+0.0571262d,+2900-2.15757e-006d,+17.5662-10.7749j,-18.8314+11.5617j,+1.10097-0.0125919j,+17.5662-10.7749j,-18.8314+11.5617j,+1.10097-0.0125919j
2000-01-01 15:33:13 EST,+2916.63+0.0565466d,+2900+1.89984e-006d,+17.4878-10.6999j,-18.7473+11.481j,+1.09518-0.0112281j,+17.4878-10.6999j,-18.7473+11.481j,+1.09518-0.0112281j
2000-01-01 15:40:17 EST,+2916.8+0.0571263d,+2900-2.08237e-006d,+17.5662-10.7749j,-18.8314+11.5617j,+1.10097-0.0125919j,+17.5662-10.7749j,-18.8314+11.5617j,+1.10097-0.0125919j
2000-01-01 16:11:06 EST,+2916.8+0.0571424d,+2900+2.2304e-006d,+17.5756-10.7637j,-18.8415+11.5496j,+1.10109-0.0118192j,+17.5756-10.7637j,-18.8415+11.5496j,+1.10109-0.0118192j
2000-01-01 16:18:48 EST,+2916.8+0.0571262d,+2900-2.15761e-006d,+17.5662-10.7749j,-18.8314+11.5617j,+1.10097-0.0125919j,+17.5662-10.7749j,-18.8314+11.5617j,+1.10097-0.0125919j
2000-01-01 16:20:46 EST,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j
2000-01-01 16:20:47 EST,+2916.8+0.0571284d,+2900+2.41057e-008d,+17.5662-10.7749j,-18.8314+11.5617j,+1.10097-0.012592j,+17.5662-10.7749j,-18.8314+11.5617j,+1.10097-0.012592j
2000-01-01 17:44:56 EST,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j
2000-01-01 17:44:57 EST,+2916.8+0.0571284d,+2900-2.41014e-010d,+17.5662-10.7749j,-18.8314+11.5617j,+1.10097-0.012592j,+17.5662-10.7749j,-18.8314+11.5617j,+1.10097-0.012592j
2000-01-01 18:00:00 EST,+2916.8+0.0571284d,+2900-2.12911e-011d,+17.5662-10.7749j,-18.8314+11.5617j,+1.10097-0.012592j,+17.5662-10.7749j,-18.8314+11.5617j,+1.10097-0.012592j
