# file...... tripout.csv
# date...... Thu Feb 28 11:09:25 2013
# user...... dwp0
# host...... (null)
# target.... triplex_node 136
# trigger... (none)
# interval.. -1
# limit..... 0
# timestamp,voltage_1,voltage_2,voltage_12
2000-01-01 07:19:28 EST,+68.6531-31.4145d,+68.6484-31.417d,+137.302-31.4158d
2000-01-01 07:26:33 EST,+68.3037-31.4783d,+68.2989-31.4809d,+136.603-31.4796d
2000-01-01 07:51:49 EST,+68.2966-31.438d,+68.2919-31.4405d,+136.589-31.4393d
2000-01-01 07:58:50 EST,+68.3037-31.4783d,+68.2989-31.4809d,+136.603-31.4796d
2000-01-01 08:18:50 EST,+0+0j,+0+0j,+0+0j
2000-01-01 08:18:51 EST,+68.3037-31.4783d,+68.2989-31.4809d,+136.603-31.4796d
2000-01-01 08:42:42 EST,+0+0j,+0+0j,+0+0j
2000-01-01 08:42:43 EST,+68.3037-31.4783d,+68.2989-31.4809d,+136.603-31.4796d
2000-01-01 09:42:06 EST,+68.6531-31.4145d,+68.6484-31.417d,+137.302-31.4158d
2000-01-01 09:49:07 EST,+68.3037-31.4783d,+68.2989-31.4809d,+136.603-31.4796d
2000-01-01 09:54:43 EST,+0+0j,+0+0j,+0+0j
2000-01-01 09:54:44 EST,+68.3037-31.4783d,+68.2989-31.4809d,+136.603-31.4796d
2000-01-01 10:20:03 EST,+69.1865-31.0855d,+69.1818-31.088d,+138.368-31.0868d
2000-01-01 10:20:12 EST,+68.3037-31.4783d,+68.2989-31.4809d,+136.603-31.4796d
2000-01-01 11:09:42 EST,+0+0j,+0+0j,+0+0j
2000-01-01 11:09:44 EST,+68.3037-31.4783d,+68.2989-31.4809d,+136.603-31.4796d
2000-01-01 11:14:34 EST,+0+0j,+0+0j,+0+0j
2000-01-01 11:14:39 EST,+68.3037-31.4783d,+68.2989-31.4809d,+136.603-31.4796d
2000-01-01 11:41:26 EST,+0+0j,+0+0j,+0+0j
2000-01-01 11:41:27 EST,+68.3037-31.4783d,+68.2989-31.4809d,+136.603-31.4796d
2000-01-01 11:43:18 EST,+68.6531-31.4145d,+68.6484-31.417d,+137.302-31.4158d
2000-01-01 11:50:19 EST,+68.3037-31.4783d,+68.2989-31.4809d,+136.603-31.4796d
2000-01-01 12:16:22 EST,+0+0j,+0+0j,+0+0j
2000-01-01 12:16:23 EST,+68.3037-31.4783d,+68.2989-31.4809d,+136.603-31.4796d
2000-01-01 12:38:28 EST,+0+0j,+0+0j,+0+0j
2000-01-01 12:38:32 EST,+68.3037-31.4783d,+68.2989-31.4809d,+136.603-31.4796d
2000-01-01 12:56:41 EST,+0+0j,+0+0j,+0+0j
2000-01-01 12:56:44 EST,+68.3037-31.4783d,+68.2989-31.4809d,+136.603-31.4796d
2000-01-01 14:23:39 EST,+68.6531-31.4145d,+68.6484-31.417d,+137.302-31.4158d
2000-01-01 14:26:42 EST,+0+0j,+0+0j,+0+0j
2000-01-01 14:26:43 EST,+68.6531-31.4145d,+68.6484-31.417d,+137.302-31.4158d
2000-01-01 14:30:42 EST,+68.3037-31.4783d,+68.2989-31.4809d,+136.603-31.4796d
2000-01-01 14:44:10 EST,+68.2966-31.438d,+68.2919-31.4405d,+136.589-31.4393d
2000-01-01 14:51:14 EST,+68.3037-31.4783d,+68.2989-31.4809d,+136.603-31.4796d
2000-01-01 15:33:13 EST,+68.6531-31.4145d,+68.6484-31.417d,+137.302-31.4158d
2000-01-01 15:40:17 EST,+68.3037-31.4783d,+68.2989-31.4809d,+136.603-31.4796d
2000-01-01 16:11:06 EST,+68.2966-31.438d,+68.2919-31.4405d,+136.589-31.4393d
2000-01-01 16:18:48 EST,+68.3037-31.4783d,+68.2989-31.4809d,+136.603-31.4796d
2000-01-01 16:20:46 EST,+0+0j,+0+0j,+0+0j
2000-01-01 16:20:47 EST,+68.3037-31.4783d,+68.2989-31.4809d,+136.603-31.4796d
2000-01-01 17:44:56 EST,+0+0j,+0+0j,+0+0j
2000-01-01 17:44:57 EST,+68.3037-31.4783d,+68.2989-31.4809d,+136.603-31.4796d
