Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2
Line.L9,     1.8349,     0.15,    20.7723,  -125.07,     19.771,    59.28,          0,     0.00, 5.43797E-6,   -39.12,    1.83414,   179.85,    20.7725,    54.90,    19.7791,  -120.74,          0,     0.00, 5.82361E-12,   141.34
Line.L10,    20.2194,   -61.13, 0.00765024,   -34.13,    20.2263,   118.88,          0,     0.00, 4.14342E-6,   -38.45,    20.2256,   118.86, 4.06738E-12,  -153.43,    20.2256,   -61.14,          0,     0.00, 7.62295E-12,   -72.65
Line.L11, 0.00850911,    85.55,    9.74212,  -122.12,    9.73458,    57.85,          0,     0.00, 2.70903E-6,   -63.18, 8.73541E-12,   141.34,    9.74179,    57.82,    9.74179,  -122.18,          0,     0.00, 8.21382E-12,   138.37
Line.L12,  0.0230838,    85.57,    9.77265,  -121.99,    9.75219,    57.94,          0,     0.00, 6.65503E-6,   -85.36, 9.71341E-13,  -110.56,     9.7717,    57.86,     9.7717,  -122.14,          0,     0.00, 3.42243E-12,   -85.24
Line.L13,    4.80916,   -60.30,    32.6052,  -122.12,     35.133,    64.81,          0,     0.00, 1.05244E-6,   -84.20,    4.81218,   119.68,     32.605,    57.88,    35.1358,  -115.19,          0,     0.00, 4.4688E-11,    77.66
Line.L14,    122.852,   -25.46,    87.9249,  -173.59,    66.9118,   110.60,          0,     0.00, 0.0000455129,    71.37,    122.856,   154.54,    87.9345,     6.41,    66.9123,   -69.41,          0,     0.00, 0.0000436963,  -106.04
Line.L15,    10.2506,   -62.95,  0.0100914,   -34.04,    10.2595,   117.07,          0,     0.00, 2.29873E-6,    14.43,    10.2588,   117.02, 3.15878E-12,   120.26,    10.2588,   -62.98,          0,     0.00, 2.76612E-12,    99.46
Line.L16,  0.0223894,    85.33,     19.651,  -120.83,    19.6309,    59.14,          0,     0.00, 5.88964E-6,    -2.16, 3.86535E-12,  -151.93,    19.6497,    59.10,    19.6497,  -120.90,          0,     0.00, 1.14705E-11,   166.24
Line.L17,    131.128,   -28.18,    87.9077,  -173.58,    77.1143,   111.47,          0,     0.00, 0.0000482545,    65.74,    131.133,   151.81,    87.9172,     6.42,    77.1146,   -68.54,          0,     0.00, 0.0000468068,  -110.99
Line.L18,    20.5192,   -61.73, 0.00627917,   -33.96,    20.5248,   118.28,          0,     0.00, 1.46382E-6,    66.80,    20.5242,   118.26, 4.54747E-13,   180.00,    20.5242,   -61.74,          0,     0.00, 1.02898E-11,    45.00
Line.L19,  0.0380367,    85.32,    9.76963,  -122.04,    9.73587,    57.85,          0,     0.00, 9.06953E-6,    71.49, 5.3626E-13,  -122.01,    9.76836,    57.72,    9.76836,  -122.28,          0,     0.00, 9.16573E-13,   -82.87
Line.L20,    10.2185,   -63.23,   0.015563,   -33.86,    10.2321,   116.81,          0,     0.00, 5.45059E-6,    84.50,     10.231,   116.73, 6.10108E-12,   116.57,     10.231,   -63.27,          0,     0.00, 1.10645E-11,    80.54
Line.L21,    20.4574,   -61.89, 0.00626428,   -33.86,    20.4629,   118.12,          0,     0.00, 2.19394E-6,    84.50,    20.4624,   118.10, 6.59384E-12,  -136.40,    20.4624,   -61.90,          0,     0.00, 5.49944E-12,   -82.87
Line.L22,    41.2336,   -31.10,    72.2443,  -137.42,    72.4259,    75.70,          0,     0.00, 0.0000519568,   -58.70,    41.2424,   148.88,     72.249,    42.57,    72.4383,  -104.31,          0,     0.00, 0.0000433062,   117.84
Line.L23,    19.1945,     1.24,    19.1794,  -178.77,  0.0162636,  -156.45,          0,     0.00, 6.15544E-6,   -44.64,    19.1929,  -178.80,    19.1929,     1.20, 2.03369E-12,   -63.43,          0,     0.00, 1.87497E-12,  -165.96
Line.L24,    4.76701,   -59.95,    42.3789,  -122.05,    44.8084,    63.34,          0,     0.00, 0.0000160556,   -77.55,    4.79007,   119.86,    42.3778,    57.91,    44.8304,  -116.68,          0,     0.00, 7.70726E-6,    94.80
Line.L25,  0.0311594,    85.55,    9.74303,  -121.98,     9.7154,    57.93,          0,     0.00, 0.0000100694,   -61.67, 0.00850911,   -94.45,    9.74212,    57.88,    9.73458,  -122.15,          0,     0.00, 2.70903E-6,   116.82
Line.L26,    35.5919,   -14.67,    35.8918,  -166.72,    17.2674,    88.34,          0,     0.00, 0.0000108987,   -19.71,    35.5937,   165.31,    35.8993,    13.27,     17.272,   -91.69,          0,     0.00, 6.21058E-6,   160.81
Line.L27,    131.116,   -28.17,    101.016,  -164.67,    90.4542,   101.59,          0,     0.00, 0.0000517349,    57.28,    131.119,   151.83,    101.021,    15.33,    90.4558,   -78.42,          0,     0.00, 0.0000507622,  -120.43
Line.L28,    105.984,   -30.33,     68.551,  -172.36,    66.9123,   110.59,          0,     0.00, 0.0000436963,    73.96,    105.993,   149.66,    68.5674,     7.63,    66.9133,   -69.42,          0,     0.00, 0.0000393359,  -103.20
Line.L29,    81.4827,   -18.87,    62.8007,  -179.26,    30.6979,   117.78,          0,     0.00, 0.0000251532,    81.09,    81.4885,   161.12,    62.8212,     0.73,    30.6959,   -62.26,          0,     0.00, 0.000018319,   -95.99
Line.L30,    20.4743,   -61.65,    9.77041,  -121.91,    26.7038,    99.83,          0,     0.00, 0.0000143771,    69.27,    20.4873,   118.33,    9.76984,    57.99,    26.7075,   -80.20,          0,     0.00, 0.0000105291,  -109.16
Line.L31,    52.2232,   -31.02,    30.4679,  -179.52,    30.6959,   117.74,          0,     0.00, 0.000018319,    84.01,    52.2297,   148.96,    30.4808,     0.46,    30.6946,   -62.29,          0,     0.00, 0.0000130955,   -95.50
Line.L32,    30.6617,   -62.32,  0.0373903,   -33.86,    30.6946,   117.71,          0,     0.00, 0.0000130955,    84.50,    30.6741,   117.66,  0.0218273,   146.14,    30.6933,   -62.32,          0,     0.00, 7.64453E-6,   -95.50
Line.L33,    17.2528,   -31.73,    17.2615,  -151.66,    17.2757,    88.28,          0,     0.00,  2.5804E-6,   -19.34,    17.2556,   148.25,    17.2644,    28.32,    17.2783,   -91.74,          0,     0.00, 1.94268E-12,   110.56
Line.L34,    9.73749,     0.45,    9.72943,  -179.57, 0.00874569,  -156.70,          0,     0.00,  3.6302E-6,   -19.09,    9.73674,  -179.60,    9.73674,     0.40, 3.88536E-12,    69.44,          0,     0.00, 1.87497E-12,   104.04
Line.L35,     369.54,   -37.84,    278.239,  -152.57,    357.697,    97.21,          0,     0.00, 0.000302463,   -34.56,    369.624,   142.14,    278.314,    27.40,    357.742,   -82.81,          0,     0.00, 0.00018242,   155.99
Transformer.REG1A,    406.494,   -37.84,    406.494,   142.16,          0,     0.00,          0,     0.00, 0.000123748,  -163.61,     369.54,   142.16,     369.54,   -37.84,          0,     0.00,          0,     0.00, 0.00012206,  -155.80
Transformer.REG1C,    388.995,    97.21,    388.995,   -82.79,          0,     0.00,          0,     0.00, 0.000122467,    93.65,    357.697,   -82.79,    357.697,    97.21,          0,     0.00,          0,     0.00, 0.000119037,    85.73
Line.JUMPER, 0.000179134,   -35.06,          0,     0.00,          0,     0.00,          0,     0.00, 0.000179134,   -35.06, 0.000179134,   144.94,          0,     0.00,          0,     0.00,          0,     0.00, 0.000179134,   144.94
Load.S701A,    32.8654,    -0.09,    32.8654,   179.91,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.S701B,    32.0155,  -121.90,    32.0155,    58.10,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.S701C,    83.3567,   117.66,    83.3567,   -62.34,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.S712C,    20.2246,   118.85,    20.2246,   -61.15,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.S713C,    20.2217,   118.83,    20.2217,   -61.17,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.S714A,     3.9015,     1.59,     3.9015,  -178.41,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.S714B,    4.85312,  -121.21,    4.85312,    58.79,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.S718A,    19.1923,     1.20,    19.1923,  -178.80,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.S720C,    20.3127,   118.92,    20.3127,   -61.08,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.S722B,    32.6047,  -122.13,    32.6047,    57.87,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.S722C,    4.81194,   119.67,    4.81194,   -60.33,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.S724B,    9.77159,  -122.14,    9.77159,    57.86,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.S725B,    9.74168,  -122.18,    9.74168,    57.82,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.S727C,    10.1687,   117.20,    10.1687,   -62.80,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.S728,    17.2547,   -31.75,    17.2642,  -151.68,    17.2778,    88.26,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.S729A,    9.73644,     0.40,    9.73644,  -179.60,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.S730C,    18.7443,   118.47,    18.7443,   -61.53,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.S731B,    19.6495,  -120.90,    19.6495,    59.10,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.S732C,    10.2583,   117.02,    10.2583,   -62.98,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.S733A,    19.4548,     2.06,    19.4548,  -177.94,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.S734C,     10.284,   116.87,     10.284,   -63.13,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.S735C,    20.5233,   118.26,    20.5233,   -61.74,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.S736B,    9.76826,  -122.28,    9.76826,    57.72,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.S737A,    32.3528,     0.96,    32.3528,  -179.04,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.S738A,    30.5107,     0.42,    30.5107,  -179.58,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.S740C,    20.4615,   118.10,    20.4615,   -61.90,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.S741C,    10.2306,   116.73,    10.2306,   -63.27,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.S742A,    1.83408,    -0.15,    1.83408,   179.85,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.S742B,    19.7789,  -120.74,    19.7789,    59.26,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.S744A,     10.019,    -0.16,     10.019,   179.84,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
