# vdumptext.csv run at 2011-01-01 07:00:00 PST on 4160 nodes
node_name,voltA_mag,voltA_angle,voltB_mag,voltB_angle,voltC_mag,voltC_angle
S1806-33-067,117.563063,2.095531,117.563063,2.095531,0.000000,0.000000
S1806-33-015,117.586699,2.095610,117.586699,2.095610,0.000000,0.000000
S1806-33-033,117.596475,2.095588,117.596475,2.095588,0.000000,0.000000
S1806-33-043,117.597191,2.095499,117.597191,2.095499,0.000000,0.000000
S1806-33-055,117.613297,2.095611,117.613297,2.095611,0.000000,0.000000
S1806-33-020,117.623946,2.095549,117.623946,2.095549,0.000000,0.000000
S1806-33-064,117.623946,2.095549,117.623946,2.095549,0.000000,0.000000
S1806-33-054,117.650034,2.095641,117.650034,2.095641,0.000000,0.000000
S1806-33-058,117.667577,2.095694,117.667577,2.095694,0.000000,0.000000
S1806-33-076,117.678873,2.095742,117.678873,2.095742,0.000000,0.000000
S1806-33-065,117.685514,2.095712,117.685514,2.095712,0.000000,0.000000
S1806-33-007,117.699531,2.095671,117.699531,2.095671,0.000000,0.000000
S1806-33-009,117.699531,2.095671,117.699531,2.095671,0.000000,0.000000
S1806-33-010,117.712322,2.095613,117.712322,2.095613,0.000000,0.000000
S1806-33-006,117.728743,2.095745,117.728743,2.095745,0.000000,0.000000
S1806-33-021,121.125853,4.195742,121.125853,4.195742,0.000000,0.000000
S1806-28-001,121.125498,4.195737,121.125498,4.195737,0.000000,0.000000
S1806-28-010,121.125498,4.195737,121.125498,4.195737,0.000000,0.000000
S1806-33-034,121.122065,4.195726,121.122065,4.195726,0.000000,0.000000
S1806-33-036,121.122065,4.195726,121.122065,4.195726,0.000000,0.000000
S1806-33-048,121.122065,4.195726,121.122065,4.195726,0.000000,0.000000
S1806-33-024,121.119701,4.195727,121.119701,4.195727,0.000000,0.000000
S1806-33-053,121.119701,4.195727,121.119701,4.195727,0.000000,0.000000
S1806-33-027,121.120017,4.195732,121.120017,4.195732,0.000000,0.000000
S1806-27-011,121.106807,4.195708,121.106807,4.195708,0.000000,0.000000
S1806-27-008,121.106813,4.195708,121.106813,4.195708,0.000000,0.000000
S1806-28-013,121.106504,4.195707,121.106504,4.195707,0.000000,0.000000
S1806-33-061,121.106501,4.195707,121.106501,4.195707,0.000000,0.000000
S1806-34-005,121.104873,4.195705,121.104873,4.195705,0.000000,0.000000
S1806-33-049,121.104524,4.195704,121.104524,4.195704,0.000000,0.000000
S1806-33-060,121.103898,4.195699,121.103898,4.195699,0.000000,0.000000
S1806-33-062,121.103898,4.195699,121.103898,4.195699,0.000000,0.000000
S1806-33-004,121.103774,4.195703,121.103774,4.195703,0.000000,0.000000
S1806-33-072,121.104365,4.195704,121.104365,4.195704,0.000000,0.000000
S1806-33-014,121.105195,4.195705,121.105195,4.195705,0.000000,0.000000
S1806-34-003,121.105644,4.195706,121.105644,4.195706,0.000000,0.000000
S1806-33-018,121.106131,4.195707,121.106131,4.195707,0.000000,0.000000
S1806-34-006,121.106367,4.195707,121.106367,4.195707,0.000000,0.000000
S1806-27-003,121.106816,4.195708,121.106816,4.195708,0.000000,0.000000
S1806-27-001,121.105743,4.195706,121.105743,4.195706,0.000000,0.000000
S1806-27-005,121.104605,4.195704,121.104605,4.195704,0.000000,0.000000
S1806-27-012,121.104647,4.195704,121.104647,4.195704,0.000000,0.000000
S1806-34-002,121.102738,4.195701,121.102738,4.195701,0.000000,0.000000
S1806-34-001,121.095719,4.195689,121.095719,4.195689,0.000000,0.000000
S1806-27-010,121.095662,4.195689,121.095662,4.195689,0.000000,0.000000
S1806-27-002,121.090530,4.195681,121.090530,4.195681,0.000000,0.000000
S1806-35-015,121.086065,4.195673,121.086065,4.195673,0.000000,0.000000
S1806-35-032,121.084232,4.195670,121.084232,4.195670,0.000000,0.000000
S1806-35-031,121.084047,4.195665,121.084047,4.195665,0.000000,0.000000
S1806-35-033,121.084047,4.195665,121.084047,4.195665,0.000000,0.000000
S1806-35-052,121.084487,4.195670,121.084487,4.195670,0.000000,0.000000
S1806-35-035,121.084766,4.195671,121.084766,4.195671,0.000000,0.000000
S1806-35-026,121.083218,4.195663,121.083218,4.195663,0.000000,0.000000
S1806-35-034,121.083218,4.195663,121.083218,4.195663,0.000000,0.000000
S1806-35-003,121.082868,4.195663,121.082868,4.195663,0.000000,0.000000
S1806-35-018,121.082868,4.195663,121.082868,4.195663,0.000000,0.000000
S1806-35-004,121.083335,4.195659,121.083335,4.195659,0.000000,0.000000
S1806-35-039,121.083335,4.195659,121.083335,4.195659,0.000000,0.000000
S1806-35-045,121.083335,4.195659,121.083335,4.195659,0.000000,0.000000
S1806-35-046,121.084452,4.195670,121.084452,4.195670,0.000000,0.000000
S1806-35-044,121.085300,4.195672,121.085300,4.195672,0.000000,0.000000
S1806-26-004,121.089711,4.195679,121.089711,4.195679,0.000000,0.000000
S1806-35-048,121.090565,4.195681,121.090565,4.195681,0.000000,0.000000
S1806-34-007,121.100985,4.195698,121.100985,4.195698,0.000000,0.000000
S1806-33-001,121.113684,4.195722,121.113684,4.195722,0.000000,0.000000
S1806-33-063,121.127195,4.195744,121.127195,4.195744,0.000000,0.000000
S1806-28-004,121.127725,4.195731,121.127725,4.195731,0.000000,0.000000
S1806-28-006,121.127725,4.195731,121.127725,4.195731,0.000000,0.000000
S1806-28-008,121.127725,4.195731,121.127725,4.195731,0.000000,0.000000
S1806-28-011,121.127725,4.195731,121.127725,4.195731,0.000000,0.000000
S1806-28-007,121.128983,4.195747,121.128983,4.195747,0.000000,0.000000
S1806-33-035,121.142878,4.195770,121.142878,4.195770,0.000000,0.000000
S1806-28-015,121.218854,4.197906,121.218854,4.197906,0.000000,0.000000
S1806-29-012,120.133575,-0.012588,120.133575,-0.012588,0.000000,0.000000
S1806-20-018,120.023280,-0.015894,120.023280,-0.015894,0.000000,0.000000
S1806-20-066,120.019518,-0.015900,120.019518,-0.015900,0.000000,0.000000
S1806-20-065,120.017479,-0.015904,120.017479,-0.015904,0.000000,0.000000
S1806-20-005,120.014117,-0.015909,120.014117,-0.015909,0.000000,0.000000
S1806-20-012,120.014233,-0.015909,120.014233,-0.015909,0.000000,0.000000
S1806-20-019,120.014350,-0.015909,120.014350,-0.015909,0.000000,0.000000
S1806-20-047,120.014640,-0.015908,120.014640,-0.015908,0.000000,0.000000
S1806-20-013,120.014515,-0.015913,120.014515,-0.015913,0.000000,0.000000
S1806-20-015,120.014515,-0.015913,120.014515,-0.015913,0.000000,0.000000
S1806-20-001,120.015163,-0.015907,120.015163,-0.015907,0.000000,0.000000
S1806-20-010,120.014147,-0.015914,120.014147,-0.015914,0.000000,0.000000
S1806-20-039,120.014147,-0.015914,120.014147,-0.015914,0.000000,0.000000
S1806-20-046,120.014588,-0.015908,120.014588,-0.015908,0.000000,0.000000
S1806-20-034,120.014733,-0.015908,120.014733,-0.015908,0.000000,0.000000
S1806-20-007,120.014626,-0.015913,120.014626,-0.015913,0.000000,0.000000
S1806-20-008,120.014626,-0.015913,120.014626,-0.015913,0.000000,0.000000
S1806-29-011,120.014968,-0.015908,120.014968,-0.015908,0.000000,0.000000
S1806-29-004,120.014896,-0.015908,120.014896,-0.015908,0.000000,0.000000
S1806-29-013,120.014127,-0.015909,120.014127,-0.015909,0.000000,0.000000
S1806-29-009,120.014427,-0.015909,120.014427,-0.015909,0.000000,0.000000
S1806-29-014,120.024354,-0.015892,120.024354,-0.015892,0.000000,0.000000
S1806-21-018,120.026075,-0.015889,120.026075,-0.015889,0.000000,0.000000
S1806-21-014,120.026138,-0.015888,120.026138,-0.015888,0.000000,0.000000
S1806-21-013,120.026038,-0.015893,120.026038,-0.015893,0.000000,0.000000
S1806-21-025,120.026038,-0.015893,120.026038,-0.015893,0.000000,0.000000
S1806-21-021,114.833979,2.080391,114.833979,2.080391,0.000000,0.000000
S1806-21-016,120.014648,-0.022778,120.014648,-0.022778,0.000000,0.000000
S1806-21-012,114.060063,2.075491,114.060063,2.075491,0.000000,0.000000
S1806-21-003,114.060348,2.075492,114.060348,2.075492,0.000000,0.000000
S1806-21-010,114.054138,2.075380,114.054138,2.075380,0.000000,0.000000
S1806-21-026,114.056444,2.075407,114.056444,2.075407,0.000000,0.000000
S1806-17-006,121.491507,4.205337,121.491507,4.205337,0.000000,0.000000
S1806-17-015,121.491507,4.205337,121.491507,4.205337,0.000000,0.000000
S1806-17-008,121.510041,4.205155,121.510041,4.205155,0.000000,0.000000
S1806-20-043,121.510055,4.205155,121.510055,4.205155,0.000000,0.000000
S1806-17-043,121.543580,4.204803,121.543580,4.204803,0.000000,0.000000
S1806-17-044,121.543580,4.204803,121.543580,4.204803,0.000000,0.000000
S1806-20-003,121.543971,4.204809,121.543971,4.204809,0.000000,0.000000
S1806-17-032,121.590111,4.204343,121.590111,4.204343,0.000000,0.000000
S1806-17-011,121.590078,4.204343,121.590078,4.204343,0.000000,0.000000
S1806-17-023,119.444089,-0.022418,119.444089,-0.022418,0.000000,0.000000
S1806-17-047,119.397282,-0.022674,119.397282,-0.022674,0.000000,0.000000
S1806-17-027,119.314523,-0.024235,119.314523,-0.024235,0.000000,0.000000
S1806-17-028,119.442189,-0.022411,119.442189,-0.022411,0.000000,0.000000
S1806-17-036,119.431573,-0.022559,119.431573,-0.022559,0.000000,0.000000
S1806-17-042,119.422885,-0.022782,119.422885,-0.022782,0.000000,0.000000
S1806-17-029,119.328387,-0.024532,119.328387,-0.024532,0.000000,0.000000
S1806-17-014,119.537752,-0.022474,119.537752,-0.022474,0.000000,0.000000
S1806-17-021,119.527580,-0.022662,119.527580,-0.022662,0.000000,0.000000
S1806-17-001,119.541547,-0.022400,119.541547,-0.022400,0.000000,0.000000
S1806-17-035,119.699381,-0.023103,119.699381,-0.023103,0.000000,0.000000
S1806-20-059,119.755790,-0.022368,119.755790,-0.022368,0.000000,0.000000
S1806-20-054,119.765598,-0.022195,119.765598,-0.022195,0.000000,0.000000
S1806-20-062,119.764186,-0.022197,119.764186,-0.022197,0.000000,0.000000
S1806-20-017,119.764241,-0.022197,119.764241,-0.022197,0.000000,0.000000
S1806-17-013,119.762407,-0.022205,119.762407,-0.022205,0.000000,0.000000
S1806-17-020,119.762407,-0.022205,119.762407,-0.022205,0.000000,0.000000
S1806-18-001,119.758844,-0.022206,119.758844,-0.022206,0.000000,0.000000
S1806-20-072,119.758640,-0.022207,119.758640,-0.022207,0.000000,0.000000
S1806-20-056,119.758720,-0.022207,119.758720,-0.022207,0.000000,0.000000
S1806-20-071,119.758703,-0.022207,119.758703,-0.022207,0.000000,0.000000
S1806-17-041,119.755448,-0.022212,119.755448,-0.022212,0.000000,0.000000
S1806-17-017,119.755074,-0.022218,119.755074,-0.022218,0.000000,0.000000
S1806-17-019,119.755074,-0.022218,119.755074,-0.022218,0.000000,0.000000
S1806-18-007,119.754256,-0.022214,119.754256,-0.022214,0.000000,0.000000
S1806-18-005,119.754032,-0.022219,119.754032,-0.022219,0.000000,0.000000
S1806-18-009,119.754032,-0.022219,119.754032,-0.022219,0.000000,0.000000
S1806-18-004,119.754463,-0.022214,119.754463,-0.022214,0.000000,0.000000
S1806-18-003,119.754413,-0.022219,119.754413,-0.022219,0.000000,0.000000
S1806-18-006,119.754413,-0.022219,119.754413,-0.022219,0.000000,0.000000
S1806-17-040,119.754715,-0.022218,119.754715,-0.022218,0.000000,0.000000
S1806-18-008,119.754715,-0.022218,119.754715,-0.022218,0.000000,0.000000
S1806-17-025,119.756663,-0.022210,119.756663,-0.022210,0.000000,0.000000
S1806-17-022,119.756961,-0.022210,119.756961,-0.022210,0.000000,0.000000
S1806-17-039,119.757510,-0.022209,119.757510,-0.022209,0.000000,0.000000
S1806-17-037,119.760472,-0.022208,119.760472,-0.022208,0.000000,0.000000
S1806-17-038,119.760472,-0.022208,119.760472,-0.022208,0.000000,0.000000
S1806-20-067,119.760787,-0.022203,119.760787,-0.022203,0.000000,0.000000
S1806-20-057,121.562614,4.204619,121.562614,4.204619,0.000000,0.000000
S1806-20-004,119.701602,-0.022942,119.701602,-0.022942,0.000000,0.000000
S1806-20-063,119.742766,-0.022213,119.742766,-0.022213,0.000000,0.000000
S1806-20-022,119.734357,-0.022242,119.734357,-0.022242,0.000000,0.000000
S1806-20-050,119.734357,-0.022242,119.734357,-0.022242,0.000000,0.000000
S1806-20-052,119.734357,-0.022242,119.734357,-0.022242,0.000000,0.000000
S1806-20-053,119.734357,-0.022242,119.734357,-0.022242,0.000000,0.000000
S1806-20-024,119.734396,-0.022242,119.734396,-0.022242,0.000000,0.000000
S1806-20-033,119.734396,-0.022242,119.734396,-0.022242,0.000000,0.000000
S1806-20-035,119.734396,-0.022242,119.734396,-0.022242,0.000000,0.000000
S1806-20-058,119.734396,-0.022242,119.734396,-0.022242,0.000000,0.000000
S1806-20-025,119.734936,-0.022241,119.734936,-0.022241,0.000000,0.000000
S1806-20-038,119.734936,-0.022241,119.734936,-0.022241,0.000000,0.000000
S1806-20-040,119.734936,-0.022241,119.734936,-0.022241,0.000000,0.000000
S1806-20-064,119.734936,-0.022241,119.734936,-0.022241,0.000000,0.000000
S1806-20-049,119.735997,-0.022225,119.735997,-0.022225,0.000000,0.000000
S1806-20-029,119.736509,-0.022229,119.736509,-0.022229,0.000000,0.000000
S1806-20-037,119.736509,-0.022229,119.736509,-0.022229,0.000000,0.000000
S1806-20-021,119.736695,-0.022233,119.736695,-0.022233,0.000000,0.000000
S1806-20-051,119.736695,-0.022233,119.736695,-0.022233,0.000000,0.000000
S1806-20-061,119.736695,-0.022233,119.736695,-0.022233,0.000000,0.000000
S1806-20-028,119.737735,-0.022227,119.737735,-0.022227,0.000000,0.000000
S1806-20-030,119.737735,-0.022227,119.737735,-0.022227,0.000000,0.000000
S1806-20-036,119.738620,-0.022230,119.738620,-0.022230,0.000000,0.000000
S1806-20-055,119.738620,-0.022230,119.738620,-0.022230,0.000000,0.000000
S1806-20-068,119.738620,-0.022230,119.738620,-0.022230,0.000000,0.000000
S1806-20-023,119.738512,-0.022239,119.738512,-0.022239,0.000000,0.000000
S1806-20-031,119.738512,-0.022239,119.738512,-0.022239,0.000000,0.000000
S1806-20-032,119.738512,-0.022239,119.738512,-0.022239,0.000000,0.000000
S1806-20-041,119.738512,-0.022239,119.738512,-0.022239,0.000000,0.000000
S1806-20-060,119.738512,-0.022239,119.738512,-0.022239,0.000000,0.000000
S1806-20-070,119.742626,-0.022213,119.742626,-0.022213,0.000000,0.000000
S1806-16-011,120.819263,-0.023677,120.819263,-0.023677,0.000000,0.000000
S1806-17-046,121.330552,4.210602,121.330552,4.210602,0.000000,0.000000
S1806-09-005,121.317438,4.210935,121.317438,4.210935,0.000000,0.000000
S1806-09-017,121.316686,4.210934,121.316686,4.210934,0.000000,0.000000
S1806-16-012,121.315742,4.210932,121.315742,4.210932,0.000000,0.000000
S1806-09-012,121.316107,4.210933,121.316107,4.210933,0.000000,0.000000
S1806-16-007,121.316249,4.210933,121.316249,4.210933,0.000000,0.000000
S1806-16-003,121.317247,4.210935,121.317247,4.210935,0.000000,0.000000
S1806-09-008,121.319619,4.210938,121.319619,4.210938,0.000000,0.000000
S1806-17-045,112.396194,2.060648,112.396194,2.060648,0.000000,0.000000
S1806-08-021,121.270060,-0.025472,121.270060,-0.025472,0.000000,0.000000
S1806-08-026,121.270060,-0.025472,121.270060,-0.025472,0.000000,0.000000
S1806-08-012,121.622992,-0.026585,121.622992,-0.026585,0.000000,0.000000
S1806-08-017,110.919522,2.049419,110.919522,2.049419,0.000000,0.000000
S1806-08-009,121.740911,-0.026972,121.740911,-0.026972,0.000000,0.000000
S1806-08-010,121.740911,-0.026972,121.740911,-0.026972,0.000000,0.000000
S1806-08-018,121.740911,-0.026972,121.740911,-0.026972,0.000000,0.000000
S1806-08-020,121.755171,-0.027728,121.755171,-0.027728,0.000000,0.000000
S1806-05-057,121.134560,4.218784,121.134560,4.218784,0.000000,0.000000
S1806-05-123,121.134650,4.218784,121.134650,4.218784,0.000000,0.000000
S1806-05-053,121.134434,4.218779,121.134434,4.218779,0.000000,0.000000
S1806-05-156,121.134434,4.218779,121.134434,4.218779,0.000000,0.000000
S1806-05-118,121.134937,4.218784,121.134937,4.218784,0.000000,0.000000
S1806-05-050,121.134733,4.218775,121.134733,4.218775,0.000000,0.000000
S1806-05-082,121.134733,4.218775,121.134733,4.218775,0.000000,0.000000
S1806-08-002,121.134733,4.218775,121.134733,4.218775,0.000000,0.000000
S1806-05-226,121.135291,4.218780,121.135291,4.218780,0.000000,0.000000
S1806-08-019,121.135291,4.218780,121.135291,4.218780,0.000000,0.000000
S1806-05-137,121.136113,4.218786,121.136113,4.218786,0.000000,0.000000
S1806-08-024,121.136720,4.218787,121.136720,4.218787,0.000000,0.000000
S1806-05-163,121.137032,4.218788,121.137032,4.218788,0.000000,0.000000
S1806-05-178,110.401559,2.045702,110.401559,2.045702,0.000000,0.000000
S1806-05-200,110.401559,2.045702,110.401559,2.045702,0.000000,0.000000
S1806-05-201,110.401559,2.045702,110.401559,2.045702,0.000000,0.000000
S1806-05-204,110.401559,2.045702,110.401559,2.045702,0.000000,0.000000
S1806-05-220,110.401559,2.045702,110.401559,2.045702,0.000000,0.000000
S1806-05-194,110.405352,2.045747,110.405352,2.045747,0.000000,0.000000
S1806-05-195,110.411442,2.045862,110.411442,2.045862,0.000000,0.000000
S1806-05-225,110.411442,2.045862,110.411442,2.045862,0.000000,0.000000
S1806-05-233,110.411442,2.045862,110.411442,2.045862,0.000000,0.000000
S1806-05-198,110.415346,2.045880,110.415346,2.045880,0.000000,0.000000
S1806-05-135,110.241371,2.045333,110.241371,2.045333,0.000000,0.000000
S1806-05-144,110.241371,2.045333,110.241371,2.045333,0.000000,0.000000
S1806-05-149,110.241371,2.045333,110.241371,2.045333,0.000000,0.000000
S1806-05-150,110.241371,2.045333,110.241371,2.045333,0.000000,0.000000
S1806-05-219,110.057143,2.045274,110.057143,2.045274,0.000000,0.000000
S1806-03-006,108.816008,2.042994,108.816008,2.042994,0.000000,0.000000
S1906-34-014,108.691833,2.042598,108.691833,2.042598,0.000000,0.000000
S1906-34-019,108.698445,2.042697,108.698445,2.042697,0.000000,0.000000
S1906-34-015,108.709297,2.042792,108.709297,2.042792,0.000000,0.000000
S1906-33-006,108.717430,2.042820,108.717430,2.042820,0.000000,0.000000
S1906-33-010,108.596515,2.042538,108.596515,2.042538,0.000000,0.000000
S1906-34-021,108.589426,2.042573,108.589426,2.042573,0.000000,0.000000
S1906-34-022,108.566999,2.042519,108.566999,2.042519,0.000000,0.000000
S1906-34-010,108.286436,2.041970,108.286436,2.041970,0.000000,0.000000
S1906-34-004,108.278007,2.041907,108.278007,2.041907,0.000000,0.000000
S1906-34-002,108.281294,2.041971,108.281294,2.041971,0.000000,0.000000
S1906-34-012,108.273887,2.041839,108.273887,2.041839,0.000000,0.000000
S1906-34-018,108.290035,2.041990,108.290035,2.041990,0.000000,0.000000
S1906-26-014,108.252966,2.041862,108.252966,2.041862,0.000000,0.000000
S1906-26-005,108.247332,2.041746,108.247332,2.041746,0.000000,0.000000
S1906-26-015,108.257850,2.041930,108.257850,2.041930,0.000000,0.000000
S1906-34-003,108.256312,2.041843,108.256312,2.041843,0.000000,0.000000
S1906-26-009,108.251313,2.041885,108.251313,2.041885,0.000000,0.000000
S1906-26-013,108.254815,2.041913,108.254815,2.041913,0.000000,0.000000
S1906-26-008,108.244162,2.041688,108.244162,2.041688,0.000000,0.000000
S1906-27-002,108.244162,2.041688,108.244162,2.041688,0.000000,0.000000
S1906-34-001,108.266419,2.041835,108.266419,2.041835,0.000000,0.000000
S1906-27-016,108.271452,2.041835,108.271452,2.041835,0.000000,0.000000
S1906-27-011,108.305147,2.042022,108.305147,2.042022,0.000000,0.000000
S1906-34-006,108.320641,2.042044,108.320641,2.042044,0.000000,0.000000
S1906-27-012,108.319390,2.042021,108.319390,2.042021,0.000000,0.000000
S1906-27-006,108.313028,2.041725,108.313028,2.041725,0.000000,0.000000
S1906-34-017,108.313028,2.041725,108.313028,2.041725,0.000000,0.000000
S1906-34-020,108.313028,2.041725,108.313028,2.041725,0.000000,0.000000
S1906-34-007,108.338065,2.042048,108.338065,2.042048,0.000000,0.000000
S1906-27-010,108.342488,2.041942,108.342488,2.041942,0.000000,0.000000
S1906-34-013,108.342488,2.041942,108.342488,2.041942,0.000000,0.000000
S1906-27-007,108.407806,2.042221,108.407806,2.042221,0.000000,0.000000
S1906-27-005,108.423028,2.042120,108.423028,2.042120,0.000000,0.000000
S1906-27-008,108.423028,2.042120,108.423028,2.042120,0.000000,0.000000
S1906-27-014,108.423028,2.042120,108.423028,2.042120,0.000000,0.000000
S1906-34-008,108.423028,2.042120,108.423028,2.042120,0.000000,0.000000
S1906-28-023,108.427750,2.042260,108.427750,2.042260,0.000000,0.000000
S1906-28-018,108.424551,2.042196,108.424551,2.042196,0.000000,0.000000
S1906-34-009,108.491801,2.042376,108.491801,2.042376,0.000000,0.000000
S1906-34-016,108.508822,2.042200,108.508822,2.042200,0.000000,0.000000
S1806-03-017,108.857126,2.043087,108.857126,2.043087,0.000000,0.000000
S1806-03-011,108.861010,2.043082,108.861010,2.043082,0.000000,0.000000
S1806-03-027,108.861160,2.043082,108.861160,2.043082,0.000000,0.000000
S1806-03-007,108.860302,2.043058,108.860302,2.043058,0.000000,0.000000
S1806-03-012,108.860302,2.043058,108.860302,2.043058,0.000000,0.000000
S1806-03-013,108.856963,2.042977,108.856963,2.042977,0.000000,0.000000
S1806-03-025,108.856963,2.042977,108.856963,2.042977,0.000000,0.000000
S1806-03-035,108.856963,2.042977,108.856963,2.042977,0.000000,0.000000
S1806-03-018,108.859887,2.042988,108.859887,2.042988,0.000000,0.000000
S1806-03-028,108.859887,2.042988,108.859887,2.042988,0.000000,0.000000
S1806-03-036,108.859887,2.042988,108.859887,2.042988,0.000000,0.000000
S1806-03-039,108.859887,2.042988,108.859887,2.042988,0.000000,0.000000
S1806-03-034,108.869120,2.043109,108.869120,2.043109,0.000000,0.000000
S1806-03-005,108.871083,2.043095,108.871083,2.043095,0.000000,0.000000
S1806-03-024,108.871083,2.043095,108.871083,2.043095,0.000000,0.000000
S1806-03-029,108.871083,2.043095,108.871083,2.043095,0.000000,0.000000
S1806-03-037,108.871083,2.043095,108.871083,2.043095,0.000000,0.000000
S1806-03-016,108.878916,2.043127,108.878916,2.043127,0.000000,0.000000
S1806-03-010,108.938906,2.043226,108.938906,2.043226,0.000000,0.000000
S1806-03-003,108.957623,2.043245,108.957623,2.043245,0.000000,0.000000
S1806-03-019,108.957623,2.043245,108.957623,2.043245,0.000000,0.000000
S1806-03-009,108.969162,2.043294,108.969162,2.043294,0.000000,0.000000
S1806-03-008,109.006201,2.043360,109.006201,2.043360,0.000000,0.000000
S1806-03-014,109.004057,2.043316,109.004057,2.043316,0.000000,0.000000
S1806-03-015,109.004057,2.043316,109.004057,2.043316,0.000000,0.000000
S1806-11-001,108.919683,2.043044,108.919683,2.043044,0.000000,0.000000
S1806-02-003,108.871990,2.043110,108.871990,2.043110,0.000000,0.000000
S1907-31-002,108.636652,2.042536,108.636652,2.042536,0.000000,0.000000
S1907-31-004,108.645544,2.042656,108.645544,2.042656,0.000000,0.000000
S1807-06-001,108.662179,2.042716,108.662179,2.042716,0.000000,0.000000
S1807-06-002,108.666968,2.042634,108.666968,2.042634,0.000000,0.000000
S1906-36-002,108.683405,2.042732,108.683405,2.042732,0.000000,0.000000
S1906-36-001,108.708739,2.042753,108.708739,2.042753,0.000000,0.000000
S1806-01-003,108.717144,2.042776,108.717144,2.042776,0.000000,0.000000
S1806-01-002,108.736999,2.042855,108.736999,2.042855,0.000000,0.000000
S1806-02-007,108.740355,2.042693,108.740355,2.042693,0.000000,0.000000
S1806-02-006,108.751132,2.042881,108.751132,2.042881,0.000000,0.000000
S1806-02-002,108.787373,2.042810,108.787373,2.042810,0.000000,0.000000
S1806-02-009,108.847457,2.043065,108.847457,2.043065,0.000000,0.000000
S1806-02-005,108.861929,2.043092,108.861929,2.043092,0.000000,0.000000
S1806-02-010,108.908541,2.043178,108.908541,2.043178,0.000000,0.000000
S1806-02-008,108.920294,2.043130,108.920294,2.043130,0.000000,0.000000
S1806-03-021,108.946564,2.043100,108.946564,2.043100,0.000000,0.000000
S1806-03-020,108.995135,2.043176,108.995135,2.043176,0.000000,0.000000
S1806-03-001,109.026896,2.043272,109.026896,2.043272,0.000000,0.000000
S1806-03-023,109.083812,2.043381,109.083812,2.043381,0.000000,0.000000
S1806-10-003,109.083812,2.043381,109.083812,2.043381,0.000000,0.000000
S1806-10-001,109.135126,2.043490,109.135126,2.043490,0.000000,0.000000
S1806-09-003,109.241217,2.043794,109.241217,2.043794,0.000000,0.000000
S1806-09-004,109.352709,2.043951,109.352709,2.043951,0.000000,0.000000
S1806-09-010,109.437949,2.044089,109.437949,2.044089,0.000000,0.000000
S1806-09-014,109.801438,2.044819,109.801438,2.044819,0.000000,0.000000
S1806-04-067,109.853833,2.044817,109.853833,2.044817,0.000000,0.000000
S1806-04-229,109.917761,2.045000,109.917761,2.045000,0.000000,0.000000
S1806-04-048,109.968071,2.045041,109.968071,2.045041,0.000000,0.000000
S1806-09-002,110.028493,2.045158,110.028493,2.045158,0.000000,0.000000
S1806-08-014,109.934383,2.044797,109.934383,2.044797,0.000000,0.000000
S1806-09-011,109.941203,2.044946,109.941203,2.044946,0.000000,0.000000
S1806-08-025,109.930288,2.044876,109.930288,2.044876,0.000000,0.000000
S1806-09-015,109.938089,2.044915,109.938089,2.044915,0.000000,0.000000
S1806-08-007,109.958348,2.045100,109.958348,2.045100,0.000000,0.000000
S1806-08-005,109.954870,2.044846,109.954870,2.044846,0.000000,0.000000
