xBase,yBase
-84.946092,30.134247
Bus Name,xVal,yVal,xDif,yDif,xAdj,yAdj
m1108317,1681178.0203,12271853.491,-12776.009800000116,-5724.265999998897,-84.9844200294,30.117074202
l2820590,1680994.712,12271973.442,-12959.318100000033,-5604.3149999994785,-84.9849699543,30.117434055
m1108328,1680988.1461,12272155.173,-12965.884000000078,-5422.5839999988675,-84.984989652,30.117979248
l2875754,1681057.9174,12272155.808,-12896.112700000172,-5421.948999999091,-84.9847803381,30.117981153000002
l2767414,1680868.5716,12272156.55,-13085.458500000183,-5421.20699999854,-84.9853483755,30.117983379
m1108331,1680569.3506,12272323.576,-13384.679500000086,-5254.180999999866,-84.9862460385,30.118484456999997
l2692664,1680809.2206,12272574.731,-13144.809500000207,-5003.025999998674,-84.9855264285,30.119237922000003
l3045895,1680562.7028,12272323.097,-13391.327300000004,-5254.660000000149,-84.98626598189999,30.11848302
l2935552,1679769.4592,12272277.758,-14184.570900000166,-5299.998999999836,-84.98864571269999,30.118347003
m1108340,1679666.5881,12273112.781,-14287.44200000004,-4464.975999999791,-84.988954326,30.120852071999998
l2916605,1679681.8785,12273072.051,-14272.151599999983,-4505.705999998376,-84.9889084548,30.120729882000003
m1108344,1679520.7787,12273290.138,-14433.251400000183,-4287.6189999990165,-84.9893917542,30.121384143
m1108353,1679285.2587,12273623.36,-14668.771400000202,-3954.396999999881,-84.9900983142,30.122383809
l3048205,1679132.3305,12273857.278,-14821.699600000167,-3720.4789999984205,-84.9905570988,30.123085563000004
m1108361,1678780.652,12274395.202,-15173.378100000089,-3182.554999999702,-84.9916121343,30.124699335
m1089155,1678680.8202,12274800.649,-15273.209900000133,-2777.107999999076,-84.9919116297,30.125915676
m1089158,1678597.5485,12275124.192,-15356.481600000057,-2453.5649999994785,-84.99216144479999,30.126886305
m1089162,1678413.5685,12275685.11,-15540.461600000039,-1892.6469999998808,-84.9927133848,30.128569059
l2991640,1678042.1268,12275646.751,-15911.903300000122,-1931.0059999991208,-84.99382770989999,30.128453982
l3066807,1677482.048,12276119.471,-16471.98210000014,-1458.2859999984503,-84.9955079463,30.129872142000004
l3197626,1678767.6103,12275665.122,-15186.419800000032,-1912.6349999997765,-84.99165125939999,30.128509095
m1089165,1678152.4116,12276490.199,-15801.618500000099,-1087.5580000001937,-84.9934968555,30.130984325999997
l3216343,1678491.3802,12276860.49,-15462.649900000077,-717.2669999990612,-84.9924799497,30.132095199000002
l3082981,1678712.9041,12276757.525,-15241.126000000164,-820.2319999989122,-84.991815378,30.131786304000002
m1108368,1679175.6293,12276675.56,-14778.400800000178,-902.1969999987632,-84.9904272024,30.131540409000003
l3085393,1679174.4005,12276906.369,-14779.629600000102,-671.3879999984056,-84.99043088879999,30.132232836000004
l2897770,1679404.8087,12276647.289,-14549.221400000155,-930.4679999984801,-84.98973966419999,30.131455596000002
l3197627,1677744.8801,12276407.301,-16209.15000000014,-1170.4559999983758,-84.99471944999999,30.130735632000004
l2748128,1678081.5795,12276612.309,-15872.450600000098,-965.4479999989271,-84.99370935179999,30.131350656000002
m1089170,1677786.5815,12277100.729,-16167.448600000003,-477.0279999990016,-84.9945943458,30.132815916000002
l2879062,1677286.251,12277347.32,-16667.77910000016,-230.43699999898672,-84.99609533729999,30.133555689
m1089173,1677019.2409,12277474.73,-16934.7892,-103.02699999883771,-84.99689636759999,30.133937919
l2935551,1677018.7535,12277674.394,-16935.276599999983,96.63700000010431,-84.99689782979999,30.134536910999998
d5746546-1_int,1693954.0301,12277577.757,0.0,0.0,-84.946092,30.134247
e182723,1677018.7781,12277779.51,-16935.252000000095,201.75300000049174,-84.996897756,30.134852259
m1089177,1677022.9396,12277941.04,-16931.090500000166,363.2829999998212,-84.99688527149999,30.135336848999998
l2729406,1677474.0403,12277937.75,-16479.989800000098,359.99300000071526,-84.99553196939999,30.135326979000002
l2897768,1678112.7582,12277952.062,-15841.27190000005,374.3050000015646,-84.9936158157,30.135369915000002
l2822863,1677032.9093,12278380.172,-16921.12080000015,802.4150000009686,-84.9968553624,30.136654245000003
m1089188,1677050.3787,12279840.199,-16903.65140000009,2262.4419999998063,-84.99680295419999,30.141034325999996
l2841619,1677511.3999,12279905.731,-16442.630200000014,2327.974000001326,-84.99541989059999,30.141230922000002
l2785515,1677454.8587,12280283.12,-16499.17140000011,2705.3629999998957,-84.99558951419999,30.142363089
l2673306,1677113.9486,12280080.339,-16840.081500000088,2502.5820000004023,-84.9966122445,30.141754746
p827501,1676630.0185,12277686.551,-17324.011600000085,108.79400000162423,-84.9980640348,30.134573382000003
m1089176,1676247.6692,12277877.699,-17706.360900000203,299.9419999998063,-84.9992110827,30.135146825999996
m1089179,1676036.3402,12277961.798,-17917.689900000114,384.0410000011325,-84.99984506969999,30.135399123000003
m1069451,1675667.8517,12278022.259,-18286.17840000009,444.5020000003278,-85.00095053519999,30.135580506
l2804282,1674999.7491,12278102.991,-18954.281000000192,525.2340000011027,-85.002954843,30.135822702000002
l3104154,1674732.8209,12278111.462,-19221.209200000158,533.7050000000745,-85.0037556276,30.135848114999998
l3104155,1674600.8396,12278118.372,-19353.190500000026,540.6150000002235,-85.00415157149999,30.135868844999997
m1069456,1674393.3035,12278144.013,-19560.72660000017,566.2560000009835,-85.0047741798,30.135945768000003
l2897806,1674353.6501,12278347.101,-19600.38000000012,769.3440000005066,-85.00489314,30.136555032
d5837361-8_int,1693954.0301,12277577.757,0.0,0.0,-84.946092,30.134247
l2673307,1677027.6213,12277198.979,-16926.408800000092,-378.7779999990016,-84.99687122639999,30.133110666
l3085392,1677610.7811,12276913.439,-16343.249000000069,-664.3179999999702,-84.995121747,30.132254046
l3029497,1677909.4819,12277195.809,-16044.548200000077,-381.9479999989271,-84.9942256446,30.133101156000002
m3037540,1678913.3788,12274857.149,-15040.651300000027,-2720.607999999076,-84.99121395389999,30.126085176
l2710509,1678923.9874,12274859.93,-15030.042700000107,-2717.8269999995828,-84.9911821281,30.126093519
l2897766,1679556.0084,12275027.456,-14398.021700000158,-2550.3009999990463,-84.98928606509999,30.126596097
l2822862,1678869.0682,12275043.431,-15084.961899999995,-2534.325999999419,-84.9913468857,30.126644022
l3066806,1679076.2808,12275088.389,-14877.749300000025,-2489.3679999988526,-84.99072524789999,30.126778896
l2935550,1678457.7111,12274937.832,-15496.319000000134,-2639.9249999988824,-84.99258095699999,30.126327225
l3048228,1678880.8893,12274434.72,-15073.140800000168,-3143.036999998614,-84.99131142239999,30.124817889000003
l2991940,1679157.0375,12274546.054,-14796.992599999998,-3031.7029999997467,-84.9904829778,30.125151890999998
l2804250,1679564.1513,12273412.019,-14389.878800000064,-4165.737999999896,-84.98926163639999,30.121749786
l2820583,1679650.7817,12273621.582,-14303.248400000157,-3956.1749999988824,-84.9890017452,30.122378475
m1108350,1680382.229,12273571.292,-13571.80110000004,-4006.464999999851,-84.98680740329999,30.122227605
l3198356,1680570.4483,12273443.55,-13383.581800000044,-4134.20699999854,-84.98624274539999,30.121844379000002
m1108356,1681452.268,12273720.009,-12501.762100000167,-3857.747999999672,-84.9835972863,30.122673756
l2842390,1681437.4282,12273947.329,-12516.601900000125,-3630.427999999374,-84.98364180569999,30.123355716
l2674052,1681649.2323,12273664.697,-12304.797800000058,-3913.059999998659,-84.98300639339999,30.122507820000003
l3048968,1680113.0808,12274442.982,-13840.949299999978,-3134.77499999851,-84.98761484789999,30.124842675000004
l2822865,1679501.8306,12272883.708,-14452.199500000104,-4694.0489999987185,-84.98944859849999,30.120164853000002
l2916606,1679248.0384,12272884.671,-14705.99170000013,-4693.085999999195,-84.99020997509999,30.120167742
l2822864,1679085.9719,12272763.388,-14868.058200000087,-4814.3689999990165,-84.99069617459999,30.119803893
l3085394,1679334.7097,12273164.981,-14619.320400000084,-4412.775999998674,-84.9899499612,30.121008672000002
l3160878,1681028.9095,12272838.738,-12925.120600000024,-4739.018999999389,-84.9848673618,30.120029943
l2917336,1681026.7919,12273476.85,-12927.238200000022,-4100.906999999657,-84.9848737146,30.121944279
m1108311,1681478.8019,12271556.129,-12475.228200000012,-6021.627999998629,-84.98351768459999,30.116182116
l2898526,1681401.6291,12271531.684,-12552.40100000007,-6046.072999998927,-84.98374920299999,30.116108781
l2879773,1681411.6807,12271272.539,-12542.349400000181,-6305.21799999848,-84.98371904819999,30.115331346
m1108298,1681297.902,12270990.59,-12656.128100000089,-6587.166999999434,-84.9840603843,30.114485499
196-36167,1681227.0453,12270882.997,-12726.984799999977,-6694.7599999997765,-84.9842729544,30.11416272
l3011298,1681079.8883,12270659.539,-12874.1418000001,-6918.21799999848,-84.9847144254,30.113492346000005
m1108295,1680836.5081,12270559.921,-13117.522000000114,-7017.835999999195,-84.985444566,30.113193492
l2936279,1680562.3997,12270541.411,-13391.63040000014,-7036.345999998972,-84.98626689119999,30.113137962000003
l3179678,1680264.342,12270391.391,-13689.688100000145,-7186.365999998525,-84.9871610643,30.112687902
l2804249,1679930.2558,12270197.584,-14023.774300000165,-7380.172999998555,-84.9881633229,30.112106481
l2688693,1679428.3279,12270111.806,-14525.702200000174,-7465.950999999419,-84.98966910659999,30.111849147
l2688692,1679300.3689,12270099.604,-14653.661200000206,-7478.152999999002,-84.9900529836,30.111812541000003
m1108286,1679283.7227,12270098.019,-14670.307400000049,-7479.737999999896,-84.9901029222,30.111807786
l2933164,1679025.6501,12270065.238,-14928.380000000121,-7512.518999999389,-84.99087714,30.111709443
l3029498,1678821.8291,12269978.71,-15132.201000000117,-7599.046999998391,-84.991488603,30.111449859000004
m1089143,1678554.2292,12269872.862,-15399.800900000148,-7704.894999999553,-84.99229140269999,30.111132315
l3141400,1678773.4594,12269650.588,-15180.57070000004,-7927.168999999762,-84.9916337121,30.110465493
m1089141,1678190.189,12269607.232,-15763.841100000078,-7970.52499999851,-84.9933835233,30.110335425000002
l2673316,1678272.5391,12269589.001,-15681.491000000155,-7988.755999999121,-84.99313647299999,30.110280732
l2841628,1678277.8844,12269110.76,-15676.145699999994,-8466.996999999508,-84.99312043709999,30.108846009
l3160107,1677893.9417,12269397.971,-16060.088400000008,-8179.78599999845,-84.9942722652,30.109707642000004
l3104125,1677603.351,12269196.211,-16350.679100000067,-8381.54600000009,-84.9951440373,30.109102361999998
m1089131,1677487.4793,12269148.05,-16466.550800000085,-8429.70699999854,-84.99549165239999,30.108957879000002
l3270854,1677591.5217,12269019.116,-16362.508400000166,-8558.640999998897,-84.99517952519999,30.108571077
l3029502,1677199.8417,12269021.598,-16754.1884000001,-8556.158999999985,-84.9963545652,30.108578523
d6138608-3_int,1693954.0301,12277577.757,0.0,0.0,-84.946092,30.134247
q14404,1693954.0301,12277577.757,0.0,0.0,-84.946092,30.134247
regxfmr_190-7361,1693954.0301,12277577.757,0.0,0.0,-84.946092,30.134247
190-7361,1676925.803,12268910.642,-17028.22710000002,-8667.11499999836,-84.99717668129999,30.108245655000005
m1089119,1676733.5613,12268828.222,-17220.468800000148,-8749.535000000149,-84.9977534064,30.107998395
m1089113,1677067.3034,12268367.512,-16886.7267,-9210.24499999918,-84.99675218009999,30.106616265
l2691946,1676878.9324,12268204.077,-17075.097700000042,-9373.679999999702,-84.9973172931,30.10612596
m1089103,1677900.6714,12267225.74,-16053.358699999982,-10352.016999999061,-84.9942520761,30.103190949000002
l3048196,1678047.7015,12267075.699,-15906.328600000124,-10502.058000000194,-84.9938109858,30.102740825999998
m1089097,1678669.7692,12266422.088,-15284.26090000011,-11155.668999999762,-84.99194478269999,30.100779993
l2785516,1679341.1609,12266512.331,-14612.869200000074,-11065.425999999046,-84.98993060759999,30.101050722
m1108274,1679829.3877,12266599.179,-14124.642400000012,-10978.577999999747,-84.9884659272,30.101311266
l2729405,1679922.1744,12266170.106,-14031.85570000019,-11407.650999998674,-84.9881875671,30.100024047
l2786273,1680133.6099,12266654.319,-13820.420200000051,-10923.43799999915,-84.9875532606,30.101476686
m1108278,1680482.1754,12266717.868,-13471.854700000025,-10859.88899999857,-84.9865075641,30.101667333
l2805036,1680695.4214,12266761.249,-13258.608699999982,-10816.507999999449,-84.98586782609999,30.101797476
l3179699,1680608.492,12266361.861,-13345.538100000005,-11215.895999999717,-84.9861286143,30.100599312
m1108264,1679540.5419,12260421.059,-14413.488200000022,-17156.697999998927,-84.9893324646,30.082776906000003
m1108263,1679627.6515,12260104.77,-14326.378600000171,-17472.98699999973,-84.98907113579999,30.081828038999998
m1108259,1680069.868,12259517.289,-13884.162100000074,-18060.46799999848,-84.98774448629999,30.080065596000004
m1108258,1680136.0798,12259380.839,-13817.950300000142,-18196.917999999598,-84.98754585089999,30.079656246
l3195318,1680280.5376,12259421.229,-13673.492500000168,-18156.527999999,-84.98711247749999,30.079777416000002
l3142078,1680082.4304,12257810.039,-13871.599700000137,-19767.71799999848,-84.9877067991,30.074943846000004
l2879752,1680008.6615,12257374.18,-13945.368600000162,-20203.576999999583,-84.9879281058,30.073636269
l2673305,1678256.2616,12267274.982,-15697.768500000006,-10302.77499999851,-84.99318530549999,30.103338675000003
m1089118,1676496.022,12268725.482,-17458.008099999977,-8852.27499999851,-84.99846602429999,30.107690175000002
l3048208,1676550.5684,12268587.242,-17403.4617000001,-8990.514999998733,-84.99830238509999,30.107275455000003
m1089115,1676011.1211,12268510.458,-17942.908999999985,-9067.298999998719,-84.99992072699999,30.107045103
l2991911,1675969.4115,12268742.362,-17984.61860000016,-8835.394999999553,-85.0000458558,30.107740815
m1089112,1675750.8695,12268360.811,-18203.16060000006,-9216.9459999986,-85.0007014818,30.106596162000002
l2691951,1675749.1205,12268574.192,-18204.90960000013,-9003.564999999478,-85.0007067288,30.107236305
l2879076,1675732.63,12268835.828,-18221.400100000203,-8741.928999999538,-85.00075620029999,30.108021213
m1089122,1675732.2859,12268915.368,-18221.744200000074,-8662.38899999857,-85.0007572326,30.108259833
l2727795,1675431.3896,12268915.368,-18522.64049999998,-8662.38899999857,-85.00165992149999,30.108259833
l2972704,1675326.2167,12268914.226,-18627.8134000001,-8663.530999999493,-85.0019754402,30.108256407
l3263051,1675210.7545,12269045.117,-18743.27560000005,-8532.639999998733,-85.0023218268,30.108649080000003
l2785525,1674740.9064,12269044.548,-19213.123700000113,-8533.208999998868,-85.00373137109999,30.108647373
m1089132,1675731.2087,12269164.97,-18222.821400000015,-8412.786999998614,-85.0007604642,30.109008639000002
l3029503,1675660.0898,12269301.801,-18293.940300000133,-8275.955999998376,-85.0009738209,30.109419132000003
m1069202,1675577.6701,12269491.45,-18376.360000000102,-8086.30700000003,-85.00122108,30.109988078999997
l2879073,1675411.139,12269853.84,-18542.891100000124,-7723.916999999434,-85.0017206733,30.111075249
m1069205,1675327.1219,12270040.99,-18626.90820000018,-7536.766999999061,-85.0019727246,30.111636699
m1069208,1675278.3385,12270149.641,-18675.69160000002,-7428.115999998525,-85.00211907479999,30.111962652000003
l2691945,1675222.1619,12270097.159,-18731.868200000143,-7480.5979999993,-85.0022876046,30.111805206
m1069213,1674917.8618,12270440.231,-19036.16830000002,-7137.525999998674,-85.0032005049,30.112834422000002
l3178977,1674887.8013,12270309.368,-19066.228800000157,-7268.3889999985695,-85.00329068639999,30.112441833000002
l3160105,1674842.1719,12270119.101,-19111.858200000133,-7458.655999999493,-85.0034275746,30.111871032
l3235251,1674584.513,12270202.168,-19369.517100000056,-7375.588999999687,-85.00420055129999,30.112120233
m1069217,1674667.8092,12270634.73,-19286.220900000073,-6943.026999998838,-85.00395066269999,30.113417919000003
l2954350,1674465.1596,12270427.399,-19488.870500000194,-7150.357999999076,-85.00455861149999,30.112795926
l2841625,1674152.8806,12269812.388,-19801.149500000058,-7765.3689999990165,-85.0054954485,30.110950893000002
l3010566,1674207.7015,12269531.939,-19746.328600000124,-8045.81799999997,-85.00533098579999,30.110109545999997
l2841626,1674657.262,12270642.91,-19296.768099999987,-6934.846999999136,-85.0039823043,30.113442459
l3235266,1674402.2983,12270813.762,-19551.731800000183,-6763.99499999918,-85.0047471954,30.113955015000002
l2801950,1674219.158,12270999.057,-19734.872100000037,-6578.699999999255,-85.00529661629999,30.1145109
m1069224,1674133.5393,12271064.781,-19820.49080000003,-6512.975999999791,-85.0055534724,30.114708072
m1069218,1673879.5217,12270765.63,-20074.508400000166,-6812.126999998465,-85.0063155252,30.113810619000002
l2954351,1674035.9685,12270514.209,-19918.061600000132,-7063.547999998555,-85.00584618479999,30.113056356
l2860486,1673871.7189,12270757.172,-20082.311200000113,-6820.584999999031,-85.00633893359999,30.113785245000003
l3141399,1673647.2007,12270513.681,-20306.829400000162,-7064.075999999419,-85.00701248819999,30.113054772
m1069210,1673474.0096,12270330.34,-20480.0205000001,-7247.416999999434,-85.00753206149999,30.112504749
l3085400,1673321.1878,12270112.326,-20632.842300000135,-7465.430999999866,-85.00799052689999,30.111850707
m1069226,1674318.1706,12271424.279,-19635.85950000002,-6153.478000000119,-85.00499957849999,30.115786565999997
d5712486-1_int,1693954.0301,12277577.757,0.0,0.0,-84.946092,30.134247
e206210,1674340.9198,12271409.124,-19613.11030000006,-6168.632999999449,-85.00493133089999,30.115741101
m1069225,1674353.4863,12271400.752,-19600.5438000001,-6177.004999998957,-85.0048936314,30.115715985
l2897776,1674459.4908,12271330.141,-19494.539300000062,-6247.615999998525,-85.00457561789999,30.115504152000003
l3254215,1674907.8307,12271214.621,-19046.19940000004,-6363.13599999994,-85.00323059819999,30.115157592
l3122819,1674284.8906,12271581.041,-19669.13950000005,-5996.716000000015,-85.0050994185,30.116256852
l2748133,1674496.109,12271739.56,-19457.921100000152,-5838.196999998763,-85.00446576329999,30.116732409
