hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3, S4 (kVA), Ang4
95, 0.00000, 1478.48, -155.704, 1594.29, -157.28, 1456.4, -156.325, 0, 0
96, 0.00000, 1334.5, -155.543, 1439.22, -157.132, 1313.65, -156.191, 0, 0
97, 0.00000, 1124.7, -155.277, 1213.37, -156.886, 1104.79, -155.96, 0, 0
98, 0.00000, 950.406, -155.017, 1026.87, -156.637, 930.37, -155.719, 0, 0
99, 0.00000, 827.021, -154.794, 894.031, -156.421, 807.317, -155.505, 0, 0
100, 0.00000, 745.163, -154.62, 806.075, -156.25, 725.439, -155.331, 0, 0
101, 0.00000, 688.567, -154.484, 745.557, -156.114, 669.153, -155.192, 0, 0
102, 0.00000, 675.859, -154.449, 731.617, -156.077, 655.488, -155.153, 0, 0
103, 0.00000, 710.866, -154.535, 769.419, -156.162, 688.704, -155.237, 0, 0
104, 0.00000, 778.625, -154.69, 841.527, -156.313, 751.29, -155.383, 0, 0
105, 0.00000, 771.727, -154.682, 834.115, -156.305, 739.509, -155.362, 0, 0
106, 0.00000, 819.936, -154.781, 885.567, -156.4, 784.553, -155.456, 0, 0
107, 0.00000, 996.161, -155.091, 1075.27, -156.7, 958.937, -155.759, 0, 0
108, 0.00000, 1234.45, -155.428, 1331.49, -157.019, 1196.15, -156.069, 0, 0
109, 0.00000, 1460.54, -155.692, 1575.08, -157.261, 1421.22, -156.295, 0, 0
110, 0.00000, 1690.93, -155.928, 1823.79, -157.473, 1652.22, -156.489, 0, 0
111, 0.00000, 1822.28, -156.055, 1965.07, -157.585, 1783.72, -156.589, 0, 0
112, 0.00000, 1958.22, -156.175, 2111.55, -157.69, 1919.63, -156.682, 0, 0
113, 0.00000, 2030.04, -156.24, 2189.73, -157.746, 1993.65, -156.732, 0, 0
114, 0.00000, 2114.08, -156.311, 2281.32, -157.809, 2081.43, -156.788, 0, 0
115, 0.00000, 2144.8, -156.336, 2314.82, -157.831, 2114.6, -156.808, 0, 0
116, 0.00000, 2080.03, -156.279, 2244.66, -157.784, 2053.47, -156.769, 0, 0
117, 0.00000, 1974.14, -156.186, 2129.8, -157.705, 1948.82, -156.701, 0, 0
118, 0.00000, 1935.11, -156.152, 2087.62, -157.676, 1910.06, -156.676, 0, 0
119, 0.00000, 1786.28, -156.017, 1927.34, -157.558, 1762.49, -156.573, 0, 0
120, 0.00000, 1611.15, -155.845, 1737.71, -157.407, 1589.1, -156.44, 0, 0
121, 0.00000, 1348.67, -155.56, 1454.25, -157.148, 1326.78, -156.206, 0, 0
122, 0.00000, 1160.95, -155.328, 1253.62, -156.932, 1138.76, -156.001, 0, 0
123, 0.00000, 1026.48, -155.136, 1108.69, -156.751, 1005.23, -155.829, 0, 0
124, 0.00000, 953.666, -155.02, 1030.46, -156.64, 931.936, -155.719, 0, 0
125, 0.00000, 896.37, -154.922, 969.191, -156.545, 875.49, -155.627, 0, 0
126, 0.00000, 856.068, -154.848, 925.747, -156.472, 834.79, -155.554, 0, 0
127, 0.00000, 875.757, -154.883, 947.949, -156.507, 854.896, -155.588, 0, 0
128, 0.00000, 911.992, -154.949, 987.548, -156.571, 890.117, -155.649, 0, 0
129, 0.00000, 951.618, -155.018, 1030.24, -156.636, 926.669, -155.709, 0, 0
130, 0.00000, 1099.43, -155.245, 1189.11, -156.851, 1071.92, -155.917, 0, 0
131, 0.00000, 1282.16, -155.486, 1385.61, -157.077, 1253.22, -156.13, 0, 0
132, 0.00000, 1510.8, -155.745, 1632.26, -157.313, 1481.23, -156.348, 0, 0
133, 0.00000, 1699.23, -155.936, 1835.59, -157.484, 1669.47, -156.502, 0, 0
134, 0.00000, 1871.54, -156.098, 2020.51, -157.625, 1840.27, -156.627, 0, 0
135, 0.00000, 1898.42, -156.123, 2049.4, -157.647, 1867.09, -156.646, 0, 0
136, 0.00000, 1907.52, -156.131, 2059.68, -157.654, 1877.04, -156.653, 0, 0
137, 0.00000, 1869.88, -156.096, 2018.83, -157.624, 1839.9, -156.627, 0, 0
138, 0.00000, 1870.1, -156.096, 2018.6, -157.625, 1840.27, -156.628, 0, 0
139, 0.00000, 1874.89, -156.099, 2022.47, -157.628, 1845.25, -156.631, 0, 0
140, 0.00000, 1757.95, -155.988, 1896.01, -157.531, 1731.01, -156.548, 0, 0
141, 0.00000, 1663.55, -155.897, 1794.5, -157.451, 1638.67, -156.478, 0, 0
142, 0.00000, 1590.25, -155.823, 1715.69, -157.387, 1566.98, -156.421, 0, 0
143, 0.00000, 1517.04, -155.747, 1636.23, -157.318, 1495.93, -156.361, 0, 0
144, 0.00000, 1379.24, -155.595, 1487.93, -157.181, 1359.91, -156.237, 0, 0
145, 0.00000, 1196.4, -155.372, 1290.49, -156.975, 1176.97, -156.046, 0, 0
146, 0.00000, 1032.93, -155.146, 1115.53, -156.761, 1012.89, -155.84, 0, 0
147, 0.00000, 916.225, -154.957, 989.622, -156.579, 896.533, -155.664, 0, 0
148, 0.00000, 835.722, -154.809, 903.061, -156.435, 815.909, -155.52, 0, 0
149, 0.00000, 794.112, -154.724, 858.138, -156.35, 773.772, -155.435, 0, 0
150, 0.00000, 766.667, -154.665, 828.73, -156.292, 745.274, -155.373, 0, 0
151, 0.00000, 765.296, -154.662, 827.572, -156.288, 742.198, -155.366, 0, 0
152, 0.00000, 788.583, -154.712, 852.464, -156.336, 763.075, -155.41, 0, 0
153, 0.00000, 898.041, -154.923, 971.243, -156.542, 871.191, -155.615, 0, 0
154, 0.00000, 1035.53, -155.15, 1118.97, -156.76, 1006.76, -155.828, 0, 0
155, 0.00000, 1135.48, -155.295, 1226.92, -156.898, 1106.54, -155.961, 0, 0
156, 0.00000, 1220.54, -155.408, 1318.65, -157.004, 1191.56, -156.062, 0, 0
157, 0.00000, 1288.32, -155.493, 1391.78, -157.083, 1259.14, -156.136, 0, 0
158, 0.00000, 1339.16, -155.554, 1445.88, -157.138, 1308.34, -156.187, 0, 0
159, 0.00000, 1356.5, -155.574, 1464.43, -157.156, 1324.58, -156.202, 0, 0
160, 0.00000, 1469.96, -155.702, 1586.77, -157.273, 1438.04, -156.311, 0, 0
161, 0.00000, 1598.43, -155.837, 1724.96, -157.395, 1566.55, -156.422, 0, 0
162, 0.00000, 1758, -155.991, 1897.09, -157.533, 1728.26, -156.547, 0, 0
163, 0.00000, 1765.08, -155.998, 1904.73, -157.539, 1737.16, -156.554, 0, 0
164, 0.00000, 1755.67, -155.988, 1894.01, -157.532, 1730.48, -156.549, 0, 0
165, 0.00000, 1662, -155.895, 1792.45, -157.45, 1636.92, -156.476, 0, 0
166, 0.00000, 1570, -155.802, 1693.56, -157.367, 1545.95, -156.403, 0, 0
167, 0.00000, 1478.75, -155.706, 1594.81, -157.281, 1456.64, -156.326, 0, 0
168, 0.00000, 1297.73, -155.499, 1399.6, -157.092, 1277.23, -156.154, 0, 0
169, 0.00000, 1105.88, -155.251, 1193.29, -156.861, 1086.46, -155.937, 0, 0
170, 0.00000, 946.62, -155.01, 1022.76, -156.631, 927.241, -155.714, 0, 0
171, 0.00000, 846.675, -154.831, 915.327, -156.457, 827.88, -155.543, 0, 0
172, 0.00000, 750.734, -154.634, 812.078, -156.263, 731.465, -155.346, 0, 0
173, 0.00000, 697.36, -154.505, 754.638, -156.135, 678.28, -155.216, 0, 0
174, 0.00000, 676.403, -154.45, 731.907, -156.079, 656.184, -155.156, 0, 0
175, 0.00000, 665.906, -154.423, 720.877, -156.051, 644.049, -155.122, 0, 0
176, 0.00000, 727.424, -154.574, 786.794, -156.199, 702.429, -155.27, 0, 0
177, 0.00000, 859.619, -154.852, 928.747, -156.471, 829.722, -155.54, 0, 0
178, 0.00000, 1037.22, -155.153, 1119.2, -156.76, 1003.2, -155.824, 0, 0
179, 0.00000, 1176.63, -155.352, 1269, -156.948, 1140.08, -156.003, 0, 0
180, 0.00000, 1382.33, -155.606, 1490.34, -157.183, 1345.29, -156.226, 0, 0
181, 0.00000, 1649.66, -155.887, 1778.46, -157.437, 1612.07, -156.457, 0, 0
182, 0.00000, 1881.53, -156.106, 2028.12, -157.63, 1842.86, -156.629, 0, 0
183, 0.00000, 2011.93, -156.222, 2168.2, -157.729, 1973.08, -156.718, 0, 0
184, 0.00000, 2097.41, -156.297, 2261.38, -157.795, 2060.81, -156.775, 0, 0
185, 0.00000, 2190.58, -156.374, 2362.29, -157.862, 2155.83, -156.833, 0, 0
186, 0.00000, 2197.61, -156.378, 2370.15, -157.867, 2166.02, -156.839, 0, 0
187, 0.00000, 2271.07, -156.439, 2449.23, -157.919, 2241.47, -156.885, 0, 0
188, 0.00000, 2225.06, -156.398, 2398.87, -157.886, 2197.55, -156.858, 0, 0
189, 0.00000, 2165.83, -156.349, 2335.37, -157.846, 2139.82, -156.823, 0, 0
190, 0.00000, 2032.58, -156.238, 2191.73, -157.75, 2007.88, -156.741, 0, 0
191, 0.00000, 1856.64, -156.081, 2001.45, -157.615, 1833.57, -156.624, 0, 0
192, 0.00000, 1581.25, -155.814, 1704.72, -157.379, 1559.34, -156.416, 0, 0
193, 0.00000, 1328.82, -155.537, 1432.93, -157.127, 1308.14, -156.187, 0, 0
194, 0.00000, 1139.08, -155.297, 1228.94, -156.904, 1119.59, -155.978, 0, 0
195, 0.00000, 1025.61, -155.133, 1107.24, -156.749, 1007.46, -155.832, 0, 0
196, 0.00000, 942.349, -155, 1017.17, -156.62, 923.938, -155.708, 0, 0
197, 0.00000, 909.395, -154.944, 983.458, -156.567, 890.348, -155.651, 0, 0
198, 0.00000, 894.704, -154.917, 967.393, -156.54, 875.364, -155.626, 0, 0
199, 0.00000, 955.935, -155.021, 1033.28, -156.64, 936.016, -155.724, 0, 0
200, 0.00000, 981.231, -155.063, 1058.83, -156.678, 957.597, -155.758, 0, 0
201, 0.00000, 1012.37, -155.112, 1091.22, -156.724, 985.63, -155.8, 0, 0
202, 0.00000, 1042.75, -155.159, 1122.55, -156.767, 1012.06, -155.838, 0, 0
203, 0.00000, 1113.93, -155.262, 1198.28, -156.864, 1080.7, -155.931, 0, 0
204, 0.00000, 1273.8, -155.472, 1370.15, -157.061, 1239.43, -156.118, 0, 0
205, 0.00000, 1516.54, -155.746, 1630.05, -157.312, 1481.01, -156.35, 0, 0
206, 0.00000, 1783.52, -156.011, 1917.31, -157.549, 1748.03, -156.563, 0, 0
207, 0.00000, 1889.4, -156.111, 2031.17, -157.636, 1853.24, -156.64, 0, 0
208, 0.00000, 1917.94, -156.135, 2062.53, -157.658, 1883.39, -156.659, 0, 0
209, 0.00000, 1967.66, -156.18, 2117.41, -157.697, 1934.97, -156.694, 0, 0
210, 0.00000, 1931.09, -156.146, 2079.6, -157.67, 1901.89, -156.671, 0, 0
211, 0.00000, 1940.9, -156.156, 2089.92, -157.678, 1911.49, -156.678, 0, 0
212, 0.00000, 1879.07, -156.099, 2023.85, -157.629, 1851.02, -156.635, 0, 0
213, 0.00000, 1794.21, -156.02, 1932.56, -157.561, 1767.8, -156.576, 0, 0
214, 0.00000, 1705.34, -155.936, 1837.46, -157.487, 1680.01, -156.51, 0, 0
215, 0.00000, 1599.74, -155.831, 1724.46, -157.394, 1576.39, -156.428, 0, 0
216, 0.00000, 1379.82, -155.596, 1487.23, -157.18, 1356.83, -156.235, 0, 0
217, 0.00000, 1149.51, -155.311, 1239.05, -156.916, 1126.99, -155.987, 0, 0
218, 0.00000, 981.529, -155.066, 1058.26, -156.683, 959.491, -155.764, 0, 0
219, 0.00000, 894.223, -154.917, 964.345, -156.538, 872.89, -155.624, 0, 0
220, 0.00000, 815.915, -154.769, 880.146, -156.393, 795.462, -155.481, 0, 0
221, 0.00000, 768.816, -154.669, 829.936, -156.296, 748.856, -155.382, 0, 0
222, 0.00000, 776.625, -154.684, 838.584, -156.309, 756.976, -155.398, 0, 0
223, 0.00000, 833.256, -154.798, 899.092, -156.421, 812.689, -155.51, 0, 0
224, 0.00000, 889.522, -154.904, 958.463, -156.523, 866.491, -155.609, 0, 0
225, 0.00000, 903.307, -154.93, 971.777, -156.547, 877.112, -155.63, 0, 0
226, 0.00000, 948.856, -155.008, 1020.29, -156.622, 921.188, -155.702, 0, 0
227, 0.00000, 999.976, -155.091, 1075.17, -156.702, 971.584, -155.78, 0, 0
228, 0.00000, 1146.51, -155.305, 1232.12, -156.905, 1115.04, -155.974, 0, 0
229, 0.00000, 1235.27, -155.424, 1328.94, -157.016, 1202.41, -156.076, 0, 0
230, 0.00000, 1341.74, -155.553, 1442.91, -157.136, 1307.79, -156.189, 0, 0
231, 0.00000, 1408.78, -155.63, 1515.13, -157.207, 1374.97, -156.254, 0, 0
232, 0.00000, 1525.34, -155.758, 1640.93, -157.323, 1491.7, -156.36, 0, 0
233, 0.00000, 1653.73, -155.89, 1780.53, -157.442, 1622.14, -156.468, 0, 0
234, 0.00000, 1846.8, -156.071, 1989.71, -157.604, 1819.24, -156.614, 0, 0
235, 0.00000, 1960.19, -156.175, 2112.11, -157.696, 1933.84, -156.694, 0, 0
236, 0.00000, 1921.06, -156.139, 2071.6, -157.665, 1895.78, -156.666, 0, 0
237, 0.00000, 1847.85, -156.072, 1992.39, -157.606, 1823.92, -156.616, 0, 0
238, 0.00000, 1751.74, -155.981, 1889.04, -157.528, 1729.76, -156.548, 0, 0
239, 0.00000, 1668.89, -155.901, 1800.08, -157.457, 1647.7, -156.486, 0, 0
240, 0.00000, 1449.9, -155.676, 1564.28, -157.254, 1429.72, -156.304, 0, 0
241, 0.00000, 1238.21, -155.425, 1334.94, -157.024, 1216.15, -156.089, 0, 0
242, 0.00000, 1077.61, -155.212, 1163.84, -156.823, 1055.28, -155.897, 0, 0
243, 0.00000, 985.868, -155.073, 1064.95, -156.69, 964.281, -155.769, 0, 0
244, 0.00000, 919.557, -154.962, 993.406, -156.583, 897.649, -155.664, 0, 0
245, 0.00000, 871.072, -154.876, 941.515, -156.499, 849.688, -155.581, 0, 0
246, 0.00000, 893.861, -154.915, 966.041, -156.537, 871.399, -155.618, 0, 0
247, 0.00000, 954.327, -155.019, 1030.94, -156.636, 929.911, -155.714, 0, 0
248, 0.00000, 1034.69, -155.148, 1117.71, -156.759, 1008.55, -155.831, 0, 0
249, 0.00000, 1000.16, -155.097, 1080.61, -156.711, 971.198, -155.779, 0, 0
250, 0.00000, 995.983, -155.091, 1075.81, -156.704, 964.259, -155.768, 0, 0
251, 0.00000, 1001.46, -155.1, 1082.1, -156.712, 969.789, -155.776, 0, 0
252, 0.00000, 1050.1, -155.174, 1134.65, -156.782, 1018.91, -155.846, 0, 0
253, 0.00000, 1164.15, -155.333, 1256.07, -156.933, 1133.36, -155.995, 0, 0
254, 0.00000, 1300.76, -155.51, 1405.42, -157.097, 1268.2, -156.146, 0, 0
255, 0.00000, 1510.74, -155.745, 1631.15, -157.312, 1477.53, -156.344, 0, 0
256, 0.00000, 1574.06, -155.813, 1699.28, -157.372, 1540.07, -156.399, 0, 0
257, 0.00000, 1698.79, -155.938, 1834.08, -157.485, 1666.65, -156.502, 0, 0
258, 0.00000, 1670.03, -155.907, 1803.35, -157.458, 1640.5, -156.479, 0, 0
259, 0.00000, 1706.87, -155.944, 1843.02, -157.491, 1679.44, -156.511, 0, 0
260, 0.00000, 1731.96, -155.966, 1868.45, -157.512, 1706.13, -156.531, 0, 0
261, 0.00000, 1704.49, -155.938, 1838.17, -157.487, 1678.69, -156.51, 0, 0
262, 0.00000, 1599.54, -155.832, 1725.29, -157.394, 1575.31, -156.427, 0, 0
263, 0.00000, 1492.38, -155.72, 1609.76, -157.294, 1469.78, -156.338, 0, 0
264, 0.00000, 1270.3, -155.465, 1370.03, -157.061, 1248.5, -156.124, 0, 0
265, 0.00000, 1054.11, -155.177, 1137.24, -156.791, 1033.08, -155.868, 0, 0
266, 0.00000, 879.649, -154.895, 950.796, -156.52, 858.737, -155.601, 0, 0
267, 0.00000, 757.938, -154.651, 819.859, -156.281, 737.596, -155.361, 0, 0
268, 0.00000, 685.714, -154.478, 742.394, -156.108, 665.799, -155.184, 0, 0
269, 0.00000, 640.641, -154.356, 693.802, -155.985, 620.767, -155.057, 0, 0
270, 0.00000, 650.975, -154.381, 704.798, -156.008, 629.945, -155.08, 0, 0
271, 0.00000, 709.072, -154.529, 767.726, -156.156, 687.479, -155.233, 0, 0
272, 0.00000, 764.836, -154.659, 826.189, -156.283, 737.927, -155.354, 0, 0
273, 0.00000, 765.843, -154.667, 826.777, -156.289, 734.24, -155.35, 0, 0
274, 0.00000, 840.045, -154.818, 905.851, -156.435, 804.687, -155.496, 0, 0
275, 0.00000, 945.106, -155.007, 1019.04, -156.619, 908.784, -155.682, 0, 0
276, 0.00000, 1088.31, -155.23, 1172.72, -156.832, 1050.06, -155.89, 0, 0
277, 0.00000, 1218.61, -155.407, 1312.82, -156.998, 1179.67, -156.051, 0, 0
278, 0.00000, 1357.58, -155.577, 1462.45, -157.155, 1317.99, -156.199, 0, 0
279, 0.00000, 1514.46, -155.751, 1631.69, -157.314, 1475.29, -156.346, 0, 0
280, 0.00000, 1641.28, -155.881, 1768.95, -157.431, 1603.12, -156.453, 0, 0
281, 0.00000, 1728.92, -155.966, 1864.19, -157.507, 1692.78, -156.522, 0, 0
282, 0.00000, 1827.89, -156.059, 1971.8, -157.591, 1794.89, -156.597, 0, 0
283, 0.00000, 1925.9, -156.147, 2076.76, -157.668, 1894.57, -156.667, 0, 0
284, 0.00000, 1853.86, -156.079, 1999.67, -157.61, 1824.18, -156.616, 0, 0
285, 0.00000, 1735.66, -155.966, 1871.48, -157.512, 1707.59, -156.53, 0, 0
286, 0.00000, 1618.87, -155.852, 1746.56, -157.411, 1592.39, -156.44, 0, 0
287, 0.00000, 1500.3, -155.729, 1617.98, -157.301, 1476.6, -156.343, 0, 0
288, 0.00000, 1277.38, -155.474, 1377.3, -157.068, 1254.21, -156.129, 0, 0
289, 0.00000, 1022.67, -155.129, 1104.68, -156.743, 999.973, -155.82, 0, 0
290, 0.00000, 895.896, -154.923, 968.388, -156.546, 874.175, -155.626, 0, 0
291, 0.00000, 797.598, -154.735, 862.96, -156.363, 777.021, -155.443, 0, 0
292, 0.00000, 733.439, -154.594, 793.771, -156.223, 711.863, -155.299, 0, 0
293, 0.00000, 676.021, -154.453, 732.038, -156.083, 654.911, -155.154, 0, 0
294, 0.00000, 695.16, -154.497, 751.956, -156.123, 672.448, -155.197, 0, 0
295, 0.00000, 757.761, -154.643, 819.941, -156.269, 734.031, -155.344, 0, 0
296, 0.00000, 814.063, -154.764, 879.774, -156.386, 786.755, -155.458, 0, 0
297, 0.00000, 777.839, -154.695, 839.654, -156.317, 745.95, -155.378, 0, 0
298, 0.00000, 811.82, -154.763, 876.549, -156.384, 778.792, -155.444, 0, 0
299, 0.00000, 846.828, -154.833, 914.324, -156.451, 813.171, -155.513, 0, 0
300, 0.00000, 897.504, -154.926, 968.909, -156.542, 863.915, -155.606, 0, 0
301, 0.00000, 1009.69, -155.112, 1089.23, -156.721, 974.217, -155.783, 0, 0
302, 0.00000, 1020.03, -155.13, 1099.96, -156.738, 983.214, -155.798, 0, 0
