temperature,wind_speed,humidity,solar_dir,solar_diff,solar_global
1:2:16:0:0,25.9,2.22,0.49,17,6,23
1:2:17:0:0,30.9,2.04,0.4,26,9,34
1:2:18:0:0,33.1,1.65,0.32,31,10,41
1:2:19:0:0,36.1,1.71,0.28,32,11,43
1:2:20:0:0,35.4,2.01,0.27,30,10,39
1:2:21:0:0,36.0,1.86,0.27,23,8,31
1:2:22:0:0,36.1,1.82,0.25,14,5,19
1:2:23:0:0,33.4,1.07,0.26,4,1,5
1:3:0:0:0,28.9,0.71,0.3,0,0,0
1:3:1:0:0,28.0,2.47,0.34,0,0,0
1:3:2:0:0,27.3,1.78,0.32,0,0,0
1:3:3:0:0,27.0,0.6,0.3,0,0,0
1:3:4:0:0,26.6,0.88,0.34,0,0,0
1:3:5:0:0,21.9,1.64,0.36,0,0,0
1:3:6:0:0,20.7,0.29,0.43,0,0,0
1:3:7:0:0,19.6,1.05,0.45,0,0,0
1:3:8:0:0,21.2,2.37,0.47,0,0,0
1:3:9:0:0,19.6,1.64,0.47,0,0,0
1:3:10:0:0,18.3,1.81,0.48,0,0,0
1:3:11:0:0,18.3,2.06,0.5,0,0,0
1:3:12:0:0,19.8,2.07,0.47,0,0,0
1:3:13:0:0,17.8,0.91,0.49,0,0,0
1:3:14:0:0,17.2,1.28,0.53,0,0,0
1:3:15:0:0,18.1,1.25,0.49,6,2,8
1:3:16:0:0,22.5,0.75,0.43,16,5,22
1:3:17:0:0,27.7,1.52,0.36,26,9,34
1:3:18:0:0,30.4,2.37,0.34,27,9,36
1:3:19:0:0,34.2,2.2,0.34,32,11,43
1:3:20:0:0,36.0,2.63,0.31,30,10,40
1:3:21:0:0,36.3,2.57,0.29,23,8,31
1:3:22:0:0,34.2,2.6,0.29,12,4,16
1:3:23:0:0,29.1,1.71,0.34,1,0,2
1:4:0:0:0,27.0,0.67,0.4,0,0,0
1:4:1:0:0,27.0,0.88,0.39,0,0,0
1:4:2:0:0,27.3,0.62,0.39,0,0,0
1:4:3:0:0,25.2,0.41,0.39,0,0,0
1:4:4:0:0,25.7,1.25,0.39,0,0,0
1:4:5:0:0,23.0,0.89,0.45,0,0,0
1:4:6:0:0,21.9,0.9,0.46,0,0,0
1:4:7:0:0,20.3,0.56,0.49,0,0,0
1:4:8:0:0,18.9,1.04,0.47,0,0,0
1:4:9:0:0,18.9,1.12,0.5,0,0,0
1:4:10:0:0,18.5,1.75,0.53,0,0,0
1:4:11:0:0,20.1,1.26,0.52,0,0,0
1:4:12:0:0,18.0,0.88,0.52,0,0,0
1:4:13:0:0,17.6,1.97,0.54,0,0,0
1:4:14:0:0,18.9,0.97,0.54,0,0,0
1:4:15:0:0,21.0,0.42,0.51,7,2,9
1:4:16:0:0,26.1,0.78,0.45,17,6,23
1:4:17:0:0,30.2,1.54,0.41,24,8,32
1:4:18:0:0,31.3,1.96,0.36,23,8,31
1:4:19:0:0,35.1,2.06,0.33,23,8,31
1:4:20:0:0,38.1,2.12,0.27,31,10,41
1:4:21:0:0,37.6,2.17,0.24,24,8,31
1:4:22:0:0,36.5,1.8,0.25,14,5,19
1:4:23:0:0,33.3,1.41,0.29,4,1,5
1:5:0:0:0,30.2,1.46,0.34,0,0,0
1:5:1:0:0,30.6,1.18,0.34,0,0,0
1:5:2:0:0,31.5,0.84,0.32,0,0,0
1:5:3:0:0,29.7,0.91,0.3,0,0,0
1:5:4:0:0,26.1,0.3,0.31,0,0,0
1:5:5:0:0,27.0,0.32,0.29,0,0,0
1:5:6:0:0,25.7,0.33,0.33,0,0,0
1:5:7:0:0,23.2,0.16,0.37,0,0,0
1:5:8:0:0,25.0,0.33,0.42,0,0,0
1:5:9:0:0,24.3,1.02,0.39,0,0,0
1:5:10:0:0,22.6,0.63,0.4,0,0,0
1:5:11:0:0,21.9,1.46,0.43,0,0,0
1:5:12:0:0,22.8,2.03,0.42,0,0,0
1:5:13:0:0,24.1,2.13,0.41,0,0,0
1:5:14:0:0,24.8,1.02,0.38,0,0,0
1:5:15:0:0,22.5,0.3,0.42,2,1,3
1:5:16:0:0,26.2,0.59,0.42,7,2,10
1:5:17:0:0,28.2,0.85,0.38,11,4,15
1:5:18:0:0,35.6,0.88,0.35,25,8,33
1:5:19:0:0,41.7,1.87,0.25,35,12,46
1:5:20:0:0,41.7,2.28,0.23,23,8,31
1:5:21:0:0,44.4,2.15,0.21,23,8,31
1:5:22:0:0,41.4,2.14,0.19,14,5,19
1:5:23:0:0,37.2,1.43,0.22,4,1,5
1:6:0:0:0,35.8,0.35,0.25,0,0,0
1:6:1:0:0,31.8,0.7,0.27,0,0,0
1:6:2:0:0,32.9,0.67,0.28,0,0,0
1:6:3:0:0,32.7,1.74,0.27,0,0,0
1:6:4:0:0,33.4,1.07,0.29,0,0,0
1:6:5:0:0,29.5,0.7,0.32,0,0,0
1:6:6:0:0,27.7,1.2,0.33,0,0,0
1:6:7:0:0,29.7,1.15,0.35,0,0,0
1:6:8:0:0,27.9,1.17,0.35,0,0,0
1:6:9:0:0,27.9,1.25,0.36,0,0,0
1:6:10:0:0,27.1,0.48,0.35,0,0,0
1:6:11:0:0,27.1,0.16,0.35,0,0,0
1:6:12:0:0,27.9,1.12,0.35,0,0,0
1:6:13:0:0,29.1,1.51,0.36,0,0,0
1:6:14:0:0,29.3,1.46,0.35,0,0,0
1:6:15:0:0,28.9,1.59,0.32,1,0,1
1:6:16:0:0,32.0,0.35,0.34,5,2,6
1:6:17:0:0,38.1,0.63,0.29,14,5,18
1:6:18:0:0,38.7,1.47,0.25,14,5,18
1:6:19:0:0,37.9,1.53,0.26,8,3,11
1:6:20:0:0,36.9,1.53,0.27,6,2,8
1:6:21:0:0,36.3,1.56,0.27,3,1,4
1:6:22:0:0,28.9,1.89,0.7,0,0,0
1:6:23:0:0,31.6,1.98,0.89,0,0,0
1:7:0:0:0,29.1,0.62,0.91,0,0,0
1:7:1:0:0,30.9,0.37,0.93,0,0,0
1:7:2:0:0,32.2,0.77,0.92,0,0,0
1:7:3:0:0,30.6,0.53,0.93,0,0,0
1:7:4:0:0,31.5,0.86,0.93,0,0,0
1:7:5:0:0,28.4,0.5,0.9,0,0,0
1:7:6:0:0,29.5,0.87,0.93,0,0,0
1:7:7:0:0,25.2,0.9,0.95,0,0,0
1:7:8:0:0,26.2,0.44,0.96,0,0,0
1:7:9:0:0,24.3,0.73,0.94,0,0,0
1:7:10:0:0,24.8,1.0,0.92,0,0,0
1:7:11:0:0,24.6,1.05,0.92,0,0,0
1:7:12:0:0,23.2,1.55,0.92,0,0,0
1:7:13:0:0,25.3,1.37,0.89,0,0,0
1:7:14:0:0,20.1,0.96,0.86,0,0,0
1:7:15:0:0,28.4,1.17,0.86,6,2,9
1:7:16:0:0,26.1,1.73,0.88,15,5,20
1:7:17:0:0,28.2,2.36,0.91,23,8,30
1:7:18:0:0,32.4,1.92,0.91,31,10,41
1:7:19:0:0,36.1,1.36,0.78,31,10,42
1:7:20:0:0,37.2,1.41,0.64,30,10,40
1:7:21:0:0,40.1,1.65,0.54,24,8,32
1:7:22:0:0,40.3,1.17,0.51,15,5,20
1:7:23:0:0,37.6,1.19,0.52,5,2,6
1:8:0:0:0,34.0,1.71,0.57,0,0,0
1:8:1:0:0,33.4,2.42,0.56,0,0,0
1:8:2:0:0,34.9,1.37,0.55,0,0,0
1:8:3:0:0,31.3,2.19,0.61,0,0,0
1:8:4:0:0,31.6,1.23,0.61,0,0,0
1:8:5:0:0,30.4,0.53,0.59,0,0,0
1:8:6:0:0,29.7,0.95,0.64,0,0,0
1:8:7:0:0,28.9,1.35,0.66,0,0,0
1:8:8:0:0,27.0,0.81,0.71,0,0,0
1:8:9:0:0,28.0,1.89,0.75,0,0,0
1:8:10:0:0,27.7,0.98,0.7,0,0,0
1:8:11:0:0,28.2,1.35,0.7,0,0,0
1:8:12:0:0,26.8,0.78,0.74,0,0,0
1:8:13:0:0,26.1,0.72,0.77,0,0,0
1:8:14:0:0,26.2,0.86,0.85,0,0,0
1:8:15:0:0,26.8,0.46,0.81,2,1,3
1:8:16:0:0,30.0,1.41,0.8,14,5,18
1:8:17:0:0,34.7,0.94,0.78,18,6,24
1:8:18:0:0,38.7,1.68,0.62,26,9,35
1:8:19:0:0,42.4,1.44,0.48,25,8,33
1:8:20:0:0,42.6,1.58,0.44,27,9,35
1:8:21:0:0,42.1,1.93,0.43,18,6,24
1:8:22:0:0,39.4,2.0,0.47,7,2,9
1:8:23:0:0,36.1,1.49,0.52,1,0,1
1:9:0:0:0,34.5,0.94,0.57,0,0,0
1:9:1:0:0,37.6,0.98,0.57,0,0,0
1:9:2:0:0,37.6,1.09,0.5,0,0,0
1:9:3:0:0,37.9,0.73,0.5,0,0,0
1:9:4:0:0,37.0,1.27,0.55,0,0,0
1:9:5:0:0,36.7,1.5,0.61,0,0,0
1:9:6:0:0,37.0,1.85,0.65,0,0,0
1:9:7:0:0,36.9,1.56,0.66,0,0,0
1:9:8:0:0,36.3,1.82,0.67,0,0,0
1:9:9:0:0,33.4,2.3,0.74,0,0,0
1:9:10:0:0,34.3,1.86,0.86,0,0,0
1:9:11:0:0,34.0,1.11,0.85,0,0,0
1:9:12:0:0,32.2,1.22,0.91,0,0,0
1:9:13:0:0,34.0,0.81,0.92,0,0,0
1:9:14:0:0,32.9,0.55,0.88,0,0,0
1:9:15:0:0,33.8,0.88,0.89,2,1,3
1:9:16:0:0,34.7,1.42,0.92,6,2,8
1:9:17:0:0,36.9,0.7,0.89,7,2,10
1:9:18:0:0,37.8,0.99,0.85,7,2,9
1:9:19:0:0,38.5,2.02,0.8,7,2,9
1:9:20:0:0,37.8,2.49,0.84,10,3,14
1:9:21:0:0,39.4,2.63,0.82,6,2,8
1:9:22:0:0,38.1,2.1,0.79,2,1,2
1:9:23:0:0,37.0,2.03,0.85,0,0,0
1:10:0:0:0,37.0,1.85,0.86,0,0,0
1:10:1:0:0,35.8,1.36,0.86,0,0,0
1:10:2:0:0,35.2,0.98,0.9,0,0,0
1:10:3:0:0,37.8,0.96,0.95,0,0,0
1:10:4:0:0,37.9,1.43,0.9,0,0,0
1:10:5:0:0,32.4,1.53,0.89,0,0,0
1:10:6:0:0,32.4,0.66,0.96,0,0,0
1:10:7:0:0,30.7,1.24,0.97,0,0,0
1:10:8:0:0,31.3,1.53,0.97,0,0,0
1:10:9:0:0,30.9,0.56,0.98,0,0,0
1:10:10:0:0,32.0,1.13,0.97,0,0,0
1:10:11:0:0,31.3,0.63,0.96,0,0,0
1:10:12:0:0,30.7,0.5,0.96,0,0,0
1:10:13:0:0,30.7,0.72,0.96,0,0,0
1:10:14:0:0,31.1,0.62,0.96,0,0,0
1:10:15:0:0,31.8,0.88,0.96,0,0,0
1:10:16:0:0,31.8,0.78,0.96,0,0,0
1:10:17:0:0,33.4,1.39,0.96,4,1,6
1:10:18:0:0,34.5,1.41,0.96,4,1,5
1:10:19:0:0,36.5,1.89,0.93,4,1,5
1:10:20:0:0,37.6,1.26,0.92,6,2,8
1:10:21:0:0,35.8,1.83,0.95,4,1,5
1:10:22:0:0,35.6,1.03,0.94,2,1,3
1:10:23:0:0,34.0,0.71,0.95,0,0,0
1:11:0:0:0,35.1,1.92,0.81,0,0,0
1:11:1:0:0,35.1,2.39,0.48,0,0,0
1:11:2:0:0,32.5,2.49,0.46,0,0,0
1:11:3:0:0,32.2,2.0,0.48,0,0,0
1:11:4:0:0,31.8,3.81,0.43,0,0,0
1:11:5:0:0,29.7,1.39,0.45,0,0,0
1:11:6:0:0,27.9,1.95,0.49,0,0,0
1:11:7:0:0,30.4,1.25,0.47,0,0,0
1:11:8:0:0,30.4,1.39,0.43,0,0,0
1:11:9:0:0,29.3,3.14,0.35,0,0,0
1:11:10:0:0,26.4,1.76,0.46,0,0,0
1:11:11:0:0,25.7,0.94,0.55,0,0,0
1:11:12:0:0,22.1,1.01,0.59,0,0,0
1:11:13:0:0,23.4,0.9,0.61,0,0,0
1:11:14:0:0,23.2,1.28,0.63,0,0,0
1:11:15:0:0,25.2,2.02,0.65,7,2,10
1:11:16:0:0,27.7,2.64,0.63,18,6,24
1:11:17:0:0,31.1,1.86,0.57,22,7,29
1:11:18:0:0,35.6,1.49,0.52,32,11,43
1:11:19:0:0,36.9,1.88,0.47,31,10,41
1:11:20:0:0,39.2,2.52,0.41,30,10,41
1:11:21:0:0,39.4,2.36,0.4,22,7,29
1:11:22:0:0,38.1,2.19,0.41,10,3,13
1:11:23:0:0,36.5,1.27,0.43,4,1,5
1:12:0:0:0,34.2,1.09,0.48,0,0,0
1:12:1:0:0,34.3,0.61,0.52,0,0,0
1:12:2:0:0,32.2,1.41,0.58,0,0,0
1:12:3:0:0,31.3,1.17,0.6,0,0,0
1:12:4:0:0,30.6,0.92,0.61,0,0,0
1:12:5:0:0,31.6,1.48,0.59,0,0,0
1:12:6:0:0,32.9,1.73,0.56,0,0,0
1:12:7:0:0,33.3,1.83,0.52,0,0,0
1:12:8:0:0,33.6,2.14,0.51,0,0,0
1:12:9:0:0,33.3,1.79,0.52,0,0,0
1:12:10:0:0,31.5,0.89,0.56,0,0,0
1:12:11:0:0,32.2,0.93,0.57,0,0,0
1:12:12:0:0,31.5,1.22,0.59,0,0,0
1:12:13:0:0,30.0,1.51,0.62,0,0,0
1:12:14:0:0,28.4,2.03,0.65,0,0,0
1:12:15:0:0,35.1,1.22,0.61,7,2,10
1:12:16:0:0,36.3,1.17,0.57,17,6,23
1:12:17:0:0,39.2,1.36,0.57,25,8,33
1:12:18:0:0,42.3,1.33,0.51,32,11,43
1:12:19:0:0,42.1,2.31,0.42,16,5,22
1:12:20:0:0,42.1,1.69,0.38,16,5,21
1:12:21:0:0,43.9,1.81,0.37,19,6,25
1:12:22:0:0,43.9,2.31,0.31,18,6,25
1:12:23:0:0,41.9,1.46,0.35,5,2,7
1:13:0:0:0,37.6,1.91,0.38,0,0,0
1:13:1:0:0,36.3,2.55,0.45,0,0,0
1:13:2:0:0,35.1,1.68,0.46,0,0,0
1:13:3:0:0,33.4,1.67,0.5,0,0,0
1:13:4:0:0,32.2,1.63,0.55,0,0,0
1:13:5:0:0,31.8,3.17,0.57,0,0,0
1:13:6:0:0,31.5,1.38,0.56,0,0,0
1:13:7:0:0,29.5,1.65,0.58,0,0,0
1:13:8:0:0,31.6,1.41,0.58,0,0,0
1:13:9:0:0,30.2,1.22,0.58,0,0,0
1:13:10:0:0,27.0,1.62,0.65,0,0,0
1:13:11:0:0,25.5,2.77,0.68,0,0,0
1:13:12:0:0,26.1,3.4,0.71,0,0,0
1:13:13:0:0,26.8,2.96,0.65,0,0,0
1:13:14:0:0,23.5,2.64,0.68,0,0,0
1:13:15:0:0,28.6,2.11,0.67,7,2,9
1:13:16:0:0,31.5,1.49,0.62,17,6,23
1:13:17:0:0,35.2,1.63,0.55,25,8,34
1:13:18:0:0,37.8,1.39,0.5,28,9,38
1:13:19:0:0,39.2,1.86,0.46,30,10,39
1:13:20:0:0,43.9,1.94,0.41,27,9,37
1:13:21:0:0,43.2,2.3,0.39,25,8,33
1:13:22:0:0,40.1,1.7,0.39,13,4,17
1:13:23:0:0,37.9,0.9,0.41,3,1,4
1:14:0:0:0,34.0,0.59,0.48,0,0,0
1:14:1:0:0,33.4,0.6,0.52,0,0,0
1:14:2:0:0,31.3,2.13,0.54,0,0,0
1:14:3:0:0,32.5,2.51,0.56,0,0,0
1:14:4:0:0,30.6,1.85,0.55,0,0,0
1:14:5:0:0,31.3,2.13,0.57,0,0,0
1:14:6:0:0,29.5,1.16,0.58,0,0,0
1:14:7:0:0,29.1,2.23,0.62,0,0,0
1:14:8:0:0,28.6,0.69,0.63,0,0,0
1:14:9:0:0,27.1,1.67,0.66,0,0,0
1:14:10:0:0,25.7,1.57,0.69,0,0,0
1:14:11:0:0,24.4,1.88,0.72,0,0,0
1:14:12:0:0,25.2,1.71,0.73,0,0,0
1:14:13:0:0,25.0,1.67,0.72,0,0,0
1:14:14:0:0,24.6,1.44,0.76,0,0,0
1:14:15:0:0,26.8,0.62,0.72,7,2,10
1:14:16:0:0,30.6,1.01,0.69,18,6,24
1:14:17:0:0,34.0,0.99,0.63,27,9,35
1:14:18:0:0,38.3,1.32,0.54,32,11,43
1:14:19:0:0,40.8,1.67,0.48,34,11,46
1:14:20:0:0,41.4,1.9,0.47,32,11,42
1:14:21:0:0,43.2,2.0,0.44,26,9,34
1:14:22:0:0,41.5,1.99,0.43,17,6,22
1:14:23:0:0,40.5,1.3,0.42,6,2,8
1:15:0:0:0,34.9,0.79,0.5,0,0,0
1:15:1:0:0,33.4,2.03,0.54,0,0,0
1:15:2:0:0,35.1,1.09,0.52,0,0,0
1:15:3:0:0,30.6,0.45,0.58,0,0,0
1:15:4:0:0,30.7,1.2,0.61,0,0,0
1:15:5:0:0,29.5,0.65,0.64,0,0,0
1:15:6:0:0,27.7,0.73,0.67,0,0,0
1:15:7:0:0,27.9,0.38,0.7,0,0,0
1:15:8:0:0,25.9,0.45,0.72,0,0,0
1:15:9:0:0,25.3,1.25,0.73,0,0,0
1:15:10:0:0,25.5,1.93,0.76,0,0,0
1:15:11:0:0,26.1,2.67,0.76,0,0,0
1:15:12:0:0,26.8,2.96,0.73,0,0,0
1:15:13:0:0,27.1,2.61,0.7,0,0,0
1:15:14:0:0,24.1,1.83,0.73,0,0,0
1:15:15:0:0,28.4,2.48,0.76,8,3,10
1:15:16:0:0,32.0,3.54,0.67,18,6,24
1:15:17:0:0,34.7,4.93,0.56,27,9,36
1:15:18:0:0,35.2,5.17,0.53,32,11,42
1:15:19:0:0,35.4,5.08,0.5,34,11,46
1:15:20:0:0,36.0,5.04,0.47,27,9,36
1:15:21:0:0,34.3,3.78,0.47,10,3,13
1:15:22:0:0,34.0,3.49,0.45,2,1,3
1:15:23:0:0,32.2,2.29,0.44,0,0,0
1:16:0:0:0,29.8,2.31,0.46,0,0,0
1:16:1:0:0,28.0,3.14,0.43,0,0,0
1:16:2:0:0,25.9,1.64,0.46,0,0,0
1:16:3:0:0,26.2,0.84,0.44,0,0,0
1:16:4:0:0,23.2,2.01,0.31,0,0,0
1:16:5:0:0,21.4,0.95,0.38,0,0,0
1:16:6:0:0,18.5,1.95,0.45,0,0,0
1:16:7:0:0,16.2,2.57,0.46,0,0,0
1:16:8:0:0,18.3,2.98,0.39,0,0,0
1:16:9:0:0,15.6,3.01,0.37,0,0,0
1:16:10:0:0,11.3,2.24,0.44,0,0,0
1:16:11:0:0,12.0,3.45,0.49,0,0,0
1:16:12:0:0,10.9,2.3,0.41,0,0,0
1:16:13:0:0,12.2,2.36,0.38,0,0,0
1:16:14:0:0,17.1,1.68,0.33,0,0,0
1:16:15:0:0,16.2,1.64,0.41,8,3,11
1:16:16:0:0,18.7,2.6,0.44,19,6,25
1:16:17:0:0,22.6,2.61,0.41,28,9,37
1:16:18:0:0,25.9,1.73,0.39,33,11,44
1:16:19:0:0,28.9,1.5,0.37,35,12,47
1:16:20:0:0,32.9,1.25,0.35,33,11,44
1:16:21:0:0,32.7,1.53,0.31,27,9,36
1:16:22:0:0,35.2,1.76,0.29,18,6,24
1:16:23:0:0,30.9,1.99,0.28,7,2,9
1:17:0:0:0,27.0,2.26,0.35,0,0,0
1:17:1:0:0,25.5,1.27,0.36,0,0,0
1:17:2:0:0,23.2,0.22,0.36,0,0,0
1:17:3:0:0,24.8,0.38,0.34,0,0,0
1:17:4:0:0,25.7,1.02,0.35,0,0,0
1:17:5:0:0,25.5,0.64,0.34,0,0,0
1:17:6:0:0,22.1,1.36,0.39,0,0,0
1:17:7:0:0,21.6,1.68,0.42,0,0,0
1:17:8:0:0,20.7,0.91,0.43,0,0,0
1:17:9:0:0,22.1,0.81,0.46,0,0,0
1:17:10:0:0,20.1,0.58,0.47,0,0,0
1:17:11:0:0,19.8,1.65,0.52,0,0,0
1:17:12:0:0,19.4,0.86,0.52,0,0,0
1:17:13:0:0,20.1,2.08,0.51,0,0,0
1:17:14:0:0,19.2,2.15,0.54,0,0,0
1:17:15:0:0,21.9,1.98,0.54,6,2,8
1:17:16:0:0,27.3,1.12,0.45,18,6,24
1:17:17:0:0,30.7,1.44,0.38,26,9,35
1:17:18:0:0,34.7,1.8,0.33,32,11,43
1:17:19:0:0,37.8,2.31,0.31,34,11,46
1:17:20:0:0,37.6,2.34,0.27,32,11,43
1:17:21:0:0,39.7,1.88,0.26,26,9,35
1:17:22:0:0,40.3,1.53,0.26,15,5,21
1:17:23:0:0,36.9,1.58,0.28,6,2,7
1:18:0:0:0,33.3,1.71,0.35,0,0,0
1:18:1:0:0,30.2,0.79,0.4,0,0,0
1:18:2:0:0,27.1,0.4,0.44,0,0,0
1:18:3:0:0,28.6,1.55,0.46,0,0,0
1:18:4:0:0,29.1,2.18,0.42,0,0,0
1:18:5:0:0,30.6,0.58,0.43,0,0,0
1:18:6:0:0,28.0,1.1,0.47,0,0,0
1:18:7:0:0,26.1,1.66,0.52,0,0,0
1:18:8:0:0,25.7,2.39,0.52,0,0,0
1:18:9:0:0,27.0,1.56,0.5,0,0,0
1:18:10:0:0,25.7,0.85,0.5,0,0,0
1:18:11:0:0,23.7,1.48,0.54,0,0,0
1:18:12:0:0,23.4,0.98,0.54,0,0,0
1:18:13:0:0,22.3,0.55,0.56,0,0,0
1:18:14:0:0,23.4,1.72,0.61,0,0,0
1:18:15:0:0,28.0,1.41,0.59,6,2,8
1:18:16:0:0,31.3,1.83,0.54,19,6,26
1:18:17:0:0,33.1,2.31,0.49,21,7,29
1:18:18:0:0,38.3,1.48,0.4,30,10,39
1:18:19:0:0,43.0,1.58,0.32,31,10,42
1:18:20:0:0,44.2,1.94,0.29,28,9,37
1:18:21:0:0,43.0,2.31,0.27,21,7,28
1:18:22:0:0,39.7,1.91,0.31,11,4,15
1:18:23:0:0,36.1,1.86,0.34,3,1,3
1:19:0:0:0,34.3,1.61,0.38,0,0,0
1:19:1:0:0,33.8,1.75,0.39,0,0,0
1:19:2:0:0,32.9,0.24,0.42,0,0,0
1:19:3:0:0,34.3,0.75,0.41,0,0,0
1:19:4:0:0,36.5,1.24,0.39,0,0,0
1:19:5:0:0,33.8,1.11,0.39,0,0,0
1:19:6:0:0,34.9,1.21,0.39,0,0,0
1:19:7:0:0,34.9,1.16,0.38,0,0,0
1:19:8:0:0,36.5,1.51,0.39,0,0,0
1:19:9:0:0,30.2,1.0,0.4,0,0,0
1:19:10:0:0,35.2,1.56,0.42,0,0,0
1:19:11:0:0,35.8,1.65,0.41,0,0,0
1:19:12:0:0,33.6,1.64,0.43,0,0,0
1:19:13:0:0,34.0,1.57,0.46,0,0,0
1:19:14:0:0,32.5,1.06,0.46,0,0,0
1:19:15:0:0,34.2,0.84,0.5,7,2,9
1:19:16:0:0,35.6,1.03,0.45,14,5,19
1:19:17:0:0,36.7,1.13,0.45,12,4,15
1:19:18:0:0,41.0,2.1,0.36,16,5,22
1:19:19:0:0,43.3,2.62,0.34,16,5,22
1:19:20:0:0,43.9,2.2,0.33,15,5,20
1:19:21:0:0,43.7,2.68,0.33,10,3,14
1:19:22:0:0,43.9,2.67,0.34,3,1,4
1:19:23:0:0,42.6,2.55,0.36,0,0,1
1:20:0:0:0,40.3,2.16,0.38,0,0,0
1:20:1:0:0,40.5,2.26,0.4,0,0,0
1:20:2:0:0,38.8,2.44,0.41,0,0,0
1:20:3:0:0,39.7,2.36,0.4,0,0,0
1:20:4:0:0,40.5,2.98,0.41,0,0,0
1:20:5:0:0,40.5,3.08,0.4,0,0,0
1:20:6:0:0,41.2,1.93,0.4,0,0,0
1:20:7:0:0,40.6,1.72,0.42,0,0,0
1:20:8:0:0,41.4,1.12,0.41,0,0,0
1:20:9:0:0,39.9,1.17,0.44,0,0,0
1:20:10:0:0,39.9,1.75,0.46,0,0,0
1:20:11:0:0,38.8,2.42,0.45,0,0,0
1:20:12:0:0,38.1,3.14,0.49,0,0,0
1:20:13:0:0,34.9,3.41,0.51,0,0,0
1:20:14:0:0,36.7,2.42,0.56,0,0,0
1:20:15:0:0,33.3,2.71,0.76,0,0,0
1:20:16:0:0,32.2,3.17,0.82,1,0,1
1:20:17:0:0,32.7,3.06,0.88,1,0,2
1:20:18:0:0,34.2,2.56,0.93,3,1,5
1:20:19:0:0,34.9,2.31,0.91,5,2,7
1:20:20:0:0,36.9,2.19,0.86,8,3,11
1:20:21:0:0,35.4,2.77,0.9,6,2,8
1:20:22:0:0,35.8,2.69,0.9,2,1,3
1:20:23:0:0,33.1,1.78,0.89,0,0,0
1:21:0:0:0,31.5,1.12,0.94,0,0,0
1:21:1:0:0,28.6,2.29,0.95,0,0,0
1:21:2:0:0,31.5,3.24,0.86,0,0,0
1:21:3:0:0,28.4,1.25,0.87,0,0,0
1:21:4:0:0,28.2,0.78,0.94,0,0,0
1:21:5:0:0,28.2,0.5,0.95,0,0,0
1:21:6:0:0,26.1,1.15,0.95,0,0,0
1:21:7:0:0,24.4,1.26,0.94,0,0,0
1:21:8:0:0,24.3,0.64,0.94,0,0,0
1:21:9:0:0,24.8,0.99,0.87,0,0,0
1:21:10:0:0,24.1,2.1,0.76,0,0,0
1:21:11:0:0,23.5,2.41,0.75,0,0,0
1:21:12:0:0,23.4,2.34,0.71,0,0,0
1:21:13:0:0,23.4,1.86,0.7,0,0,0
1:21:14:0:0,23.4,1.72,0.68,0,0,0
1:21:15:0:0,23.2,1.57,0.72,2,1,2
1:21:16:0:0,23.9,2.34,0.7,8,3,10
