# file...... weather_regulator_power_data.csv,,,,
# date...... Wed Jul 30 12:19:33 2014,,,,
# user...... gour967,,,,
# host...... (null),,,,
# target.... regulator 121,,,,
# trigger... (none),,,,
# interval.. 900,,,,
# limit..... 0,,,,
# timestamp,power_out.real, power_out.imag, power_losses.real,power_factor
2010-01-01 06:45:00 EST,1.64E+06,637813,1.16E-10,0.932273349
2010-01-01 07:00:00 EST,1.88E+06,671666,3.49E-10,0.941768821
2010-01-01 07:15:00 EST,1.53E+06,637519,1.75E-10,0.922649915
2010-01-01 07:30:00 EST,1.52E+06,647382,0,0.919766818
2010-01-01 07:45:00 EST,2.06E+06,712703,1.75E-10,0.944846845
2010-01-01 08:00:00 EST,1.93E+06,706098,2.91E-10,0.938837481
2010-01-01 08:15:00 EST,1.68E+06,672048,2.91E-10,0.9283775
2010-01-01 08:30:00 EST,1.11E+06,598532,5.82E-11,0.879325869
2010-01-01 08:45:00 EST,765456,568682,1.16E-10,0.802714961
2010-01-01 09:00:00 EST,666937,566463,5.82E-11,0.762183704
2010-01-01 09:15:00 EST,609287,560256,5.82E-11,0.736104381
2010-01-01 09:30:00 EST,603939,549929,8.73E-11,0.739395327
2010-01-01 09:45:00 EST,559242,540864,5.82E-11,0.718819172
2010-01-01 10:00:00 EST,570600,538920,8.73E-11,0.727000432
2010-01-01 10:15:00 EST,574552,538908,8.73E-11,0.729369012
2010-01-01 10:30:00 EST,552896,534241,1.16E-10,0.719134688
2010-01-01 10:45:00 EST,566431,534594,8.73E-11,0.727249356
2010-01-01 11:00:00 EST,569426,533291,8.73E-11,0.729886231
2010-01-01 11:15:00 EST,565518,533306,5.82E-11,0.727523062
2010-01-01 11:30:00 EST,563477,527360,5.82E-11,0.730118608
2010-01-01 11:45:00 EST,550419,527127,5.82E-11,0.722222741
2010-01-01 12:00:00 EST,580159,526233,1.16E-10,0.740692173
2010-01-01 12:15:00 EST,575968,526119,8.73E-11,0.738335362
2010-01-01 12:30:00 EST,555043,522858,8.73E-11,0.727895844
2010-01-01 12:45:00 EST,572784,523358,1.16E-10,0.738240734
2010-01-01 13:00:00 EST,554459,522043,5.82E-11,0.72806941
2010-01-01 13:15:00 EST,540961,521689,5.82E-11,0.719812357
2010-01-01 13:30:00 EST,587451,520885,8.73E-11,0.748226931
2010-01-01 13:45:00 EST,552809,520115,8.73E-11,0.728315592
2010-01-01 14:00:00 EST,556119,519527,5.82E-11,0.730738875
2010-01-01 14:15:00 EST,547165,519216,5.82E-11,0.725390388
2010-01-01 14:30:00 EST,565662,519782,2.91E-11,0.736337582
2010-01-01 14:45:00 EST,578717,520120,5.82E-11,0.743757465
2010-01-01 15:00:00 EST,573746,519832,8.73E-11,0.741067484
2010-01-01 15:15:00 EST,560751,519613,5.82E-11,0.733500359
2010-01-01 15:30:00 EST,559751,527700,8.73E-11,0.727631727
2010-01-01 15:45:00 EST,586383,528458,1.16E-10,0.742844662
2010-01-01 16:00:00 EST,564660,531046,8.73E-11,0.728456651
2010-01-01 16:15:00 EST,688670,534396,8.73E-11,0.790038999
2010-01-01 16:30:00 EST,722734,565397,1.16E-10,0.787621832
2010-01-01 16:45:00 EST,713547,565253,8.73E-11,0.783852458
2010-01-01 17:00:00 EST,1.10E+06,600146,1.75E-10,0.877655998
2010-01-01 17:15:00 EST,1.22E+06,601582,1.75E-10,0.897207415
2010-01-01 17:30:00 EST,1.01E+06,615332,2.04E-10,0.853802028
2010-01-01 17:45:00 EST,917549,617201,1.16E-10,0.829746918
2010-01-01 18:00:00 EST,1.72E+06,699058,2.33E-10,0.926780743
2010-01-01 18:15:00 EST,1.60E+06,666088,3.49E-10,0.92279162
2010-01-01 18:30:00 EST,1.67E+06,687217,3.49E-10,0.924561056
2010-01-01 18:45:00 EST,1.48E+06,689991,2.33E-10,0.906547966
2010-01-01 19:00:00 EST,1.38E+06,700851,0,0.891451489
2010-01-01 19:15:00 EST,1.27E+06,693051,1.16E-10,0.878565757
2010-01-01 19:30:00 EST,1.12E+06,678130,1.16E-10,0.855606751
2010-01-01 19:45:00 EST,997308,668891,0,0.830502392
2010-01-01 20:00:00 EST,947891,667635,5.82E-11,0.817562546
2010-01-01 20:15:00 EST,943146,678163,0,0.811902424
2010-01-01 20:30:00 EST,947815,672156,5.82E-11,0.815704871
2010-01-01 20:45:00 EST,895413,659017,0,0.805382596
2010-01-01 21:00:00 EST,898134,659196,5.82E-11,0.80616334
2010-01-01 21:15:00 EST,945374,673156,0,0.814592961
2010-01-01 21:30:00 EST,921366,647943,2.91E-11,0.817984238
2010-01-01 21:45:00 EST,879738,635656,2.91E-11,0.810552533
2010-01-01 22:00:00 EST,794418,604189,2.91E-11,0.795953959
2010-01-01 22:15:00 EST,766218,595574,8.73E-11,0.789538611
2010-01-01 22:30:00 EST,726490,558605,2.91E-11,0.792747088
2010-01-01 22:45:00 EST,701467,550532,2.91E-11,0.786656349
2010-01-01 23:00:00 EST,771455,521394,0,0.828518904
2010-01-01 23:15:00 EST,583348,509316,8.73E-11,0.753288834
2010-01-01 23:30:00 EST,542231,473833,2.91E-11,0.753002626
2010-01-01 23:45:00 EST,450356,448151,0,0.708839937
2010-01-02 00:00:00 EST,439710,437318,0,0.709032702
2010-01-02 00:15:00 EST,434549,435898,2.91E-11,0.706010074
2010-01-02 00:30:00 EST,429546,420166,2.91E-11,0.714869002
2010-01-02 00:45:00 EST,452509,426546,0,0.727673954
2010-01-02 01:00:00 EST,446725,421680,0,0.72719754
2010-01-02 01:15:00 EST,457588,424754,0,0.732912593
2010-01-02 01:30:00 EST,472901,420348,2.91E-11,0.747415946
2010-01-02 01:45:00 EST,495660,427928,2.91E-11,0.756930268
2010-01-02 02:00:00 EST,495297,425099,0,0.75883348
2010-01-02 02:15:00 EST,553788,436756,5.82E-11,0.785189564
2010-01-02 02:30:00 EST,553760,438159,2.91E-11,0.784207296
2010-01-02 02:45:00 EST,613144,453379,2.91E-11,0.804059781
2010-01-02 03:00:00 EST,680205,471651,0,0.821773658
2010-01-02 03:15:00 EST,639377,458477,2.91E-11,0.812662545
2010-01-02 03:30:00 EST,643581,459351,8.73E-11,0.813942608
2010-01-02 03:45:00 EST,692673,477647,0,0.823245289
2010-01-02 04:00:00 EST,807586,509124,0,0.845928582
2010-01-02 04:15:00 EST,751964,493956,0,0.835803293
2010-01-02 04:30:00 EST,767381,506567,5.82E-11,0.834561635
2010-01-02 04:45:00 EST,739133,495762,5.82E-11,0.8304878
2010-01-02 05:00:00 EST,1.06E+06,528226,0,0.895400845
2010-01-02 05:15:00 EST,1.19E+06,531827,0,0.912587356
2010-01-02 05:30:00 EST,1.02E+06,561605,5.82E-11,0.876635417
2010-01-02 05:45:00 EST,1.77E+06,616740,1.16E-10,0.944094706
2010-01-02 06:00:00 EST,2.56E+06,697699,2.33E-10,0.964865956
2010-01-02 06:15:00 EST,2.53E+06,687289,3.49E-10,0.964894665
2010-01-02 06:30:00 EST,2.45E+06,735883,1.16E-10,0.957685584
2010-01-02 06:45:00 EST,2.17E+06,682576,1.16E-10,0.953955678
2010-01-02 07:00:00 EST,2.38E+06,728831,1.16E-10,0.956134918
2010-01-02 07:15:00 EST,2.04E+06,692862,1.16E-10,0.946833382
2010-01-02 07:30:00 EST,1.65E+06,680097,0,0.924326781
2010-01-02 07:45:00 EST,2.14E+06,727005,3.49E-10,0.946693743
2010-01-02 08:00:00 EST,2.10E+06,723795,2.33E-10,0.945638847
2010-01-02 08:15:00 EST,1.98E+06,715428,3.49E-10,0.940358181
2010-01-02 08:30:00 EST,1.39E+06,633521,1.75E-10,0.910425035
2010-01-02 08:45:00 EST,1.02E+06,590567,1.16E-10,0.865383622
2010-01-02 09:00:00 EST,764080,578974,1.16E-10,0.797029124
2010-01-02 09:15:00 EST,695048,579500,1.16E-10,0.768061839
2010-01-02 09:30:00 EST,666888,571526,5.82E-11,0.759308519
2010-01-02 09:45:00 EST,586849,541922,5.82E-11,0.734669138
2010-01-02 10:00:00 EST,562795,540174,8.73E-11,0.721457252
2010-01-02 10:15:00 EST,564550,540715,8.73E-11,0.722187607
2010-01-02 10:30:00 EST,566330,534683,5.82E-11,0.727131214
2010-01-02 10:45:00 EST,554970,537082,5.82E-11,0.718592916
2010-01-02 11:00:00 EST,565173,535431,8.73E-11,0.725950152
2010-01-02 11:15:00 EST,579907,535159,8.73E-11,0.734891717
2010-01-02 11:30:00 EST,568730,533243,1.16E-10,0.729499683
2010-01-02 11:45:00 EST,574653,535093,5.82E-11,0.731848724
2010-01-02 12:00:00 EST,589018,530920,5.82E-11,0.742789913
2010-01-02 12:15:00 EST,581582,534386,8.73E-11,0.736353196
2010-01-02 12:30:00 EST,564638,526731,8.73E-11,0.731226085
2010-01-02 12:45:00 EST,609982,535710,1.16E-10,0.751369347
2010-01-02 13:00:00 EST,571180,527857,5.82E-11,0.734409898
2010-01-02 13:15:00 EST,593797,527387,8.73E-11,0.747679705
2010-01-02 13:30:00 EST,614276,533652,5.82E-11,0.754910335
2010-01-02 13:45:00 EST,595397,528725,8.73E-11,0.747731491
2010-01-02 14:00:00 EST,590221,526592,8.73E-11,0.746183214
2010-01-02 14:15:00 EST,581696,528819,8.73E-11,0.739937253
2010-01-02 14:30:00 EST,588635,527426,5.82E-11,0.744767957
2010-01-02 14:45:00 EST,597171,531981,8.73E-11,0.746687213
2010-01-02 15:00:00 EST,602394,531086,8.73E-11,0.750108445
2010-01-02 15:15:00 EST,587897,528303,5.82E-11,0.743799918
2010-01-02 15:30:00 EST,616107,539934,5.82E-11,0.752068096
2010-01-02 15:45:00 EST,655864,547934,8.73E-11,0.767426171
2010-01-02 16:00:00 EST,635793,546672,1.16E-10,0.758250035
2010-01-02 16:15:00 EST,756115,553510,8.73E-11,0.806900559
2010-01-02 16:30:00 EST,776141,584473,1.16E-10,0.798828985
2010-01-02 16:45:00 EST,847604,600455,1.16E-10,0.815993224
2010-01-02 17:00:00 EST,1.28E+06,640411,1.16E-10,0.894396179
2010-01-02 17:15:00 EST,1.46E+06,651476,1.75E-10,0.912838061
2010-01-02 17:30:00 EST,1.59E+06,691386,2.91E-10,0.916981254
2010-01-02 17:45:00 EST,1.63E+06,715697,1.75E-10,0.915834443
2010-01-02 18:00:00 EST,2.62E+06,818665,2.33E-10,0.95461621
2010-01-02 18:15:00 EST,2.63E+06,812817,3.49E-10,0.955341366
2010-01-02 18:30:00 EST,2.74E+06,837416,2.33E-10,0.956286118
2010-01-02 18:45:00 EST,2.70E+06,835933,1.16E-10,0.955166391
2010-01-02 19:00:00 EST,2.56E+06,824254,2.33E-10,0.951820153
2010-01-02 19:15:00 EST,2.52E+06,836541,2.33E-10,0.949038605
2010-01-02 19:30:00 EST,2.28E+06,814251,3.49E-10,0.941709059
2010-01-02 19:45:00 EST,1.98E+06,795552,2.33E-10,0.927797902
2010-01-02 20:00:00 EST,1.72E+06,778667,1.16E-10,0.910714266
2010-01-02 20:15:00 EST,1.54E+06,768154,1.16E-10,0.894838478
2010-01-02 20:30:00 EST,1.38E+06,753139,1.75E-10,0.878181605
2010-01-02 20:45:00 EST,1.25E+06,741305,5.82E-11,0.860724534
2010-01-02 21:00:00 EST,1.10E+06,723426,5.82E-11,0.835486482
2010-01-02 21:15:00 EST,1.11E+06,727256,1.16E-10,0.836840216
2010-01-02 21:30:00 EST,1.06E+06,690770,0,0.836902744
2010-01-02 21:45:00 EST,1.11E+06,706313,1.16E-10,0.842744109
2010-01-02 22:00:00 EST,908901,638215,0,0.818391653
2010-01-02 22:15:00 EST,948052,650092,5.82E-11,0.824729176
2010-01-02 22:30:00 EST,894571,607862,1.16E-10,0.827118322
2010-01-02 22:45:00 EST,931325,619789,2.04E-10,0.832501502
2010-01-02 23:00:00 EST,825720,536906,0,0.838356386
2010-01-02 23:15:00 EST,670027,535293,2.91E-11,0.781283068
2010-01-02 23:30:00 EST,653374,506831,2.91E-11,0.790142025
2010-01-02 23:45:00 EST,493856,458594,0,0.732783556
2010-01-03 00:00:00 EST,485488,450810,8.73E-11,0.732793707
2010-01-03 00:15:00 EST,529876,462252,0,0.753555147
2010-01-03 00:30:00 EST,538201,451524,2.91E-11,0.766100696
2010-01-03 00:45:00 EST,560522,459395,2.91E-11,0.77342543
2010-01-03 01:00:00 EST,599026,463741,0,0.790737167
2010-01-03 01:15:00 EST,626326,474168,8.73E-11,0.797289029
2010-01-03 01:30:00 EST,669857,475786,2.91E-11,0.815275231
2010-01-03 01:45:00 EST,729690,493612,8.73E-11,0.828284374
2010-01-03 02:00:00 EST,787455,509288,5.82E-11,0.839687691
2010-01-03 02:15:00 EST,937722,549581,0,0.862745373
2010-01-03 02:30:00 EST,967480,556950,1.16E-10,0.866654969
2010-01-03 02:45:00 EST,946733,551142,5.82E-11,0.864223112
2010-01-03 03:00:00 EST,1.02E+06,569988,5.82E-11,0.872343031
2010-01-03 03:15:00 EST,938475,547685,1.16E-10,0.863682253
2010-01-03 03:30:00 EST,1.02E+06,571103,5.82E-11,0.872991483
2010-01-03 03:45:00 EST,1.01E+06,568197,5.82E-11,0.870711251
2010-01-03 04:00:00 EST,1.02E+06,571753,5.82E-11,0.87276729
2010-01-03 04:15:00 EST,1.01E+06,570884,5.82E-11,0.870114006
2010-01-03 04:30:00 EST,1.09E+06,604627,5.82E-11,0.873627458
2010-01-03 04:45:00 EST,1.07E+06,598555,5.82E-11,0.872908872
2010-01-03 05:00:00 EST,1.32E+06,605383,2.33E-10,0.909450098
2010-01-03 05:15:00 EST,1.44E+06,612865,0,0.920299147
2010-01-03 05:30:00 EST,1.25E+06,628977,1.16E-10,0.893620254
2010-01-03 05:45:00 EST,1.97E+06,686743,3.49E-10,0.944383244
2010-01-03 06:00:00 EST,2.67E+06,735076,1.16E-10,0.96410135
2010-01-03 06:15:00 EST,2.68E+06,725750,3.49E-10,0.965265176
2010-01-03 06:30:00 EST,2.55E+06,770743,3.49E-10,0.957141831
2010-01-03 06:45:00 EST,2.32E+06,729247,3.49E-10,0.953894085
2010-01-03 07:00:00 EST,2.55E+06,754072,3.49E-10,0.959032676
2010-01-03 07:15:00 EST,2.41E+06,735237,2.33E-10,0.956435276
2010-01-03 07:30:00 EST,1.85E+06,719413,1.75E-10,0.931707286
2010-01-03 07:45:00 EST,2.26E+06,759169,1.16E-10,0.948066153
2010-01-03 08:00:00 EST,2.25E+06,767721,2.91E-10,0.94635971
2010-01-03 08:15:00 EST,2.14E+06,750529,2.33E-10,0.943538149
2010-01-03 08:30:00 EST,1.48E+06,654784,1.75E-10,0.914014397
2010-01-03 08:45:00 EST,1.18E+06,602959,1.16E-10,0.89108506
2010-01-03 09:00:00 EST,1.02E+06,602927,1.16E-10,0.861295332
2010-01-03 09:15:00 EST,849947,598515,8.73E-11,0.817623402
2010-01-03 09:30:00 EST,864045,608332,8.73E-11,0.817672634
2010-01-03 09:45:00 EST,656498,565929,5.82E-11,0.757419976
2010-01-03 10:00:00 EST,670233,560058,5.82E-11,0.767358802
2010-01-03 10:15:00 EST,638858,560591,8.73E-11,0.751648723
2010-01-03 10:30:00 EST,637790,555818,1.16E-10,0.753892189
2010-01-03 10:45:00 EST,622325,551316,5.82E-11,0.748520205
2010-01-03 11:00:00 EST,690665,560512,8.73E-11,0.776473337
2010-01-03 11:15:00 EST,681676,563831,8.73E-11,0.770568998
2010-01-03 11:30:00 EST,661898,553898,8.73E-11,0.76689975
2010-01-03 11:45:00 EST,634828,553087,1.46E-10,0.753980242
2010-01-03 12:00:00 EST,640546,547524,5.82E-11,0.760144506
2010-01-03 12:15:00 EST,627281,542672,8.73E-11,0.756268496
2010-01-03 12:30:00 EST,639162,541865,8.73E-11,0.762776517
2010-01-03 12:45:00 EST,637602,543724,5.82E-11,0.76090053
2010-01-03 13:00:00 EST,587493,533626,2.91E-11,0.740227577
2010-01-03 13:15:00 EST,637076,544120,1.46E-10,0.76040261
2010-01-03 13:30:00 EST,649942,538179,8.73E-11,0.770222018
2010-01-03 13:45:00 EST,613073,537309,1.16E-10,0.75204749
2010-01-03 14:00:00 EST,614319,532313,8.73E-11,0.755748018
2010-01-03 14:15:00 EST,596606,531773,8.73E-11,0.746503652
2010-01-03 14:30:00 EST,599473,535053,1.75E-10,0.746055588
2010-01-03 14:45:00 EST,657602,541419,1.16E-10,0.772008341
2010-01-03 15:00:00 EST,584069,531904,5.82E-11,0.739352453
2010-01-03 15:15:00 EST,625821,536922,8.73E-11,0.758954507
2010-01-03 15:30:00 EST,627318,544600,8.73E-11,0.755138088
2010-01-03 15:45:00 EST,643187,547858,1.75E-10,0.761267791
2010-01-03 16:00:00 EST,635869,548933,8.73E-11,0.756956426
2010-01-03 16:15:00 EST,797203,567197,1.16E-10,0.814811889
2010-01-03 16:30:00 EST,833893,596439,1.46E-10,0.813363716
2010-01-03 16:45:00 EST,846807,594862,8.73E-11,0.818278768
2010-01-03 17:00:00 EST,1.32E+06,649759,1.75E-10,0.896857971
2010-01-03 17:15:00 EST,1.50E+06,657192,1.75E-10,0.916174661
2010-01-03 17:30:00 EST,1.63E+06,696290,2.33E-10,0.919437768
2010-01-03 17:45:00 EST,1.71E+06,729821,2.33E-10,0.919881756
2010-01-03 18:00:00 EST,2.73E+06,835191,2.33E-10,0.956151551
2010-01-03 18:15:00 EST,2.71E+06,828276,3.49E-10,0.956304794
2010-01-03 18:30:00 EST,2.77E+06,833720,1.16E-10,0.957604982
2010-01-03 18:45:00 EST,2.83E+06,861559,4.66E-10,0.956704614
2010-01-03 19:00:00 EST,2.69E+06,855554,4.66E-10,0.953084899
2010-01-03 19:15:00 EST,2.54E+06,825187,1.16E-10,0.951134223
2010-01-03 19:30:00 EST,2.23E+06,800156,2.33E-10,0.941075633
2010-01-03 19:45:00 EST,1.93E+06,787650,1.75E-10,0.925678648
2010-01-03 20:00:00 EST,1.70E+06,781436,2.33E-10,0.90867382
2010-01-03 20:15:00 EST,1.51E+06,767799,1.16E-10,0.891552943
2010-01-03 20:30:00 EST,1.32E+06,733398,5.82E-11,0.87394206
2010-01-03 20:45:00 EST,1.24E+06,744119,0,0.856992367
2010-01-03 21:00:00 EST,1.10E+06,721429,1.75E-10,0.835266921
2010-01-03 21:15:00 EST,942890,675342,5.82E-11,0.812978693
2010-01-03 21:30:00 EST,1.02E+06,679658,1.16E-10,0.831651119
2010-01-03 21:45:00 EST,996532,673206,1.75E-10,0.828637735
2010-01-03 22:00:00 EST,873033,626352,0,0.812518098
2010-01-03 22:15:00 EST,846272,619755,1.46E-10,0.806788745
2010-01-03 22:30:00 EST,812567,584209,1.46E-10,0.811931796
2010-01-03 22:45:00 EST,837786,591710,8.73E-11,0.816815496
2010-01-03 23:00:00 EST,791339,527850,2.91E-11,0.831909236
2010-01-03 23:15:00 EST,635029,524724,0,0.770881382
2010-01-03 23:30:00 EST,621896,497474,8.73E-11,0.780895025
2010-01-03 23:45:00 EST,485151,457540,5.82E-11,0.727505636
2010-01-04 00:00:00 EST,478619,448852,2.91E-11,0.729425649
2010-01-04 00:15:00 EST,492149,452654,2.91E-11,0.736022721
2010-01-04 00:30:00 EST,472435,433910,1.46E-11,0.73649795
2010-01-04 00:45:00 EST,482983,436907,4.37E-11,0.741595069
2010-01-04 01:00:00 EST,513746,441286,1.46E-11,0.758575998
2010-01-04 01:15:00 EST,576278,456859,5.82E-11,0.783622833
2010-01-04 01:30:00 EST,571534,450477,0,0.785373098
2010-01-04 01:45:00 EST,582395,452693,0,0.78953672
2010-01-04 02:00:00 EST,642164,464898,0,0.810012409
2010-01-04 02:15:00 EST,729034,489271,5.82E-11,0.830338792
2010-01-04 02:30:00 EST,782460,501632,1.46E-10,0.841852215
2010-01-04 02:45:00 EST,823074,512036,1.46E-10,0.849102381
2010-01-04 03:00:00 EST,789730,503561,2.91E-11,0.843174866
2010-01-04 03:15:00 EST,818474,509103,0,0.849135571
2010-01-04 03:30:00 EST,842378,521758,5.82E-11,0.850135989
2010-01-04 03:45:00 EST,821874,513035,0,0.84829332
2010-01-04 04:00:00 EST,894787,536630,1.16E-10,0.85759532
2010-01-04 04:15:00 EST,865687,526605,1.16E-10,0.85434532
2010-01-04 04:30:00 EST,885611,542402,0,0.852769313
2010-01-04 04:45:00 EST,879676,540665,0,0.851949577
2010-01-04 05:00:00 EST,1.12E+06,545467,5.82E-11,0.898940137
2010-01-04 05:15:00 EST,1.29E+06,565588,1.75E-10,0.916212804
2010-01-04 05:30:00 EST,1.12E+06,590680,0,0.883805448
2010-01-04 05:45:00 EST,1.82E+06,633960,2.33E-10,0.944559105
2010-01-04 06:00:00 EST,2.62E+06,710809,1.16E-10,0.965171631
2010-01-04 06:15:00 EST,2.59E+06,707649,2.33E-10,0.964651506
2010-01-04 06:30:00 EST,2.45E+06,735476,4.66E-10,0.957650365
2010-01-04 06:45:00 EST,2.21E+06,693448,1.16E-10,0.954094401
2010-01-04 07:00:00 EST,2.46E+06,741268,3.49E-10,0.957633168
2010-01-04 07:15:00 EST,2.15E+06,700408,1.16E-10,0.950609321
2010-01-04 07:30:00 EST,1.66E+06,684799,1.75E-10,0.92426513
2010-01-04 07:45:00 EST,2.16E+06,734066,3.49E-10,0.946729203
2010-01-04 08:00:00 EST,2.16E+06,741419,3.49E-10,0.94560193
2010-01-04 08:15:00 EST,2.01E+06,723145,2.33E-10,0.940847834
2010-01-04 08:30:00 EST,1.39E+06,625990,1.75E-10,0.911388339
2010-01-04 08:45:00 EST,1.04E+06,593664,5.82E-11,0.868919167
2010-01-04 09:00:00 EST,786218,577655,1.46E-10,0.805869366
2010-01-04 09:15:00 EST,700463,582287,8.73E-11,0.768993974
2010-01-04 09:30:00 EST,667000,569392,5.82E-11,0.760563513
2010-01-04 09:45:00 EST,601257,543733,1.46E-10,0.7416962
2010-01-04 10:00:00 EST,598646,542165,8.73E-11,0.74120743
2010-01-04 10:15:00 EST,578867,539031,8.73E-11,0.731839834
2010-01-04 10:30:00 EST,548331,534149,5.82E-11,0.716309394
2010-01-04 10:45:00 EST,571667,538256,1.16E-10,0.728062385
2010-01-04 11:00:00 EST,607850,541883,8.73E-11,0.746450044
2010-01-04 11:15:00 EST,592463,539847,8.73E-11,0.73916691
2010-01-04 11:30:00 EST,567661,528641,8.73E-11,0.731811007
2010-01-04 11:45:00 EST,568579,532061,8.73E-11,0.730166004
2010-01-04 12:00:00 EST,562859,526895,5.82E-11,0.730045231
2010-01-04 12:15:00 EST,593160,527636,5.82E-11,0.747169921
2010-01-04 12:30:00 EST,578970,527258,1.75E-10,0.739353983
2010-01-04 12:45:00 EST,573157,524415,8.73E-11,0.737781487
2010-01-04 13:00:00 EST,584638,529333,8.73E-11,0.741299296
2010-01-04 13:15:00 EST,574314,526446,1.16E-10,0.737159575
2010-01-04 13:30:00 EST,581112,522369,5.82E-11,0.743696061
2010-01-04 13:45:00 EST,583587,525362,1.16E-10,0.743209476
2010-01-04 14:00:00 EST,555809,520534,8.73E-11,0.729888928
2010-01-04 14:15:00 EST,565206,520715,5.82E-11,0.735460464
2010-01-04 14:30:00 EST,594803,524536,5.82E-11,0.750019353
2010-01-04 14:45:00 EST,562197,522266,2.91E-11,0.732646665
2010-01-04 15:00:00 EST,547479,520554,8.73E-11,0.724702617
2010-01-04 15:15:00 EST,583639,521441,5.82E-11,0.745725132
2010-01-04 15:30:00 EST,562071,530598,2.91E-11,0.727172541
2010-01-04 15:45:00 EST,587469,529879,5.82E-11,0.74256658
2010-01-04 16:00:00 EST,577225,534711,8.73E-11,0.733606436
2010-01-04 16:15:00 EST,708375,542107,8.73E-11,0.794136817
2010-01-04 16:30:00 EST,762344,577194,5.82E-11,0.797262929
2010-01-04 16:45:00 EST,722960,570072,1.16E-10,0.785244954
2010-01-04 17:00:00 EST,1.25E+06,624527,1.16E-10,0.894446666
2010-01-04 17:15:00 EST,1.36E+06,620111,2.33E-10,0.909452126
2010-01-04 17:30:00 EST,1.43E+06,667089,1.75E-10,0.905696545
2010-01-04 17:45:00 EST,1.40E+06,671569,1.75E-10,0.902088793
2010-01-04 18:00:00 EST,2.39E+06,775156,3.49E-10,0.951229472
2010-01-04 18:15:00 EST,2.28E+06,757760,3.49E-10,0.949044085
2010-01-04 18:30:00 EST,2.36E+06,769334,2.33E-10,0.950804471
2010-01-04 18:45:00 EST,2.39E+06,788643,1.16E-10,0.949716835
2010-01-04 19:00:00 EST,2.36E+06,802222,2.33E-10,0.946914816
2010-01-04 19:15:00 EST,2.11E+06,785868,2.33E-10,0.936910951
2010-01-04 19:30:00 EST,1.84E+06,755324,2.33E-10,0.924913733
2010-01-04 19:45:00 EST,1.58E+06,753548,2.33E-10,0.902480775
2010-01-04 20:00:00 EST,1.34E+06,727366,0,0.878531134
2010-01-04 20:15:00 EST,1.23E+06,720235,2.33E-10,0.863832425
2010-01-04 20:30:00 EST,1.10E+06,692426,2.33E-10,0.845563389
2010-01-04 20:45:00 EST,1.03E+06,690591,1.16E-10,0.831615416
2010-01-04 21:00:00 EST,903970,664236,8.73E-11,0.805841498
2010-01-04 21:15:00 EST,915338,665897,5.82E-11,0.808653443
2010-01-04 21:30:00 EST,929646,651618,0,0.818873476
2010-01-04 21:45:00 EST,911523,646630,0,0.815615787
2010-01-04 22:00:00 EST,784784,602788,1.16E-10,0.793059411
2010-01-04 22:15:00 EST,812316,609477,8.73E-11,0.799886548
2010-01-04 22:30:00 EST,750129,567094,0,0.797698572
2010-01-04 22:45:00 EST,785167,576500,2.04E-10,0.80605684
2010-01-04 23:00:00 EST,809259,531549,5.82E-11,0.835823856
2010-01-04 23:15:00 EST,598652,514239,2.91E-11,0.758561999
