temperature,wind_speed,humidity,solar_dir,solar_diff,solar_global
1:5:1:0:0,-5.7,0.0,67.0,0.0,0.0,0.0
1:5:2:0:0,-4.6,0.0,67.0,0.0,0.0,0.0
1:5:3:0:0,-4.7,0.0,67.0,0.0,0.0,0.0
1:5:4:0:0,-4.9,0.0,66.0,0.0,0.0,0.0
1:5:5:0:0,-5.2,0.0,68.0,0.0,0.0,0.0
1:5:6:0:0,-5.4,0.0,67.0,0.0,0.0,0.0
1:5:7:0:0,-5.3,0.0,66.0,0.0,0.0,0.0
1:5:8:0:0,-5.4,0.0,66.0,0.0,0.0,0.0
1:5:9:0:0,-5.3,0.0,67.0,0.0,0.0,0.0
1:5:10:0:0,-5.5,0.0,67.0,0.0,0.0,0.0
1:5:11:0:0,-5.8,0.0,73.0,0.0,0.0,0.0
1:5:12:0:0,-5.5,0.0,77.0,0.0,0.0,0.0
1:5:13:0:0,-5.4,0.0,77.0,9.0,3.0,12.0
1:5:14:0:0,-5.7,0.0,84.0,31.5,10.5,42.0
1:5:15:0:0,-5.6,0.0,86.0,78.75,26.25,105.0
1:5:16:0:0,-5.3,0.0,83.0,90.0,30.0,120.0
1:5:17:0:0,-5.4,0.0,83.0,131.25,43.75,175.0
1:5:18:0:0,-4.9,0.0,83.0,86.25,28.75,115.0
1:5:19:0:0,-5.0,0.0,85.0,44.25,14.75,59.0
1:5:20:0:0,-5.3,0.0,80.0,54.0,18.0,72.0
1:5:21:0:0,-5.5,0.0,85.0,15.75,5.25,21.0
1:5:22:0:0,-5.7,0.0,85.0,0.75,0.25,1.0
1:5:23:0:0,-5.8,0.0,82.0,0.0,0.0,0.0
1:6:0:0:0,-6.2,0.0,85.0,0.0,0.0,0.0
1:6:1:0:0,-6.5,0.0,89.0,0.0,0.0,0.0
1:6:2:0:0,-6.6,0.0,88.0,0.0,0.0,0.0
1:6:3:0:0,-7.0,0.0,86.0,0.0,0.0,0.0
1:6:4:0:0,-7.6,0.0,85.0,0.0,0.0,0.0
1:6:5:0:0,-8.5,0.0,79.0,0.0,0.0,0.0
1:6:6:0:0,-9.0,0.0,79.0,0.0,0.0,0.0
1:6:7:0:0,-9.7,0.0,80.0,0.0,0.0,0.0
1:6:8:0:0,-10.2,0.0,78.0,0.0,0.0,0.0
1:6:9:0:0,-10.6,0.0,80.0,0.0,0.0,0.0
1:6:10:0:0,-11.5,0.0,79.0,0.0,0.0,0.0
1:6:11:0:0,-11.9,0.0,74.0,0.0,0.0,0.0
1:6:12:0:0,-11.9,0.0,74.0,0.0,0.0,0.0
1:6:13:0:0,-11.5,0.0,74.0,20.25,6.75,27.0
1:6:14:0:0,-11.1,0.0,72.0,97.5,32.5,130.0
1:6:15:0:0,-11.0,0.0,67.0,129.75,43.25,173.0
1:6:16:0:0,-10.8,0.0,66.0,153.75,51.25,205.0
1:6:17:0:0,-10.3,0.0,63.0,236.25,78.75,315.0
1:6:18:0:0,-9.5,0.0,62.0,288.0,96.0,384.0
1:6:19:0:0,-9.7,0.0,62.0,198.0,66.0,264.0
1:6:20:0:0,-9.7,0.0,61.0,111.0,37.0,148.0
1:6:21:0:0,-10.3,0.0,61.0,66.75,22.25,89.0
1:6:22:0:0,-10.5,0.0,63.0,6.75,2.25,9.0
1:6:23:0:0,-10.8,0.0,65.0,0.0,0.0,0.0
1:7:0:0:0,-11.0,0.0,67.0,0.0,0.0,0.0
1:7:1:0:0,-11.8,0.0,68.0,0.0,0.0,0.0
1:7:2:0:0,-12.4,0.0,67.0,0.0,0.0,0.0
1:7:3:0:0,-12.6,0.0,64.0,0.0,0.0,0.0
1:7:4:0:0,-12.9,0.0,63.0,0.0,0.0,0.0
1:7:5:0:0,-13.1,0.0,66.0,0.0,0.0,0.0
1:7:6:0:0,-13.3,0.0,68.0,0.0,0.0,0.0
1:7:7:0:0,-13.2,0.0,68.0,0.0,0.0,0.0
1:7:8:0:0,-13.3,0.0,69.0,0.0,0.0,0.0
1:7:9:0:0,-13.5,0.0,66.0,0.0,0.0,0.0
1:7:10:0:0,-14.2,0.0,62.0,0.0,0.0,0.0
1:7:11:0:0,-15.1,0.0,65.0,0.0,0.0,0.0
1:7:12:0:0,-15.5,0.0,71.0,0.0,0.0,0.0
1:7:13:0:0,-14.6,0.0,72.0,44.25,14.75,59.0
1:7:14:0:0,-13.8,0.0,69.0,168.75,56.25,225.0
1:7:15:0:0,-13.1,0.0,70.0,271.5,90.5,362.0
1:7:16:0:0,-12.5,0.0,67.0,281.25,93.75,375.0
1:7:17:0:0,-11.6,0.0,66.0,338.25,112.75,451.0
1:7:18:0:0,-10.9,0.0,62.0,370.5,123.5,494.0
1:7:19:0:0,-10.2,0.0,58.0,311.25,103.75,415.0
1:7:20:0:0,-9.8,0.0,55.0,217.5,72.5,290.0
1:7:21:0:0,-10.3,0.0,54.0,103.5,34.5,138.0
1:7:22:0:0,-11.4,0.0,58.0,12.75,4.25,17.0
1:7:23:0:0,-11.6,0.0,60.0,0.0,0.0,0.0
1:8:0:0:0,-12.2,0.0,61.0,0.0,0.0,0.0
1:8:1:0:0,-12.5,0.0,63.0,0.0,0.0,0.0
1:8:2:0:0,-12.7,0.0,64.0,0.0,0.0,0.0
1:8:3:0:0,-13.4,0.0,67.0,0.0,0.0,0.0
1:8:4:0:0,-12.7,0.0,70.0,0.0,0.0,0.0
1:8:5:0:0,-12.6,0.0,73.0,0.0,0.0,0.0
1:8:6:0:0,-11.9,0.0,74.0,0.0,0.0,0.0
1:8:7:0:0,-12.1,0.0,73.0,0.0,0.0,0.0
1:8:8:0:0,-13.7,0.0,76.0,0.0,0.0,0.0
1:8:9:0:0,-14.4,0.0,80.0,0.0,0.0,0.0
1:8:10:0:0,-14.5,0.0,83.0,0.0,0.0,0.0
1:8:11:0:0,-14.8,0.0,85.0,0.0,0.0,0.0
1:8:12:0:0,-16.4,0.0,87.0,0.0,0.0,0.0
1:8:13:0:0,-14.3,0.0,89.0,56.25,18.75,75.0
1:8:14:0:0,-12.0,0.0,86.0,171.0,57.0,228.0
1:8:15:0:0,-10.6,0.0,76.0,281.25,93.75,375.0
1:8:16:0:0,-9.5,0.0,63.0,352.5,117.5,470.0
1:8:17:0:0,-8.8,0.0,60.0,384.0,128.0,512.0
1:8:18:0:0,-8.4,0.0,58.0,374.25,124.75,499.0
1:8:19:0:0,-7.5,0.0,51.0,318.75,106.25,425.0
1:8:20:0:0,-6.9,0.0,50.0,225.0,75.0,300.0
1:8:21:0:0,-7.7,0.0,50.0,83.25,27.75,111.0
1:8:22:0:0,-8.6,0.0,52.0,2.25,0.75,3.0
1:8:23:0:0,-8.8,0.0,50.0,0.0,0.0,0.0
1:9:0:0:0,-10.0,0.0,54.0,0.0,0.0,0.0
1:9:1:0:0,-10.3,0.0,57.0,0.0,0.0,0.0
1:9:2:0:0,-9.7,0.0,63.0,0.0,0.0,0.0
1:9:3:0:0,-9.0,0.0,67.0,0.0,0.0,0.0
1:9:4:0:0,-8.6,0.0,67.0,0.0,0.0,0.0
1:9:5:0:0,-8.0,0.0,65.0,0.0,0.0,0.0
1:9:6:0:0,-7.4,0.0,61.0,0.0,0.0,0.0
1:9:7:0:0,-6.8,0.0,59.0,0.0,0.0,0.0
1:9:8:0:0,-6.7,0.0,59.0,0.0,0.0,0.0
1:9:9:0:0,-6.4,0.0,59.0,0.0,0.0,0.0
1:9:10:0:0,-6.3,0.0,61.0,0.0,0.0,0.0
1:9:11:0:0,-6.2,0.0,62.0,0.0,0.0,0.0
1:9:12:0:0,-7.0,0.0,63.0,0.0,0.0,0.0
1:9:13:0:0,-5.2,0.0,62.0,54.75,18.25,73.0
1:9:14:0:0,-3.4,0.0,56.0,159.75,53.25,213.0
1:9:15:0:0,-1.3,0.0,51.0,221.25,73.75,295.0
1:9:16:0:0,-0.6,0.0,46.0,213.0,71.0,284.0
1:9:17:0:0,0.1,0.0,46.0,232.5,77.5,310.0
1:9:18:0:0,1.2,0.0,47.0,219.75,73.25,293.0
1:9:19:0:0,1.5,0.0,46.0,159.75,53.25,213.0
1:9:20:0:0,2.0,0.0,47.0,126.75,42.25,169.0
1:9:21:0:0,1.8,0.0,46.0,51.75,17.25,69.0
1:9:22:0:0,1.7,0.0,48.0,3.75,1.25,5.0
1:9:23:0:0,1.6,0.0,49.0,0.0,0.0,0.0
1:10:0:0:0,1.9,0.0,46.0,0.0,0.0,0.0
1:10:1:0:0,1.6,0.0,45.0,0.0,0.0,0.0
1:10:2:0:0,1.1,0.0,45.0,0.0,0.0,0.0
1:10:3:0:0,1.6,0.0,47.0,0.0,0.0,0.0
1:10:4:0:0,2.0,0.0,46.0,0.0,0.0,0.0
1:10:5:0:0,2.3,0.0,46.0,0.0,0.0,0.0
1:10:6:0:0,2.8,0.0,45.0,0.0,0.0,0.0
1:10:7:0:0,3.1,0.0,47.0,0.0,0.0,0.0
1:10:8:0:0,3.8,0.0,49.0,0.0,0.0,0.0
1:10:9:0:0,4.2,0.0,50.0,0.0,0.0,0.0
1:10:10:0:0,4.4,0.0,49.0,0.0,0.0,0.0
1:10:11:0:0,4.6,0.0,50.0,0.0,0.0,0.0
1:10:12:0:0,4.5,0.0,56.0,0.0,0.0,0.0
1:10:13:0:0,4.9,0.0,59.0,1.5,0.5,2.0
1:10:14:0:0,6.1,0.0,61.0,23.25,7.75,31.0
1:10:15:0:0,7.6,0.0,60.0,55.5,18.5,74.0
1:10:16:0:0,8.9,0.0,59.0,57.0,19.0,76.0
1:10:17:0:0,9.2,0.0,58.0,51.0,17.0,68.0
1:10:18:0:0,10.0,0.0,58.0,79.5,26.5,106.0
1:10:19:0:0,10.9,0.0,56.0,51.0,17.0,68.0
1:10:20:0:0,11.2,0.0,55.0,17.25,5.75,23.0
1:10:21:0:0,10.8,0.0,57.0,0.0,0.0,0.0
1:10:22:0:0,10.6,0.0,64.0,0.0,0.0,0.0
1:10:23:0:0,10.0,0.0,75.0,0.0,0.0,0.0
1:11:0:0:0,10.9,0.0,76.0,0.0,0.0,0.0
1:11:1:0:0,10.7,0.0,81.0,0.0,0.0,0.0
1:11:2:0:0,10.7,0.0,88.0,0.0,0.0,0.0
1:11:3:0:0,10.7,0.0,84.0,0.0,0.0,0.0
1:11:4:0:0,10.8,0.0,85.0,0.0,0.0,0.0
1:11:5:0:0,9.5,0.0,85.0,0.0,0.0,0.0
1:11:6:0:0,8.2,0.0,89.0,0.0,0.0,0.0
1:11:7:0:0,6.9,0.0,93.0,0.0,0.0,0.0
1:11:8:0:0,7.3,0.0,96.0,0.0,0.0,0.0
1:11:9:0:0,4.6,0.0,98.0,0.0,0.0,0.0
1:11:10:0:0,7.4,0.0,98.0,0.0,0.0,0.0
1:11:11:0:0,8.9,0.0,98.0,0.0,0.0,0.0
1:11:12:0:0,9.1,0.0,95.0,0.0,0.0,0.0
1:11:13:0:0,9.8,0.0,93.0,18.75,6.25,25.0
1:11:14:0:0,10.7,0.0,91.0,43.5,14.5,58.0
1:11:15:0:0,11.8,0.0,89.0,69.0,23.0,92.0
1:11:16:0:0,11.6,0.0,90.0,32.25,10.75,43.0
1:11:17:0:0,11.6,0.0,93.0,14.25,4.75,19.0
1:11:18:0:0,12.3,0.0,93.0,22.5,7.5,30.0
1:11:19:0:0,13.6,0.0,94.0,36.0,12.0,48.0
1:11:20:0:0,14.8,0.0,93.0,13.5,4.5,18.0
1:11:21:0:0,15.5,0.0,89.0,12.75,4.25,17.0
1:11:22:0:0,15.6,0.0,84.0,1.5,0.5,2.0
1:11:23:0:0,15.2,0.0,83.0,0.0,0.0,0.0
1:12:0:0:0,14.9,0.0,82.0,0.0,0.0,0.0
1:12:1:0:0,15.2,0.0,80.0,0.0,0.0,0.0
1:12:2:0:0,15.0,0.0,79.0,0.0,0.0,0.0
1:12:3:0:0,16.0,0.0,76.0,0.0,0.0,0.0
1:12:4:0:0,16.1,0.0,76.0,0.0,0.0,0.0
1:12:5:0:0,16.7,0.0,76.0,0.0,0.0,0.0
1:12:6:0:0,16.9,0.0,76.0,0.0,0.0,0.0
1:12:7:0:0,17.4,0.0,76.0,0.0,0.0,0.0
1:12:8:0:0,17.7,0.0,73.0,0.0,0.0,0.0
1:12:9:0:0,17.9,0.0,72.0,0.0,0.0,0.0
1:12:10:0:0,17.8,0.0,72.0,0.0,0.0,0.0
1:12:11:0:0,17.6,0.0,73.0,0.0,0.0,0.0
1:12:12:0:0,17.5,0.0,75.0,0.0,0.0,0.0
1:12:13:0:0,17.7,0.0,75.0,9.75,3.25,13.0
1:12:14:0:0,17.0,0.0,76.0,18.75,6.25,25.0
1:12:15:0:0,16.5,0.0,86.0,24.75,8.25,33.0
1:12:16:0:0,17.8,0.0,85.0,184.5,61.5,246.0
1:12:17:0:0,18.1,0.0,78.0,45.0,15.0,60.0
1:12:18:0:0,18.6,0.0,72.0,66.75,22.25,89.0
1:12:19:0:0,18.2,0.0,72.0,27.0,9.0,36.0
1:12:20:0:0,19.1,0.0,72.0,63.75,21.25,85.0
1:12:21:0:0,18.7,0.0,70.0,31.5,10.5,42.0
1:12:22:0:0,12.2,0.0,90.0,0.0,0.0,0.0
1:12:23:0:0,11.5,0.0,89.0,0.0,0.0,0.0
1:13:0:0:0,10.8,0.0,91.0,0.0,0.0,0.0
1:13:1:0:0,7.8,0.0,93.0,0.0,0.0,0.0
1:13:2:0:0,6.7,0.0,92.0,0.0,0.0,0.0
1:13:3:0:0,5.0,0.0,91.0,0.0,0.0,0.0
1:13:4:0:0,4.4,0.0,89.0,0.0,0.0,0.0
1:13:5:0:0,3.8,0.0,89.0,0.0,0.0,0.0
1:13:6:0:0,3.3,0.0,90.0,0.0,0.0,0.0
1:13:7:0:0,3.0,0.0,91.0,0.0,0.0,0.0
1:13:8:0:0,2.7,0.0,91.0,0.0,0.0,0.0
1:13:9:0:0,2.1,0.0,91.0,0.0,0.0,0.0
1:13:10:0:0,1.7,0.0,90.0,0.0,0.0,0.0
1:13:11:0:0,1.6,0.0,91.0,0.0,0.0,0.0
1:13:12:0:0,1.9,0.0,90.0,0.0,0.0,0.0
1:13:13:0:0,2.0,0.0,88.0,9.0,3.0,12.0
1:13:14:0:0,2.3,0.0,86.0,48.75,16.25,65.0
1:13:15:0:0,2.6,0.0,85.0,73.5,24.5,98.0
1:13:16:0:0,2.3,0.0,84.0,45.0,15.0,60.0
1:13:17:0:0,2.2,0.0,86.0,65.25,21.75,87.0
1:13:18:0:0,2.4,0.0,88.0,61.5,20.5,82.0
1:13:19:0:0,2.6,0.0,88.0,60.0,20.0,80.0
1:13:20:0:0,2.9,0.0,88.0,58.5,19.5,78.0
1:13:21:0:0,2.5,0.0,86.0,17.25,5.75,23.0
1:13:22:0:0,2.3,0.0,87.0,0.75,0.25,1.0
1:13:23:0:0,2.5,0.0,90.0,0.0,0.0,0.0
1:14:0:0:0,2.7,0.0,90.0,0.0,0.0,0.0
1:14:1:0:0,2.7,0.0,91.0,0.0,0.0,0.0
1:14:2:0:0,2.5,0.0,92.0,0.0,0.0,0.0
1:14:3:0:0,2.7,0.0,93.0,0.0,0.0,0.0
1:14:4:0:0,3.0,0.0,91.0,0.0,0.0,0.0
1:14:5:0:0,3.0,0.0,92.0,0.0,0.0,0.0
1:14:6:0:0,3.1,0.0,95.0,0.0,0.0,0.0
1:14:7:0:0,3.1,0.0,97.0,0.0,0.0,0.0
1:14:8:0:0,3.1,0.0,98.0,0.0,0.0,0.0
1:14:9:0:0,3.2,0.0,98.0,0.0,0.0,0.0
1:14:10:0:0,3.4,0.0,98.0,0.0,0.0,0.0
1:14:11:0:0,3.4,0.0,98.0,0.0,0.0,0.0
1:14:12:0:0,3.5,0.0,98.0,0.0,0.0,0.0
1:14:13:0:0,3.9,0.0,98.0,3.0,1.0,4.0
1:14:14:0:0,4.5,0.0,98.0,24.75,8.25,33.0
1:14:15:0:0,5.4,0.0,98.0,32.25,10.75,43.0
1:14:16:0:0,5.2,0.0,98.0,23.25,7.75,31.0
1:14:17:0:0,5.4,0.0,98.0,25.5,8.5,34.0
1:14:18:0:0,5.8,0.0,98.0,44.25,14.75,59.0
1:14:19:0:0,5.8,0.0,97.0,28.5,9.5,38.0
1:14:20:0:0,5.4,0.0,96.0,26.25,8.75,35.0
1:14:21:0:0,5.0,0.0,95.0,12.0,4.0,16.0
1:14:22:0:0,4.8,0.0,96.0,1.5,0.5,2.0
1:14:23:0:0,4.5,0.0,96.0,0.0,0.0,0.0
1:15:0:0:0,4.0,0.0,95.0,0.0,0.0,0.0
1:15:1:0:0,3.7,0.0,95.0,0.0,0.0,0.0
1:15:2:0:0,3.5,0.0,96.0,0.0,0.0,0.0
1:15:3:0:0,3.4,0.0,97.0,0.0,0.0,0.0
1:15:4:0:0,3.3,0.0,98.0,0.0,0.0,0.0
1:15:5:0:0,3.1,0.0,98.0,0.0,0.0,0.0
1:15:6:0:0,2.9,0.0,98.0,0.0,0.0,0.0
1:15:7:0:0,2.8,0.0,98.0,0.0,0.0,0.0
1:15:8:0:0,2.7,0.0,99.0,0.0,0.0,0.0
1:15:9:0:0,2.5,0.0,99.0,0.0,0.0,0.0
1:15:10:0:0,2.3,0.0,99.0,0.0,0.0,0.0
1:15:11:0:0,2.4,0.0,99.0,0.0,0.0,0.0
1:15:12:0:0,2.2,0.0,98.0,0.0,0.0,0.0
1:15:13:0:0,2.7,0.0,97.0,15.75,5.25,21.0
1:15:14:0:0,2.9,0.0,96.0,26.25,8.75,35.0
1:15:15:0:0,3.2,0.0,95.0,33.0,11.0,44.0
1:15:16:0:0,3.1,0.0,93.0,39.75,13.25,53.0
1:15:17:0:0,3.4,0.0,94.0,28.5,9.5,38.0
1:15:18:0:0,3.7,0.0,94.0,66.75,22.25,89.0
1:15:19:0:0,3.6,0.0,94.0,24.75,8.25,33.0
1:15:20:0:0,3.8,0.0,95.0,17.25,5.75,23.0
1:15:21:0:0,3.8,0.0,95.0,10.5,3.5,14.0
1:15:22:0:0,4.0,0.0,96.0,0.75,0.25,1.0
1:15:23:0:0,4.1,0.0,96.0,0.0,0.0,0.0
1:16:0:0:0,4.2,0.0,97.0,0.0,0.0,0.0
1:16:1:0:0,4.2,0.0,97.0,0.0,0.0,0.0
1:16:2:0:0,4.2,0.0,96.0,0.0,0.0,0.0
1:16:3:0:0,4.1,0.0,96.0,0.0,0.0,0.0
1:16:4:0:0,4.3,0.0,97.0,0.0,0.0,0.0
1:16:5:0:0,4.3,0.0,96.0,0.0,0.0,0.0
1:16:6:0:0,4.4,0.0,96.0,0.0,0.0,0.0
1:16:7:0:0,4.6,0.0,97.0,0.0,0.0,0.0
1:16:8:0:0,4.7,0.0,97.0,0.0,0.0,0.0
1:16:9:0:0,4.6,0.0,97.0,0.0,0.0,0.0
1:16:10:0:0,4.7,0.0,97.0,0.0,0.0,0.0
1:16:11:0:0,4.9,0.0,97.0,0.0,0.0,0.0
1:16:12:0:0,5.0,0.0,97.0,0.0,0.0,0.0
1:16:13:0:0,5.7,0.0,96.0,17.25,5.75,23.0
1:16:14:0:0,7.4,0.0,96.0,126.75,42.25,169.0
1:16:15:0:0,9.3,0.0,93.0,162.0,54.0,216.0
1:16:16:0:0,11.1,0.0,92.0,135.75,45.25,181.0
1:16:17:0:0,13.0,0.0,88.0,252.75,84.25,337.0
1:16:18:0:0,14.2,0.0,82.0,202.5,67.5,270.0
1:16:19:0:0,14.9,0.0,79.0,142.5,47.5,190.0
1:16:20:0:0,14.2,0.0,81.0,18.75,6.25,25.0
1:16:21:0:0,14.5,0.0,84.0,29.25,9.75,39.0
1:16:22:0:0,14.2,0.0,85.0,1.5,0.5,2.0
1:16:23:0:0,14.2,0.0,85.0,0.0,0.0,0.0
1:17:0:0:0,13.6,0.0,83.0,0.0,0.0,0.0
1:17:1:0:0,13.9,0.0,85.0,0.0,0.0,0.0
1:17:2:0:0,14.6,0.0,82.0,0.0,0.0,0.0
1:17:3:0:0,14.5,0.0,81.0,0.0,0.0,0.0
1:17:4:0:0,14.6,0.0,80.0,0.0,0.0,0.0
1:17:5:0:0,13.7,0.0,84.0,0.0,0.0,0.0
1:17:6:0:0,13.7,0.0,89.0,0.0,0.0,0.0
1:17:7:0:0,13.5,0.0,92.0,0.0,0.0,0.0
1:17:8:0:0,13.8,0.0,94.0,0.0,0.0,0.0
1:17:9:0:0,14.1,0.0,93.0,0.0,0.0,0.0
1:17:10:0:0,14.3,0.0,91.0,0.0,0.0,0.0
1:17:11:0:0,14.5,0.0,93.0,0.0,0.0,0.0
1:17:12:0:0,14.7,0.0,93.0,0.0,0.0,0.0
1:17:13:0:0,14.7,0.0,94.0,1.5,0.5,2.0
1:17:14:0:0,15.2,0.0,95.0,17.25,5.75,23.0
1:17:15:0:0,17.1,0.0,94.0,162.0,54.0,216.0
1:17:16:0:0,17.2,0.0,85.0,120.75,40.25,161.0
1:17:17:0:0,16.9,0.0,84.0,134.25,44.75,179.0
1:17:18:0:0,17.2,0.0,76.0,189.0,63.0,252.0
1:17:19:0:0,16.5,0.0,62.0,164.25,54.75,219.0
1:17:20:0:0,16.0,0.0,64.0,110.25,36.75,147.0
1:17:21:0:0,14.9,0.0,64.0,43.5,14.5,58.0
