Reliability report for C:\Users\dwp0\Dropbox\OMF\omf\scratch\reliability\original\Exercise_4_2_1.glm
Number of customers = 26

1366 metrics based around 1-hour base (outage-hours)

Events for year starting at 2000-01-01 03:00:00
Annual Event #,Metric Interval Event #,Starting DateTime (YYYY-MM-DD hh:mm:ss),Ending DateTime (YYYY-MM-DD hh:mm:ss),Object type,Object Name,Inducing Object,"Protective" Device,Desired Fault type,Implemented Fault Type,Number customers affected,Secondary number of customers affected
13,1,2000-01-01 08:18:50,2000-01-01 08:18:51,underground_line,node738-711,RandEventGen,sectionalizer_838_838b,DLG-X,DLG-CA,3,8
14,2,2000-01-01 08:42:42,2000-01-01 08:42:43,underground_line,node781-701,RandEventGen,reg799-781,DLG-X,DLG-BC,26,0
15,3,2000-01-01 09:42:06,2000-01-01 09:49:07,underground_line,node744-728,RandEventGen,fuse_node703-703b,DLG-X,DLG-AB,4,0
16,4,2000-01-01 09:54:43,2000-01-01 09:54:44,underground_line,node738-711,RandEventGen,sectionalizer_838_838b,DLG-X,DLG-AB,3,8
17,5,2000-01-01 10:20:03,2000-01-01 10:20:12,underground_line,node708-733,RandEventGen,sectionalizer_node708-708b,DLG-X,DLG-BC,8,3
18,6,2000-01-01 11:09:42,2000-01-01 11:09:44,underground_line,node781-701,RandEventGen,reg799-781,DLG-X,DLG-BC,26,0
19,7,2000-01-01 11:14:34,2000-01-01 11:14:39,underground_line,node781-701,RandEventGen,reg799-781,DLG-X,DLG-CA,26,0
20,8,2000-01-01 11:41:26,2000-01-01 11:41:27,underground_line,node781-701,RandEventGen,reg799-781,DLG-X,DLG-CA,26,0
21,9,2000-01-01 11:43:18,2000-01-01 11:50:19,underground_line,node744-728,RandEventGen,fuse_node703-703b,DLG-X,DLG-AB,4,0
22,10,2000-01-01 12:16:22,2000-01-01 12:16:23,underground_line,node781-701,RandEventGen,reg799-781,DLG-X,DLG-BC,26,0
23,11,2000-01-01 12:38:28,2000-01-01 12:38:32,underground_line,node738-711,RandEventGen,sectionalizer_838_838b,DLG-X,DLG-CA,3,8
24,12,2000-01-01 12:56:41,2000-01-01 12:56:44,underground_line,node708-733,RandEventGen,sectionalizer_node708-708b,DLG-X,DLG-AB,9,2

SAIFI = 1.230769, SAIDI = 0.144231, CAIDI = 0.117187, ASAI = 0.999984, MAIFI = 10.115385
Interval values: SAIFI = 0.307692, SAIDI = 0.035983, CAIDI = 0.116944, ASAI = 0.999984, MAIFI = 7.115385

New Metric Interval started at 2000-01-01 13:00:00

25,1,2000-01-01 14:26:42,2000-01-01 14:26:43,underground_line,node738-711,RandEventGen,sectionalizer_838_838b,DLG-X,DLG-CA,3,8
26,2,2000-01-01 14:23:39,2000-01-01 14:30:42,underground_line,node744-728,RandEventGen,fuse_node703-703b,DLG-X,DLG-AB,4,0
27,3,2000-01-01 14:44:10,2000-01-01 14:51:14,underground_line,node744-729,RandEventGen,fuse_node703-703b,DLG-X,DLG-BC,4,0
28,4,2000-01-01 15:33:13,2000-01-01 15:40:17,underground_line,node744-728,RandEventGen,fuse_node703-703b,DLG-X,DLG-AB,4,0
29,5,2000-01-01 16:11:06,2000-01-01 16:18:48,underground_line,node744-729,RandEventGen,fuse_node703-703b,DLG-X,DLG-BC,4,0
30,6,2000-01-01 16:20:46,2000-01-01 16:20:47,underground_line,node781-701,RandEventGen,reg799-781,DLG-X,DLG-CA,26,0
31,7,2000-01-01 17:44:56,2000-01-01 17:44:57,underground_line,node781-701,RandEventGen,reg799-781,DLG-X,DLG-AB,26,0

SAIFI = 1.846154, SAIDI = 0.218291, CAIDI = 0.118241, ASAI = 0.999975, MAIFI = 12.538462
Interval values: SAIFI = 0.615385, SAIDI = 0.074060, CAIDI = 0.120347, ASAI = 0.999975, MAIFI = 2.423077

New Metric Interval started at 2000-01-01 18:00:00

