DeviceNumber,DeviceType,NetworkId,CustomerNumber,ConsumerClassId,Status,LockDuringLoadAllocation,LoadYear,LoadModelId,NormalPriority,EmergencyPriority,LoadValueType,Phase,CenterTapPercent,LoadValue1,LoadValue2,ConnectedKVA,KWHUsage,NumberOfCustomer
"LOAD646",20,"650","LOAD646","Z",0,0,2008,1,0,0,0,2,0.0000000000000000e+00,2.3000000000000000e+02,1.3200000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
"LOAD646",20,"650","LOAD646","Z",0,0,2008,1,0,0,0,3,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
"LOAD671",20,"650","LOAD671","PQ",0,0,2008,1,0,0,0,1,0.0000000000000000e+00,3.8500000000000000e+02,2.2000000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
"LOAD671",20,"650","LOAD671","PQ",0,0,2008,1,0,0,0,2,0.0000000000000000e+00,3.8500000000000000e+02,2.2000000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
"LOAD671",20,"650","LOAD671","PQ",0,0,2008,1,0,0,0,3,0.0000000000000000e+00,3.8500000000000000e+02,2.2000000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
"LOAD675",20,"650","LOAD675","PQ",0,0,2008,1,0,0,0,1,0.0000000000000000e+00,4.8500000000000000e+02,1.9000000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
"LOAD675",20,"650","LOAD675","PQ",0,0,2008,1,0,0,0,2,0.0000000000000000e+00,6.8000000000000000e+01,6.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
"LOAD675",20,"650","LOAD675","PQ",0,0,2008,1,0,0,0,3,0.0000000000000000e+00,2.9000000000000000e+02,2.1200000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
"LOAD634",20,"650","LOAD634","PQ",0,0,2008,1,0,0,0,1,0.0000000000000000e+00,1.6000000000000000e+02,1.1000000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
"LOAD634",20,"650","LOAD634","PQ",0,0,2008,1,0,0,0,2,0.0000000000000000e+00,1.2000000000000000e+02,9.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
"LOAD634",20,"650","LOAD634","PQ",0,0,2008,1,0,0,0,3,0.0000000000000000e+00,1.2000000000000000e+02,9.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
"L632_671-1",21,"650","L632_671-1","PQ",0,0,2002,1,0,0,0,1,0.0000000000000000e+00,1.7000000000000000e+01,1.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
"L632_671-1",21,"650","L632_671-1","PQ",0,0,2002,1,0,0,0,2,0.0000000000000000e+00,6.6000000000000000e+01,3.8000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
"L632_671-1",21,"650","L632_671-1","PQ",0,0,2002,1,0,0,0,3,0.0000000000000000e+00,1.1700000000000000e+02,6.8000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
