,Bus1,Bus2,C0,C1,CMatrix,Count,EmergAmps,Geometry,Length,LineCode,Name,NormAmps,NumCust,Parent,Phases,R0,R1,RMatrix,Rg,Rho,Spacing,Units,X0,X1,XMatrix,Xg,Yprim
l18,710.1.2.3,735.1.2.3,1.6,3.4,"[30.26701029, 0.0, 0.0, 0.0, 30.26701029, 0.0, 0.0, 0.0, 30.26701029]",36,600.0,,0.2,724,l18,400.0,0,0,3,0.1784,0.058,"[0.396818182, 0.098560606, 0.093295455, 0.098560606, 0.399015152, 0.098560606, 0.093295455, 0.098560606, 0.396818182]",0.01805,100.0,,0,0.4047,0.1206,"[0.146931818, 0.051856061, 0.040208333, 0.051856061, 0.140113636, 0.051856061, 0.040208333, 0.051856061, 0.146931818]",0.155081,"[12.377766314416238, -4.316401358377269, -2.763748925683546, 0.5176265742037456, -2.2829083304036772, 0.8385271034210001, -12.377766314416238, 4.316402499416675, 2.763748925683546, -0.5176265742037456, 2.2829083304036772, -0.8385271034210001, -2.763748925683546, 0.5176265742037456, 12.635205089295946, -3.974197409143844, -2.7637489256835455, 0.5176265742037454, 2.763748925683546, -0.5176265742037456, -12.635205089295946, 3.97419855018325, 2.7637489256835455, -0.5176265742037454, -2.2829083304036772, 0.8385271034210001, -2.7637489256835455, 0.5176265742037454, 12.377766314416236, -4.316401358377268, 2.2829083304036772, -0.8385271034210001, 2.7637489256835455, -0.5176265742037454, -12.377766314416236, 4.316402499416674, -12.377766314416238, 4.316402499416675, 2.763748925683546, -0.5176265742037456, 2.2829083304036772, -0.8385271034210001, 12.377766314416238, -4.316401358377269, -2.763748925683546, 0.5176265742037456, -2.2829083304036772, 0.8385271034210001, 2.763748925683546, -0.5176265742037456, -12.635205089295946, 3.97419855018325, 2.7637489256835455, -0.5176265742037454, -2.763748925683546, 0.5176265742037456, 12.635205089295946, -3.974197409143844, -2.7637489256835455, 0.5176265742037454, 2.2829083304036772, -0.8385271034210001, 2.7637489256835455, -0.5176265742037454, -12.377766314416236, 4.316402499416674, -2.2829083304036772, 0.8385271034210001, -2.7637489256835455, 0.5176265742037454, 12.377766314416236, -4.316401358377268]"
l19,710.1.2.3,736.1.2.3,1.6,3.4,"[30.26701029, 0.0, 0.0, 0.0, 30.26701029, 0.0, 0.0, 0.0, 30.26701029]",36,600.0,,1.28,724,l19,400.0,0,0,3,0.1784,0.058,"[0.396818182, 0.098560606, 0.093295455, 0.098560606, 0.399015152, 0.098560606, 0.093295455, 0.098560606, 0.396818182]",0.01805,100.0,,0,0.4047,0.1206,"[0.146931818, 0.051856061, 0.040208333, 0.051856061, 0.140113636, 0.051856061, 0.040208333, 0.051856061, 0.146931818]",0.155081,"[1.934025986627537, -0.6744305878816566, -0.43183576963805403, 0.08087915221933523, -0.35670442662557456, 0.1310198599095313, -1.934025986627537, 0.6744378905338555, 0.43183576963805403, -0.08087915221933523, 0.35670442662557456, -0.1310198599095313, -0.43183576963805403, 0.08087915221933523, 1.9742507952024917, -0.620961220813934, -0.4318357696380539, 0.08087915221933517, 0.43183576963805403, -0.08087915221933523, -1.9742507952024917, 0.620968523466133, 0.4318357696380539, -0.08087915221933517, -0.35670442662557456, 0.1310198599095313, -0.4318357696380539, 0.08087915221933517, 1.9340259866275369, -0.6744305878816563, 0.35670442662557456, -0.1310198599095313, 0.4318357696380539, -0.08087915221933517, -1.9340259866275369, 0.6744378905338553, -1.934025986627537, 0.6744378905338555, 0.43183576963805403, -0.08087915221933523, 0.35670442662557456, -0.1310198599095313, 1.934025986627537, -0.6744305878816566, -0.43183576963805403, 0.08087915221933523, -0.35670442662557456, 0.1310198599095313, 0.43183576963805403, -0.08087915221933523, -1.9742507952024917, 0.620968523466133, 0.4318357696380539, -0.08087915221933517, -0.43183576963805403, 0.08087915221933523, 1.9742507952024917, -0.620961220813934, -0.4318357696380539, 0.08087915221933517, 0.35670442662557456, -0.1310198599095313, 0.4318357696380539, -0.08087915221933517, -1.9340259866275369, 0.6744378905338553, -0.35670442662557456, 0.1310198599095313, -0.4318357696380539, 0.08087915221933517, 1.9340259866275369, -0.6744305878816563]"
l2,702.1.2.3,705.1.2.3,1.6,3.4,"[30.26701029, 0.0, 0.0, 0.0, 30.26701029, 0.0, 0.0, 0.0, 30.26701029]",36,600.0,,0.4,724,l2,400.0,0,0,3,0.1784,0.058,"[0.396818182, 0.098560606, 0.093295455, 0.098560606, 0.399015152, 0.098560606, 0.093295455, 0.098560606, 0.396818182]",0.01805,100.0,,0,0.4047,0.1206,"[0.146931818, 0.051856061, 0.040208333, 0.051856061, 0.140113636, 0.051856061, 0.040208333, 0.051856061, 0.146931818]",0.155081,"[6.188883157208119, -2.1581989676295255, -1.381874462841773, 0.2588132871018728, -1.1414541652018386, 0.41926355171050006, -6.188883157208119, 2.1582012497083376, 1.381874462841773, -0.2588132871018728, 1.1414541652018386, -0.41926355171050006, -1.381874462841773, 0.2588132871018728, 6.317602544647973, -1.9870969930128128, -1.3818744628417727, 0.2588132871018727, 1.381874462841773, -0.2588132871018728, -6.317602544647973, 1.987099275091625, 1.3818744628417727, -0.2588132871018727, -1.1414541652018386, 0.41926355171050006, -1.3818744628417727, 0.2588132871018727, 6.188883157208118, -2.158198967629525, 1.1414541652018386, -0.41926355171050006, 1.3818744628417727, -0.2588132871018727, -6.188883157208118, 2.158201249708337, -6.188883157208119, 2.1582012497083376, 1.381874462841773, -0.2588132871018728, 1.1414541652018386, -0.41926355171050006, 6.188883157208119, -2.1581989676295255, -1.381874462841773, 0.2588132871018728, -1.1414541652018386, 0.41926355171050006, 1.381874462841773, -0.2588132871018728, -6.317602544647973, 1.987099275091625, 1.3818744628417727, -0.2588132871018727, -1.381874462841773, 0.2588132871018728, 6.317602544647973, -1.9870969930128128, -1.3818744628417727, 0.2588132871018727, 1.1414541652018386, -0.41926355171050006, 1.3818744628417727, -0.2588132871018727, -6.188883157208118, 2.158201249708337, -1.1414541652018386, 0.41926355171050006, -1.3818744628417727, 0.2588132871018727, 6.188883157208118, -2.158198967629525]"
l20,711.1.2.3,741.1.2.3,1.6,3.4,"[37.5977112, 0.0, 0.0, 0.0, 37.5977112, 0.0, 0.0, 0.0, 37.5977112]",36,600.0,,0.4,723,l20,400.0,0,0,3,0.1784,0.058,"[0.245, 0.092253788, 0.086837121, 0.092253788, 0.246628788, 0.092253788, 0.086837121, 0.092253788, 0.245]",0.01805,100.0,,0,0.4047,0.1206,"[0.127140152, 0.039981061, 0.028806818, 0.039981061, 0.119810606, 0.039981061, 0.028806818, 0.039981061, 0.127140152]",0.155081,"[9.52468005921387, -5.428404985077544, -2.742596528101415, 1.502196136710675, -1.8752874077044064, 1.6592022160620996, -9.52468005921387, 5.428407819878184, 2.742596528101415, -1.502196136710675, 1.8752874077044064, -1.6592022160620996, -2.742596528101415, 1.502196136710675, 10.163104804805062, -5.171779768248262, -2.742596528101415, 1.5021961367106746, 2.742596528101415, -1.502196136710675, -10.163104804805062, 5.171782603048902, 2.742596528101415, -1.5021961367106746, -1.8752874077044064, 1.6592022160620996, -2.742596528101415, 1.5021961367106746, 9.52468005921387, -5.428404985077544, 1.8752874077044064, -1.6592022160620996, 2.742596528101415, -1.5021961367106746, -9.52468005921387, 5.428407819878184, -9.52468005921387, 5.428407819878184, 2.742596528101415, -1.502196136710675, 1.8752874077044064, -1.6592022160620996, 9.52468005921387, -5.428404985077544, -2.742596528101415, 1.502196136710675, -1.8752874077044064, 1.6592022160620996, 2.742596528101415, -1.502196136710675, -10.163104804805062, 5.171782603048902, 2.742596528101415, -1.5021961367106746, -2.742596528101415, 1.502196136710675, 10.163104804805062, -5.171779768248262, -2.742596528101415, 1.5021961367106746, 1.8752874077044064, -1.6592022160620996, 2.742596528101415, -1.5021961367106746, -9.52468005921387, 5.428407819878184, -1.8752874077044064, 1.6592022160620996, -2.742596528101415, 1.5021961367106746, 9.52468005921387, -5.428404985077544]"
l21,711.1.2.3,740.1.2.3,1.6,3.4,"[30.26701029, 0.0, 0.0, 0.0, 30.26701029, 0.0, 0.0, 0.0, 30.26701029]",36,600.0,,0.2,724,l21,400.0,0,0,3,0.1784,0.058,"[0.396818182, 0.098560606, 0.093295455, 0.098560606, 0.399015152, 0.098560606, 0.093295455, 0.098560606, 0.396818182]",0.01805,100.0,,0,0.4047,0.1206,"[0.146931818, 0.051856061, 0.040208333, 0.051856061, 0.140113636, 0.051856061, 0.040208333, 0.051856061, 0.146931818]",0.155081,"[12.377766314416238, -4.316401358377269, -2.763748925683546, 0.5176265742037456, -2.2829083304036772, 0.8385271034210001, -12.377766314416238, 4.316402499416675, 2.763748925683546, -0.5176265742037456, 2.2829083304036772, -0.8385271034210001, -2.763748925683546, 0.5176265742037456, 12.635205089295946, -3.974197409143844, -2.7637489256835455, 0.5176265742037454, 2.763748925683546, -0.5176265742037456, -12.635205089295946, 3.97419855018325, 2.7637489256835455, -0.5176265742037454, -2.2829083304036772, 0.8385271034210001, -2.7637489256835455, 0.5176265742037454, 12.377766314416236, -4.316401358377268, 2.2829083304036772, -0.8385271034210001, 2.7637489256835455, -0.5176265742037454, -12.377766314416236, 4.316402499416674, -12.377766314416238, 4.316402499416675, 2.763748925683546, -0.5176265742037456, 2.2829083304036772, -0.8385271034210001, 12.377766314416238, -4.316401358377269, -2.763748925683546, 0.5176265742037456, -2.2829083304036772, 0.8385271034210001, 2.763748925683546, -0.5176265742037456, -12.635205089295946, 3.97419855018325, 2.7637489256835455, -0.5176265742037454, -2.763748925683546, 0.5176265742037456, 12.635205089295946, -3.974197409143844, -2.7637489256835455, 0.5176265742037454, 2.2829083304036772, -0.8385271034210001, 2.7637489256835455, -0.5176265742037454, -12.377766314416236, 4.316402499416674, -2.2829083304036772, 0.8385271034210001, -2.7637489256835455, 0.5176265742037454, 12.377766314416236, -4.316401358377268]"
l22,713.1.2.3,704.1.2.3,1.6,3.4,"[37.5977112, 0.0, 0.0, 0.0, 37.5977112, 0.0, 0.0, 0.0, 37.5977112]",36,600.0,,0.52,723,l22,400.0,0,0,3,0.1784,0.058,"[0.245, 0.092253788, 0.086837121, 0.092253788, 0.246628788, 0.092253788, 0.086837121, 0.092253788, 0.245]",0.01805,100.0,,0,0.4047,0.1206,"[0.127140152, 0.039981061, 0.028806818, 0.039981061, 0.119810606, 0.039981061, 0.028806818, 0.039981061, 0.127140152]",0.155081,"[7.326676968626053, -4.175694637742389, -2.1096896370010887, 1.1555354897774428, -1.442528775157236, 1.2763093969708454, -7.326676968626053, 4.175698322983219, 2.1096896370010887, -1.1555354897774428, 1.442528775157236, -1.2763093969708454, -2.1096896370010887, 1.1555354897774428, 7.817772926773126, -3.978290624796787, -2.1096896370010887, 1.1555354897774426, 2.1096896370010887, -1.1555354897774428, -7.817772926773126, 3.978294310037618, 2.1096896370010887, -1.1555354897774426, -1.442528775157236, 1.2763093969708454, -2.1096896370010887, 1.1555354897774426, 7.326676968626053, -4.175694637742388, 1.442528775157236, -1.2763093969708454, 2.1096896370010887, -1.1555354897774426, -7.326676968626053, 4.1756983229832185, -7.326676968626053, 4.175698322983219, 2.1096896370010887, -1.1555354897774428, 1.442528775157236, -1.2763093969708454, 7.326676968626053, -4.175694637742389, -2.1096896370010887, 1.1555354897774428, -1.442528775157236, 1.2763093969708454, 2.1096896370010887, -1.1555354897774428, -7.817772926773126, 3.978294310037618, 2.1096896370010887, -1.1555354897774426, -2.1096896370010887, 1.1555354897774428, 7.817772926773126, -3.978290624796787, -2.1096896370010887, 1.1555354897774426, 1.442528775157236, -1.2763093969708454, 2.1096896370010887, -1.1555354897774426, -7.326676968626053, 4.1756983229832185, -1.442528775157236, 1.2763093969708454, -2.1096896370010887, 1.1555354897774426, 7.326676968626053, -4.175694637742388]"
l23,714.1.2.3,718.1.2.3,1.6,3.4,"[30.26701029, 0.0, 0.0, 0.0, 30.26701029, 0.0, 0.0, 0.0, 30.26701029]",36,600.0,,0.52,724,l23,400.0,0,0,3,0.1784,0.058,"[0.396818182, 0.098560606, 0.093295455, 0.098560606, 0.399015152, 0.098560606, 0.093295455, 0.098560606, 0.396818182]",0.01805,100.0,,0,0.4047,0.1206,"[0.146931818, 0.051856061, 0.040208333, 0.051856061, 0.140113636, 0.051856061, 0.040208333, 0.051856061, 0.146931818]",0.155081,"[4.760679351698553, -1.660151840765496, -1.062980356032133, 0.19908714392451732, -0.8780416655398758, 0.3225104243926924, -4.760679351698553, 1.6601548074679517, 1.062980356032133, -0.19908714392451732, 0.8780416655398758, -0.3225104243926924, -1.062980356032133, 0.19908714392451732, 4.859694265113825, -1.528534937214179, -1.0629803560321327, 0.19908714392451735, 1.062980356032133, -0.19908714392451732, -4.859694265113825, 1.5285379039166347, 1.0629803560321327, -0.19908714392451735, -0.8780416655398758, 0.3225104243926924, -1.0629803560321327, 0.19908714392451735, 4.760679351698553, -1.6601518407654958, 0.8780416655398758, -0.3225104243926924, 1.0629803560321327, -0.19908714392451735, -4.760679351698553, 1.6601548074679515, -4.760679351698553, 1.6601548074679517, 1.062980356032133, -0.19908714392451732, 0.8780416655398758, -0.3225104243926924, 4.760679351698553, -1.660151840765496, -1.062980356032133, 0.19908714392451732, -0.8780416655398758, 0.3225104243926924, 1.062980356032133, -0.19908714392451732, -4.859694265113825, 1.5285379039166347, 1.0629803560321327, -0.19908714392451735, -1.062980356032133, 0.19908714392451732, 4.859694265113825, -1.528534937214179, -1.0629803560321327, 0.19908714392451735, 0.8780416655398758, -0.3225104243926924, 1.0629803560321327, -0.19908714392451735, -4.760679351698553, 1.6601548074679515, -0.8780416655398758, 0.3225104243926924, -1.0629803560321327, 0.19908714392451735, 4.760679351698553, -1.6601518407654958]"
l24,720.1.2.3,707.1.2.3,1.6,3.4,"[30.26701029, 0.0, 0.0, 0.0, 30.26701029, 0.0, 0.0, 0.0, 30.26701029]",36,600.0,,0.92,724,l24,400.0,0,0,3,0.1784,0.058,"[0.396818182, 0.098560606, 0.093295455, 0.098560606, 0.399015152, 0.098560606, 0.093295455, 0.098560606, 0.396818182]",0.01805,100.0,,0,0.4047,0.1206,"[0.146931818, 0.051856061, 0.040208333, 0.051856061, 0.140113636, 0.051856061, 0.040208333, 0.051856061, 0.146931818]",0.155081,"[2.6908187640035304, -0.9383431206571399, -0.6008149838442489, 0.11252751613124894, -0.49628441965297343, 0.18228850074369587, -2.6908187640035304, 0.9383483694384078, 0.6008149838442489, -0.11252751613124894, 0.49628441965297343, -0.18228850074369587, -0.6008149838442489, 0.11252751613124894, 2.7467837150643355, -0.863950957780308, -0.6008149838442488, 0.11252751613124884, 0.6008149838442489, -0.11252751613124894, -2.7467837150643355, 0.8639562065615759, 0.6008149838442488, -0.11252751613124884, -0.49628441965297343, 0.18228850074369587, -0.6008149838442488, 0.11252751613124884, 2.6908187640035295, -0.9383431206571398, 0.49628441965297343, -0.18228850074369587, 0.6008149838442488, -0.11252751613124884, -2.6908187640035295, 0.9383483694384077, -2.6908187640035304, 0.9383483694384078, 0.6008149838442489, -0.11252751613124894, 0.49628441965297343, -0.18228850074369587, 2.6908187640035304, -0.9383431206571399, -0.6008149838442489, 0.11252751613124894, -0.49628441965297343, 0.18228850074369587, 0.6008149838442489, -0.11252751613124894, -2.7467837150643355, 0.8639562065615759, 0.6008149838442488, -0.11252751613124884, -0.6008149838442489, 0.11252751613124894, 2.7467837150643355, -0.863950957780308, -0.6008149838442488, 0.11252751613124884, 0.49628441965297343, -0.18228850074369587, 0.6008149838442488, -0.11252751613124884, -2.6908187640035295, 0.9383483694384077, -0.49628441965297343, 0.18228850074369587, -0.6008149838442488, 0.11252751613124884, 2.6908187640035295, -0.9383431206571398]"
l25,720.1.2.3,706.1.2.3,1.6,3.4,"[37.5977112, 0.0, 0.0, 0.0, 37.5977112, 0.0, 0.0, 0.0, 37.5977112]",36,600.0,,0.6,723,l25,400.0,0,0,3,0.1784,0.058,"[0.245, 0.092253788, 0.086837121, 0.092253788, 0.246628788, 0.092253788, 0.086837121, 0.092253788, 0.245]",0.01805,100.0,,0,0.4047,0.1206,"[0.127140152, 0.039981061, 0.028806818, 0.039981061, 0.119810606, 0.039981061, 0.028806818, 0.039981061, 0.127140152]",0.155081,"[6.34978670614258, -3.6189342943844975, -1.8283976854009434, 1.0014640911404502, -1.2501916051362711, 1.1061348107080669, -6.34978670614258, 3.6189385465854564, 1.8283976854009434, -1.0014640911404502, 1.2501916051362711, -1.1061348107080669, -1.8283976854009434, 1.0014640911404502, 6.775403203203377, -3.447850816498311, -1.8283976854009436, 1.0014640911404507, 1.8283976854009434, -1.0014640911404502, -6.775403203203377, 3.44785506869927, 1.8283976854009436, -1.0014640911404507, -1.2501916051362711, 1.1061348107080669, -1.8283976854009436, 1.0014640911404507, 6.34978670614258, -3.618934294384498, 1.2501916051362711, -1.1061348107080669, 1.8283976854009436, -1.0014640911404507, -6.34978670614258, 3.618938546585457, -6.34978670614258, 3.6189385465854564, 1.8283976854009434, -1.0014640911404502, 1.2501916051362711, -1.1061348107080669, 6.34978670614258, -3.6189342943844975, -1.8283976854009434, 1.0014640911404502, -1.2501916051362711, 1.1061348107080669, 1.8283976854009434, -1.0014640911404502, -6.775403203203377, 3.44785506869927, 1.8283976854009436, -1.0014640911404507, -1.8283976854009434, 1.0014640911404502, 6.775403203203377, -3.447850816498311, -1.8283976854009436, 1.0014640911404507, 1.2501916051362711, -1.1061348107080669, 1.8283976854009436, -1.0014640911404507, -6.34978670614258, 3.618938546585457, -1.2501916051362711, 1.1061348107080669, -1.8283976854009436, 1.0014640911404507, 6.34978670614258, -3.618934294384498]"
l26,727.1.2.3,744.1.2.3,1.6,3.4,"[37.5977112, 0.0, 0.0, 0.0, 37.5977112, 0.0, 0.0, 0.0, 37.5977112]",36,600.0,,0.28,723,l26,400.0,0,0,3,0.1784,0.058,"[0.245, 0.092253788, 0.086837121, 0.092253788, 0.246628788, 0.092253788, 0.086837121, 0.092253788, 0.245]",0.01805,100.0,,0,0.4047,0.1206,"[0.127140152, 0.039981061, 0.028806818, 0.039981061, 0.119810606, 0.039981061, 0.028806818, 0.039981061, 0.127140152]",0.155081,"[13.606685798876955, -7.754866329751245, -3.917995040144878, 2.14599448101525, -2.678982011006295, 2.3702888800887147, -13.606685798876955, 7.754868314111692, 3.917995040144878, -2.14599448101525, 2.678982011006295, -2.3702888800887147, -3.917995040144878, 2.14599448101525, 14.518721149721518, -7.388258877137986, -3.9179950401448798, 2.1459944810152516, 3.917995040144878, -2.14599448101525, -14.518721149721518, 7.388260861498433, 3.9179950401448798, -2.1459944810152516, -2.678982011006295, 2.3702888800887147, -3.9179950401448798, 2.1459944810152516, 13.606685798876958, -7.7548663297512475, 2.678982011006295, -2.3702888800887147, 3.9179950401448798, -2.1459944810152516, -13.606685798876958, 7.754868314111695, -13.606685798876955, 7.754868314111692, 3.917995040144878, -2.14599448101525, 2.678982011006295, -2.3702888800887147, 13.606685798876955, -7.754866329751245, -3.917995040144878, 2.14599448101525, -2.678982011006295, 2.3702888800887147, 3.917995040144878, -2.14599448101525, -14.518721149721518, 7.388260861498433, 3.9179950401448798, -2.1459944810152516, -3.917995040144878, 2.14599448101525, 14.518721149721518, -7.388258877137986, -3.9179950401448798, 2.1459944810152516, 2.678982011006295, -2.3702888800887147, 3.9179950401448798, -2.1459944810152516, -13.606685798876958, 7.754868314111695, -2.678982011006295, 2.3702888800887147, -3.9179950401448798, 2.1459944810152516, 13.606685798876958, -7.7548663297512475]"
l27,730.1.2.3,709.1.2.3,1.6,3.4,"[37.5977112, 0.0, 0.0, 0.0, 37.5977112, 0.0, 0.0, 0.0, 37.5977112]",36,600.0,,0.2,723,l27,400.0,0,0,3,0.1784,0.058,"[0.245, 0.092253788, 0.086837121, 0.092253788, 0.246628788, 0.092253788, 0.086837121, 0.092253788, 0.245]",0.01805,100.0,,0,0.4047,0.1206,"[0.127140152, 0.039981061, 0.028806818, 0.039981061, 0.119810606, 0.039981061, 0.028806818, 0.039981061, 0.127140152]",0.155081,"[19.04936011842774, -10.856814222356048, -5.48519305620283, 3.00439227342135, -3.7505748154088128, 3.318404432124199, -19.04936011842774, 10.856815639756368, 5.48519305620283, -3.00439227342135, 3.7505748154088128, -3.318404432124199, -5.48519305620283, 3.00439227342135, 20.326209609610125, -10.343563788697484, -5.48519305620283, 3.0043922734213493, 5.48519305620283, -3.00439227342135, -20.326209609610125, 10.343565206097804, 5.48519305620283, -3.0043922734213493, -3.7505748154088128, 3.318404432124199, -5.48519305620283, 3.0043922734213493, 19.04936011842774, -10.856814222356048, 3.7505748154088128, -3.318404432124199, 5.48519305620283, -3.0043922734213493, -19.04936011842774, 10.856815639756368, -19.04936011842774, 10.856815639756368, 5.48519305620283, -3.00439227342135, 3.7505748154088128, -3.318404432124199, 19.04936011842774, -10.856814222356048, -5.48519305620283, 3.00439227342135, -3.7505748154088128, 3.318404432124199, 5.48519305620283, -3.00439227342135, -20.326209609610125, 10.343565206097804, 5.48519305620283, -3.0043922734213493, -5.48519305620283, 3.00439227342135, 20.326209609610125, -10.343563788697484, -5.48519305620283, 3.0043922734213493, 3.7505748154088128, -3.318404432124199, 5.48519305620283, -3.0043922734213493, -19.04936011842774, 10.856815639756368, -3.7505748154088128, 3.318404432124199, -5.48519305620283, 3.0043922734213493, 19.04936011842774, -10.856814222356048]"
l28,733.1.2.3,734.1.2.3,1.6,3.4,"[37.5977112, 0.0, 0.0, 0.0, 37.5977112, 0.0, 0.0, 0.0, 37.5977112]",36,600.0,,0.56,723,l28,400.0,0,0,3,0.1784,0.058,"[0.245, 0.092253788, 0.086837121, 0.092253788, 0.246628788, 0.092253788, 0.086837121, 0.092253788, 0.245]",0.01805,100.0,,0,0.4047,0.1206,"[0.127140152, 0.039981061, 0.028806818, 0.039981061, 0.119810606, 0.039981061, 0.028806818, 0.039981061, 0.127140152]",0.155081,"[6.803342899438477, -3.8774301883349516, -1.958997520072439, 1.072997240507625, -1.3394910055031475, 1.1851444400443574, -6.803342899438477, 3.877434157055846, 1.958997520072439, -1.072997240507625, 1.3394910055031475, -1.1851444400443574, -1.958997520072439, 1.072997240507625, 7.259360574860759, -3.694126462028322, -1.9589975200724399, 1.0729972405076258, 1.958997520072439, -1.072997240507625, -7.259360574860759, 3.6941304307492167, 1.9589975200724399, -1.0729972405076258, -1.3394910055031475, 1.1851444400443574, -1.9589975200724399, 1.0729972405076258, 6.803342899438479, -3.877430188334953, 1.3394910055031475, -1.1851444400443574, 1.9589975200724399, -1.0729972405076258, -6.803342899438479, 3.8774341570558475, -6.803342899438477, 3.877434157055846, 1.958997520072439, -1.072997240507625, 1.3394910055031475, -1.1851444400443574, 6.803342899438477, -3.8774301883349516, -1.958997520072439, 1.072997240507625, -1.3394910055031475, 1.1851444400443574, 1.958997520072439, -1.072997240507625, -7.259360574860759, 3.6941304307492167, 1.9589975200724399, -1.0729972405076258, -1.958997520072439, 1.072997240507625, 7.259360574860759, -3.694126462028322, -1.9589975200724399, 1.0729972405076258, 1.3394910055031475, -1.1851444400443574, 1.9589975200724399, -1.0729972405076258, -6.803342899438479, 3.8774341570558475, -1.3394910055031475, 1.1851444400443574, -1.9589975200724399, 1.0729972405076258, 6.803342899438479, -3.877430188334953]"
l29,734.1.2.3,737.1.2.3,1.6,3.4,"[37.5977112, 0.0, 0.0, 0.0, 37.5977112, 0.0, 0.0, 0.0, 37.5977112]",36,600.0,,0.64,723,l29,400.0,0,0,3,0.1784,0.058,"[0.245, 0.092253788, 0.086837121, 0.092253788, 0.246628788, 0.092253788, 0.086837121, 0.092253788, 0.245]",0.01805,100.0,,0,0.4047,0.1206,"[0.127140152, 0.039981061, 0.028806818, 0.039981061, 0.119810606, 0.039981061, 0.028806818, 0.039981061, 0.127140152]",0.155081,"[5.9529250370086695, -3.3927503517428432, -1.7141228300633842, 0.938872585444172, -1.1720546298152545, 1.0370013850388127, -5.9529250370086695, 3.392754887423866, 1.7141228300633842, -0.938872585444172, 1.1720546298152545, -1.0370013850388127, -1.7141228300633842, 0.938872585444172, 6.351940503003164, -3.232359591224541, -1.7141228300633842, 0.938872585444172, 1.7141228300633842, -0.938872585444172, -6.351940503003164, 3.232364126905564, 1.7141228300633842, -0.938872585444172, -1.1720546298152545, 1.0370013850388127, -1.7141228300633842, 0.938872585444172, 5.9529250370086695, -3.3927503517428437, 1.1720546298152545, -1.0370013850388127, 1.7141228300633842, -0.938872585444172, -5.9529250370086695, 3.3927548874238664, -5.9529250370086695, 3.392754887423866, 1.7141228300633842, -0.938872585444172, 1.1720546298152545, -1.0370013850388127, 5.9529250370086695, -3.3927503517428432, -1.7141228300633842, 0.938872585444172, -1.1720546298152545, 1.0370013850388127, 1.7141228300633842, -0.938872585444172, -6.351940503003164, 3.232364126905564, 1.7141228300633842, -0.938872585444172, -1.7141228300633842, 0.938872585444172, 6.351940503003164, -3.232359591224541, -1.7141228300633842, 0.938872585444172, 1.1720546298152545, -1.0370013850388127, 1.7141228300633842, -0.938872585444172, -5.9529250370086695, 3.3927548874238664, -1.1720546298152545, 1.0370013850388127, -1.7141228300633842, 0.938872585444172, 5.9529250370086695, -3.3927503517428437]"
l3,702.1.2.3,713.1.2.3,1.6,3.4,"[37.5977112, 0.0, 0.0, 0.0, 37.5977112, 0.0, 0.0, 0.0, 37.5977112]",36,600.0,,0.36,723,l3,400.0,0,0,3,0.1784,0.058,"[0.245, 0.092253788, 0.086837121, 0.092253788, 0.246628788, 0.092253788, 0.086837121, 0.092253788, 0.245]",0.01805,100.0,,0,0.4047,0.1206,"[0.127140152, 0.039981061, 0.028806818, 0.039981061, 0.119810606, 0.039981061, 0.028806818, 0.039981061, 0.127140152]",0.155081,"[10.582977843570967, -6.03156169298852, -3.0473294756682385, 1.6691068185674172, -2.083652675227119, 1.8435580178467774, -10.582977843570967, 6.031564244309095, 3.0473294756682385, -1.6691068185674172, 2.083652675227119, -1.8435580178467774, -3.0473294756682385, 1.6691068185674172, 11.292338672005625, -5.746422563178205, -3.047329475668239, 1.6691068185674165, 3.0473294756682385, -1.6691068185674172, -11.292338672005625, 5.746425114498781, 3.047329475668239, -1.6691068185674165, -2.083652675227119, 1.8435580178467774, -3.047329475668239, 1.6691068185674165, 10.582977843570967, -6.031561692988519, 2.083652675227119, -1.8435580178467774, 3.047329475668239, -1.6691068185674165, -10.582977843570967, 6.031564244309094, -10.582977843570967, 6.031564244309095, 3.0473294756682385, -1.6691068185674172, 2.083652675227119, -1.8435580178467774, 10.582977843570967, -6.03156169298852, -3.0473294756682385, 1.6691068185674172, -2.083652675227119, 1.8435580178467774, 3.0473294756682385, -1.6691068185674172, -11.292338672005625, 5.746425114498781, 3.047329475668239, -1.6691068185674165, -3.0473294756682385, 1.6691068185674172, 11.292338672005625, -5.746422563178205, -3.047329475668239, 1.6691068185674165, 2.083652675227119, -1.8435580178467774, 3.047329475668239, -1.6691068185674165, -10.582977843570967, 6.031564244309094, -2.083652675227119, 1.8435580178467774, -3.047329475668239, 1.6691068185674165, 10.582977843570967, -6.031561692988519]"
