Element, Terminal, P(kW), Q(kvar),  P_Normal, Q_Normal, P_Emergency, Q_Emergency
"Transformer.SUBXF"     ,   1,      2588.4,      1572.6,       482.0,       292.9,         0.0,         0.0
"Line.L12"              ,   2,       -41.9,       -21.0
"Line.L13"              ,   1,       160.2,        79.1,         0.0,         0.0,         0.0,         0.0
"Line.L13"              ,   2,      -160.1,       -79.2
"Line.L14"              ,   1,       641.2,       307.2,         0.0,         0.0,         0.0,         0.0
"Line.L14"              ,   2,      -639.9,      -306.5
"Line.L15"              ,   1,        42.0,        20.9,         0.0,         0.0,         0.0,         0.0
"Line.L15"              ,   2,       -42.0,       -21.0
"Line.L16"              ,   1,        85.8,        40.2,         0.0,         0.0,         0.0,         0.0
"Line.L16"              ,   2,       -85.7,       -40.3
"Line.L17"              ,   1,       684.8,       328.9,         0.0,         0.0,         0.0,         0.0
"Line.L17"              ,   2,      -683.3,      -328.1
"Line.L18"              ,   1,        84.5,        39.7,         0.0,         0.0,         0.0,         0.0
"Line.L18"              ,   2,       -84.4,       -39.7
"Line.L19"              ,   1,        41.9,        20.6,         0.0,         0.0,         0.0,         0.0
"Line.L19"              ,   2,       -41.9,       -20.9
"Line.L20"              ,   1,        41.5,        20.6,         0.0,         0.0,         0.0,         0.0
"Line.L20"              ,   2,       -41.5,       -20.7
"Line.L21"              ,   1,        84.0,        39.5,         0.0,         0.0,         0.0,         0.0
"Line.L21"              ,   2,       -83.9,       -39.5
"Line.L22"              ,   1,       451.9,       217.7,         0.0,         0.0,         0.0,         0.0
"Line.L22"              ,   2,      -451.0,      -217.3
"Line.L23"              ,   1,        81.9,        38.4,         0.0,         0.0,         0.0,         0.0
"Line.L23"              ,   2,       -81.7,       -38.5
"Line.L24"              ,   1,       203.2,       100.0,         0.0,         0.0,         0.0,         0.0
"Line.L24"              ,   2,      -202.1,       -99.9
"Line.L25"              ,   1,        42.0,        20.8,         0.0,         0.0,         0.0,         0.0
"Line.L25"              ,   2,       -42.0,       -20.9
"Line.L26"              ,   1,       209.2,       103.9,         0.0,         0.0,         0.0,         0.0
"Line.L26"              ,   2,      -209.1,      -103.9
"Line.L27"              ,   1,       771.7,       369.7,         0.0,         0.0,         0.0,         0.0
"Line.L27"              ,   2,      -770.6,      -369.1
"Line.L28"              ,   1,       557.7,       269.1,         0.0,         0.0,         0.0,         0.0
"Line.L28"              ,   2,      -555.9,      -268.3
"Line.L29"              ,   1,       387.4,       187.1,         0.0,         0.0,         0.0,         0.0
"Line.L29"              ,   2,      -386.3,      -186.6
"Line.L30"              ,   1,       126.6,        60.3,         0.0,         0.0,         0.0,         0.0
"Line.L30"              ,   2,      -126.4,       -60.3
"Line.L31"              ,   1,       251.9,       122.1,         0.0,         0.0,         0.0,         0.0
"Line.L31"              ,   2,      -251.6,      -122.0
"Line.L32"              ,   1,       125.6,        60.0,         0.0,         0.0,         0.0,         0.0
"Line.L32"              ,   2,      -125.5,       -60.1
"Line.L33"              ,   1,       126.1,        63.0,         0.0,         0.0,         0.0,         0.0
"Line.L33"              ,   2,      -126.0,       -63.0
"Line.L34"              ,   1,        41.0,        19.9,         0.0,         0.0,         0.0,         0.0
"Line.L34"              ,   2,       -41.0,       -20.0
"Line.L35"              ,   1,      2498.3,      1234.3,         0.0,         0.0,         0.0,         0.0
"Line.L35"              ,   2,     -2469.9,     -1207.5
"Transformer.REG1A"     ,   1,       778.1,      1625.2,         0.0,         0.0,         0.0,         0.0
"Transformer.REG1A"     ,   2,      -770.5,     -1606.1
"Transformer.REG1C"     ,   1,      1734.8,      -354.4,         0.0,         0.0,         0.0,         0.0
"Transformer.REG1C"     ,   2,     -1727.8,       371.8
"Line.JUMPER"           ,   1,         0.0,        -0.0,         0.0,         0.0,         0.0,         0.0
"Line.JUMPER"           ,   2,        -0.0,         0.0
"Load.S701A"            ,   1,       140.0,        70.0
"Load.S701B"            ,   1,       140.0,        70.0
"Load.S701C"            ,   1,       350.0,       175.0
"Load.S712C"            ,   1,        85.0,        40.0
"Load.S713C"            ,   1,        85.0,        40.0
"Load.S714A"            ,   1,        16.7,         7.7
"Load.S714B"            ,   1,        21.2,        10.2
"Load.S718A"            ,   1,        81.7,        38.5
"Load.S720C"            ,   1,        85.0,        40.0
"Load.S722B"            ,   1,       139.9,        69.9
"Load.S722C"            ,   1,        20.2,         9.2
"Load.S724B"            ,   1,        41.9,        21.0
"Load.S725B"            ,   1,        42.0,        21.0
"Load.S727C"            ,   1,        42.0,        21.0
"Load.S728"             ,   1,       126.0,        63.0
"Load.S729A"            ,   1,        41.0,        20.0
"Load.S730C"            ,   1,        78.0,        36.7
"Load.S731B"            ,   1,        85.7,        40.3
"Load.S732C"            ,   1,        42.0,        21.0
"Load.S733A"            ,   1,        82.2,        37.4
"Load.S734C"            ,   1,        41.9,        20.9
"Load.S735C"            ,   1,        84.4,        39.7
"Load.S736B"            ,   1,        41.9,        20.9
"Load.S737A"            ,   1,       134.4,        64.5
"Load.S738A"            ,   1,       126.0,        62.0
"Load.S740C"            ,   1,        83.9,        39.5
"Load.S741C"            ,   1,        41.5,        20.7
"Load.S742A"            ,   1,         7.8,         3.9
"Load.S742B"            ,   1,        86.8,        40.9
"Load.S744A"            ,   1,        42.0,        21.0
