Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2
Line.L11, 0.00850918,    85.55,    9.74189,  -122.12,    9.73435,    57.85,          0,     0.00, 2.70899E-6,   -63.18, 4.73134E-12,   144.78,    9.74156,    57.82,    9.74156,  -122.18,          0,     0.00, 5.96829E-12,   162.26
Line.L12,   0.023084,    85.57,    9.77267,  -121.99,    9.75221,    57.94,          0,     0.00, 6.65492E-6,   -85.36, 1.65531E-12,   -15.95,    9.77172,    57.86,    9.77172,  -122.14,          0,     0.00, 3.14442E-12,    12.53
Line.L13,    4.80898,   -60.30,    32.6049,  -122.12,    35.1327,    64.81,          0,     0.00, 1.05238E-6,   -84.20,    4.81199,   119.68,    32.6047,    57.87,    35.1355,  -115.19,          0,     0.00, 7.49989E-12,   165.96
Line.L14,     122.85,   -25.46,    87.9215,  -173.59,    66.9128,   110.61,          0,     0.00, 0.0000455105,    71.36,    122.854,   154.54,     87.931,     6.41,    66.9133,   -69.40,          0,     0.00, 0.0000436938,  -106.04
Line.L15,    10.2496,   -62.95,  0.0100915,   -34.04,    10.2585,   117.07,          0,     0.00, 2.29875E-6,    14.43,    10.2578,   117.02, 3.05054E-12,  -116.57,    10.2578,   -62.98,          0,     0.00, 9.37486E-13,  -104.04
Line.L16,  0.0223896,    85.33,    19.6511,  -120.83,     19.631,    59.14,          0,     0.00, 5.88971E-6,    -2.16, 2.81246E-12,    75.96,    19.6497,    59.10,    19.6497,  -120.90,          0,     0.00, 3.97091E-12,   166.76
Line.L17,    131.126,   -28.18,    87.9043,  -173.58,    77.1143,   111.47,          0,     0.00, 0.0000482522,    65.73,    131.131,   151.81,    87.9138,     6.42,    77.1146,   -68.54,          0,     0.00, 0.0000468045,  -111.00
Line.L18,    20.5195,   -61.73, 0.00627919,   -33.96,    20.5251,   118.28,          0,     0.00, 1.46377E-6,    66.80,    20.5245,   118.26, 8.78263E-12,  -111.25,    20.5245,   -61.74,          0,     0.00, 2.27374E-11,   -53.13
Line.L19,   0.038037,    85.32,    9.76965,  -122.04,    9.73589,    57.85,          0,     0.00, 9.06902E-6,    71.49, 4.68743E-13,   104.04,    9.76838,    57.72,    9.76838,  -122.28,          0,     0.00, 2.34371E-13,   104.04
Line.L20,    10.2187,   -63.23,   0.015563,   -33.86,    10.2323,   116.82,          0,     0.00, 5.45025E-6,    84.50,    10.2312,   116.73, 1.42721E-11,    22.48,    10.2312,   -63.27,          0,     0.00, 7.5685E-12,    57.26
Line.L21,    20.4577,   -61.89,  0.0062643,   -33.86,    20.4633,   118.12,          0,     0.00, 2.19382E-6,    84.50,    20.4627,   118.10, 4.29008E-12,  -122.01,    20.4627,   -61.90,          0,     0.00, 1.20401E-11,  -100.89
Line.L22,    41.2318,   -31.10,    72.2438,  -137.42,    72.4237,    75.70,          0,     0.00, 0.0000519561,   -58.70,    41.2406,   148.88,    72.2485,    42.57,    72.4361,  -104.31,          0,     0.00, 0.0000433056,   117.84
Line.L23,    19.1946,     1.24,    19.1795,  -178.77,  0.0162637,  -156.45,          0,     0.00, 6.15537E-6,   -44.64,     19.193,  -178.80,     19.193,     1.20, 9.09495E-13,     0.00,          0,     0.00, 5.01383E-12,   147.03
Line.L24,    4.76682,   -59.96,    42.3787,  -122.05,     44.808,    63.34,          0,     0.00, 0.0000160553,   -77.55,    4.78989,   119.86,    42.3776,    57.91,    44.8301,  -116.68,          0,     0.00, 7.70713E-6,    94.80
Line.L25,  0.0311597,    85.55,     9.7428,  -121.98,    9.71517,    57.93,          0,     0.00, 0.0000100692,   -61.67, 0.00850918,   -94.45,    9.74189,    57.88,    9.73435,  -122.15,          0,     0.00, 2.70899E-6,   116.82
Line.L26,    35.5898,   -14.67,    35.8901,  -166.72,    17.2663,    88.34,          0,     0.00, 0.0000108987,   -19.71,    35.5916,   165.31,    35.8975,    13.27,    17.2709,   -91.70,          0,     0.00,  6.2106E-6,   160.81
Line.L27,    131.114,   -28.17,    101.013,  -164.67,    90.4541,   101.59,          0,     0.00, 0.0000517329,    57.28,    131.117,   151.83,    101.018,    15.33,    90.4557,   -78.42,          0,     0.00, 0.0000507602,  -120.43
Line.L28,    105.983,   -30.33,     68.548,  -172.36,    66.9133,   110.60,          0,     0.00, 0.0000436939,    73.96,    105.992,   149.66,    68.5644,     7.63,    66.9142,   -69.42,          0,     0.00, 0.0000393337,  -103.21
Line.L29,    81.4807,   -18.87,    62.7977,  -179.26,    30.6984,   117.79,          0,     0.00, 0.0000251517,    81.09,    81.4865,   161.12,    62.8183,     0.73,    30.6964,   -62.26,          0,     0.00, 0.0000183179,   -95.99
Line.L30,    20.4747,   -61.65,    9.77043,  -121.91,    26.7041,    99.83,          0,     0.00, 0.0000143764,    69.27,    20.4876,   118.33,    9.76986,    57.99,    26.7078,   -80.20,          0,     0.00, 0.0000105286,  -109.16
Line.L31,    52.2219,   -31.02,    30.4658,  -179.52,    30.6964,   117.74,          0,     0.00, 0.0000183179,    84.01,    52.2284,   148.96,    30.4786,     0.46,    30.6951,   -62.29,          0,     0.00, 0.0000130946,   -95.50
Line.L32,    30.6622,   -62.32,  0.0373904,   -33.86,    30.6951,   117.71,          0,     0.00, 0.0000130946,    84.50,    30.6746,   117.66,  0.0218274,   146.14,    30.6938,   -62.32,          0,     0.00, 7.64405E-6,   -95.50
Line.L33,    17.2514,   -31.73,    17.2607,  -151.66,    17.2746,    88.28,          0,     0.00,  2.5804E-6,   -19.34,    17.2542,   148.25,    17.2636,    28.32,    17.2772,   -91.74,          0,     0.00, 6.84013E-12,    15.42
Line.L34,    9.73727,     0.45,     9.7292,  -179.57, 0.00874572,  -156.70,          0,     0.00,  3.6302E-6,   -19.09,    9.73652,  -179.60,    9.73652,     0.40, 4.29008E-12,    57.99,          0,     0.00, 5.82361E-12,   141.34
Line.L35,    369.522,   -37.84,    278.231,  -152.57,    357.681,    97.21,          0,     0.00, 0.000302463,   -34.56,    369.606,   142.14,    278.307,    27.40,    357.726,   -82.81,          0,     0.00, 0.000182422,   155.99
Transformer.REG1A,    406.474,   -37.84,    406.474,   142.16,          0,     0.00,          0,     0.00, 0.000123749,  -163.61,    369.522,   142.16,    369.522,   -37.84,          0,     0.00,          0,     0.00, 0.00012206,  -155.80
Transformer.REG1C,    388.978,    97.21,    388.978,   -82.79,          0,     0.00,          0,     0.00, 0.000122467,    93.65,    357.681,   -82.79,    357.681,    97.21,          0,     0.00,          0,     0.00, 0.000119038,    85.73
Line.JUMPER, 0.000179135,   -35.06,          0,     0.00,          0,     0.00,          0,     0.00, 0.000179135,   -35.06, 0.000179135,   144.94,          0,     0.00,          0,     0.00,          0,     0.00, 0.000179135,   144.94
Load.S701A,    32.8643,    -0.09,    32.8643,   179.91,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.S701B,    32.0152,  -121.90,    32.0152,    58.10,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.S701C,    83.3526,   117.66,    83.3526,   -62.34,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.S712C,    20.2236,   118.86,    20.2236,   -61.14,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.S713C,    20.2207,   118.83,    20.2207,   -61.17,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.S714A,    3.90153,     1.59,    3.90153,  -178.41,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.S714B,    4.85313,  -121.21,    4.85313,    58.79,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.S718A,     19.193,     1.20,     19.193,  -178.80,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.S720C,    20.3115,   118.92,    20.3115,   -61.08,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.S722B,    32.6047,  -122.13,    32.6047,    57.87,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.S722C,    4.81199,   119.68,    4.81199,   -60.32,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.S724B,    9.77172,  -122.14,    9.77172,    57.86,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.S725B,    9.74156,  -122.18,    9.74156,    57.82,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.S727C,    10.1682,   117.20,    10.1682,   -62.80,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.S728,    17.2542,   -31.75,    17.2636,  -151.68,    17.2772,    88.26,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.S729A,    9.73651,     0.40,    9.73651,  -179.60,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.S730C,    18.7453,   118.47,    18.7453,   -61.53,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.S731B,    19.6497,  -120.90,    19.6497,    59.10,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.S732C,    10.2578,   117.02,    10.2578,   -62.98,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.S733A,    19.4549,     2.06,    19.4549,  -177.94,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.S734C,    10.2847,   116.87,    10.2847,   -63.13,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.S735C,    20.5245,   118.26,    20.5245,   -61.74,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.S736B,    9.76838,  -122.28,    9.76838,    57.72,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.S737A,     32.353,     0.96,     32.353,  -179.04,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.S738A,    30.5095,     0.42,    30.5095,  -179.58,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.S740C,    20.4627,   118.10,    20.4627,   -61.90,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.S741C,    10.2312,   116.73,    10.2312,   -63.27,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.S742A,    1.83415,    -0.15,    1.83415,   179.85,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.S742B,    19.7791,  -120.74,    19.7791,    59.26,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.S744A,    10.0186,    -0.16,    10.0186,   179.84,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
