Frequency,Year,Station Name,Total Lines,Valid Lines,Invalid Lines,Frequency,Year,Station Name,Total Lines,Valid Lines,Invalid Lines
hourly,2017,MN_Sandstone_6_W,8760,8755,5,subhourly,2017,MN_Sandstone_6_W,105120,105072,48
hourly,2017,MS_Holly_Springs_4_N,8760,8755,5,subhourly,2017,MS_Holly_Springs_4_N,105120,105072,48
hourly,2017,NE_Whitman_5_ENE,8760,8755,5,subhourly,2017,NE_Whitman_5_ENE,105120,105072,48
hourly,2017,SD_Aberdeen_35_WNW,8760,8755,5,subhourly,2017,SD_Aberdeen_35_WNW,105120,105048,72
hourly,2017,WI_Necedah_5_WNW,8760,8755,5,subhourly,2017,WI_Necedah_5_WNW,105120,105072,48
hourly,2017,CA_Redding_12_WNW,8760,8754,6,subhourly,2017,CA_Redding_12_WNW,105120,105048,72
hourly,2017,MT_Wolf_Point_34_NE,8760,8754,6,subhourly,2017,MT_Wolf_Point_34_NE,105120,105060,60
hourly,2017,OK_Stillwater_2_W,8760,8754,6,subhourly,2017,OK_Stillwater_2_W,105120,105060,60
hourly,2017,VA_Charlottesville_2_SSE,8760,8754,6,subhourly,2017,VA_Charlottesville_2_SSE,105120,105084,36
hourly,2017,CA_Fallbrook_5_NE,8760,8753,7,subhourly,2017,CA_Fallbrook_5_NE,105120,105084,36
hourly,2017,IL_Champaign_9_SW,8760,8753,7,subhourly,2017,IL_Champaign_9_SW,105120,105048,72
hourly,2017,NM_Los_Alamos_13_W,8760,8753,7,subhourly,2017,NM_Los_Alamos_13_W,105120,105072,48
hourly,2017,OR_Corvallis_10_SSW,8760,8753,7,subhourly,2017,OR_Corvallis_10_SSW,105120,105048,72
hourly,2017,TN_Crossville_7_NW,8760,8753,7,subhourly,2017,TN_Crossville_7_NW,105120,105036,84
hourly,2017,TX_Palestine_6_WNW,8760,8753,7,subhourly,2017,TX_Palestine_6_WNW,105120,105036,84
hourly,2017,AK_Yakutat_3_SSE,8760,8752,8,subhourly,2017,AK_Yakutat_3_SSE,105120,100848,4272
hourly,2017,AR_Batesville_8_WNW,8760,8752,8,subhourly,2017,AR_Batesville_8_WNW,105120,105048,72
hourly,2017,FL_Everglades_City_5_NE,8760,8752,8,subhourly,2017,FL_Everglades_City_5_NE,105120,105072,48
hourly,2017,ME_Old_Town_2_W,8760,8752,8,subhourly,2017,ME_Old_Town_2_W,105120,105060,60
hourly,2017,NH_Durham_2_SSW,8760,8752,8,subhourly,2017,NH_Durham_2_SSW,105120,105048,72
hourly,2017,AL_Gadsden_19_N,8760,8751,9,subhourly,2017,AL_Gadsden_19_N,105120,49416,55704
hourly,2017,AK_Port_Alsworth_1_SW,8760,8750,10,subhourly,2017,AK_Port_Alsworth_1_SW,105120,105000,120
hourly,2017,AK_St._Paul_4_NE,8760,8750,10,subhourly,2017,AK_St._Paul_4_NE,105120,105048,72
hourly,2017,CO_Montrose_11_ENE,8760,8750,10,subhourly,2017,CO_Montrose_11_ENE,105120,105012,108
hourly,2017,ID_Arco_17_SW,8760,8750,10,subhourly,2017,ID_Arco_17_SW,105120,105012,108
hourly,2017,RI_Kingston_1_NW,8760,8750,10,subhourly,2017,RI_Kingston_1_NW,105120,105036,84
hourly,2017,GA_Newton_8_W,8760,8748,12,subhourly,2017,GA_Newton_8_W,105120,95292,9828
hourly,2017,NC_Asheville_13_S,8760,8748,12,subhourly,2017,NC_Asheville_13_S,105120,105012,108
hourly,2017,CO_Boulder_14_W,8760,8747,13,subhourly,2017,CO_Boulder_14_W,105120,104988,132
hourly,2017,FL_Titusville_7_E,8760,8747,13,subhourly,2017,FL_Titusville_7_E,105120,104975,145
hourly,2017,NY_Millbrook_3_W,8760,8746,14,subhourly,2017,NY_Millbrook_3_W,105120,105000,120
hourly,2017,NV_Baker_5_W,8760,8741,19,subhourly,2017,NV_Baker_5_W,105120,105072,48
hourly,2017,WY_Sundance_8_NNW,8760,8737,23,subhourly,2017,WY_Sundance_8_NNW,105120,105072,48
hourly,2017,LA_Monroe_26_N,8760,8733,27,subhourly,2017,LA_Monroe_26_N,105120,105036,84
hourly,2017,TX_Port_Aransas_32_NNE,8760,8717,43,subhourly,2017,TX_Port_Aransas_32_NNE,105120,105060,60
hourly,2017,WY_Lander_11_SSE,8760,8696,64,subhourly,2017,WY_Lander_11_SSE,105120,105084,36
hourly,2017,KY_Versailles_3_NNW,8760,8662,98,subhourly,2017,KY_Versailles_3_NNW,105120,104112,1008
hourly,2017,MO_Joplin_24_N,8760,8662,98,subhourly,2017,MO_Joplin_24_N,105120,88392,16728
hourly,2017,TX_Monahans_6_ENE,8760,8651,109,subhourly,2017,TX_Monahans_6_ENE,105120,105096,24
hourly,2017,AK_Selawik_28_E,8760,8572,188,subhourly,2017,AK_Selawik_28_E,105120,102801,2319
hourly,2017,OK_Goodwell_2_E,8760,8523,237,subhourly,2017,OK_Goodwell_2_E,105120,102396,2724
hourly,2017,AK_Denali_27_N,8760,8422,338,subhourly,2017,AK_Denali_27_N,105120,101140,3980
hourly,2017,AK_Ivotuk_1_NNE,8760,8422,338,subhourly,2017,AK_Ivotuk_1_NNE,105120,100980,4140
hourly,2017,AZ_Tucson_11_W,8760,8064,696,subhourly,2017,AZ_Tucson_11_W,105120,105084,36
hourly,2017,AK_King_Salmon_42_SE,8760,7969,791,subhourly,2017,AK_King_Salmon_42_SE,105120,96888,8232
hourly,2017,AK_Ruby_44_ESE,8760,7820,940,subhourly,2017,AK_Ruby_44_ESE,105120,93840,11280
hourly,2017,WA_Quinault_4_NE,8760,7557,1203,subhourly,2017,WA_Quinault_4_NE,105120,105060,60
hourly,2017,AK_Glennallen_64_N,8760,7367,1393,subhourly,2017,AK_Glennallen_64_N,105120,88256,16864
hourly,2017,AK_Cordova_14_ESE,3774,3211,563,subhourly,2017,AK_Cordova_14_ESE,45288,45108,180
hourly,2017,AK_Toolik_Lake_5_ENE,3167,3158,9,subhourly,2017,AK_Toolik_Lake_5_ENE,38004,37896,108
hourly,2017,AL_Clanton_2_NE,8760,0,8760,subhourly,2017,AL_Clanton_2_NE,105120,0,105120
hourly,2017,AL_Cullman_3_ENE,8760,0,8760,subhourly,2017,AL_Cullman_3_ENE,105120,0,105120
hourly,2017,AL_Greensboro_2_WNW,8760,0,8760,subhourly,2017,AL_Greensboro_2_WNW,105120,0,105120
hourly,2017,AL_Muscle_Shoals_2_N,8760,0,8760,subhourly,2017,AL_Muscle_Shoals_2_N,105120,0,105120
hourly,2017,AL_Russellville_4_SSE,8760,0,8760,subhourly,2017,AL_Russellville_4_SSE,105120,0,105120
hourly,2017,AL_Selma_6_SSE,8760,0,8760,subhourly,2017,AL_Selma_6_SSE,105120,0,105120
hourly,2017,AL_Talladega_10_NNE,8760,0,8760,subhourly,2017,AL_Talladega_10_NNE,105120,0,105120
hourly,2017,AL_Troy_2_W,8760,0,8760,subhourly,2017,AL_Troy_2_W,105120,0,105120
