# file...... out_super_house_triplex_meter.csv
# date...... Mon Feb 25 13:06:39 2019
# user...... dpinney
# host...... (null)
# target.... triplex_meter 6
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,measured_real_energy
2012-01-01 13:33:00 EST,-15311.4
2012-01-01 13:34:00 EST,-15465.3
2012-01-01 13:35:00 EST,-15618.7
2012-01-01 13:36:00 EST,-15771.7
2012-01-01 13:37:00 EST,-15924.4
2012-01-01 13:38:00 EST,-16076.6
2012-01-01 13:39:00 EST,-16228.4
2012-01-01 13:40:00 EST,-16379.8
2012-01-01 13:41:00 EST,-16530.7
2012-01-01 13:42:00 EST,-16681.2
2012-01-01 13:43:00 EST,-16831.3
2012-01-01 13:44:00 EST,-16980.9
2012-01-01 13:45:00 EST,-17130
2012-01-01 13:46:00 EST,-17278.6
2012-01-01 13:47:00 EST,-17426.8
2012-01-01 13:48:00 EST,-17574.4
2012-01-01 13:49:00 EST,-17721.5
2012-01-01 13:50:00 EST,-17868.1
2012-01-01 13:51:00 EST,-18014.2
2012-01-01 13:52:00 EST,-18159.7
2012-01-01 13:53:00 EST,-18304.7
2012-01-01 13:54:00 EST,-18449.1
2012-01-01 13:55:00 EST,-18592.9
2012-01-01 13:56:00 EST,-18736.2
2012-01-01 13:57:00 EST,-18878.9
2012-01-01 13:58:00 EST,-19021
2012-01-01 13:59:00 EST,-19162.4
2012-01-01 14:00:00 EST,-19303.3
2012-01-01 14:01:00 EST,-19443.5
2012-01-01 14:02:00 EST,-19583.2
2012-01-01 14:03:00 EST,-19722.2
2012-01-01 14:04:00 EST,-19860.5
2012-01-01 14:05:00 EST,-19998.2
2012-01-01 14:06:00 EST,-20135.4
2012-01-01 14:07:00 EST,-20272.7
2012-01-01 14:08:00 EST,-20409.4
2012-01-01 14:09:00 EST,-20545.4
2012-01-01 14:10:00 EST,-20680.7
2012-01-01 14:11:00 EST,-20815.3
2012-01-01 14:12:00 EST,-20949.2
2012-01-01 14:13:00 EST,-21082.3
2012-01-01 14:14:00 EST,-21214.7
2012-01-01 14:15:00 EST,-21346.4
2012-01-01 14:16:00 EST,-21477.3
2012-01-01 14:17:00 EST,-21607.5
2012-01-01 14:18:00 EST,-21736.8
2012-01-01 14:19:00 EST,-21865.4
2012-01-01 14:20:00 EST,-21993.2
2012-01-01 14:21:00 EST,-22120.2
2012-01-01 14:22:00 EST,-22246.3
2012-01-01 14:23:00 EST,-22371.6
2012-01-01 14:24:00 EST,-22496.1
2012-01-01 14:25:00 EST,-22619.8
2012-01-01 14:26:00 EST,-22742.5
2012-01-01 14:27:00 EST,-22864.5
2012-01-01 14:28:00 EST,-22985.5
2012-01-01 14:29:00 EST,-23105.6
2012-01-01 14:30:00 EST,-23224.8
2012-01-01 14:31:00 EST,-23343.2
2012-01-01 14:32:00 EST,-23460.6
2012-01-01 14:33:00 EST,-23577
2012-01-01 14:34:00 EST,-23692.6
2012-01-01 14:35:00 EST,-23807.2
2012-01-01 14:36:00 EST,-23920.8
2012-01-01 14:37:00 EST,-24033.4
2012-01-01 14:38:00 EST,-24145.1
2012-01-01 14:39:00 EST,-24255.7
2012-01-01 14:40:00 EST,-24365.4
2012-01-01 14:41:00 EST,-24474
2012-01-01 14:42:00 EST,-24581.7
2012-01-01 14:43:00 EST,-24688.2
2012-01-01 14:44:00 EST,-24793.8
2012-01-01 14:45:00 EST,-24898.3
2012-01-01 14:46:00 EST,-25001.7
2012-01-01 14:47:00 EST,-25104.1
2012-01-01 14:48:00 EST,-25205.3
2012-01-01 14:49:00 EST,-25305.5
2012-01-01 14:50:00 EST,-25404.5
2012-01-01 14:51:00 EST,-25502.5
2012-01-01 14:52:00 EST,-25599.3
2012-01-01 14:53:00 EST,-25695
2012-01-01 14:54:00 EST,-25789.5
2012-01-01 14:55:00 EST,-25882.9
2012-01-01 14:56:00 EST,-25975.1
2012-01-01 14:57:00 EST,-26066.1
2012-01-01 14:58:00 EST,-26155.9
2012-01-01 14:59:00 EST,-26244.6
