, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3, Node4, Magnitude4, Angle4, pu4
M1209807,100.0,0.0,0.0005316518956043502,0.0,100.0,0.0,0.0005326770751762312,0.0,100.0,0.0,0.0,0.0,100.0,0,0,0,0
M1209805,100.0,0.0,0.0005319828063152161,0.0,100.0,0.0,0.0006662189675229166,0.0,100.0,0.0,0.0,0.0,100.0,0,0,0,0
L2823592,100.0,0.0,0.0006659713925352851,0.0,100.0,0.0,0.0005336926864083632,0.0,100.0,0.0,0.0,0.0,100.0,0,0,0,0
X2823592A,100.0,0.0,0.0,0.0,100.0,0.0,0.000802838838124058,0.0,100.0,0,0,0,0,0,0,0,0
SX2823592A,100.0,0.0,0.0,0.0,100.0,0.0,0.0008030129044212083,0.0,100.0,0,0,0,0,0,0,0,0
L2823592_CAP,100.0,0.0,0.0005328140172706818,0.0,100.0,0.0,0.0006671621457438712,0.0,100.0,0.0,0.0001325319567709686,0.0,100.0,0,0,0,0
R20185,100.0,0.0,0.0006664409653288339,0.0,100.0,0.0,0.0006675451560945124,0.0,100.0,0.0,0.0,0.0,100.0,0,0,0,0
D5513564-1_INT,100.0,0.0,0.0005333376000336486,0.0,100.0,0.0,0.0006677555533793426,0.0,100.0,0.0,0.0001325783438607381,0.0,100.0,0,0,0,0
E192201,100.0,0.0,0.00053337742586672,0.0,100.0,0.0,0.0006678054976444083,0.0,100.0,0.0,0.0,0.0,100.0,0,0,0,0
M1209800,100.0,0.0,0.000667325094095266,0.0,100.0,0.0,0.0006683571647244016,0.0,100.0,0.0,0.0,0.0,100.0,0,0,0,0
P829957,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0
L3160863,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0
X3160863C,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0
SX3160863C,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0
L2730108,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0
X2730108C,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0
SX2730108C,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0
L2786204,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0
X2786204C,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0
SX2786204C,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0
M1209819,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0
L2936216,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0
X2936216C,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0
SX2936216C,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0
226-23745,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0
M1209822,100.0,0.0,0.00013406047735328133,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0
L2992556,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0
X2992556C,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0
SX2992556C,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0
M1209823,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0
M1209824,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0
M1209828,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0
L2861157,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0
X2861157C,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0
SX2861157C,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0
P901951,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0
M1186078,100.0,0.0,0.00013460997433281614,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0
L2806553,100.0,0.0,0.0001346730609465399,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0
X2806553C,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0
SX2806553C,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0
M1166391,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0
M1166394,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0
M1166398,100.0,0.0,0.0001351281961226083,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0
L3142050,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0
X3142050C,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0
SX3142050C,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0
L3254873,100.0,0.0,0.00013519706999975373,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0
X3254873C,100.0,0.0,0.0,0.0,100.0,0.0,0.0008142990920604004,0.0,100.0,0,0,0,0,0,0,0,0
SX3254873C,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0
M1166393,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0
L2745811,100.0,0.0,0.00013522815017651707,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0
X2745811C,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0
SX2745811C,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0
M4122657,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0
L3027124,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0
X3027124C,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0
SX3027124C,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0
M1166395,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0
M1166396,100.0,0.0,0.000135249366021549,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0
M1166399,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0
L3048890,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0
X3048890C,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0
SX3048890C,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0
M1166402,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0
L3048889,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0
X3048889C,100.0,0.0,0.0,0.0,100.0,0.0,0.0008160001305639172,0.0,100.0,0,0,0,0,0,0,0,0
SX3048889C,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0
M1166407,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0
L2952007,100.0,0.0,0.00013539458041637604,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0
X2952007C,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0
SX2952007C,100.0,0.0,0.0,0.0,100.0,0.0,0.0008280476293035911,0.0,100.0,0,0,0,0,0,0,0,0
L2861158,100.0,0.0,0.00013540081347872832,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0
X2861158C,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0
SX2861158C,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0
L3064514,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0
X3064514C,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0
SX3064514C,100.0,0.0,0.0,0.0,100.0,0.0,0.0008278693953281466,0.0,100.0,0,0,0,0,0,0,0,0
L3048888,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0
X3048888C,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0
SX3048888C,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0
M1149249,100.0,0.0,0.00013553845360530638,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0
M1142880,100.0,0.0,0.00013559726526498126,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0
L2764411,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0
X2764411C,100.0,0.0,0.0,0.0,100.0,0.0,0.0008203580042253064,0.0,100.0,0,0,0,0,0,0,0,0
SX2764411C,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0
L2767343,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0
X2767343C,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0
SX2767343C,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0
L2804957,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0
X2804957C,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0
SX2804957C,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0
L3048937,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0
X3048937C,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0
SX3048937C,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0
L3176661,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0
X3176661C,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0
SX3176661C,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0
L2970804,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0
X2970804C,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0
SX2970804C,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0
L2891575,100.0,0.0,0.00013560020720007648,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0
X2891575C,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0
SX2891575C,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0
M1166400,100.0,0.0,0.0001352508294286637,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0
L3179637,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0
X3179637C,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0
SX3179637C,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0
L3253570,100.0,0.0,0.00013437175828426453,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0
X3253570C,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0
SX3253570C,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0
L2937757,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0
X2937757C,100.0,0.0,0.000812730612315124,0.0,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0
SX2937757C,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0
L3067448,100.0,0.0,0.00013438638503726917,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0
X3067448C,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0
SX3067448C,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0
L2763407,100.0,0.0,0.00013439505426493672,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0
X2763407C,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0
SX2763407C,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0
M1209797,100.0,0.0,0.0006682213951150597,0.0,100.0,0.0,0.0006690619083008089,0.0,100.0,0.0,0.00013268142526676633,0.0,100.0,0,0,0,0
M1209791,100.0,0.0,0.0006690135662473612,0.0,100.0,0.0,0.0008036216549302213,0.0,100.0,0.0,0.0,0.0,100.0,0,0,0,0
M1209790,100.0,0.0,0.0006696587017485043,0.0,100.0,0.0,0.0008042518112352728,0.0,100.0,0.0,0.0,0.0,100.0,0,0,0,0
M1209788,100.0,0.0,0.0006703491178229996,0.0,100.0,0.0,0.0008049250681892296,0.0,100.0,0.0,0.0001327881935390348,0.0,100.0,0,0,0,0
M1209795,100.0,0.0,0.00013279030949727287,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0
L2936268,100.0,0.0,0.00013279207283524067,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0
X2936268C,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0
SX2936268C,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0
M1209787,100.0,0.0,0.0006716052035995607,0.0,100.0,0.0,0.0009405012065247803,0.0,100.0,0.0,0.00013284958371872924,0.0,100.0,0,0,0,0
L2823611,100.0,0.0,0.0006730634618101355,0.0,100.0,0.0,0.000807553315335985,0.0,100.0,0.0,0.0001329202173008726,0.0,100.0,0,0,0,0
X2823611A,100.0,0.0,0.0008109050511314354,0.0,100.0,0.0,0.0008135571157811978,0.0,100.0,0,0,0,0,0,0,0,0
SX2823611A,100.0,0.0,0.000809985501263395,0.0,100.0,0.0,0.0008188599831353942,0.0,100.0,0,0,0,0,0,0,0,0
L3030204,100.0,0.0,0.0008088477155498301,0.0,100.0,0.0,0.0009432513063991376,0.0,100.0,0.0,0.00013296705342640512,0.0,100.0,0,0,0,0
X3030204A,100.0,0.0,0.0008124070809439965,0.0,100.0,0.0,0.0008144516297215998,0.0,100.0,0,0,0,0,0,0,0,0
SX3030204A,100.0,0.0,0.0008120508343861098,0.0,100.0,0.0,0.0008221520652499135,0.0,100.0,0,0,0,0,0,0,0,0
M1186072,100.0,0.0,0.0008097876331985961,0.0,100.0,0.0,0.0009441431428867441,0.0,100.0,0.0,0.00013300454609828876,0.0,100.0,0,0,0,0
M1186067,100.0,0.0,0.000810377149530794,0.0,100.0,0.0,0.0009447025131869467,0.0,100.0,0.0,0.0001330279012749165,0.0,100.0,0,0,0,0
M3032980,100.0,0.0,0.0008110793438422205,0.0,100.0,0.0,0.0010804196890272205,0.0,100.0,0.0,0.00013305551342421396,0.0,100.0,0,0,0,0
M1186065,100.0,0.0,0.00081116925992284,0.0,100.0,0.0,0.00108060649039175,0.0,100.0,0.0,0.00013305940835544938,0.0,100.0,0,0,0,0
P829977,100.0,0.0,0.0006760511581456985,0.0,100.0,0.0,0.0009456507495593802,0.0,100.0,0.0,0.00013307251121426377,0.0,100.0,0,0,0,0
M1186061,100.0,0.0,0.0008113875538489614,0.0,100.0,0.0,0.000945815576767918,0.0,100.0,0.0,0.00013310209062533738,0.0,100.0,0,0,0,0
L3139366,100.0,0.0,0.0006763520277058395,0.0,100.0,0.0,0.0010812491130368536,0.0,100.0,0.0,0.00013314019129873303,0.0,100.0,0,0,0,0
X3139366A,100.0,0.0,0.0008157471836367435,0.0,100.0,0.0,0.0008167198895833707,0.0,100.0,0,0,0,0,0,0,0,0
SX3139366A,100.0,0.0,0.0008174542838730778,0.0,100.0,0.0,0.0008223751839986876,0.0,100.0,0,0,0,0,0,0,0,0
M4362177,100.0,0.0,0.0008117937394520958,0.0,100.0,0.0,0.0010815180728419623,0.0,100.0,0.0,0.00026634208445223495,0.0,100.0,0,0,0,0
M1186052,100.0,0.0,0.0008118904056135548,0.0,100.0,0.0,0.0009464613836955661,0.0,100.0,0.0,0.0002663772034326307,0.0,100.0,0,0,0,0
198-5320,100.0,0.0,0.0008118948000775452,0.0,100.0,0.0,0.0010816774654123793,0.0,100.0,0.0,0.00013318966608309542,0.0,100.0,0,0,0,0
221-311359,100.0,0.0,0.0008118980959690637,0.0,100.0,0.0,0.0009464716213965995,0.0,100.0,0.0,0.00013319019826983638,0.0,100.0,0,0,0,0
L3234149,100.0,0.0,0.0008119343524065758,0.0,100.0,0.0,0.0010817403579739442,0.0,100.0,0.0,0.0001331976493307921,0.0,100.0,0,0,0,0
X3234149C,100.0,0.0,0.0,0.0,100.0,0.0,0.0008024909318563018,0.0,100.0,0,0,0,0,0,0,0,0
SX3234149C,100.0,0.0,0.0008200350975060887,0.0,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0
X3234149B,100.0,0.0,0.0008151952392636951,0.0,100.0,0.0,0.0016352160120429978,0.0,100.0,0,0,0,0,0,0,0,0
SX3234149B,100.0,0.0,0.0008130742336814171,0.0,100.0,0.0,0.0008283700163228447,0.0,100.0,0,0,0,0,0,0,0,0
X3234149A,100.0,0.0,0.0008165798370145636,0.0,100.0,0.0,0.0008165331634983342,0.0,100.0,0,0,0,0,0,0,0,0
SX3234149A,100.0,0.0,0.0008204253084721745,0.0,100.0,0.0,0.0008203983854598946,0.0,100.0,0,0,0,0,0,0,0,0
L2861223,100.0,0.0,0.001080946693112846,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0
X2861223B,100.0,0.0,0.0008155941603497063,0.0,100.0,0.0,0.0008159002643555815,0.0,100.0,0,0,0,0,0,0,0,0
SX2861223B,100.0,0.0,0.0008189404548434389,0.0,100.0,0.0,0.001641214170239321,0.0,100.0,0,0,0,0,0,0,0,0
M1186064,100.0,0.0,0.000811179129988754,0.0,100.0,0.0,0.0009455626097488716,0.0,100.0,0.0,0.00013305781494197727,0.0,100.0,0,0,0,0
M1186063,100.0,0.0,0.0006759835222281214,0.0,100.0,0.0,0.0009455651643070556,0.0,100.0,0.0,0.00013305763791049318,0.0,100.0,0,0,0,0
M1209776,100.0,0.0,0.000675985350035657,0.0,100.0,0.0,0.0009455728280152826,0.0,100.0,0.0,0.0001330587001669725,0.0,100.0,0,0,0,0
M1209775,100.0,0.0,0.0008111846134556624,0.0,100.0,0.0,0.001080664879065863,0.0,100.0,0.0,0.00013305976246461647,0.0,100.0,0,0,0,0
M1209774,100.0,0.0,0.0008111900969967063,0.0,100.0,0.0,0.000945602206773733,0.0,100.0,0.0,0.00013306259530898836,0.0,100.0,0,0,0,0
221-242079,100.0,0.0,0.0006759926614261268,0.0,100.0,0.0,0.001080689696163109,0.0,100.0,0.0,0.00026612519061797673,0.0,100.0,0,0,0,0
L3011293,100.0,0.0,0.0008111988708165822,0.0,100.0,0.0,0.0009456149806987684,0.0,100.0,0.0,0.0001330643658979753,0.0,100.0,0,0,0,0
X3011293C,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0
SX3011293C,100.0,0.0,0.0008257092842556671,0.0,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0
X3011293B,100.0,0.0,0.0016272201384842037,0.0,100.0,0.0,0.0008178554195228426,0.0,100.0,0,0,0,0,0,0,0,0
SX3011293B,100.0,0.0,0.0008055551080287864,0.0,100.0,0.0,0.0008433552043489929,0.0,100.00000000000001,0,0,0,0,0,0,0,0
X3011293A,100.0,0.0,0.0008162065981948394,0.0,100.0,0.0,0.0008154411944505672,0.0,100.0,0,0,0,0,0,0,0,0
SX3011293A,100.0,0.0,0.0008263984728195681,0.0,100.0,0.0,0.0008200754469450343,0.0,100.0,0,0,0,0,0,0,0,0
L3123509,100.0,0.0,0.0008111879035713923,0.0,100.0,0.0,0.0009456034841396489,0.0,100.0,0.0,0.00013306294942301615,0.0,100.0,0,0,0,0
X3123509C,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0
SX3123509C,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0
M1209772,100.0,0.0,0.0008111879035713923,0.0,100.0,0.0,0.0009456034841396489,0.0,100.0,0.0,0.00013306294942301615,0.0,100.0,0,0,0,0
E192258,100.0,0.0,0.0008111879035713923,0.0,100.0,0.0,0.0009456034841396489,0.0,100.0,0.0,0.00013306294942301615,0.0,100.0,0,0,0,0
P829979,100.0,0.0,0.0009455689961517835,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0
M3036172,100.0,0.0,0.000945602206773733,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0
M1209763,100.0,0.0,0.001080854685841847,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0
L2936275,100.0,0.0,0.000945871810043388,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0
X2936275B,100.0,0.0,0.001631800528711163,0.0,100.0,0.0,0.0008156407265766538,0.0,100.0,0,0,0,0,0,0,0,0
SX2936275B,100.0,0.0,0.0008176548024993866,0.0,100.0,0.0,0.0008170802454431958,0.0,100.0,0,0,0,0,0,0,0,0
L3179674,100.0,0.0,0.0009459676776319045,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0
X3179674B,100.0,0.0,0.0008173807849931774,0.0,100.0,0.0,0.0008144383633085539,0.0,100.0,0,0,0,0,0,0,0,0
SX3179674B,100.0,0.0,0.0008270682910327394,0.0,100.0,0.0,0.0008129552549466497,0.0,100.0,0,0,0,0,0,0,0,0
M1209758,100.0,0.0,0.0009460290430876896,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0
M1209753,100.0,0.0,0.0010812476516642731,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0
M1209752,100.0,0.0,0.0009461338941738218,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0
M1209751,100.0,0.0,0.0010813470339992705,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0
M1209750,100.0,0.0,0.0010813484956405063,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0
L3086075,100.0,0.0,0.000946195281185028,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0
X3086075B,100.0,0.0,0.00162983245322001,0.0,100.0,0.0,0.0008172471845757375,0.0,100.0,0,0,0,0,0,0,0,0
SX3086075B,100.0,0.0,0.0008145975887950268,0.0,100.0,0.0,0.0008224225277784336,0.0,100.0,0,0,0,0,0,0,0,0
M1209749,100.0,0.0,0.0010813499572856933,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0
L2748840,100.0,0.0,0.001081382114491828,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0
X2748840B,100.0,0.0,0.0008150092096079601,0.0,100.0,0.0,0.0008171670452912995,0.0,100.0,0,0,0,0,0,0,0,0
SX2748840B,100.0,0.0,0.001629805890126269,0.0,100.0,0.0,0.0008221317877294979,0.0,100.0,0,0,0,0,0,0,0,0
M1209748,100.0,0.0,0.0010813031866118005,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0
L3142099,100.0,0.0,0.0009461581922391909,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0
X3142099B,100.0,0.0,0.0008179959100243557,0.0,100.0,0.0,0.0008142062710090165,0.0,100.0,0,0,0,0,0,0,0,0
SX3142099B,100.0,0.0,0.0008293868343173523,0.0,100.0,0.0,0.0008111352649206507,0.0,100.0,0,0,0,0,0,0,0,0
L3086079,100.0,0.0,0.001080689696163109,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0
X3086079B,100.0,0.0,0.0008165998415719253,0.0,100.0,0.0,0.0008144914315424545,0.0,100.0,0,0,0,0,0,0,0,0
SX3086079B,100.0,0.0,0.0008197930842061558,0.0,100.0,0.0,0.0008145113339291008,0.0,100.0,0,0,0,0,0,0,0,0
L2936276,100.0,0.0,0.0009456124258959808,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0
X2936276B,100.0,0.0,0.0008140339452194023,0.0,100.0,0.0,0.0016342139022654696,0.0,100.0,0,0,0,0,0,0,0,0
