, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
742,100.0,0.0,1.0622705199573543,0.0,100.0,0.0,0.06670638133933182,0.32154340836012174,100.0,0.0,0.03077268399349462,0.2638522427440608,100.0
712,100.0,0.0,1.0630380449875048,0.0,100.0,0.0,0.06630212380672833,0.32154340836012174,100.0,0.0,0.030770678801171063,0.26408450704226355,100.0
706,100.0,0.0,1.0656118260998777,0.0,100.0,0.0,0.06738472015627912,0.32128514056225355,100.0,0.0,0.029865967365956765,0.2638522427440608,100.0
725,100.0,0.0,1.065619742007854,0.0,100.0,0.0,0.0674040478281953,0.32128514056225355,100.0,0.0,0.029508949226389945,0.2638522427440608,100.0
707,100.0,0.0,1.066170185883002,0.0,100.0,0.0,0.06908313723795607,0.3210272873194267,100.0,0.0,0.02778143322950986,0.26362038664323123,100.0
724,100.0,0.0,1.0658183723600851,0.0,100.0,0.0,0.06949820853062913,0.3210272873194267,100.0,0.0,0.02743424012641698,0.35149384885765,100.0
722,100.0,0.0,1.0662415079754268,0.0,100.0,0.0,0.06911198300997347,0.3210272873194267,100.0,0.0,0.02779291353844814,0.26362038664323123,100.0
708,100.0,0.0,1.0790607951291682,2.040816326530623,100.0,0.0,0.07097513348369931,0.32180209171360075,100.0,0.0,0.028487843360696274,0.26501766784452047,100.0
733,100.0,0.0,1.0823287635007626,0.0,100.0,0.0,0.07145151220990932,0.24135156878519481,100.0,0.0,0.028155314955590725,0.26501766784452047,100.0
732,100.0,0.0,1.0797711563538648,0.0,100.0,0.0,0.07097513348369931,0.32180209171360075,100.0,0.0,0.02849783526059809,0.26501766784452047,100.0
709,100.0,0.0,1.0763474066226222,0.0,100.0,0.0,0.07014035264412126,0.24115755627009416,100.0,0.0,0.029179082974376457,0.2647837599293885,100.0
731,100.0,0.0,1.0763838012691218,0.0,100.0,0.0,0.07054495981456885,0.24115755627009416,100.0,0.0,0.02883422147601882,0.2647837599293885,100.0
710,100.0,0.0,1.088297949093793,0.0,100.0,0.0,0.07273674725609554,0.3220611916264021,100.0,0.0,0.026057053938102988,0.2652519893899305,100.0
735,100.0,0.0,1.0887279053954069,0.0,100.0,0.0,0.07273674725609554,0.3220611916264021,100.0,0.0,0.025701372086116957,0.2652519893899305,100.0
736,100.0,0.0,1.0879554033219698,0.0,100.0,0.0,0.07319715763116538,0.24135156878519481,100.0,0.0,0.025351895329741983,0.2652519893899305,100.0
711,100.0,0.0,1.0929399512468707,0.0,100.00000000000001,0.0,0.07399561829867982,0.32232070910556465,100.0,0.0,0.02644035679793525,0.2654867256637143,100.0
741,100.0,0.0,1.0932151974083393,0.0,100.0,0.0,0.07399561829867982,0.32232070910556465,100.0,0.0,0.02681319650032757,0.2654867256637143,100.0
740,100.0,0.0,1.0933779080417518,0.0,100.0,0.0,0.07399561829867982,0.32232070910556465,100.0,0.0,0.026084624399779436,0.2654867256637143,100.0
718,100.0,0.0,1.0640075761796033,0.0,100.0,0.0,0.06549538490170063,0.32154340836012174,100.0,0.0,0.03084124018070658,0.35211267605634305,100.0
744,100.0,0.0,1.0709964598861725,0.0,100.0,0.0,0.06882485150680086,0.24115755627009416,100.0,0.0,0.030882363627112136,0.26455026455026204,100.0
734,100.0,0.0,1.0867792263952725,0.0,100.0,0.0,0.07233508504797626,0.3220611916264021,100.00000000000001,0.0,0.027114570050850145,0.2652519893899305,100.0
737,100.0,0.0,1.0901381323771737,0.0,100.0,0.0,0.07322103691137652,0.24154589371980448,100.0,0.0,0.026773172547596397,0.3539823008849608,100.0
738,100.0,0.0,1.0920942288633106,1.999999999999993,100.0,0.0,0.07399561829867982,0.32232070910556465,100.0,0.0,0.026789875628920524,0.2654867256637143,100.0
728,100.0,0.0,1.0718101599683052,0.0,100.0,0.0,0.06885076596477398,0.24115755627009416,100.0,0.0,0.03053079976157428,0.26455026455026204,100.0
729,100.0,0.0,1.07131250723733,0.0,100.0,0.0,0.06884113831689218,0.24115755627009416,100.0,0.0,0.0308821392239467,0.26455026455026204,100.0
799R,100.0,0.0,1.0352236003538635,2.2222222222222143,100.0,0.0,0.0589233855693925,0.2417405318291792,100.0,0.0,0.038210611228256294,0.26246719160104737,100.0
799,100.0,0.0,0.997240366912293,1.098901098901095,100.0,0.0,0.0589233855693925,0.2417405318291792,100.0,0.0,1.7627940285352175,0.33528918692371457,100.0
775,100.0,0.0,1.07635145035071,0.0,100.0,0.0,0.07014565114948693,0.24115755627009416,100.0,0.0,0.029906051234169354,0.2647837599293885,100.0
