"Hour", "Undervoltages", "Min Voltage", "Overvoltage", "Max Voltage", "Min Bus", "Max Bus"
63, 0, 0.997336, 0, 1.05, x_6568_1, sourcebus
64, 0, 0.995397, 0, 1.05, x_6568_1, sourcebus
65, 0, 0.99207, 0, 1.05, x_39754_1, sourcebus
66, 0, 0.987464, 0, 1.05, x_39754_1, sourcebus
67, 0, 0.98399, 0, 1.05, x_39754_1, sourcebus
68, 0, 0.984736, 0, 1.05, x_39754_1, sourcebus
69, 0, 0.989861, 0, 1.05, x_39754_1, sourcebus
70, 0, 0.99253, 0, 1.05, x_39754_1, sourcebus
71, 0, 0.995437, 0, 1.05, x_39754_1, sourcebus
72, 0, 1.00252, 0, 1.05, x_39754_1, sourcebus
73, 0, 1.00939, 0, 1.05, x_39754_1, sourcebus
74, 0, 1.01569, 0, 1.05, x_69478_1, sourcebus
75, 0, 1.01848, 0, 1.05, x_69478_1, sourcebus
76, 0, 1.01946, 0, 1.05, x_69478_1, sourcebus
77, 0, 1.02075, 0, 1.05, x_69478_1, sourcebus
78, 0, 1.0211, 0, 1.05, x_69478_1, sourcebus
79, 0, 1.02081, 0, 1.05, x_69478_1, sourcebus
80, 0, 1.02054, 0, 1.05, x_69478_1, sourcebus
81, 0, 1.01534, 0, 1.05, x_6568_1, sourcebus
82, 0, 1.0073, 0, 1.05, x_6568_1, sourcebus
83, 0, 0.998834, 0, 1.05, x_6568_1, sourcebus
84, 0, 0.990468, 0, 1.05, x_6568_1, sourcebus
85, 0, 0.985597, 0, 1.05, x_39754_1, sourcebus
86, 0, 0.980285, 0, 1.05, x_39754_1, sourcebus
87, 0, 0.975009, 0, 1.05, x_39754_1, sourcebus
88, 0, 0.971302, 0, 1.05, x_39754_1, sourcebus
89, 0, 0.970447, 0, 1.05, x_39754_1, sourcebus
90, 0, 0.968345, 0, 1.05, x_39754_1, sourcebus
91, 0, 0.970448, 0, 1.05, x_39754_1, sourcebus
92, 0, 0.972873, 0, 1.05, x_39754_1, sourcebus
93, 0, 0.978872, 0, 1.05, x_39754_1, sourcebus
94, 0, 0.984248, 0, 1.05, x_39754_1, sourcebus
95, 0, 0.990812, 0, 1.05, x_39754_1, sourcebus
96, 0, 0.996777, 0, 1.05, x_39754_1, sourcebus
97, 0, 1.00546, 0, 1.05, x_39754_1, sourcebus
98, 0, 1.01265, 0, 1.05, x_39754_1, sourcebus
99, 0, 1.01741, 0, 1.05, x_69478_1, sourcebus
100, 0, 1.01906, 0, 1.05, x_69478_1, sourcebus
101, 0, 1.02005, 0, 1.05, x_69478_1, sourcebus
102, 0, 1.02011, 0, 1.05, x_69478_1, sourcebus
103, 0, 1.01827, 0, 1.05, x_69478_1, sourcebus
104, 0, 1.01494, 0, 1.05, x_69478_1, sourcebus
105, 0, 1.01255, 0, 1.05, x_69478_1, sourcebus
106, 0, 1.00961, 0, 1.05, x_6568_1, sourcebus
107, 0, 1.00352, 0, 1.05, x_6568_1, sourcebus
108, 0, 0.995867, 0, 1.05, x_6568_1, sourcebus
109, 0, 0.988721, 0, 1.05, x_6568_1, sourcebus
110, 0, 0.982212, 0, 1.05, x_39754_1, sourcebus
111, 0, 0.976726, 0, 1.05, x_39754_1, sourcebus
112, 0, 0.971022, 0, 1.05, x_39754_1, sourcebus
113, 0, 0.967962, 0, 1.05, x_39754_1, sourcebus
114, 0, 0.964353, 0, 1.05, x_39754_1, sourcebus
115, 0, 0.963013, 0, 1.05, x_39754_1, sourcebus
116, 0, 0.965686, 0, 1.05, x_39754_1, sourcebus
117, 0, 0.970127, 0, 1.05, x_39754_1, sourcebus
118, 0, 0.971766, 0, 1.05, x_39754_1, sourcebus
119, 0, 0.977982, 0, 1.05, x_39754_1, sourcebus
120, 0, 0.985283, 0, 1.05, x_39754_1, sourcebus
121, 0, 0.99621, 0, 1.05, x_39754_1, sourcebus
122, 0, 1.00397, 0, 1.05, x_39754_1, sourcebus
123, 0, 1.00952, 0, 1.05, x_39754_1, sourcebus
124, 0, 1.01254, 0, 1.05, x_39754_1, sourcebus
125, 0, 1.0147, 0, 1.05, x_69478_1, sourcebus
126, 0, 1.01546, 0, 1.05, x_69478_1, sourcebus
127, 0, 1.01417, 0, 1.05, x_69478_1, sourcebus
128, 0, 1.0122, 0, 1.05, x_69478_1, sourcebus
129, 0, 1.00968, 0, 1.05, x_69478_1, sourcebus
130, 0, 1.00526, 0, 1.05, x_69478_1, sourcebus
131, 0, 0.99904, 0, 1.05, x_39754_1, sourcebus
132, 0, 0.989543, 0, 1.05, x_39754_1, sourcebus
133, 0, 0.981685, 0, 1.05, x_39754_1, sourcebus
134, 0, 0.97451, 0, 1.05, x_39754_1, sourcebus
135, 0, 0.973386, 0, 1.05, x_39754_1, sourcebus
136, 0, 0.972984, 0, 1.05, x_39754_1, sourcebus
137, 0, 0.974557, 0, 1.05, x_39754_1, sourcebus
138, 0, 0.974553, 0, 1.05, x_39754_1, sourcebus
139, 0, 0.974368, 0, 1.05, x_39754_1, sourcebus
140, 0, 0.979223, 0, 1.05, x_39754_1, sourcebus
141, 0, 0.983133, 0, 1.05, x_39754_1, sourcebus
142, 0, 0.986164, 0, 1.05, x_39754_1, sourcebus
143, 0, 0.989189, 0, 1.05, x_39754_1, sourcebus
144, 0, 0.994888, 0, 1.05, x_39754_1, sourcebus
145, 0, 1.00248, 0, 1.05, x_39754_1, sourcebus
146, 0, 1.00924, 0, 1.05, x_39754_1, sourcebus
147, 0, 1.01406, 0, 1.05, x_39754_1, sourcebus
148, 0, 1.01738, 0, 1.05, x_39754_1, sourcebus
149, 0, 1.0183, 0, 1.05, x_69478_1, sourcebus
150, 0, 1.01822, 0, 1.05, x_69478_1, sourcebus
151, 0, 1.01703, 0, 1.05, x_69478_1, sourcebus
152, 0, 1.01544, 0, 1.05, x_69478_1, sourcebus
153, 0, 1.01127, 0, 1.05, x_69478_1, sourcebus
154, 0, 1.00747, 0, 1.05, x_69478_1, sourcebus
155, 0, 1.00476, 0, 1.05, x_69478_1, sourcebus
156, 0, 1.0016, 0, 1.05, x_39754_1, sourcebus
157, 0, 0.998794, 0, 1.05, x_39754_1, sourcebus
158, 0, 0.996719, 0, 1.05, x_39754_1, sourcebus
159, 0, 0.996018, 0, 1.05, x_39754_1, sourcebus
160, 0, 0.991303, 0, 1.05, x_39754_1, sourcebus
161, 0, 0.985957, 0, 1.05, x_39754_1, sourcebus
162, 0, 0.979254, 0, 1.05, x_39754_1, sourcebus
163, 0, 0.97893, 0, 1.05, x_39754_1, sourcebus
164, 0, 0.979289, 0, 1.05, x_39754_1, sourcebus
165, 0, 0.983206, 0, 1.05, x_39754_1, sourcebus
166, 0, 0.987024, 0, 1.05, x_39754_1, sourcebus
167, 0, 0.9908, 0, 1.05, x_39754_1, sourcebus
168, 0, 0.998297, 0, 1.05, x_39754_1, sourcebus
169, 0, 1.00622, 0, 1.05, x_39754_1, sourcebus
170, 0, 1.01279, 0, 1.05, x_39754_1, sourcebus
171, 0, 1.0169, 0, 1.05, x_39754_1, sourcebus
172, 0, 1.01916, 0, 1.05, x_69478_1, sourcebus
173, 0, 1.02043, 0, 1.05, x_69478_1, sourcebus
174, 0, 1.02049, 0, 1.05, x_69478_1, sourcebus
175, 0, 1.01959, 0, 1.05, x_69478_1, sourcebus
176, 0, 1.0169, 0, 1.05, x_69478_1, sourcebus
177, 0, 1.01174, 0, 1.05, x_69478_1, sourcebus
178, 0, 1.00402, 0, 1.05, x_6568_1, sourcebus
179, 0, 0.998421, 0, 1.05, x_6568_1, sourcebus
180, 0, 0.992071, 0, 1.05, x_6568_1, sourcebus
181, 0, 0.983929, 0, 1.05, x_39754_1, sourcebus
182, 0, 0.974251, 0, 1.05, x_39754_1, sourcebus
183, 0, 0.968787, 0, 1.05, x_39754_1, sourcebus
184, 0, 0.965145, 0, 1.05, x_39754_1, sourcebus
185, 0, 0.961182, 0, 1.05, x_39754_1, sourcebus
186, 0, 0.960829, 0, 1.05, x_39754_1, sourcebus
187, 0, 0.957699, 0, 1.05, x_39754_1, sourcebus
188, 0, 0.959617, 0, 1.05, x_39754_1, sourcebus
189, 0, 0.962088, 0, 1.05, x_39754_1, sourcebus
190, 0, 0.967681, 0, 1.05, x_39754_1, sourcebus
191, 0, 0.97505, 0, 1.05, x_39754_1, sourcebus
192, 0, 0.986538, 0, 1.05, x_39754_1, sourcebus
193, 0, 0.997014, 0, 1.05, x_39754_1, sourcebus
194, 0, 1.00485, 0, 1.05, x_39754_1, sourcebus
195, 0, 1.00952, 0, 1.05, x_39754_1, sourcebus
196, 0, 1.01297, 0, 1.05, x_39754_1, sourcebus
197, 0, 1.01431, 0, 1.05, x_39754_1, sourcebus
198, 0, 1.01492, 0, 1.05, x_39754_1, sourcebus
199, 0, 1.01241, 0, 1.05, x_39754_1, sourcebus
200, 0, 1.01144, 0, 1.05, x_39754_1, sourcebus
201, 0, 1.00827, 0, 1.05, x_6568_1, sourcebus
202, 0, 1.00449, 0, 1.05, x_6568_1, sourcebus
203, 0, 1.00056, 0, 1.05, x_6568_1, sourcebus
204, 0, 0.995139, 0, 1.05, x_6568_1, sourcebus
205, 0, 0.986622, 0, 1.05, x_6568_1, sourcebus
206, 0, 0.97838, 0, 1.05, x_39754_1, sourcebus
207, 0, 0.973964, 0, 1.05, x_39754_1, sourcebus
208, 0, 0.97273, 0, 1.05, x_39754_1, sourcebus
209, 0, 0.970597, 0, 1.05, x_39754_1, sourcebus
210, 0, 0.972052, 0, 1.05, x_39754_1, sourcebus
211, 0, 0.971649, 0, 1.05, x_39754_1, sourcebus
212, 0, 0.97421, 0, 1.05, x_39754_1, sourcebus
213, 0, 0.977735, 0, 1.05, x_39754_1, sourcebus
214, 0, 0.981424, 0, 1.05, x_39754_1, sourcebus
215, 0, 0.985789, 0, 1.05, x_39754_1, sourcebus
216, 0, 0.994942, 0, 1.05, x_39754_1, sourcebus
217, 0, 1.00448, 0, 1.05, x_39754_1, sourcebus
218, 0, 1.01142, 0, 1.05, x_39754_1, sourcebus
219, 0, 1.01487, 0, 1.05, x_6568_1, sourcebus
220, 0, 1.01765, 0, 1.05, x_6568_1, sourcebus
221, 0, 1.01949, 0, 1.05, x_6568_1, sourcebus
222, 0, 1.01955, 0, 1.05, x_6568_1, sourcebus
223, 0, 1.0172, 0, 1.05, x_6568_1, sourcebus
224, 0, 1.01363, 0, 1.05, x_6568_1, sourcebus
225, 0, 1.01072, 0, 1.05, x_6568_1, sourcebus
226, 0, 1.00833, 0, 1.05, x_6568_1, sourcebus
227, 0, 1.00638, 0, 1.05, x_6568_1, sourcebus
228, 0, 1.00001, 0, 1.05, x_6568_1, sourcebus
229, 0, 0.997257, 0, 1.05, x_6568_1, sourcebus
230, 0, 0.9932, 0, 1.05, x_6568_1, sourcebus
231, 0, 0.991329, 0, 1.05, x_6568_1, sourcebus
232, 0, 0.988123, 0, 1.05, x_6568_1, sourcebus
233, 0, 0.983702, 0, 1.05, x_39754_1, sourcebus
234, 0, 0.975547, 0, 1.05, x_39754_1, sourcebus
235, 0, 0.970776, 0, 1.05, x_39754_1, sourcebus
236, 0, 0.972372, 0, 1.05, x_39754_1, sourcebus
237, 0, 0.975423, 0, 1.05, x_39754_1, sourcebus
238, 0, 0.979411, 0, 1.05, x_39754_1, sourcebus
239, 0, 0.982856, 0, 1.05, x_39754_1, sourcebus
240, 0, 0.991964, 0, 1.05, x_39754_1, sourcebus
241, 0, 1.0008, 0, 1.05, x_39754_1, sourcebus
242, 0, 1.00743, 0, 1.05, x_39754_1, sourcebus
243, 0, 1.01121, 0, 1.05, x_39754_1, sourcebus
244, 0, 1.01395, 0, 1.05, x_39754_1, sourcebus
245, 0, 1.01547, 0, 1.05, x_69478_1, sourcebus
246, 0, 1.0144, 0, 1.05, x_69478_1, sourcebus
247, 0, 1.01222, 0, 1.05, x_69478_1, sourcebus
248, 0, 1.00914, 0, 1.05, x_6568_1, sourcebus
249, 0, 1.00848, 0, 1.05, x_69478_1, sourcebus
250, 0, 1.00699, 0, 1.05, x_6568_1, sourcebus
251, 0, 1.00694, 0, 1.05, x_69478_1, sourcebus
252, 0, 1.00589, 0, 1.05, x_69478_1, sourcebus
253, 0, 1.00228, 0, 1.05, x_6568_1, sourcebus
254, 0, 0.998328, 0, 1.05, x_39754_1, sourcebus
255, 0, 0.989617, 0, 1.05, x_39754_1, sourcebus
256, 0, 0.986995, 0, 1.05, x_39754_1, sourcebus
257, 0, 0.981759, 0, 1.05, x_39754_1, sourcebus
258, 0, 0.982911, 0, 1.05, x_39754_1, sourcebus
259, 0, 0.981342, 0, 1.05, x_39754_1, sourcebus
260, 0, 0.980291, 0, 1.05, x_39754_1, sourcebus
261, 0, 0.981446, 0, 1.05, x_39754_1, sourcebus
262, 0, 0.985797, 0, 1.05, x_39754_1, sourcebus
263, 0, 0.990236, 0, 1.05, x_39754_1, sourcebus
264, 0, 0.999455, 0, 1.05, x_39754_1, sourcebus
265, 0, 1.00839, 0, 1.05, x_39754_1, sourcebus
266, 0, 1.01549, 0, 1.05, x_69478_1, sourcebus
267, 0, 1.01842, 0, 1.05, x_69478_1, sourcebus
268, 0, 1.01996, 0, 1.05, x_69478_1, sourcebus
269, 0, 1.02106, 0, 1.05, x_69478_1, sourcebus
270, 0, 1.02036, 0, 1.05, x_69478_1, sourcebus
271, 0, 1.01835, 0, 1.05, x_69478_1, sourcebus
272, 0, 1.01592, 0, 1.05, x_6568_1, sourcebus
273, 0, 1.01301, 0, 1.05, x_6568_1, sourcebus
274, 0, 1.0084, 0, 1.05, x_6568_1, sourcebus
275, 0, 1.00489, 0, 1.05, x_6568_1, sourcebus
276, 0, 0.999439, 0, 1.05, x_6568_1, sourcebus
277, 0, 0.995185, 0, 1.05, x_6568_1, sourcebus
278, 0, 0.990761, 0, 1.05, x_6568_1, sourcebus
279, 0, 0.986515, 0, 1.05, x_6568_1, sourcebus
280, 0, 0.983657, 0, 1.05, x_6568_1, sourcebus
281, 0, 0.980595, 0, 1.05, x_39754_1, sourcebus
282, 0, 0.976393, 0, 1.05, x_39754_1, sourcebus
283, 0, 0.972268, 0, 1.05, x_39754_1, sourcebus
284, 0, 0.975249, 0, 1.05, x_39754_1, sourcebus
285, 0, 0.98018, 0, 1.05, x_39754_1, sourcebus
286, 0, 0.985019, 0, 1.05, x_39754_1, sourcebus
287, 0, 0.989928, 0, 1.05, x_39754_1, sourcebus
288, 0, 0.999188, 0, 1.05, x_39754_1, sourcebus
289, 0, 1.0097, 0, 1.05, x_39754_1, sourcebus
290, 0, 1.01459, 0, 1.05, x_69478_1, sourcebus
291, 0, 1.01698, 0, 1.05, x_69478_1, sourcebus
292, 0, 1.01802, 0, 1.05, x_69478_1, sourcebus
293, 0, 1.01947, 0, 1.05, x_69478_1, sourcebus
294, 0, 1.01892, 0, 1.05, x_69478_1, sourcebus
295, 0, 1.01636, 0, 1.05, x_69478_1, sourcebus
296, 0, 1.01405, 0, 1.05, x_69478_1, sourcebus
297, 0, 1.0125, 0, 1.05, x_6568_1, sourcebus
298, 0, 1.01103, 0, 1.05, x_6568_1, sourcebus
299, 0, 1.00973, 0, 1.05, x_6568_1, sourcebus
300, 0, 1.00833, 0, 1.05, x_6568_1, sourcebus
301, 0, 1.00383, 0, 1.05, x_6568_1, sourcebus
302, 0, 1.00259, 0, 1.05, x_6568_1, sourcebus
303, 0, 1.00134, 0, 1.05, x_6568_1, sourcebus
304, 0, 0.999845, 0, 1.05, x_6568_1, sourcebus
305, 0, 0.997215, 0, 1.05, x_6568_1, sourcebus
306, 0, 0.99432, 0, 1.05, x_39754_1, sourcebus
307, 0, 0.991558, 0, 1.05, x_39754_1, sourcebus
308, 0, 0.993012, 0, 1.05, x_39754_1, sourcebus
309, 0, 0.995546, 0, 1.05, x_39754_1, sourcebus
310, 0, 0.998876, 0, 1.05, x_39754_1, sourcebus
311, 0, 1.00159, 0, 1.05, x_39754_1, sourcebus
312, 0, 1.00751, 0, 1.05, x_39754_1, sourcebus
313, 0, 1.01368, 0, 1.05, x_39754_1, sourcebus
314, 0, 1.01795, 0, 1.05, x_69478_1, sourcebus
315, 0, 1.01987, 0, 1.05, x_69478_1, sourcebus
316, 0, 1.02083, 0, 1.05, x_69478_1, sourcebus
317, 0, 1.0212, 0, 1.05, x_69478_1, sourcebus
318, 0, 1.02172, 0, 1.05, x_69478_1, sourcebus
319, 0, 1.02045, 0, 1.05, x_69478_1, sourcebus
320, 0, 1.01857, 0, 1.05, x_69478_1, sourcebus
321, 0, 1.0144, 0, 1.05, x_69478_1, sourcebus
322, 0, 1.01104, 0, 1.05, x_69478_1, sourcebus
323, 0, 1.00801, 0, 1.05, x_69478_1, sourcebus
324, 0, 1.00211, 0, 1.05, x_69478_1, sourcebus
325, 0, 0.995239, 0, 1.05, x_39754_1, sourcebus
326, 0, 0.987348, 0, 1.05, x_39754_1, sourcebus
327, 0, 0.981943, 0, 1.05, x_39754_1, sourcebus
328, 0, 0.975065, 0, 1.05, x_39754_1, sourcebus
329, 0, 0.97135, 0, 1.05, x_39754_1, sourcebus
330, 0, 0.968509, 0, 1.05, x_39754_1, sourcebus
331, 0, 0.968579, 0, 1.05, x_39754_1, sourcebus
332, 0, 0.971745, 0, 1.05, x_39754_1, sourcebus
333, 0, 0.975973, 0, 1.05, x_39754_1, sourcebus
334, 0, 0.979207, 0, 1.05, x_39754_1, sourcebus
335, 0, 0.984234, 0, 1.05, x_39754_1, sourcebus
336, 0, 0.991552, 0, 1.05, x_39754_1, sourcebus
337, 0, 0.999092, 0, 1.05, x_39754_1, sourcebus
338, 0, 1.00539, 0, 1.05, x_39754_1, sourcebus
339, 0, 1.01023, 0, 1.05, x_39754_1, sourcebus
340, 0, 1.01311, 0, 1.05, x_69478_1, sourcebus
341, 0, 1.01492, 0, 1.05, x_69478_1, sourcebus
342, 0, 1.01586, 0, 1.05, x_69478_1, sourcebus
343, 0, 1.01524, 0, 1.05, x_69478_1, sourcebus
344, 0, 1.01328, 0, 1.05, x_6568_1, sourcebus
345, 0, 1.00737, 0, 1.05, x_6568_1, sourcebus
346, 0, 1.00159, 0, 1.05, x_6568_1, sourcebus
347, 0, 0.997822, 0, 1.05, x_6568_1, sourcebus
348, 0, 0.992794, 0, 1.05, x_6568_1, sourcebus
349, 0, 0.98892, 0, 1.05, x_6568_1, sourcebus
350, 0, 0.984002, 0, 1.05, x_39754_1, sourcebus
351, 0, 0.976468, 0, 1.05, x_39754_1, sourcebus
352, 0, 0.969928, 0, 1.05, x_39754_1, sourcebus
353, 0, 0.977419, 0, 1.05, x_39754_1, sourcebus
354, 0, 0.985149, 0, 1.05, x_39754_1, sourcebus
355, 0, 0.987805, 0, 1.05, x_39754_1, sourcebus
356, 0, 0.989929, 0, 1.05, x_39754_1, sourcebus
357, 0, 0.992147, 0, 1.05, x_39754_1, sourcebus
358, 0, 0.99461, 0, 1.05, x_39754_1, sourcebus
359, 0, 0.996658, 0, 1.05, x_39754_1, sourcebus
360, 0, 1.00478, 0, 1.05, x_39754_1, sourcebus
361, 0, 1.01195, 0, 1.05, x_39754_1, sourcebus
362, 0, 1.01765, 0, 1.05, x_39754_1, sourcebus
363, 0, 1.02041, 0, 1.05, x_69478_1, sourcebus
364, 0, 1.01935, 0, 1.05, x_69478_1, sourcebus
365, 0, 1.02009, 0, 1.05, x_69478_1, sourcebus
366, 0, 1.01916, 0, 1.05, x_69478_1, sourcebus
367, 0, 1.01757, 0, 1.05, x_69478_1, sourcebus
368, 0, 1.01391, 0, 1.05, x_6568_1, sourcebus
369, 0, 1.01192, 0, 1.05, x_6568_1, sourcebus
370, 0, 1.00977, 0, 1.05, x_6568_1, sourcebus
371, 0, 1.00455, 0, 1.05, x_6568_1, sourcebus
372, 0, 0.99722, 0, 1.05, x_6568_1, sourcebus
373, 0, 0.990473, 0, 1.05, x_6568_1, sourcebus
374, 0, 0.983807, 0, 1.05, x_6568_1, sourcebus
375, 0, 0.979484, 0, 1.05, x_6568_1, sourcebus
376, 0, 0.974671, 0, 1.05, x_39754_1, sourcebus
377, 0, 0.971002, 0, 1.05, x_39754_1, sourcebus
378, 0, 0.96705, 0, 1.05, x_39754_1, sourcebus
379, 0, 0.965953, 0, 1.05, x_39754_1, sourcebus
380, 0, 0.970417, 0, 1.05, x_39754_1, sourcebus
381, 0, 0.976204, 0, 1.05, x_39754_1, sourcebus
382, 0, 0.981358, 0, 1.05, x_39754_1, sourcebus
383, 0, 0.987169, 0, 1.05, x_39754_1, sourcebus
384, 0, 0.995976, 0, 1.05, x_39754_1, sourcebus
385, 0, 1.00459, 0, 1.05, x_39754_1, sourcebus
386, 0, 1.01055, 0, 1.05, x_39754_1, sourcebus
387, 0, 1.01577, 0, 1.05, x_39754_1, sourcebus
388, 0, 1.01837, 0, 1.05, x_6568_1, sourcebus
389, 0, 1.01982, 0, 1.05, x_69478_1, sourcebus
390, 0, 1.01938, 0, 1.05, x_69478_1, sourcebus
391, 0, 1.01755, 0, 1.05, x_69478_1, sourcebus
392, 0, 1.01515, 0, 1.05, x_6568_1, sourcebus
393, 0, 1.0128, 0, 1.05, x_6568_1, sourcebus
394, 0, 1.00994, 0, 1.05, x_6568_1, sourcebus
395, 0, 1.00678, 0, 1.05, x_6568_1, sourcebus
396, 0, 1.00118, 0, 1.05, x_6568_1, sourcebus
397, 0, 0.995452, 0, 1.05, x_6568_1, sourcebus
398, 0, 0.991502, 0, 1.05, x_6568_1, sourcebus
399, 0, 0.989787, 0, 1.05, x_6568_1, sourcebus
400, 0, 0.989282, 0, 1.05, x_6568_1, sourcebus
401, 0, 0.989425, 0, 1.05, x_39754_1, sourcebus
402, 0, 0.98522, 0, 1.05, x_39754_1, sourcebus
403, 0, 0.980807, 0, 1.05, x_39754_1, sourcebus
404, 0, 0.979623, 0, 1.05, x_39754_1, sourcebus
405, 0, 0.981008, 0, 1.05, x_39754_1, sourcebus
406, 0, 0.982759, 0, 1.05, x_39754_1, sourcebus
407, 0, 0.986868, 0, 1.05, x_39754_1, sourcebus
408, 0, 0.993757, 0, 1.05, x_39754_1, sourcebus
409, 0, 1.00416, 0, 1.05, x_39754_1, sourcebus
410, 0, 1.01066, 0, 1.05, x_39754_1, sourcebus
411, 0, 1.01433, 0, 1.05, x_39754_1, sourcebus
412, 0, 1.01625, 0, 1.05, x_69478_1, sourcebus
413, 0, 1.01655, 0, 1.05, x_69478_1, sourcebus
414, 0, 1.01602, 0, 1.05, x_6568_1, sourcebus
415, 0, 1.01382, 0, 1.05, x_6568_1, sourcebus
416, 0, 1.00772, 0, 1.05, x_6568_1, sourcebus
417, 0, 1.0062, 0, 1.05, x_6568_1, sourcebus
418, 0, 1.00251, 0, 1.05, x_6568_1, sourcebus
419, 0, 0.997652, 0, 1.05, x_6568_1, sourcebus
420, 0, 0.991103, 0, 1.05, x_6568_1, sourcebus
421, 0, 0.987044, 0, 1.05, x_6568_1, sourcebus
422, 0, 0.985696, 0, 1.05, x_6568_1, sourcebus
423, 0, 0.991483, 0, 1.05, x_6568_1, sourcebus
424, 0, 0.993237, 0, 1.05, x_6568_1, sourcebus
425, 0, 0.994617, 0, 1.05, x_6568_1, sourcebus
426, 0, 0.993783, 0, 1.05, x_6568_1, sourcebus
427, 0, 0.990827, 0, 1.05, x_39754_1, sourcebus
428, 0, 0.99146, 0, 1.05, x_39754_1, sourcebus
429, 0, 0.992388, 0, 1.05, x_39754_1, sourcebus
430, 0, 0.992884, 0, 1.05, x_39754_1, sourcebus
431, 0, 0.995916, 0, 1.05, x_39754_1, sourcebus
432, 0, 1.00233, 0, 1.05, x_39754_1, sourcebus
433, 0, 1.0104, 0, 1.05, x_39754_1, sourcebus
434, 0, 1.01554, 0, 1.05, x_69478_1, sourcebus
